"SITE_ID","IGBP","GRP_LOCATION.LOCATION_LAT","GRP_LOCATION.LOCATION_LONG","GRP_LOCATION.LOCATION_ELEV","GRP_CLIM_AVG.MAT","GRP_CLIM_AVG.MAP","GRP_CLIM_AVG.CLIMATE_KOEPPEN","UTC_OFFSET","data_year_length","SC_source","NEE_source","NEE_availability","NEE_availability_after_filling","LE_availability","LE_availability_after_filling","H_availability","H_availability_after_filling","USTAR_availability","USTAR_availability_after_filling","NETRAD_availability","NETRAD_availability_after_filling","TA_availability","TA_availability_after_filling","VPD_availability","VPD_availability_after_filling","SWC_availability","SWC_availability_after_filling","SW_IN_availability","SW_IN_availability_after_filling","ECO_NAME","REALM","BIOME","ECO_NUM","NA_L3CODE","NA_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","NEE_clust_group","LE_clust_group","H_clust_group","USTAR_clust_group","NETRAD_clust_group","TA_clust_group","VPD_clust_group","SWC_clust_group"
"BR-Npw","WSA",-16.498,-56.412,120,24.9,1486,"Aw",-4,4,"CO2","FC+SC",0.329471627245965,1,0.612425134504111,1,0.639148309816262,1,0.641394274692925,1,0.668802659628464,1,0.675794335600447,1,0.675794335600447,1,0,0,0.584407674347782,1,"Pantanal","NT",9,7,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA
"BR-Sa1","EBF",-2.8567,-54.9589,88,26.13,2074.79,"Am",-4,10,NA,"NEE",0.584268893756846,1,0.744181270536692,1,0.744181270536692,1,0.61243838992333,1,0.528694322745528,1,0.740108159912377,1,0.999942953632713,1,0,0,0.770376962395035,1,"Tapajós-Xingu moist forests","NT",1,68,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,NA
"BR-Sa3","EBF",-3.018,-54.9714,100,26.12,2043.77,"Am",-4,5,NA,"NEE",0.565818281335523,1,0.534596788907134,1,0.548405856595512,1,0.652561120233534,1,0.572967980295567,1,0.688708721036307,1,0.476338715562854,1,0.712666484218208,1,0.664568509396096,1,"Tapajós-Xingu moist forests","NT",1,68,NA,NA,NA,NA,NA,NA,3,2,1,2,2,2,3,1
"CA-ARB","WET",52.695,-83.9452,90,-1.3,700,"Dfb",-5,5,"negligible","FC+SC",0.383778538812785,1,0.722990867579909,1,0.799474885844749,1,0.885582191780822,1,0,0,0.936563926940639,1,0.936563926940639,1,0.936586757990868,1,0.936426940639269,1,"Southern Hudson Bay taiga","NA",6,16,"4.1.2","Hudson Bay and James Bay Lowlands","4.1","HUDSON PLAIN","4","HUDSON PLAIN",4,3,2,1,NA,3,4,2
"CA-ARF","WET",52.7008,-83.955,88,-1.3,700,"Dfb",-5,5,"negligible","FC+SC",0.478527397260274,1,0.651107305936073,1,0.690856164383562,1,0.824109589041096,1,0,0,0.935719178082192,1,0.935719178082192,1,0.880114155251142,1,0.934920091324201,1,"Southern Hudson Bay taiga","NA",6,16,"4.1.2","Hudson Bay and James Bay Lowlands","4.1","HUDSON PLAIN","4","HUDSON PLAIN",4,3,2,1,NA,3,4,3
"CA-Ca1","ENF",49.8673,-125.3336,300,9.93,1369,"Cfb",-8,15,NA,"NEE",0.555655268921879,1,0.840631844731078,1,0.86462642978827,1,0.863808864687272,1,0.7490683560477,1,0.700402318082259,1,0.700151344609394,1,0.842814553419323,1,0.862816378680944,1,"Central Pacific coastal forests","NA",5,10,"7.1.7","Strait of Georgia/Puget Lowland","7.1","MARINE WEST COAST FOREST","7","MARINE WEST COAST FOREST",5,3,3,1,3,4,4,4
"CA-Ca2","ENF",49.8705,-125.2909,300,9.86,1474,"Cfb",-8,12,NA,"NEE",0.415305559780955,1,0.779472163066626,1,0.813146486157591,1,0.816664131426833,1,0.840607887131123,1,0.554133708548829,1,0.527352068755704,1,0.863087541831457,1,0,0,"Central Pacific coastal forests","NA",5,10,"7.1.7","Strait of Georgia/Puget Lowland","7.1","MARINE WEST COAST FOREST","7","MARINE WEST COAST FOREST",4,3,2,3,3,4,4,4
"CA-Cbo","DBF",44.3167,-79.9333,120,6.66,876.34,"Dfb",-5,25,NA,"NEE",0.684289423607847,1,0.705912685555743,1,0.742197874408481,1,0.753722523147409,1,0.533118249147801,1,0.701246697301713,1,0.693683004850802,1,0.536595494184057,1,0.326498249969198,1,"Eastern Great Lakes lowland forests","NA",4,7,"8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS",6,3,3,4,3,4,4,5
"CA-DBB","WET",49.1293,-122.9849,4,10,1128,"Csb",-8,4,"negligible","FC+SC",0.4500372901664,1,0.488611216393002,1,0.612671320805468,1,0.683106943306721,1,0.562873665806751,1,0.572165641696519,1,0.518736780330354,1,0,0,0.568192099375237,1,"Puget lowland forests","NA",5,24,"7.1.7","Strait of Georgia/Puget Lowland","7.1","MARINE WEST COAST FOREST","7","MARINE WEST COAST FOREST",4,3,2,3,3,4,4,NA
"CA-Gro","MF",48.2167,-82.1556,340,1.3,831,"Dfb",-5,12,NA,"NEE",0.727788234846756,1,0.794105065023956,1,0.807570917940528,1,0.822182295231577,1,0.893903528785459,1,0.858097573959997,1,0.84595311430527,1,0.110531219104114,0.25,0.894098410525515,1,"Eastern forest-boreal transition","NA",4,6,"5.2.3","Algonquin/Southern Laurentians","5.2","MIXED WOOD SHIELD","5","NORTHERN FORESTS",4,3,3,4,3,3,4,NA
