"","BR-Sa3","CA-ARB","CA-ARF","CA-Ca1","CA-Cbo","CA-Let","CA-LP1","CA-Na1","CA-NS1","CA-NS2","CA-NS3","CA-NS6","CA-NS7","CA-Qcu","CA-Qfo","CA-SCC","CA-TP1","CA-TP2","CA-TP3","CA-TP4","CA-TPD","MX-EMg","MX-Lpa","US-ADR","US-AR1","US-AR2","US-ARM","US-Aud","US-Bar","US-Bi1","US-Bi2","US-Bkg","US-Bn1","US-Bn2","US-Bn3","US-Bo1","US-Bo2","US-Br1","US-Br3","US-BRG","US-BZB","US-CaV","US-CF1","US-CF2","US-CF3","US-CF4","US-Cop","US-CPk","US-CRT","US-Ctn","US-Dia","US-Dk1","US-Dk2","US-Elm","US-Esm","US-Fmf","US-FPe","US-FR2","US-FR3","US-Fuf","US-Fwf","US-GLE","US-HBK","US-Hn2","US-IB1","US-IB2","US-ICs","US-ICs","US-Jo1","US-Jo2","US-KFS","US-KLS","US-Kon","US-KUT","US-Me2","US-Me3","US-Me4","US-Me5","US-Me6","US-MOz","US-MRf","US-MtB","US-NC1","US-NC2","US-NC3","US-NC4","US-Oho","US-ONA","US-Prr","US-Rms","US-Ro1","US-Ro4","US-Ro5","US-Ro6","US-Rpf","US-Rwf","US-SCd","US-SCg","US-SCs","US-SCw","US-SdH","US-SFP","US-Slt","US-Snd","US-SO2","US-SO3","US-SO4","US-SRC","US-SRG","US-SRM","US-SRS","US-Sta","US-Syv","US-Ton","US-Tw3","US-Uaf","US-UMB","US-UMd","US-Var","US-WBW","US-WCr","US-Wdn","US-Wlr","US-Wrc"
"BR-Sa3",0,4954.94520623546,4934.3310992436,4126.72059913766,4539.8976427213,4069.09103016236,4920.22832303856,4898.45697804705,4841.38547176573,5399.41683849815,5316.71605910922,5036.45425877787,5227.10601907271,4491.89142295527,5021.38445938012,4547.83801034347,4226.91181645798,4162.40560931278,4538.35661496931,4692.77065466879,4577.637591928,4290.3164874553,4605.5191970145,5202.53980770424,3916.55462114246,4436.23747208237,3221.07442423275,4618.36868309865,3787.50960187418,3121.84200734523,3929.79991050159,3659.46016884616,5467.9604248376,5212.67781156973,5262.61943677581,3476.25942734695,3997.6159608226,3806.55477261124,3678.35641039634,3110.58468303378,5406.83528069918,4064.19309401778,4185.39356493332,4273.84384490446,4040.88041161738,4249.19158881399,4886.47281804541,5616.39075172809,3927.17093987378,4368.77970203372,4654.92973892847,3012.73779628833,2982.28034636838,4401.68642399154,3658.18092294436,4066.72023325827,4541.73375032822,3358.14670126347,3239.69478138061,4068.08856476535,4238.22725304208,6568.66895505868,4554.55980266864,5016.81774639531,3461.1369483208,3371.16384679203,6098.50873750056,6126.82868974116,4998.13369713897,4726.1015262155,3114.80808086413,3037.50803633347,3144.83359463279,3960.08787397925,4428.25163421964,4633.85004646874,4670.85550642912,4634.09855670578,4685.57606598627,2995.57016867717,3502.18265000373,4796.5973374468,2817.9835487195,2501.53181023528,2495.00376260136,4458.96920372539,4168.68324065272,2592.38084946394,5365.57843035196,4540.48278276198,3755.65295222631,3804.01330715939,4023.46089922116,4036.91193145955,5115.42553517241,4299.95898260362,5471.85086475112,4195.33575255026,3909.3710339993,4991.42246161022,3761.18326803597,4015.96262653475,4072.6333851369,3211.02343868469,4891.32574486782,5027.54356245887,4931.39767565093,4799.04395824887,4497.4745713482,4875.61634422048,4431.01259852847,4537.16747082382,4694.9373851612,3675.3123652389,3064.2400312654,5584.30525371567,4721.34177565483,4894.97167469079,4254.60718359895,3325.07819113768,4437.07463140743,4639.2042288666,3275.03958266049,3835.21545491082
"CA-ARB",4954.94520623546,0,949.243679605363,2666.53419096626,2606.80698317765,1954.4068709749,1891.57180853736,2403.09934770669,1562.30256060128,1615.83474689114,1600.71377121478,1129.19547949486,1520.10548244972,1281.55070949639,1639.44842178914,1233.28035552543,2308.74575357737,2952.98680804234,2719.82878962004,2837.05060111634,2837.76610696349,4079.27801668094,4453.57332827779,4127.21941684023,2879.3228841062,3027.58355913351,2875.20462522912,3827.83528834834,2428.69101704204,3988.88237017785,4206.49569965356,1802.62761474548,1909.94064512022,1740.96745154401,1801.55928283986,2346.22604398533,2772.27558702337,2230.74602852396,2170.99666934237,3082.0490942418,2089.08023532683,2342.94179965266,2805.6146946729,2907.05476974518,2643.40781601419,2679.85794147253,3689.52481824473,3453.96688653129,2320.57917347263,2430.76536276917,3967.76018585859,3212.00198407706,3432.49001804377,5076.53579954272,4343.5021951141,3214.13592134003,1880.52258876844,3696.98893054541,4019.79477543699,3334.70946659614,2528.80652277722,3952.95770960079,2678.9683808685,3369.19119775423,2386.4817886673,2428.98967250655,1997.65604798076,2023.3117365261,4279.98026330268,4059.88907483938,2671.3463838569,2672.22521078109,2947.06347996824,2407.88338889248,3012.1273132772,2693.55425726993,2994.93950017715,2622.48683644118,2860.38172939204,2916.09568000454,2935.32708597562,3850.04679680937,3904.25253336078,3788.21552825961,3275.93203711811,4720.48953789212,2992.53127479776,4091.89635385301,1464.30625251027,2327.69026008505,2250.35419141479,2057.27728816468,1964.92683656438,2056.45599268698,1394.88277951874,2431.29364908111,5140.50765600181,3670.14295466904,3575.83522888561,4446.28242270935,2349.02405406193,2030.95120912135,3131.90008257356,3095.39715594074,4078.92116724608,4129.63007542954,4164.19441509875,4320.57882614607,4239.24932270826,4250.75905796223,4246.64873374495,2236.16509192868,2405.02798903411,3806.27078732507,3968.3044428048,1672.75710595548,2533.87982500885,2623.90788106406,4077.32895835944,3102.87038938325,2458.99219906155,2208.92071062815,2894.3600218164,2480.56891097959
"CA-ARF",4934.3310992436,949.243679605363,0,2611.71132330103,2182.66512888254,1863.78697903825,1604.40741989265,1900.02016747336,1335.22028826972,1186.32240994968,1215.79226394965,907.0616958978,1164.59427181219,1735.54337739987,1254.41247054169,1304.80204911357,2128.8471070915,2638.13279804921,2278.72940523401,2373.99007563572,2420.09615099711,3923.35157222295,4126.1648892997,3981.39696289192,2657.26822806081,2813.47378627808,2749.79753105025,3656.91923017288,2265.36167137153,3985.13604154156,4217.35971589629,2008.02136101659,1669.68421357435,1414.52236770097,1597.89153917068,2296.24323459634,2580.31043493334,2170.10626725049,2160.90417546519,3122.76062028169,1968.40961552089,2316.08922855315,2655.62051741061,2682.65379650784,2506.98891402609,2573.23780615142,3546.66583255825,2919.81416262058,2837.51629387589,2213.40889351335,3819.31657647329,3231.85426751065,3154.52584825717,5588.35252838989,4852.83436670021,2948.03956215831,1794.16249992304,3389.31272172301,3629.41680217681,3030.4933262439,2525.39895257574,3575.89490457899,2284.95507433634,3230.96594783787,2534.18426676978,2576.24666996632,2425.68569541773,2446.97146498799,4082.95460100557,3870.77056275537,2529.26383321412,2924.95068882169,2674.35288565219,2254.46764175949,2679.95697497567,2579.51901467325,2816.2219735124,2400.47665473864,2650.37553653436,2664.8208594264,2766.84634834045,3375.71064770458,3739.08108450959,3541.97266859978,3348.32178782048,4909.70946506422,2578.58005572497,4108.56255087043,2035.96268848723,2103.92681207876,2262.72066644714,2086.69024954468,1961.98750344524,1909.04242819079,1352.6596339429,2100.06970014528,4965.30981048527,3646.795478438,3542.46880642878,4105.17402973803,2006.61138226053,1949.68502191103,2700.4152233481,3370.05402904521,3726.55322139628,3822.80022111562,3842.64869676159,4179.97249169646,4146.39224247663,4057.3424615239,4094.17730349952,2092.72381246072,1930.7153479213,3659.42108837123,3909.49997429627,2019.38399917941,2058.62328210172,2108.57196546624,4002.58789208143,2851.69746860934,2170.8634640454,2163.79010120999,2806.74023268838,2429.95743181881
"CA-Ca1",4126.72059913766,2666.53419096626,2611.71132330103,0,1998.06302100101,1863.85183529268,1626.5208704428,2107.06458989409,2671.95930749442,2431.06184247135,2256.8102693193,2540.8600558002,2149.73985742674,2564.33041402481,2089.22171379324,2194.82055865462,1345.31802453563,1944.13484773173,1812.83135709989,2029.57143220813,2095.49191264519,2900.39050679185,3864.79995177831,3312.95685469481,2345.02206267287,2436.25260630508,2231.55243315175,3001.03414532401,2019.93993067056,2213.47506938975,2973.37198571213,2352.57884643006,2117.27389491929,2167.01572792082,2184.57242918987,2219.41295102273,1941.96146421354,2149.93673728936,2115.15370216258,1942.44874843159,2182.44421369652,2141.36730431162,1832.08998093856,1897.42263547469,1858.46428783579,1824.83988546968,2776.70337666445,3180.9264864763,2849.81207308728,1959.18901826009,2774.31095502497,2300.65812563283,2588.59711170971,5555.9604495113,4646.9499186411,2634.09839643981,1858.71536519203,2505.19484906704,3012.3844417727,2776.11940171475,2062.9947376014,4347.40596777163,1985.3710726946,2288.71327781355,2237.70587032546,2444.28174600451,3191.87224223114,3244.24930167018,3403.7467623686,3213.28290136697,2313.0601076279,2553.95820871486,2646.99295438076,1805.23691418115,1910.90163568713,1627.55504978651,1782.47119641287,1604.94571191573,1741.60343831473,2563.63906298407,1628.40885887691,3020.97917466248,2481.3963426891,2470.5437718975,2545.53650989708,4821.49231525714,2451.04991399437,3023.645810596,2683.78226862578,1839.79257718063,1963.16524332129,1989.48292543728,1995.93940716699,1837.61225538468,2016.23131656759,1923.89385671669,4420.5294224181,2470.87110595823,2317.69358346141,3644.07059468383,2052.16324799983,2204.0034978471,2251.11562594094,2807.13380813554,3285.23791840877,3420.48061014011,3348.50896896445,3465.12770961606,3366.054782935,3724.20492677801,3448.22193616947,1910.88508408501,2395.59886521785,2405.39863963471,2439.0039933096,2750.66088864435,2176.21811425588,2208.64026595899,2425.76406545163,2100.02038930258,2862.71948687167,1990.57160959882,2554.17255206854,1202.32535373567
"CA-Cbo",4539.8976427213,2606.80698317765,2182.66512888254,1998.06302100101,0,2204.66780329096,1587.67264312496,1217.89806340151,1946.35170029712,1844.6970475411,1873.08743972155,2319.16066332243,2100.36958471284,2946.27088579136,1431.68496911649,2566.57560371029,1462.09844189429,1419.74854482762,903.919238915553,831.263047841575,814.007254247981,3532.01266315217,3832.3541252964,3805.83806160458,2547.74803560451,2517.95653836562,2798.05831181081,3228.08164822368,1712.64105152851,3015.16930711393,3452.55616859675,2272.05637946522,2206.5017887287,2036.46156097099,2303.31111515364,2238.48534129668,1911.039537037,2197.2265129657,2204.31669214096,2795.51220330663,2728.20541823687,2596.96106009309,2123.43295713703,2178.89367039929,2391.14027633392,2287.3336924152,3265.91950911084,2024.69023087109,2994.22714322836,2109.47919232162,3454.48634355501,3030.73306471033,2379.47068232623,5999.46816608704,5006.96933470393,2250.51208056285,2056.89335322091,2661.96823172593,2929.94823220036,2370.71084757225,2278.97473804671,3297.96689720837,1155.73530557525,3067.98682307556,2427.84842989472,2318.09126106569,3817.83522165674,3883.38152124077,3814.26396365511,3490.58130783034,2476.97485239848,3008.27919792215,2296.84939872713,2143.77682023658,1624.23660236908,2071.43227454286,2409.48918748228,1763.58283866876,1999.06824885564,2102.17345505173,2357.88141044459,2331.92433060921,3143.17284916843,2676.48772839585,2973.76928816509,4096.43729134246,1096.84513302417,3452.69321586118,3218.22756352165,1740.39918000012,2264.53894786018,2024.85441826249,2151.92997693476,2013.74455791467,2378.0490451419,1706.65951581631,4738.10040487909,3196.41500998424,3037.32634319115,3470.32367797152,1665.41949315023,2056.24801647742,1310.13015864068,3268.31789960294,3380.02693304957,3565.24736529037,3539.17564848175,3836.00775797294,3632.58730379441,3698.25435858602,3484.97968918705,2072.26750435561,1259.28483574689,3196.58248623877,3080.37851759983,3384.61761350381,677.774316933125,719.900414199962,3635.51731928754,2050.52519761252,1639.54481284502,2228.90254416015,2609.13174586698,2214.72078745195
"CA-Let",4069.09103016236,1954.4068709749,1863.78697903825,1863.85183529268,2204.66780329096,0,1665.90127518212,2455.12375242102,1904.38821718736,2149.47052657566,2071.50131459467,1844.50394053871,1977.31670615879,1802.9881616338,1968.32059781673,1418.20136942455,1483.62977711018,2416.49834605769,2187.48934726313,2293.33917373315,2200.0836027922,2918.16275284407,3555.00157201038,2919.06526092061,1648.75827244114,1990.95077863743,1680.63366191191,2651.62491394807,1461.44760560929,2836.99859479828,3000.75004423036,1429.27817342787,2051.72386819195,1769.72502603516,1788.92094083727,1422.50966660175,1732.68279580985,1550.883938462,1429.28309766774,2109.92093652741,2206.83580540492,1514.2354308196,1534.64584737114,1593.19741786701,1407.57740866852,1503.21151907628,2262.59391388739,3234.09192751946,2068.45536273034,1312.9286643426,2425.92699237556,2072.28630770682,2330.89602935047,4626.04393253282,3788.32494828753,2056.84421320636,1110.33315091382,2629.53001641938,2825.05154179256,2133.47295560121,1446.95430791981,3828.05168357236,2216.88275263892,2249.65865933772,1564.91135528349,1788.27567146446,2918.19911278363,2872.79852783083,3079.42258207457,2924.41479427659,1474.06409491364,1866.7892461986,1975.30035922092,1720.522752541,2041.708237371,1535.98168415043,1972.07579088846,1551.65314291768,1752.44414952629,1901.83963189679,2141.63593491789,3215.58639013424,2710.51318658747,2723.88257219746,2335.44734031721,4448.35552898292,2282.33450937414,3324.35172634513,2209.76448624114,1563.32505829916,1466.35604908362,1294.38738948006,1423.95232533804,1447.44356395567,1611.45035794235,1390.83302498525,3983.25003722928,2467.34313562429,2290.03863956732,3287.43168423359,1573.50063391715,1562.54104151721,2379.28814173143,2442.87378324961,2957.61775585078,2976.28374276493,3047.93647054057,3105.98174289579,3119.59408668551,3299.6586441341,3175.88179787803,1479.77192284738,2090.11312419198,2288.7251426222,2906.619480752,2438.40006942538,2224.01044214893,2304.65971203361,2552.45990142057,1949.04011397307,2276.46351611334,1506.95937051236,1763.78547056874,1495.11772942781
"CA-LP1",4920.22832303856,1891.57180853736,1604.40741989265,1626.5208704428,1587.67264312496,1665.90127518212,0,1542.66063843029,1732.34357078915,1268.86554752997,1129.82899234305,1412.5354414864,1066.42987814398,2224.3946354746,1059.80544399219,1726.57156651759,1182.3336370611,1923.31350714171,1403.51723602268,1603.93568737445,1720.856534947,2764.98850169962,3171.0538516854,2835.29952932022,2266.58418537516,1800.43217526799,2545.38956117797,2578.25949974319,2097.77584687443,3258.60503419583,3542.37745819303,2218.06814334372,1063.16325588869,1252.16265871275,1297.0260044672,2329.87265156633,1878.80280494242,2213.59220024545,2197.78022056029,2994.77790162798,1632.67266504613,2252.83937467679,1902.59464821351,1901.6254443258,2084.34311572609,2008.67716511309,2382.59386432785,2505.41741454492,3022.65667381604,1579.52194130439,2835.08152349161,3012.66820945061,3133.00736193239,5740.98222544997,4871.44810660372,2445.21626872404,1317.85137555756,2603.76868748054,3070.78615112672,2574.85517042472,1910.20186286177,3676.21975326882,1942.41120688111,2037.32995800543,2524.32457496915,2679.02575265888,2652.24452609381,2654.89618443935,2940.81105944459,2682.51084919607,2552.40812032795,3044.55063202701,2926.84752524883,2002.11768690469,1972.03776352818,1451.76836963195,1877.81936723607,1261.83458076477,1458.68133976652,2722.74997314888,2430.92160650753,2590.11911538669,3484.03871028777,3321.41787492185,3311.87831291596,5149.40077333241,2315.70872490153,3578.85857679049,2155.88024868943,1457.13070418323,2203.97575757311,2045.83752401063,1957.92477073317,1843.50669203466,1337.99253874473,1746.01360236518,3926.99654961818,2512.67572907539,2516.03331068947,2935.76500157867,1765.28279983646,1988.3883050558,1829.50305725371,3382.82577533876,2691.96461339583,2766.38208562884,2828.27800397095,3098.38888281989,3115.86508429454,3087.53440359906,3044.13176860639,1459.85834528791,2022.54408737335,2685.64942072951,3433.5243094375,2181.58600286775,1365.74106013678,1469.90162848135,2971.02123623341,2453.16433590894,2513.33219189569,1551.71499618158,2815.93921982709,1779.3404870456
"CA-Na1",4898.45697804705,2403.09934770669,1900.02016747336,2107.06458989409,1217.89806340151,2455.12375242102,1542.66063843029,0,2070.86147846747,1618.06542350755,1604.57310591152,2102.96096282623,1854.99115113928,2911.8013504905,1293.52067064553,2618.10084791428,1702.73868184549,1694.02548750904,1179.03868947909,1206.74061699038,1392.05893920701,3620.24729555934,3862.03734525925,3899.88584618005,2838.17564401107,2651.86574650218,3057.69302882935,3524.3914038642,2257.19816894105,3393.25991873743,3982.27702090399,2517.08557355028,1844.24742187202,1752.61376838241,2065.12966403912,2689.10279600154,2340.50211705277,2559.88511000819,2592.14456728806,3123.52745745016,2552.13749333638,2828.23247419714,2552.94901459266,2577.59575350099,2718.25356665702,2694.57480515666,3501.89038399396,1828.84314995573,3405.7769575469,2302.29588020653,3633.81723173708,3328.25694990846,2864.8708100662,6263.76584055837,5278.52001646332,2690.31551245513,2151.33417896876,2832.52532059593,3188.34533592512,2802.27857502497,2609.09893253958,3285.91499084738,1486.99605672308,3138.45358901955,2879.2189393871,2804.3512786337,3511.15258793015,3579.47867530893,3878.94276816309,3593.00756326078,2849.06454218967,3352.53220598322,2858.89904393388,2292.81024343753,1901.58335803171,2343.03871784082,2549.49758728933,1998.84186290933,2252.29106124034,2665.48217543028,2589.30056474148,2347.04794544273,3465.85907814932,3074.81676670753,3366.78887339194,4621.2537393654,1832.88645489098,3670.93525259252,3164.52793080768,1954.23675393874,2626.20351370446,2440.79077701717,2422.63103578492,2223.65583474958,2168.01642236471,1996.1015247469,4832.08493558686,3425.39736820233,3316.78601153295,3737.65178881261,1954.77080696146,2322.66311512382,1785.75196394669,3570.00419067036,3476.59775891005,3630.08985455572,3597.66028269409,3985.58865884233,3826.50626253416,3812.41093498998,3673.84825908562,2100.2035050025,1492.88833706904,3485.41202295136,3440.16648366573,3091.05651944536,1216.12071464134,1173.4204334816,3905.91873058247,2436.22174248707,1982.02535206514,2248.30557448781,3006.72697662185,2460.28436108533
"CA-NS1",4841.38547176573,1562.30256060128,1335.22028826972,2671.95930749442,1946.35170029712,1904.38821718736,1732.34357078915,2070.86147846747,0,1058.71625597123,1233.29534876594,1111.81520820054,1517.32421981876,1965.90824633963,1168.2794205067,1441.55920975028,2156.73597681127,2724.81126856145,2085.36575450306,2062.93213957684,2155.28618780481,3954.85420901323,4178.10714800064,4122.68193269249,2786.34776621125,2998.45885974444,2899.50121468881,3664.98032208148,1975.62467881432,4165.50706222807,4237.22193574897,1986.56459060059,2090.90470311728,1872.12997735513,2045.16012174424,2418.81618086153,2702.97181914832,2373.30037468271,2286.05562630353,3242.94985717084,2564.10475930741,2576.95282790062,2825.29731480315,2921.19584096997,2710.07564100657,2832.53934910291,3590.20479145619,2970.18141935937,2867.01687448069,2530.09118171363,3701.85465513376,3405.48784607352,3060.51811869589,5703.58764732548,4725.61476825038,2524.3469084515,2083.27026689516,3441.71750950617,3395.47359898756,2626.1607291068,2489.12292078077,3239.61901417098,2144.03032212352,3466.07774704602,2506.09967542957,2449.62649715115,2854.84648142394,2823.39824436919,4176.85312000874,3859.19722710003,2522.09102910901,2779.40793939635,2631.14157777777,2615.45487125556,2304.98832493107,2508.74898178215,2832.82220776138,2196.60401109174,2518.13149617279,2404.47127266267,2695.01923602507,3141.71802977588,3823.84430908859,3533.73858225596,3237.95515559305,4444.07824006525,2368.77502150408,4221.25996112058,2123.13446505233,2364.13408434022,2474.82022848885,2032.96812388123,2145.08087776053,2344.78013175882,1862.59732848873,2224.0109602636,5063.50159499769,3666.99189608377,3438.84677488187,3828.27248584918,2280.46466218012,2208.94663413632,2698.0722755577,3047.32745072274,3836.8698858524,3972.75645058785,3962.34018045896,4190.02246775789,4174.92041933288,4131.21608905806,3932.98792981642,2535.68987607897,1651.76087255542,3627.9869716442,4025.0177589886,2235.18060084474,1949.79468081981,1899.1153843097,4095.67597667581,2910.79824529297,1714.39104934824,2541.64550279049,2813.49589674599,2275.41773420162
"CA-NS2",5399.41683849815,1615.83474689114,1186.32240994968,2431.06184247135,1844.6970475411,2149.47052657566,1268.86554752997,1618.06542350755,1058.71625597123,0,523.072092178452,993.778348174856,890.934364998417,2382.65165711698,803.255003938527,1710.49490326104,1927.73141789107,2481.94503177229,1870.76613209646,1950.49102880577,2086.43260852645,3616.5182528182,3808.64489930904,3692.88912889097,2729.94642123526,2685.53864619752,3069.52845739959,3391.9807282544,2345.86214055103,4092.30003565025,4306.52278349626,2535.77226522822,1427.3575299972,1466.07440075679,1627.83801696977,2753.97256992397,2573.76656410992,2657.64449315161,2660.7769280784,3495.46695721516,2007.60472216299,2719.77318054292,2712.31177676873,2743.987265697,2702.03990577277,2710.92441611888,3315.77202202452,2622.71855953105,3514.01716102894,2276.50318279183,3689.14409258456,3540.13681522994,3390.8460436248,6306.17199511976,5335.20269737131,2592.61827613457,1856.04394532936,3288.58994433465,3427.91891098967,2750.51382663549,2414.93515895323,3305.20176120891,2103.31562354166,3075.92693455192,3052.37532597952,3081.02620200583,2508.36831963289,2550.49886320448,3764.07668196149,3486.45489335441,2969.53337153705,3489.31647267719,3176.09636292075,2398.72112144124,2318.17847213688,2322.32279395717,2611.74118216424,2039.78123625706,2298.9061685369,2989.33611176133,2770.30671851242,2981.66938934793,3941.20243926254,3655.10195419436,3746.27985578626,5207.805845922,2374.18136502313,4074.87738221158,2197.18556473407,2179.20182011354,2662.00070159926,2478.04211209788,2411.62288760611,2231.98898438504,1352.39435907802,2277.16755703445,4671.80421325727,3365.27433716452,3257.65741902967,3601.08938054448,2189.22259268043,2306.31464693648,2369.44294033964,3766.99294830867,3467.03087681845,3576.33952453385,3589.84160275301,3853.55153831918,3884.74585374858,3753.72113235068,3724.86355825641,2192.5271243243,1841.5489937785,3607.60371336061,4091.89297784489,2102.85494208146,1714.31165762501,1754.98029246076,3985.49210319609,2903.53280029721,2331.5385954882,2195.17574840681,3223.02968449243,2337.38753303893
