"","BR-Sa3","CA-ARB","CA-ARF","CA-Ca1","CA-Cbo","CA-Let","CA-LP1","CA-MA1","CA-Na1","CA-NS1","CA-NS2","CA-NS3","CA-NS4","CA-NS6","CA-NS7","CA-Qcu","CA-Qfo","CA-SCC","CA-SF1","CA-SF2","CA-SF3","CA-TP1","CA-TP2","CA-TP3","CA-TP4","CA-TPD","MX-EMg","MX-Lpa","US-ADR","US-AR1","US-AR2","US-ARM","US-Aud","US-Bar","US-Bi1","US-Bi2","US-Bkg","US-Blk","US-Bn1","US-Bn2","US-Bn3","US-Bo1","US-Bo2","US-Br1","US-Br3","US-BRG","US-BZB","US-CaV","US-CF1","US-CF2","US-CF3","US-CF4","US-ChR","US-Cop","US-CPk","US-CRT","US-Ctn","US-Dia","US-Dk1","US-Dk2","US-Elm","US-Esm","US-Fcr","US-Fmf","US-FPe","US-FR2","US-FR3","US-Fuf","US-Fwf","US-GLE","US-HBK","US-Hn2","US-IB1","US-IB2","US-ICs","US-Ivo","US-Jo1","US-Jo2","US-KFS","US-KLS","US-Kon","US-KUT","US-Me2","US-Me3","US-Me4","US-Me5","US-Me6","US-MOz","US-MRf","US-MtB","US-NC1","US-NC2","US-NC3","US-NC4","US-Oho","US-ONA","US-Prr","US-Rms","US-Ro1","US-Ro4","US-Ro5","US-Ro6","US-Rpf","US-Rwf","US-SCd","US-SCg","US-SCs","US-SCw","US-SdH","US-SFP","US-Slt","US-Snd","US-Snf","US-SO2","US-SO3","US-SO4","US-SRC","US-SRG","US-SRM","US-SRS","US-Sta","US-Syv","US-Ton","US-Tw3","US-Uaf","US-UMB","US-UMd","US-Var","US-WBW","US-WCr","US-Wdn","US-Wlr","US-Wrc","US-xAB","US-xBL","US-xBR","US-xCL","US-xDC","US-xGR","US-xJE","US-xJR","US-xKA","US-xKZ","US-xMB","US-xML","US-xNG","US-xRN","US-xSE","US-xSJ","US-xSR","US-xST","US-xTA","US-xTE","US-xTR","US-xUK","US-xUN"
"BR-Sa3",0,2720.90789899544,2673.26749707128,2236.02163674765,2341.16537727409,1704.33438471793,2677.19742067704,2253.98442548649,2668.51630539163,2255.81964713258,2922.86691428763,3001.21404224271,2728.11944697622,2706.62193566353,2981.37324866401,2328.08310320139,2660.69710463711,2213.81700270568,2425.10049317109,2737.09708458725,2554.72092025512,2292.72130535205,2361.47768235378,2375.05088198914,2318.90722188034,2206.3722280359,2038.1486888406,1919.91170578957,2598.60760227555,1650.19156016594,2158.25466623075,1384.3811708955,2157.57290576007,1680.63960880071,1643.40642759318,1667.38257326842,1705.69098137911,2216.17968246226,3118.53102007945,2764.88652513654,2808.45322406318,1432.22258280168,1921.15275141775,1763.4120399429,1654.90027713121,1450.29955565399,3021.11199632957,1852.28863879996,2013.36218117809,2129.69098473981,1869.51378776808,2026.66730512506,1229.28068189978,2412.82033577796,2557.28071346021,1892.97299128143,2120.13855860115,1954.48581734994,1336.71673909264,1227.40579351348,2536.61360137181,1715.19971358267,2861.70817483379,1707.27443952615,2267.41040308779,1624.69890637967,1273.82881926686,1673.18255756304,1849.0749542701,2275.46838753385,2234.96097065325,2614.74298363185,1464.59943674814,1586.12622933857,3560.75312302163,3575.70020420748,2542.28456890402,2285.14311098143,1207.96720725118,1253.31632285431,1125.11867974025,2057.95493889669,2042.21061852333,2316.66202355536,2206.22983233247,2279.8316289089,2402.13366368233,1125.89661159457,1764.82083296801,2240.81666939061,1298.15571185864,1252.93462721972,1044.35915922191,2641.00891783703,1887.97884952189,1395.59141649723,3047.25816997889,2391.74072237289,1664.86541060206,1763.80643660102,1879.30559398357,2035.78338380838,2699.90163214431,2026.72276499899,2874.87709809736,1789.07288592297,1603.19626417426,2264.03597699289,1950.99816628675,1905.86544726914,2173.63758606906,1192.90638236287,1221.90629533738,2481.21511412944,2449.07390189785,2464.5703118159,2287.31638061402,2231.26357661189,2389.07706980255,2142.8368718056,2384.05702064023,2075.96064503187,1648.25499725417,1447.25488754362,3215.79244423972,2496.32180143137,2476.14328126887,1986.54894220483,1437.88210425408,1803.76776522338,2488.70939867771,1390.66513825805,1799.66905646764,1736.51005125142,1538.49939169363,1995.50420767038,974.850029462365,1980.0127946062,1441.86675665684,994.110983874645,2274.10124364997,1492.00877831126,1314.11643952851,2455.06704673952,1460.64345522765,2209.86649751744,1508.46716277064,1201.33499455392,2232.78940942624,2539.73316761366,1817.0830492939,1406.57521850644,1994.22532776378,2163.77998318828,1137.85502781261,2049.1677800545
"CA-ARB",2720.90789899544,0,652.743446939035,1578.4642497746,1452.31489157118,1397.24751096896,1380.69947267728,1063.87709594624,1219.35065601405,749.799740668693,908.527253247781,992.945118735154,775.629556292824,720.079190811982,1042.67875920645,955.319994630616,921.441235325878,899.48539183378,830.769558742923,1088.62360050907,1001.96637523256,1562.70805547079,1526.1815465258,1589.09556852358,1609.35753407195,1665.713248742,2869.77075873089,3255.72158942308,3162.73832172326,2135.94931952893,2396.00063797105,2008.9342233096,2839.73814654304,1358.94748396722,2294.28953747758,2571.11882185029,1108.7513412298,1499.76675624856,1357.26546042028,1133.37154278582,1170.67042652047,1516.98888003733,1823.71263289973,1228.39189112147,1230.67446805238,1653.66418699574,1220.85674331787,1620.58734562677,1976.34302872104,2045.17006635318,1759.98247286341,1779.05781203176,2026.90186342414,2636.81241730941,1505.92604124606,1409.53282026881,1843.55624898175,2772.08194007514,2101.63207312568,2106.60189128007,4069.16068907655,3223.88577803548,721.871035798752,1936.43090205171,1373.72675682046,2683.87750178652,2656.01426319856,1899.78780776086,1880.88542452537,1092.48500125479,1342.32043165999,2342.47272359742,1371.67526863811,1394.37841359224,1131.36045518374,871.407802932661,3345.62461023301,3144.90891189259,1806.219618238,1636.9945154015,1823.58830353939,1375.07781094789,1678.58744074415,1783.43597177603,1754.70056947446,1713.72674232161,1820.32903590492,1827.43947970501,1542.71098958697,2230.50650001653,2009.65728444669,2015.26236389797,1855.57052658182,3185.50642160869,1540.56884938498,2436.0196012292,863.007177861785,1696.98257911867,1367.09006086334,1156.24978192177,1118.32306860059,1178.9994066288,947.717103634858,1683.59029368509,4218.1859185668,2455.01014102829,2393.53561820967,3196.23788496248,1630.41074271285,1153.36575949195,1925.47575549294,1768.81757845597,2154.70701751341,2920.09905674626,2986.20952242071,2926.4038477765,3399.29986842518,3360.05929324239,3469.29011459601,3356.14035453716,1602.97059762163,1153.88886240259,2714.6057392253,2368.0345842756,940.262741928119,1526.47518977885,1502.39762701354,2665.30943165463,2022.97475164494,1137.30256347227,1522.18620384733,2064.9712341169,1500.61996121777,1450.61763315342,1873.68306391342,1351.99058393666,2215.78916787799,1172.58754418737,1859.24253804544,2359.30350440235,3069.18692538706,1788.89108392909,1756.68229861625,2539.29016735675,1459.88721668046,1467.47228878525,2068.07492195554,1840.07091290217,3041.49541527315,3706.78471214297,1190.30859565816,2309.91089630377,1967.39849571933,1241.61534858786,1792.19196234713,1085.0670276884
"CA-ARF",2673.26749707128,652.743446939035,0,1361.21463105779,1147.8770067841,1081.50651334462,1050.99225177932,819.733404663244,882.95898556469,686.185044757099,568.180597891881,620.881755180885,630.131926291889,479.661275161413,617.271453404269,1158.67731458019,655.124691282928,757.097159856558,674.443897524808,778.850247529529,664.150631295003,1268.62720402318,1246.17927526283,1263.6716571777,1294.52569938242,1347.87194739572,2529.48177357381,2879.62474641591,2560.18213023812,1669.64519058256,1891.70458367845,1618.92294832644,2333.22964911316,1111.61883190924,1975.39513823039,2211.73536557995,1143.52533794462,1146.10074040883,968.343134253337,783.938454401658,808.744229713021,1332.42125636178,1441.64821464082,1002.45264688723,1046.32587707046,1466.94510483183,898.832223843617,1398.3202469527,1743.88400111205,1728.88078721505,1475.7032126509,1500.79435998159,1657.98465411615,2075.99203685605,1177.02399637943,1879.26250173714,1356.92375394203,2228.59539605983,1834.30742658323,1834.41680650421,4454.41245834353,3648.08350222295,784.288734607366,1548.33697149742,1007.57950478758,2321.48935335704,2251.76839995225,1504.14379214993,1543.44027630719,897.428405202895,1073.82939618479,1948.65006573918,1349.21082544377,1514.30469774563,1295.35874234593,1198.36480102114,2716.89445843062,2589.21889628311,1531.91822292106,1711.63790235453,1550.81611376178,953.389663159996,1439.24868373843,1508.62245880687,1468.77362598603,1425.39625073826,1509.83679857162,1616.12600903298,1337.46063426451,1882.66843741775,1685.35666665409,1706.69705572031,1792.7428920081,3569.45048251144,1220.44249945328,2330.34896908659,1223.84521268703,1362.39407792192,1134.79511787133,980.064420261347,853.613849608059,758.836933368373,664.431605579025,1377.99759902246,3827.70525862653,2151.31681853789,2101.12519099655,2723.09793830989,1231.49241346425,917.390119140228,1557.17070529559,1985.39120410143,1913.94791366058,2444.70007582782,2495.82544933827,2453.36927100248,2855.24812705298,2945.52884149551,3014.23535850454,2853.05835650213,1223.05499366151,848.943075635327,2235.0446051152,1921.14456151878,1080.20211488285,1181.40307511851,1178.68376871686,2271.65296472963,1634.70738406136,1084.38291915815,1217.32705633517,1857.46152002197,1268.19513346329,1226.99766517158,1492.6237601702,1075.07626551581,1908.80393586355,956.547590277106,1550.30313338159,2107.46909146807,2451.06320949876,1505.03813939305,1453.72314480147,2035.6113899393,1495.03524043779,1181.757482013,1709.11114561998,1587.78937836568,2531.22021880052,3212.76284086224,985.681481303674,1975.73212387743,1648.43743912899,961.200165626692,1608.2009706675,947.537782638599
"CA-Ca1",2236.02163674765,1578.4642497746,1361.21463105779,0,471.830921357729,902.310159650842,626.054619678161,878.380299080456,680.048682601828,1307.12252470918,1111.42567709499,1105.70069879452,1386.3540941927,1434.52826233092,1092.97703330827,1635.65693364914,767.789567971648,1251.25935265604,1180.46479227026,862.064112828505,908.598289255001,544.930622002008,536.551679751492,603.196338906618,577.368191768459,530.275247725307,1711.98776740923,2140.19088829464,1846.87695638332,1102.28211061003,1173.12149084983,1217.05423607414,1512.37746396389,1027.26674347841,965.306405172396,1421.23969429006,1217.68533074568,771.343915334407,1032.93961358258,896.606552544732,899.654760314294,1046.60812172996,741.76073062974,1093.85341482481,1110.75927778471,1008.82384486899,1055.05289352174,1031.24105663627,724.499393971387,780.154265103099,829.720416123918,720.133990029891,1181.88430669466,1434.24026060951,889.411026612467,1765.3969086635,877.53193435522,1243.06095654067,1345.71575288555,1412.28225772878,4195.23071382291,3335.49226314554,1498.49856463008,1191.93214564716,904.704315502231,1340.41075584328,1508.04896619236,1176.83458188616,966.130757346201,980.768182809466,501.620694296668,1264.92857982365,1191.96968178569,1383.53728578318,1963.36729683569,2118.72200354644,1989.43136989145,1707.87058611504,1383.09991918493,1680.4407096511,1368.54939976067,914.974623276895,555.755549670458,672.75128435048,518.397543677761,566.221207957504,801.478892308222,1410.72357680983,722.982968705976,1053.89643483454,1144.52420437161,1139.27856895391,1441.28039390909,3325.05486934227,649.780436178394,1708.86818093896,1752.6290610117,781.710788024959,956.359993374958,1024.80273819627,1013.6314473731,913.374962799989,990.649736380607,714.106500901048,3106.38940792654,1190.87093427062,1089.75069137018,1769.80545850066,805.249539252435,1011.06353455615,870.785657584547,1666.32770644822,1442.36337306954,1782.15604944709,1822.49445943559,1767.7583913225,1899.4073807522,1871.61453572088,2141.07562429247,1861.29738034668,854.670275840149,674.572129359595,1272.71722489031,1139.04927261662,1849.64624860875,681.842365659883,627.168897165213,1126.96575097456,907.874556745302,1027.6429862383,946.40690798091,1533.44332432767,577.80434371544,658.71486294162,861.536517215293,652.875168355178,1604.20361066272,878.854995468165,889.890829950391,1540.95813180098,1620.26344983458,1033.92718995673,1129.86519203766,1385.83209712834,1126.13966958948,659.640960660921,843.632315867377,1135.1601339684,1562.91223638187,2371.44957617946,940.006729228749,1024.11215072353,803.368885597198,644.771945008627,1365.59558205757,762.395465144609
"CA-Cbo",2341.16537727409,1452.31489157118,1147.8770067841,471.830921357729,0,838.686865205874,440.79369544385,720.005187033139,447.007665328768,1099.91870345607,886.88766151904,852.352217651099,1158.65742513656,1200.15629722688,835.949717043234,1674.90718041588,585.866146011036,1237.72661660428,1024.10730708769,631.871290927686,680.07546367431,214.725627212355,238.279020158713,287.591540276076,260.719651480782,272.330885529856,1571.30186016936,1996.4463077722,1698.50754637137,1064.73873948889,912.835609259325,1240.43719699924,1299.86995260985,897.413298328442,1034.45298450745,1479.1983887367,1082.05681392702,528.921660771843,804.976437190693,640.175483404276,646.682504001952,1049.46307721537,523.803630900427,817.374975739404,845.011936725734,1077.76415207353,841.897318408087,1071.72730223042,780.190268887114,766.468758361622,908.727306903048,756.036945556872,1247.93337623019,1128.29036698627,588.891275900939,1733.2766509969,613.323885316197,1379.55603506579,1417.29463623588,1477.24284029205,4283.48548675974,3421.17115037998,1321.08005082538,1143.03067993226,573.415180115255,1335.42482934616,1561.25959751107,1152.21376162684,900.903474355689,885.254260816901,338.34591526615,1095.34021696161,1092.60356171861,1293.12242440063,1789.72917460954,2025.79047387274,1796.92054919149,1567.26049969412,1378.22954047692,1665.0377655431,1352.1813385572,600.288196362794,621.811495098751,514.122321698739,522.393461207724,444.348145730274,557.993924961114,1438.13591740137,999.302669906897,956.895455992699,1220.66892242186,1207.47322405729,1527.27806091678,3395.98253720212,495.808932588063,1679.41807854337,1559.92518645937,634.385281235245,836.423827832441,841.883932909016,751.812980208411,632.089151878422,812.708661833459,712.184095508065,2936.64944283868,1092.91828212967,1147.15364677681,1647.59077097344,584.177537062648,727.939977613899,629.049346381581,1729.96587214681,1499.52845328682,1638.87191342792,1690.40413374657,1649.27482147444,1782.11196557214,1769.41620893651,2016.84375481563,1756.65673237921,529.601084596743,592.795978730741,1384.34858245421,1206.9087551013,1684.01231096054,285.834049200381,236.878619812596,1234.81423531041,976.975892929262,1008.50160004349,611.006382211721,1562.63407748189,752.087266274641,882.627111320813,902.168563750793,446.963451381626,1702.07953605223,758.030648311061,977.124024065297,1602.11924028167,1435.1251494384,1003.73273390036,1111.1658322144,1098.08685852624,1230.39369586827,472.447216104113,918.544959415355,1224.97186018501,1488.40642987513,2243.35519877597,831.099227962157,1087.01995199213,874.886543704875,464.115232186556,1377.17918931139,661.855848544712
"CA-Let",1704.33438471793,1397.24751096896,1081.50651334462,902.310159650842,838.686865205874,0,1104.85380635046,780.983183174632,1125.54054430082,887.358655731702,1243.50664501015,1316.65840656445,1284.88762037521,1176.35791621442,1319.43260540557,1323.12311111476,1054.76891861742,823.810110113397,950.382605039212,1097.22073201181,887.529020279029,896.200201725781,968.470552905863,998.801912565798,954.824391619054,910.504682431713,1973.73647921605,2382.5854625836,2077.47896953439,919.71501162098,1415.69268778727,771.584232160781,1720.2874211979,557.531512240461,1080.20470692506,1344.6728698544,668.445242897637,805.58423880116,1506.38228073604,1029.94867025676,1146.18156303477,599.990736104027,919.343028278002,667.948254677833,608.447725507568,702.860539696694,1417.87298041307,795.882106349312,916.31557732273,993.848112114117,741.987142590613,815.261941380607,811.629006291441,1499.80211006932,1092.52545650844,1240.90011355467,879.996328022602,1332.37050644855,981.708426178954,966.696996570636,3655.02977613284,2801.15348667295,1376.10138444214,768.460559622348,749.607386302755,1580.81584942376,1329.30303615672,774.731851905646,766.828236619673,768.464656052069,725.001517380995,1575.08458103107,638.858571586674,834.087595502784,1979.06067646701,2052.07201273799,2188.78001179131,1957.25259178921,747.486558708559,989.146029537582,732.16101548976,741.944435324037,720.267733006255,856.410019412126,791.015404015139,800.382520349839,937.286519289247,770.024077472252,716.593140027884,1424.77514253993,818.168192543902,802.538254946826,976.255911943393,2802.04150780004,629.87682000971,1781.7157042108,1664.18106279907,909.98967228764,613.643677474668,568.408970058497,627.527357355566,642.65308683892,1019.63808297946,679.268919460203,3155.49627072148,1560.19374057294,1295.09310418657,1963.25049602927,638.653415113155,672.046298750807,1114.10535325293,1069.51869837231,956.290191386613,2034.90385468784,2078.68517986192,2040.23008223938,2167.36775115897,2156.15768513834,2391.36141801172,2091.9526586583,902.881259817546,558.741244521782,1272.38593141055,1026.34308877319,1739.2071637626,1007.56430708745,972.635855725539,1407.12924499983,843.632156288929,718.575933686634,965.030831957001,957.247068131293,562.870941484626,605.065436942995,693.271496085274,568.426783685736,973.590057844623,626.878513204048,807.112754995303,1200.6713919605,1771.68746818236,729.03373293572,684.399768955098,1485.25518904937,805.995898105936,795.581510440122,936.573636126033,765.437973666205,1841.47162982117,2568.17061748848,561.455541227014,1171.75931026646,971.559812885032,656.819245905388,804.532415647171,658.300245728526
"CA-LP1",2677.19742067704,1380.69947267728,1050.99225177932,626.054619678161,440.79369544385,1104.85380635046,0,967.19888496442,395.965096369249,1176.51833401657,713.622358351562,683.497789215594,1028.03606527772,1051.65417959094,659.01400690459,1720.06677969712,562.519215173481,1251.64472359266,936.493931060415,526.016353124543,557.64009915218,511.537052302796,475.139166635781,416.035071610536,486.385085409883,610.524095381956,1623.12036845146,1961.18454043561,1462.48087753479,1372.8506127956,886.74420676967,1568.58379435397,1327.24811568014,1271.48056345677,1317.62356050421,1793.72956631499,1404.68439902743,584.517673259222,465.309694218203,470.037601376585,494.478125065805,1417.10709488747,814.917538873685,1090.54500994677,1169.57068338683,1431.11700834329,598.947196239128,1415.57504914176,959.362217549198,880.138812529304,1114.55203187197,958.729913938499,1597.31458124401,1137.06270236269,469.722864133958,2097.04058136392,760.198026017036,1503.35100855477,1798.39824273829,1858.39033606495,4632.80608534471,3780.27798110195,1108.19064355455,1374.40935472592,714.311997178463,1488.00633600933,1810.17704006588,1417.42657064315,1164.28290856528,1006.4326355774,613.905502693334,953.134501250025,1464.29632441868,1654.82307958831,1569.03343533171,1790.25406425979,1588.5306971426,1367.11700889866,1698.10181784829,2002.65516667278,1706.77444822518,782.834026917973,861.723685436443,693.077655082978,666.454907516595,574.481578061616,627.369365730682,1796.51480654496,1245.6447816932,978.01745954865,1584.49804954774,1575.91403669025,1892.73412347693,3769.77345498151,842.23471318418,1889.20940943045,1498.20660775283,704.260741150566,1168.84217066437,1163.71211924872,1010.64063518833,817.618756696266,666.051216499357,943.632488463218,2757.93687379378,1358.20304406024,1517.90106840858,1533.63277937755,852.134535311901,978.783898863705,592.962931791217,2101.22575751408,1870.85453826705,1584.25698058288,1603.21035252591,1576.55585436506,1669.64261501811,1773.93877416022,1824.4529769439,1872.44865628967,562.100006726789,804.813068258459,1636.05479512944,1569.9654094456,1440.69634045723,349.180286698295,365.581158849195,1445.12088016416,1341.02009683296,1260.39135022935,694.383399035133,1937.34212089864,1029.89358752746,1127.83091930696,1269.59926884436,735.252996087365,2035.58251606876,1024.53783232415,1334.7985408952,1969.67717613162,1409.79142406502,1351.69480033677,1451.07894132342,1028.45515438912,1577.84102117448,740.859643406425,1261.68971144452,1586.21771179179,1447.15276185025,2020.32641408781,1062.01630955016,1440.32571142825,1059.05205758314,700.144741950485,1734.50627061514,847.77430064608
"CA-MA1",2253.98442548649,1063.87709594624,819.733404663244,878.380299080456,720.005187033139,780.983183174632,967.19888496442,0,821.507409319237,705.573383770128,829.357373879711,881.573786593388,878.375037667856,938.358089968753,900.7304017085,1140.01159309005,666.915553171061,802.299619065292,691.333805318094,720.721582341321,670.552449352422,801.157368273085,824.295265843125,901.107534263409,872.798440448648,871.141533303171,2184.80754975209,2649.84918542645,2400.82550831291,1196.28465113081,1555.7834171129,1149.46447077932,1979.38558587411,772.76825923038,1357.58565415899,1731.50143827655,776.670975477976,900.016821949631,1121.70791726216,911.418842685149,918.169628926123,845.470617721018,1020.27820419241,725.493959692513,781.399424161883,967.639628180074,1003.53796689698,943.817375963825,1176.46761580328,1265.35954632544,1054.21665202503,1047.69519661657,1163.84592194979,1759.38412890392,1073.65108775548,1579.5450572135,1072.51892227737,1735.69940798132,1341.38804851447,1355.23103385237,4123.45244227544,3245.30004049071,961.119664773893,1257.46863235833,734.375448145249,1832.2005239113,1729.25766490364,1277.97155800548,1126.52027387975,766.333790872059,634.502524515444,1753.39690708049,917.778817530734,1107.93175852924,1414.43828586706,1548.65155419087,2540.10254788854,2318.3254670395,1206.71722587326,1440.41503865834,1165.25760545032,795.026739920394,942.513937904004,1022.42562244774,1008.59306686027,969.264203058415,1133.19352262978,1242.3865779227,898.377190837443,1545.8843887958,1219.28314244052,1187.156519889,1378.417483948,3243.48064805857,754.86897333334,2003.90136041906,1254.19469630221,1068.87595786004,727.498672201229,662.438489667642,687.660073616344,670.091632266918,770.097140501141,996.467144870742,3598.4768549076,1650.79692519601,1486.07555645859,2370.50547626578,875.394341179606,682.573911614536,1259.72452918696,1557.40013626866,1399.02484981856,2302.05996228824,2359.44837756643,2296.67528465697,2528.94182379039,2520.80259568118,2763.03698349884,2449.60946566336,1000.93874091139,496.296933998479,1740.71182718041,1399.64151992216,1344.76763907405,897.488320097341,843.57723722797,1686.51522240182,1070.77714819996,741.501944254974,995.436447463661,1426.67353231766,756.906023294266,815.960804514826,1037.0852394087,644.922892477323,1514.92838971935,568.021462943123,1010.42492947066,1565.62139685099,2105.94022110174,1023.30135206209,1003.47777041381,1714.21074133892,1098.4505434879,754.593447313362,1162.24623877415,1097.65325813559,2187.38766766239,2985.35919938837,658.842885332682,1426.86342561191,1179.38516016359,585.878420969072,1245.98078557859,589.580301166541
"CA-Na1",2668.51630539163,1219.35065601405,882.95898556469,680.048682601828,447.007665328768,1125.54054430082,395.965096369249,821.507409319237,0,1135.57382068049,582.905982477376,524.629110435719,889.139534235757,934.531114609068,525.62856785492,1649.13201864067,450.810378547726,1296.84698891196,888.464958813184,493.616266689235,534.582460434208,522.957296061728,486.764327876025,482.600198550819,510.037923230519,599.791503675829,1792.33476308973,2095.58942923713,1722.4052204328,1362.64798858414,1042.94527415233,1563.59368126527,1512.96973367852,1205.08594699212,1377.90875631426,1801.71697592396,1307.12946985276,618.075236290447,518.905961859956,524.379113353886,558.877238130576,1369.76315273051,853.567602911629,1006.68903312127,1105.44317085897,1407.88824590988,612.782757952539,1313.9901331738,1109.66622932186,1062.05052284797,1204.21398034912,1051.70105567075,1588.3098737015,1300.81565469165,567.099114552181,2084.42108346315,798.000396779219,1654.82102174491,1739.99539483989,1808.67897062002,4604.92287404198,3730.83228987551,1095.6566186675,1425.40085972352,696.818523102951,1553.07438991877,1839.47510811704,1448.64834168131,1201.2942128769,936.054496651077,568.342183718309,1157.81103824644,1428.94966081215,1631.47282634503,1483.52867617572,1645.06152797575,1835.8512359506,1667.82423896739,1709.88567606216,2001.26997760781,1697.73131589818,741.30466451834,879.955652109442,814.394616391101,793.287269513482,734.23591424743,798.047202373591,1794.58562804603,1222.92689034711,1140.91481186671,1538.92350253326,1538.9011726143,1837.68820869535,3749.55117821874,841.313339542376,1870.7201306877,1517.07905410762,765.057630463064,1092.14206184492,1095.12227807158,918.690765209528,704.021232245624,636.010272593471,947.767720905234,2989.42810378436,1364.44755490594,1484.78750978753,1840.3273036628,858.817070369486,890.494536184925,744.665266958011,2082.39585903103,1851.49584158785,1704.75427851734,1737.25241711808,1708.5834098569,1917.12366690719,2030.51050094937,2110.04765520975,2006.88241264038,626.671822648714,740.078021625333,1721.981578496,1546.67892845132,1388.21662695512,439.33366676141,433.376972630195,1563.93147800834,1305.96363458205,1144.74604575806,701.200664995543,1906.6847746596,1047.78682447536,1121.30368952644,1246.07159992823,755.321669816439,2040.94178797071,908.88746970525,1332.06217162754,1943.2074135548,1608.17944799045,1332.44743927561,1441.29338487017,1250.36456796802,1515.69296708823,675.176146109915,1265.4517255139,1576.47623104988,1655.77098534061,2284.06077018478,1020.21002985031,1440.85250696302,1106.05542303102,658.268640546545,1727.13206979794,802.975875431492
"CA-NS1",2255.81964713258,749.799740668693,686.185044757099,1307.12252470918,1099.91870345607,887.358655731702,1176.51833401657,705.573383770128,1135.57382068049,0,821.394750296423,901.793442056639,540.780584176535,568.648646579424,875.382829630966,945.923617350117,814.117895050143,555.425328724119,531.727657873142,902.087158294791,787.354713063743,1230.63089017502,1235.95846911745,1320.35932033288,1309.1963340772,1315.99054199218,2587.61417034716,3005.37829818507,2683.87192332762,1628.74997744936,1971.81531417298,1479.6459302866,2385.64902476381,978.311302498581,1920.91825334841,2166.13459480868,717.261912291289,1247.01046987287,1252.56614003177,934.443732473587,950.083463503657,1019.39798440778,1372.17179970927,807.431921019785,763.642829086076,1226.75898826384,1173.38956669195,1308.60758959758,1603.46096934789,1650.17102496477,1398.33253347732,1434.7306893667,1502.5137723985,2020.18602629365,1342.23994835809,1511.2096258217,1462.79004278359,2140.14045845062,1706.13607639371,1664.25515409548,4093.04738426832,3235.85285037287,685.618887697623,1483.00084848412,1046.43986430309,2287.07562337136,2186.55691918704,1412.54837970225,1521.76818621316,915.704643082864,1026.29538194559,2037.16340842478,896.791899221251,1076.50460065052,1289.7482725927,1121.65173185987,2870.49154333903,2657.95079924683,1216.34966742255,1238.1131966756,1219.54525549128,1039.22499356682,1367.29748042597,1400.57893691561,1384.36355506523,1332.68338066411,1466.23562143894,1272.19273690166,1273.80234459403,1960.05391740951,1572.96999850783,1571.43150738545,1395.94256033965,3212.88508415077,1149.09733015452,2242.17901307648,980.15994165617,1383.66275206506,950.582250518682,659.491339623616,702.705229252494,887.04138106225,815.840145392188,1320.60087425956,3857.82874786002,2183.68241962398,2087.81528760789,2656.83636674332,1236.81123167395,794.827375081451,1660.46756510197,1482.49593573935,1728.42536543516,2667.636604741,2726.7453527449,2679.71776895322,2899.36525197042,2895.094280208,3116.02401688899,2825.58742118181,1330.89786969594,771.508913957777,2174.47845070867,1890.59810182525,1053.81393634846,1255.79199365267,1209.54220693972,2225.89639700708,1586.41828814302,738.698243430099,1292.13399777014,1570.35163336993,1144.04417204388,1123.59500242301,1433.50122111179,946.533901119006,1579.37690042482,845.985360898024,1477.60673650375,1908.06021923627,2432.33183507207,1337.26413611231,1239.95114495614,2005.93188698876,1067.09047838081,1121.06793011157,1643.6842649822,1370.70983319271,2436.81989344787,3289.51604340007,788.407997330669,1895.77511853126,1666.56332528205,867.896310701604,1225.27692190019,791.530734250798
