"","BR-Sa3","CA-ARB","CA-ARF","CA-Ca1","CA-Ca2","CA-Cbo","CA-Let","CA-LP1","CA-MA1","CA-Na1","CA-NS1","CA-NS2","CA-NS3","CA-NS4","CA-NS6","CA-NS7","CA-Qcu","CA-Qfo","CA-SCC","CA-SF1","CA-SF2","CA-SF3","CA-TP1","CA-TP2","CA-TP3","CA-TP4","CA-TPD","MX-EMg","MX-Lpa","US-ADR","US-AR1","US-AR2","US-ARM","US-Aud","US-Bar","US-Bi1","US-Bi2","US-Bkg","US-Blk","US-Bn1","US-Bn2","US-Bn3","US-Bo1","US-Bo2","US-Br1","US-Br3","US-BRG","US-BZB","US-CaV","US-CF1","US-CF2","US-CF3","US-CF4","US-ChR","US-Cop","US-CPk","US-CRT","US-Ctn","US-Dia","US-Dk1","US-Dk2","US-Elm","US-Esm","US-Fcr","US-Fmf","US-FPe","US-FR2","US-FR3","US-Fuf","US-Fwf","US-GLE","US-HBK","US-Hn2","US-IB1","US-IB2","US-ICs","US-Ivo","US-Jo1","US-Jo2","US-KFS","US-KLS","US-Kon","US-KUT","US-Me2","US-Me3","US-Me4","US-Me5","US-Me6","US-MOz","US-MRf","US-MtB","US-NC1","US-NC2","US-NC3","US-NC4","US-Oho","US-ONA","US-Prr","US-Rms","US-Ro1","US-Ro4","US-Ro5","US-Ro6","US-Rpf","US-Rwf","US-SCd","US-SCg","US-SCs","US-SCw","US-SdH","US-SFP","US-Slt","US-Snd","US-Snf","US-SO2","US-SO3","US-SO4","US-SRC","US-SRG","US-SRM","US-SRS","US-Sta","US-Syv","US-Ton","US-Tw3","US-Uaf","US-UMB","US-UMd","US-Var","US-WBW","US-WCr","US-Wdn","US-Wlr","US-Wrc","US-xAB","US-xBL","US-xBR","US-xCL","US-xDC","US-xGR","US-xJE","US-xJR","US-xKA","US-xKZ","US-xMB","US-xML","US-xNG","US-xRN","US-xSE","US-xSJ","US-xSR","US-xST","US-xTA","US-xTE","US-xTR","US-xUK","US-xUN"
"BR-Sa3",0,9845.89787624998,9828.37034750002,12065.60525,6386.08925,18363.80241675,3426.26983333333,23785.6384200002,8049.08650000008,19692.8265000001,4701.68750000002,17301.8317499999,17582.8812499998,8998.73500000007,11112.88875,20165.7140000001,6662.62950000012,16047.0275000002,3159.6065,6215.97199999999,16679.011,10663.9745,19245.4673749999,18718.0422000001,22358.3044,20856.5605,17715.1265,24991.9967472999,27882.9109999997,29818.9651918085,9577.63749999999,23906.5195,5794.45031666666,21915.418,2057.55770833333,6130.69024950001,8443.02749900004,1699.9265,14934.004,28332.0690000003,10919.675,12220.755,2244.464,16689.9295,5499.80000000001,4581.91250000002,3759.40745833331,15374.91135,3903.37149999999,7313.80345324998,12461.2742288999,6577.52212166668,8507.97809250007,2988.40250000001,21021.3015000002,22818.9850000001,10992.810495,15124.1544999999,9407.654,2751.237,2841.2945,59459.5475000012,22309.271,9430.50491850004,4489.23199999999,10791.7155,16708.8035,7556.37699999997,4140.912,6636.86700000005,6541.79879850004,13697.3765,26690.1860770826,1811.52349999999,3936.07349999999,14918.3498499998,13053.3845627499,29759.0663055554,25363.0765,1799.873909135,2165.2948875,1002.94377653,11484.9125000001,8331.62899999996,17202.5799999998,14218.701,16772.5455000001,20706.6594204167,1297.7226575,2226.14849999999,22395.3598333332,2388.32065,2756.92699999998,985.609400000001,49297.6234999994,12673.9513695238,10872.5263990001,20410.2630594999,13403.043237255,1124.70426,3832.14162000001,5289.82700000003,9134.02450000004,13250.5742439999,7327.32573548252,29120.3565000001,18467.2015000001,11239.4315000001,22795.8764999999,12404.4715,5575.35850000002,25516.9979999999,3089.35199999999,1806.8963395,34268.1549999999,34255.6974999997,34328.9639999999,23944.4655000001,22616.6279499998,27993.9094410477,20649.0225580499,17897.9639999999,6593.62260500003,6694.857,4843.27175000002,15236.2935681549,23663.3052499999,22233.019,12374.82756,6951.38949999999,1451.68758,13309.241,4319.47550000001,4197.84050000002,3185.15833333332,5241.24775000002,11845.1911666667,1351.05991666666,3470.72041666663,6891.74233333335,3374.72633333334,19102.3385000001,5167.09174999999,2603.27133333331,20938.6545833336,1263.37125,7606.07454166663,10929.8684166667,2734.47074999999,22017.8005000001,29118.7912500003,1816.77125,11631.035125,10824.5158333332,10925.0790833333,1107.83266666666,3947.95375
"CA-ARB",9845.89787624998,0,6654.14983774999,10771.2043735,8150.5029145,13693.00600725,8249.70011925,14953.013108,5505.44010325,11819.775039,8654.73220849999,10795.016291,11018.2525325,7270.56388625,5791.22013025,12582.8522685,9610.42158075001,9906.40452999996,8639.25836425002,7512.45105899998,11256.9845205,8458.34056425001,14493.134153,13130.4468395,14034.097128,14127.866028,13069.1751355,17195.88994235,14617.909528,16820.5231885805,10249.009108,14224.325528,9764.68448791665,14880.0735279998,7070.751692,8113.800006,7560.48327799999,8585.94057000002,10687.981533,15945.657528,7755.73951524999,5992.56497425,8982.81846100005,12545.1421265,7875.29362875001,8737.48104524999,9670.32103958333,6715.27344425,8090.19135225,8317.21270375001,11061.1014564,8553.06508566666,9546.95625250001,8202.4266215,13794.862528,14511.503028,9326.20643674999,11274.391558,8094.42203624999,8421.92054274999,8419.70348049998,53989.46919975,23228.0429715,6069.03903124999,8768.82960274999,9170.87701700004,13678.3986305,10268.86504025,5932.5350995,9571.27807124999,7544.29292172619,11520.30008,15697.9455575658,10404.79988875,9635.39993250002,6178.20566233333,5671.737882,16679.8578196666,13713.925028,9172.01594127998,7924.0144375,9308.863531315,8915.23451775,9379.46114925001,12110.4391395,12795.862558,12876.1276355,13609.1676189167,10121.3542075,8660.70750274999,14312.5916946667,9885.47838774996,8864.48827174999,9937.57011799999,45045.7754330002,11362.8507893598,7014.20406149999,8654.42989974997,11922.633324255,10135.8344225,8955.46861225001,8416.49525075,8657.5651535,8623.2943765,9942.4246010925,16323.790028,11125.8800365,10535.47508075,14787.840028,10548.8985585,7698.93946024999,14375.328528,9682.36519199997,7885.62148525,21081.078528,21056.621028,21130.414528,13755.278528,12646.495428,15270.138713915,12978.72811615,12092.281526,9556.69747699999,8064.32497725,9086.08552324999,7836.310935835,14265.287328,14014.534278,8830.80467275,8957.649119,9045.80955749998,10099.96950025,8656.94984000001,8849.58716849999,7999.07692433333,9025.12829091666,11031.1528865,9576.12168741666,8604.51235658335,9503.04828991667,8648.29214783332,11507.9695235,8305.86240624999,9278.38132075001,12978.4411158333,10614.1233680833,8295.0386615,10654.6756108333,8153.48812683334,12557.3996113333,16154.738528,9047.65182625,10346.6633576667,9671.78644991664,10722.1670233333,9716.46784416667,7746.10577816667
"CA-ARF",9828.37034750002,6654.14983774999,0,9344.18902799999,8955.591923,9566.61861975002,6628.48758599998,8528.51751049993,8046.5149745,5887.75000649999,7267.47570399999,5549.77301450002,5604.021261,4125.08536249999,2049.0647295,5782.27235183333,16039.0340335,6571.26924249997,6664.31984000001,5488.7508325,6988.96548400006,5320.29109649998,10060.0593105,9090.52182050002,9329.66217049996,9531.40181350004,9250.27501999998,8922.80978370001,7141.31402049998,10064.3213002505,7987.56565800002,9635.75602049998,7425.23324616665,8638.86652549991,10429.987174,10270.2832335,13959.4582805,9195.88413850005,5662.97350950007,8663.35752050004,5953.55447299999,4988.39252750001,9196.35150600003,9924.21607300009,4681.15343950001,6444.63947599998,8727.37302133334,5067.69630850003,13695.469326,9727.26951175,8141.31557739997,8062.01984899998,9134.81032249995,7971.58444150002,9867.72460949996,8803.39206450001,17183.9882795,5835.65205,6940.58196949999,11036.4734095001,11485.1843745,55506.3467639999,37872.5288719999,4581.14432800002,6958.6584615,5513.20200350003,7980.8900445,7302.708496,6903.65510299997,7959.17003499998,7118.21455392858,8725.95020400003,8689.46890214912,10657.050117,15522.6000095,4352.572015,4480.58003849999,10098.4063955,9160.10002050002,8999.42031514503,10384.6011245,9868.26243922503,5612.63206550001,9365.12520616662,9209.67468750001,8041.01253150001,8482.11050150001,9738.6350728333,10971.311558,9661.20611000003,9357.75837483328,9263.14043849999,9007.06382850003,11059.443554,48862.5497645001,7984.43373590944,5219.48680599999,9042.49020949998,5831.89177724499,9438.47468000001,6680.8796775,5408.079888,3785.77497050001,5357.51658375001,7861.0381984025,9504.69002050001,8754.69504150002,9486.93534999999,8802.53003049994,7710.09220900001,4911.9029735,9526.07852049993,12986.581883,10985.305625,13427.0885205,13402.3520205,13476.0825205,8983.07502049998,8589.61544749998,9720.58956940148,9519.89749370001,6389.35302250002,6752.22102549998,10361.600064,10146.5777905,4250.21631461501,9779.80437049998,9946.42202049996,8765.90993950004,9130.70202499999,10202.3872934999,6723.94651349998,13404.000238,8583.12955599999,4570.94672533334,8798.33857616667,8094.15596316669,8813.92304666667,7703.18505283333,7526.13674416666,8267.94383416666,7935.1770245,7602.83713566667,7575.49281666668,8197.25143716665,12341.846462,7568.41079616669,8215.55508066665,9369.35291616666,7750.9837705,9720.10927050003,8490.29161266667,8693.40774872221,6314.47182533332,7988.85151483335,10916.1444793334,7478.87206933331
"CA-Ca1",12065.60525,10771.2043735,9344.18902799999,0,2157.22975,2431.65290825,4882.53708333334,5492.28336,3910.26125,4910.67575,7664.28000000001,5686.67625,5854.40675,9196.74974999999,10531.3225,6675.14983333333,24316.89525,3211.49525,8139.15850000001,6868.81624999992,3494.36425,4413.14474999999,2328.94537500001,2245.46295,3645.14339999999,3060.5964,2290.98525,6318.36758045,8546.93575000004,9523.80037558001,1799.82025,4731.15175000001,3916.3070625,4724.84574999998,9349.34433333332,3129.797212,7546.94659549998,13006.2342500001,3604.64125,8526.76474999998,5096.38625000001,4694.58125,8048.84775000003,2113.34325000001,5112.07675,6001.54075000001,8088.46212499999,8082.13150000001,8772.99925,2417.65983825,2263.6827984,2464.36995333334,1860.8938225,4344.55825,3353.36874999999,5127.89975000001,28605.93679,2932.20474999999,2556.26924999999,7733.89525000001,8059.59775000002,79890.48525,38145.38325,9703.0828155,3194.39125,3452.49775,4025.71025,2399.81725,3892.66875,1800.70525,3473.59230489285,1551.72125,7328.69136839912,15292.12875,21178.4137499999,15446.1574,14392.75642425,9551.40054166666,5405.08624999998,8375.94527382,16507.50733,9573.84464950002,3440.65625,1379.08091666667,1795.25325,929.8375,1456.28425,2926.37856775,11938.58871,6453.56874999999,3958.28141666668,4486.93385,4327.21345,10833.1839,68491.82125,2698.88714599904,3864.1472205,14354.6457185,3901.977487255,8191.91771000001,7038.38991000001,6335.83375,4305.11625000001,4479.222494,1996.575821687,8904.48024999999,1561.46974999999,936.84625,3957.83324999999,2391.19175,4428.75075,5223.67324999999,16444.76625,6564.3574755,13946.14475,13930.4942500001,14003.84675,4794.30625,3807.218175,7691.29339104801,3149.1663898,3538.08700000001,3091.91709,3888.48424999999,3016.91875,17105.12357049,4327.50950000001,3718.07575000001,1962.73478,2019.76675000001,13982.77944,3423.03075,9192.96875,4014.24325,5209.17466666667,2835.26691666668,2884.17491666667,7246.04208333332,2833.29475,1170.86800000001,3093.9015,2773.61008333334,3561.873,5689.86041666666,2946.01316666666,15901.4238333333,1144.38370833333,543.195583333332,5181.91583333334,4006.40675,8883.57533333334,7555.57191666667,743.408541666664,1704.645,1669.16516666667,10610.01375,2503.49333333333
"CA-Ca2",6386.08925,8150.5029145,8955.591923,2157.22975,0,5544.75691675,3634.50258333332,8846.61199999999,3883.47375,8966.09875,7629.25199999999,8738.51999999999,9496.26049999999,10112.76475,11391.0175,11216.5330833333,17924.70025,5589.07925000001,5278.10649999999,7402.00549999994,7294.55149999998,6721.16424999998,6024.895875,4865.59305,6939.26415000003,6330.58134999999,4829.2175,8912.4665484,11107.74675,11863.004654589,2757.13275,8018.018,2514.61346666667,7684.78225000005,4994.37166666667,2486.979767,6180.2171645,7318.51575,6871.46375,11044.98725,8265.42175,7173.12000000001,4279.79675000001,4891.47075000001,4915.33,5692.96525,2868.21154166665,10258.00215,6035.68725000001,1286.01538325,2886.0272654,2019.00922333333,1317.4397605,1674.93675,6708.09599999997,8279.90825,22258.88833,5418.86674999999,1793.6265,5116.75825000001,5017.47075,73740.4102500003,31793.99425,11322.023043,3238.23175,6063.97,6682.48925,3627.72725,4138.85875,1500.754,4536.15805852381,4349.97425,10720.6595012658,9080.59424999998,14882.6042499999,15794.57615,15113.659775,11933.9672777778,8179.96749999997,5148.44340611999,10276.976075,4695.784728525,5035.90675,800.92379166667,3743.32025,3707.57025,4242.32674999999,6017.00056333334,6837.23262250003,3355.64875,6991.67100000002,2713.865,2140.91245,6010.57585,62050.9517500001,4173.25707838064,4197.814478,15574.05958,4876.494987255,3841.51583,5508.13635,5444.46424999999,4899.07175,7122.99374399999,2389.9405604695,11252.399,3459.2815,1703.07925,6717.047,5035.19875,5233.28874999999,8105.12925000002,10069.95275,3506.7461125,16271.4767500001,16255.5542500002,16328.9147500001,7828.969,6108.221475,10022.867841048,6062.57112445,7376.23299999999,2737.95478000001,2224.13375,1858.43575,17903.51263507,7670.0036,6927.35250000001,1731.23401,1183.21675,7825.141015,5206.303,6313.92400000001,1583.98075,1829.991,1565.88975,4055.87183333333,3647.08216666667,1663.13575,1425.38341666667,1653.75966666666,5293.78391666668,2687.90625,2580.76275,5550.1045,9515.66275000002,2006.61129166667,2268.94558333333,2236.41875,6631.37091666667,11240.7244166667,2885.76341666667,2455.38186111111,2155.63033333333,3423.20233333333,5788.46591666666,1889.943
"CA-Cbo",18363.80241675,13693.00600725,9566.61861975002,2431.65290825,5544.75691675,0,8752.13033341668,2664.89787675,5102.94670825001,2723.82931675,8795.58881675001,4151.85013325,3908.16771675001,7865.06716675,9991.45978325001,4255.65673325,30423.40466675,1824.42981675,13438.38291675,6642.60880824999,2144.72889175,3282.48689175,448.599341750001,810.707233249999,1657.22915825,844.625266749999,710.386116749999,4407.5248235,6007.61923325001,7535.62466014949,4235.25036675,2455.01578325,9067.21785425,2405.36029175,15507.33329175,4872.24299475001,10039.44534075,18817.4726667501,2637.85513325,5941.78125825002,3266.71941675,2799.14231675,13902.57066675,701.203866749997,6049.97731675,6824.96211675,13928.8929584167,5276.93223324999,12717.32476675,4040.8054815,2923.95242315001,5710.26045674999,3928.94185275,8768.43816675002,1173.2536335,2357.46714175,34649.19443675,1907.28286675,4725.58379175002,12811.70116675,13089.72466675,85393.7964167499,44271.27366675,8564.89667999999,6203.26561675001,2362.45443349999,3017.65346675,4475.42211675,7398.44476675001,4197.57590825001,5161.23846997619,1681.22416675,4840.4525074158,21022.5051667499,27153.9721667499,14144.67448325,14103.98104925,7505.4816943611,3315.04388325001,13590.654302855,22298.48764175,15894.31226425,3067.30584175,3897.18869991667,1366.57730825,2044.96719175,1171.59864175,1226.87393666667,18065.9205667501,11604.10516675,1983.91803341666,8486.88516675001,8517.07334175001,17195.92061675,74841.2906667502,3859.39766821737,4499.14388275,13844.40473525,2924.094654005,14344.78830675,10587.27636675,7579.49674175,5305.98259149999,3507.14076074999,4292.022787364,6825.47625825,872.390116749998,2588.58851675,2156.4559915,2326.86261675,5257.75311675001,3284.13675825,22579.59966675,11520.62887275,12033.08908325,12018.22058325,12091.55008325,2666.58590825,1987.60674175,5770.74472429799,858.080558500001,1846.87245825,7950.08494175002,5542.00781674999,5194.27904175,16455.77961616,2349.14280825,1733.8076585,3362.74112675,4719.20205825004,19581.41153175,1695.71141675,13131.30914175,7814.57976675001,8315.50158341668,5251.39256675001,3855.70300008333,13145.78191675,6752.86575008334,4713.27261675001,6327.71756675,1011.02866658333,7796.33725008333,11247.2088334167,1295.1000085,22145.5577500834,2421.39902508333,2622.14250825,9860.28051675,2070.68355833334,6887.50407491666,13766.4287500833,1977.32239174999,3222.03267508334,3587.48931675,16870.8530000833,5545.10961675
"CA-Let",3426.26983333333,8249.70011925,6628.48758599998,4882.53708333334,3634.50258333332,8752.13033341668,0,14121.8410866666,3250.60366666666,10372.3458333333,3652.99766666667,8041.92425,9241.82424999999,5592.07649999998,7047.10191666665,10775.2823333333,11794.7253333333,6766.25799999999,2671.23925,4622.12299999998,8418.64283333333,5898.00949999999,10248.8867083334,9773.2407,13116.8904,11661.9465,8478.59166666668,16985.84085765,16825.7011666667,20662.3136757095,3414.56183333333,14577.9,2072.26255,13072.1586666666,4522.96391666667,5404.84579866666,10732.5291938333,3317.79483333333,7778.73583333332,18619.3466666667,8047.0915,8589.73050000001,3002.58716666667,6995.14883333324,3282.27733333333,2956.03499999999,3443.39620833333,9553.96659999999,7617.56600000001,4682.30686658333,6494.11996056666,4038.12299166667,4520.3587875,2253.16400000001,11558.6986666667,13192.1565,16074.077595,7024.18166666667,5232.657,5454.50583333333,6166.15033333334,64928.4388333333,30733.543,7123.23415516664,1507.60933333333,5419.09466666666,8607.63566666666,3939.77933333333,2557.8015,2574.36866666667,1749.72821827382,5011.28333333332,17442.9838677825,5331.35833333333,9965.92083333334,12181.7828666667,11154.10353175,20651.4357777778,16258.2291666667,3129.313284805,5803.07050541667,3296.34926665999,5159.98766666666,4280.16891666667,8292.83250000001,7174.55216666666,8139.30366666667,11746.6234404167,4857.83394833335,3284.89666666667,13588.7791666667,3041.01226666667,2727.07333333333,4369.51345,56950.9041666665,4572.21325302204,5700.39486566668,13302.4354801666,7245.80407058834,2694.53196,1908.18220666667,3972.155,4101.62583333333,5669.53699400001,2898.94290486917,19892.4225,9394.27916666667,4522.27166666667,14276.8208333333,5250.85349999999,3442.8505,16462.8923333333,7433.40833333336,3989.2174555,25261.361,25245.5405,25318.898,14830.3246666667,13646.85175,19001.6062243813,10943.0481643167,9476.13166666666,1941.679265,4999.84166666667,3946.06258333333,12287.460953185,14464.68875,13228.95,7039.56912666668,3666.2575,4471.33610999999,6721.8075,8015.70833333334,2749.742,2174.88733333335,2855.69816666667,3513.12683333333,2139.03458333334,2214.63219444445,2422.94799999999,2306.27691666667,9425.30783333336,2073.15875,2025.85625,12145.0289166667,5577.02558333333,3003.29670833334,3845.94125,3081.11000000001,12759.8483333333,20053.04675,2693.38716666667,4137.57844444444,4619.0905,3497.98241666668,4588.57166666666,2060.68541666667
"CA-LP1",23785.6384200002,14953.013108,8528.51751049993,5492.28336,8846.61199999999,2664.89787675,14121.8410866666,0,8703.44042000002,1417.96815,13009.70917,2779.67583,2603.43033,7902.29284,8419.47958999999,2105.57491666667,36067.61842,4458.83625,18285.3674200001,7456.01391999992,1590.953025,2824.16107999998,2140.3803,1722.75390999999,858.747835000003,1311.98746,2724.91045,2523.0952415,2222.19483999999,3856.02317431752,9165.01242000004,581.479919999997,14349.4594575,1120.99901000001,21249.31292,6943.22589249999,12356.9260194999,23595.32042,2045.65349,1942.79181,2427.85819,2345.47350499999,19459.8409199999,3662.21663000003,8296.44341999999,10563.71392,19203.2843783333,3239.53003000001,18902.20842,7028.25154975003,5027.16336840002,9242.23631499998,6999.92538099999,14935.44842,1481.37984,563.169339999999,40344.2403699998,1958.55123499999,5236.99862,18847.76192,19444.26092,90249.0299199999,50681.2469200001,8623.53152349999,11202.9304199999,2930.07161,2694.29170500001,6808.59972000003,12318.82242,8010.71692000003,10140.1512144405,5781.26192000002,1980.21874756579,26316.91192,32800.6119200002,12585.38494,12574.53754675,3896.46135777778,983.037085000001,19899.045054255,27591.93607,21817.6916482,4091.0075,6997.13460166666,3397.32083999999,4279.409705,3285.18833,1845.91533991667,24141.3912800001,17827.00192,1397.833555,14332.87742,14785.27562,23479.7510700001,80654.5619200002,8900.49754852094,4310.433055,17321.0513405001,3287.00710725499,19524.66736,15384.8250600001,9752.46692,6090.84216000001,4657.96615400002,7405.60758457749,3097.88808000002,1970.37725,5554.30691999999,1140.11989,4844.46292000002,7777.18541999998,719.164449999999,28717.07542,17990.53049,8602.37658000002,8586.65507999999,8660.01758000001,959.71292,1945.81274,2406.608571048,1449.3870885,1147.162685,13311.022695,7179.28839000002,8631.37517000001,14826.96628699,683.853499999998,1067.2563,4780.033975,8522.04484000003,24746.351665,2206.00781,17714.31192,13795.02992,13645.3038366666,9592.44450333329,8773.82225333333,18699.0498366666,11778.9770033333,9617.79591999999,11788.5360866667,1275.002305,13217.7075033333,16477.7710866667,909.706894999998,27771.3126700002,5474.10617,6760.85633666668,15850.5340033333,1789.12185666666,3261.66982999999,19356.0850033333,5474.01496166665,5011.75090000002,8682.99391999996,22924.77942,10044.10817
"CA-MA1",8049.08650000008,5505.44010325,8046.5149745,3910.26125,3883.47375,5102.94670825001,3250.60366666666,8703.44042000002,0,7628.79649999998,4215.36075,7609.58925,8166.41525000001,6686.07250000001,7693.15,9275.48924999999,12869.894,5365.87600000001,4278.46950000001,4420.69400000001,6042.30900000001,6373.02450000001,5836.85837499999,5584.85969999999,7507.1664,6482.27139999999,4935.6355,10413.01134005,12502.6875000001,14444.5761599825,2920.8765,8678.12200000001,3361.48829583333,7825.74950000005,6618.74054166667,4424.062767,8582.32570699999,5275.99799999999,5433.7575,12820.326,7758.54249999999,6595.37749999999,4145.08350000001,4802.86350000002,3881.025,3629.43499999999,4969.988625,8215.3723,8241.38149999999,4080.40411825,5186.6833289,3929.90129666667,4156.2968875,3735.3005,6857.075,8061.944,12796.4011,5379.214,3852.47699999999,6457.75700000001,7340.7545,62792.987,27771.9305,6042.1919895,3616.9985,4929.32999999999,6712.722,4931.736,4294.761,3346.7565,4134.13328158334,4113.16599999999,11925.3102113825,7151.66299999999,12654.2230000001,11571.26535,10544.64015425,14490.3311944444,10135.2805,6817.487417155,6833.88510625001,6538.206400425,5301.9315,4014.60266666667,5125.596,4341.8055,4485.5725,6766.06866966667,8793.60570000002,5380.084,7797.31266666666,4889.2213,4195.05870000001,8989.57414999999,56101.6900000003,3790.92688798776,5597.442624,9297.16555749998,6050.874737255,5936.35276,3041.77692,4249.062,5139.83999999999,5597.84774400001,3437.4623689075,13726.8455,5188.3775,3040.202,8139.639,4311.704,4613.959,10206.2195,8366.63199999999,5758.053933,18964.4409999999,18950.4565000002,19023.76,8841.75850000001,8028.33725000001,12697.258541048,6199.74127594999,5997.744,3030.25589,5890.2195,4816.93425000001,11268.94000022,8454.55975000001,7592.6925,4763.49911,3508.667,6303.21217499999,5764.509,8494.6155,3973.033,3174.96,3749.9235,3346.66716666667,5158.0985,2902.66461111112,2822.70466666667,2706.43374999999,5120.66266666667,3062.60533333335,3522.78116666666,6672.46974999999,10462.1858333334,3320.098125,3382.99116666667,4308.00999999999,7652.42733333333,13822.95025,4802.05400000001,3565.91970833334,3238.08125,3385.47083333334,7972.09783333332,2022.42283333333
"CA-Na1",19692.8265000001,11819.775039,5887.75000649999,4910.67575,8966.09875,2723.82931675,10372.3458333333,1417.96815,7628.79649999998,0,10325.88625,1630.83075,1478.64925,4961.76224999999,6542.72374999999,1466.624,32185.1955,2698.79599999999,13671.8092500001,5635.77699999999,1459.41200000001,2324.09850000001,2407.809125,1728.3811,1494.65635000001,1760.975025,3010.90000000001,2370.11755025001,1654.7495,3095.00629257899,6524.7205,1792.69999999999,10216.9697625,2059.86099999998,18158.2338749999,8327.241617,12945.6915765,18959.5835000001,1461.53400000001,1506.257,2056.315,2413.9475,15895.754,3143.24899999999,4919.832,7433.53300000003,15097.4054583332,2976.76495,19241.0214999999,7423.31861174997,4977.8835584,7106.25471999998,5920.9081465,11875.2355,1846.7965,1262.8825,37019.5492450001,1592.616,5817.40950000001,17133.883,18172.134,85637.8380000002,49498.0554999998,6999.887633,7425.83049999997,2063.7785,3208.35800000001,5481.94000000001,9499.04649999999,7041.16,7155.23740240477,4187.775,2363.88663018245,22377.1,29256.675,11110.2638166667,10924.5875757501,3622.07234722224,1698.7,17304.198821865,23517.938695,17946.4189224,2399.24349999999,7134.24833333334,3526.957,3640.561,3222.3655,2522.57377575,20943.6281899999,15032.8260000001,2271.80833333333,12699.0843,12985.0637,20091.0940499999,76857.3749999999,6229.62239193585,3830.984312,15406.9197440001,3196.93323725501,15267.4781200001,11225.0745400001,6728.22500000003,2441.62500000001,1819.020259,5869.42687395199,2397.095,3121.94,5368.24500000002,2505.65,3343.51200000001,4880.33399999999,1971.5255,26367.2075,16318.3831649999,8014.86349999995,8005.707,8078.86849999999,1449.2345,2327.74615000001,2785.175905301,2187.5140961,1231.1945,9427.55139,8502.725,9704.57124999999,12543.36982654,2001.81829999999,1847.63525000001,5372.34624000001,7865.06600000004,20547.30638,1808.2345,18438.1,11389.8425,9869.47358333331,9423.75816666666,5985.06450000002,14730.2029166667,8562.41383333335,6642.66308333334,9596.42208333336,2066.637,9355.97175000004,12392.6041666667,1682.21725,23809.7005,4352.92320833333,4811.54366666666,13224.8290833334,1573.785,2859.6475,15395.6476666666,4578.20312499999,4434.79899999999,5556.60983333333,19737.6925,7318.03625000004
