"SITE_ID","IGBP","LOCATION_LAT","LOCATION_LONG","LOCATION_ELEV","MAT","MAP","CLIMATE_KOEPPEN","UTC_OFFSET","data_year_length","SC_source","NEE_source","NEE_availability","NEE_availability_after_filling","LE_availability","LE_availability_after_filling","H_availability","H_availability_after_filling","USTAR_availability","USTAR_availability_after_filling","NETRAD_availability","NETRAD_availability_after_filling","TA_availability","TA_availability_after_filling","VPD_availability","VPD_availability_after_filling","SWC_availability","SWC_availability_after_filling","SW_IN_availability","SW_IN_availability_after_filling","ECO_NAME","REALM","BIOME","ECO_NUM","NA_L3CODE","NA_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","NEE_clust_group","LE_clust_group","H_clust_group","USTAR_clust_group","NETRAD_clust_group","TA_clust_group","VPD_clust_group","SWC_clust_group"
"AR-CCg","GRA",-35.9244,-61.1855,84,16.1,1060,"Cfa",-3,3,"negligible","FC+SC",0.48321548053528,1,0.698905109489051,1,0.781991332116788,1,0.783112834549878,1,0,0,0.783131843065693,1,0.695122414841849,1,0,0,0.999980991484185,1,"Humid Pampas","NT",8,3,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA
"AR-TF1","WET",-54.9733,-66.7335,40,NA,NA,NA,-3,2,"negligible","FC+SC",0.798299956778562,1,0.879868414733708,1,0.879844402823801,1,0.893315084281804,1,0,0,0.951688037266484,1,0.951688037266484,1,0,0,0.951688037266484,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,NA,2,1,NA
"AR-TF2","WET",-54.8269,-68.4549,60,5.5,530,NA,-3,2,"negligible","FC+SC",0.502126812765852,1,0.575383696922962,1,0.575508071938509,1,0.596452824556603,1,0,0,0.887341110917639,1,0.887341110917639,1,0,0,0.593069824133728,1,"Magellanic subpolar forests","NT",4,2,NA,NA,NA,NA,NA,NA,3,2,1,1,NA,2,1,NA
"BR-Npw","WSA",-16.498,-56.412,120,24.9,1486,"Aw",-4,4,"CO2","FC+SC",0.329471627245965,1,0.612425134504111,1,0.639148309816262,1,0.641394274692925,1,0.668802659628464,1,0.675794335600447,1,0.675794335600447,1,0,0,0.584407674347782,1,"Pantanal","NT",9,7,NA,NA,NA,NA,NA,NA,4,3,1,1,1,3,2,NA
"BR-Sa1","EBF",-2.8567,-54.9589,88,26.13,2074.79,"Am",-4,10,NA,"NEE",0.584268893756846,1,0.744181270536692,1,0.744181270536692,1,0.61243838992333,1,0.528694322745528,1,0.740108159912377,1,0.999942953632713,1,0,0,0.770376962395035,1,"Tapajós-Xingu moist forests","NT",1,68,NA,NA,NA,NA,NA,NA,5,4,1,1,1,4,3,NA
"BR-Sa3","EBF",-3.018,-54.9714,100,26.12,2043.77,"Am",-4,5,NA,"NEE",0.565818281335523,1,0.534596788907134,1,0.548405856595512,1,0.652561120233534,1,0.572967980295567,1,0.688708721036307,1,0.476338715562854,1,0.712666484218208,1,0.664568509396096,1,"Tapajós-Xingu moist forests","NT",1,68,NA,NA,NA,NA,NA,NA,6,4,1,1,1,4,4,1
"CA-ARB","WET",52.695,-83.9452,90,-1.3,700,"Dfb",-5,5,"negligible","FC+SC",0.383778538812785,1,0.722990867579909,1,0.799474885844749,1,0.885582191780822,1,0,0,0.936563926940639,1,0.936563926940639,1,0.936586757990868,1,0.936426940639269,1,"Southern Hudson Bay taiga","NA",6,16,"4.1.2","Hudson Bay and James Bay Lowlands","4.1","HUDSON PLAIN","4","HUDSON PLAIN",3,2,1,1,NA,5,1,2
"CA-ARF","WET",52.7008,-83.955,88,-1.3,700,"Dfb",-5,5,"negligible","FC+SC",0.478527397260274,1,0.651107305936073,1,0.690856164383562,1,0.824109589041096,1,0,0,0.935719178082192,1,0.935719178082192,1,0.880114155251142,1,0.934920091324201,1,"Southern Hudson Bay taiga","NA",6,16,"4.1.2","Hudson Bay and James Bay Lowlands","4.1","HUDSON PLAIN","4","HUDSON PLAIN",3,2,1,2,NA,5,1,3
"CA-Ca1","ENF",49.8673,-125.3336,300,9.93,1369,"Cfb",-8,15,NA,"NEE",0.555655268921879,1,0.840631844731078,1,0.86462642978827,1,0.863808864687272,1,0.7490683560477,1,0.700402318082259,1,0.700151344609394,1,0.842814553419323,1,0.862816378680944,1,"Central Pacific coastal forests","NA",5,10,"7.1.7","Strait of Georgia/Puget Lowland","7.1","MARINE WEST COAST FOREST","7","MARINE WEST COAST FOREST",7,2,2,1,2,6,1,1
"CA-Ca2","ENF",49.8705,-125.2909,300,9.86,1474,"Cfb",-8,12,NA,"NEE",0.415305559780955,1,0.779472163066626,1,0.813146486157591,1,0.816664131426833,1,0.840607887131123,1,0.554133708548829,1,0.527352068755704,1,0.863087541831457,1,0,0,"Central Pacific coastal forests","NA",5,10,"7.1.7","Strait of Georgia/Puget Lowland","7.1","MARINE WEST COAST FOREST","7","MARINE WEST COAST FOREST",3,2,1,1,2,6,1,1
"CA-Ca3","ENF",49.5346,-124.9004,NA,9.94,1676,"Cfb",-8,21,NA,"NEE",0.779326923076923,1,0.83734517601043,1,0.886364624076489,1,0.903501195132551,1,0,0,0,0,0.494127553237723,1,0.890392764015645,1,0,0,"Central Pacific coastal forests","NA",5,10,"7.1.7","Strait of Georgia/Puget Lowland","7.1","MARINE WEST COAST FOREST","7","MARINE WEST COAST FOREST",2,5,2,1,NA,NA,1,1
"CA-Cbo","DBF",44.3167,-79.9333,120,6.66,876.34,"Dfb",-5,27,NA,"NEE",0.695998445177727,1,0.718131424732659,1,0.751862195425949,1,0.763417735959068,1,0.566937633881605,1,0.86784010680953,1,0.290225744983797,1,0.560887347211249,1,0.302296742900842,1,"Eastern Great Lakes lowland forests","NA",4,7,"8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS",8,5,2,3,2,6,1,4
"CA-CF2","WET",58.6658,-93.83,16.5,-6.5,452,"Dfc",-6,4,"negligible","FC+SC",0.0830196212639744,0.46875,0.13938797627196,0.503472222222222,0.139273899155829,0.503472222222222,0.249443874058864,0.541666666666667,0.107546201232033,0.416666666666667,0.343956764772987,0.458333333333333,0.343543235227013,0.458333333333333,0,0,0.245351357517682,0.458333333333333,"Southern Hudson Bay taiga","NA",6,16,"4.1.1","Coastal Hudson Bay Lowland","4.1","HUDSON PLAIN","4","HUDSON PLAIN",NA,NA,NA,NA,NA,NA,NA,NA
"CA-DBB","WET",49.1293,-122.9849,4,10,1128,"Csb",-8,7,"negligible","FC+SC",0.485839525485595,1,0.572383000912528,1,0.611833528874984,1,0.638272389518968,1,0.705465389127884,1,0.711739017077304,1,0.676085256159562,1,0,0,0.709180680484943,1,"Puget lowland forests","NA",5,24,"7.1.7","Strait of Georgia/Puget Lowland","7.1","MARINE WEST COAST FOREST","7","MARINE WEST COAST FOREST",3,5,1,1,2,6,1,NA
"CA-ER1","CRO",43.6405,-80.4123,370,6.7,946,"Dfb",-5,6,"negligible","FC+SC",0.437765262446497,1,0.574111286325749,1,0.668817301193963,1,0.757828339716152,1,0,0,0.577643613426447,1,0.563271006983555,1,0,0,0.863753097544492,1,"Eastern Great Lakes lowland forests","NA",4,7,"8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS",9,5,1,1,NA,6,1,NA
"CA-Gro","MF",48.2167,-82.1556,340,1.3,831,"Dfb",-5,12,NA,"NEE",0.727788234846756,1,0.794105065023956,1,0.807570917940528,1,0.822182295231577,1,0.893903528785459,1,0.858097573959997,1,0.84595311430527,1,0.110531219104114,0.25,0.894098410525515,1,"Eastern forest-boreal transition","NA",4,6,"5.2.3","Algonquin/Southern Laurentians","5.2","MIXED WOOD SHIELD","5","NORTHERN FORESTS",3,5,2,2,2,6,1,NA
"CA-Let","GRA",49.7093,-112.9402,960,5.36,398.4,"Dfb",-7,10,NA,"NEE",0.872109850719685,1,0.872655319433158,1,0.883592523739021,1,0.87763689594906,1,0.930653115294275,1,0.314535071411873,1,0.562756732085806,1,0.602358873885407,1,0.121823201344747,1,"Northern mixed grasslands","NA",8,10,"9.3.1","Northwestern Glaciated Plains","9.3","WEST-CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS",3,2,2,1,2,6,5,1
