"BR-Sa3","CA-ARB","CA-ARF","CA-Ca1","CA-Ca2","CA-Ca3","CA-Cbo","CA-Let","CA-LP1","CA-MA1","CA-MA2","CA-MA3","CA-Na1","CA-NS1","CA-NS2","CA-NS3","CA-NS4","CA-NS6","CA-NS7","CA-Qcu","CA-Qfo","CA-SCC","CA-SF1","CA-SF2","CA-SF3","CA-TP1","CA-TP2","CA-TP3","CA-TP4","CA-TPD","CR-Fsc","CR-Lse","MX-EMg","MX-Lpa","MX-Ray","MX-Tes","PR-xGU","PR-xLA","US-ADR","US-AR1","US-AR2","US-ARM","US-Aud","US-Bar","US-Bi1","US-Bi2","US-Bkg","US-Blk","US-BMM","US-Bn1","US-Bn2","US-Bn3","US-Bo1","US-Bo2","US-Br1","US-Br3","US-BRG","US-BZB","US-BZo","US-CaV","US-CdM","US-CF1","US-CF2","US-CF3","US-CF4","US-ChR","US-Cop","US-CPk","US-CRT","US-Ctn","US-CZ2","US-CZ3","US-Dia","US-Dk1","US-Dk2","US-Elm","US-Esm","US-Fcr","US-Fmf","US-FPe","US-FR2","US-FR3","US-Fuf","US-Fwf","US-GLE","US-HBK","US-Hn2","US-Ho1","US-HWB","US-IB1","US-IB2","US-Ivo","US-Jo1","US-Jo2","US-KFS","US-KL1","US-KL2","US-KL3","US-KLS","US-KM1","US-KM2","US-KM3","US-KM4","US-Kon","US-KUT","US-LL1","US-LL2","US-LL3","US-Me2","US-Me3","US-Me5","US-Me6","US-Mi1","US-Mi2","US-Mi3","US-Mo1","US-Mo3","US-MOz","US-MRf","US-MtB","US-MWA","US-NC1","US-NC2","US-NC3","US-NC4","US-NGC","US-NR3","US-Oho","US-ONA","US-Prr","US-Rls","US-Rms","US-Ro1","US-Ro4","US-Ro5","US-Ro6","US-Rpf","US-Rws","US-SCd","US-SCf","US-SCg","US-SCs","US-SCw","US-SdH","US-SFP","US-Slt","US-Snd","US-Snf","US-SO2","US-SO3","US-SO4","US-SRC","US-SRM","US-SRS","US-Sta","US-Syv","US-Ton","US-Tw3","US-Uaf","US-UC1","US-UC2","US-UiB","US-UiC","US-UMB","US-UMd","US-Var","US-WBW","US-WCr","US-Wdn","US-Wlr","US-Wrc","US-xAB","US-xBL","US-xBR","US-xCL","US-xDC","US-xDL","US-xDS","US-xGR","US-xJE","US-xJR","US-xKA","US-xKZ","US-xMB","US-xML","US-xNG","US-xNQ","US-xRN","US-xSB","US-xSE","US-xSJ","US-xSL","US-xSR","US-xST","US-xTA","US-xTE","US-xTR","US-xUK","US-xUN","US-xWR"
34,29.84999975,2.9,22.32,28.4075,27.79925,14.64275,20.0833333333333,6.45,23.1265,11.248,11.70695,6.1,15.393,6.126,4.769,4.436,4.228,3.416,41.3,13.201,24.0935,10,9.35,8,14.3,16.125,11.4,12.85,16.15,19.4125,49.75,12.90180165,5.116,1.877,53.883331412,5.27791666666667,32.585,4.673942562,22.895,9.0305,27.0762375,11,34.887875,31.8166665,50.133333,26.2,9,14.45,4.4,8.4,9.9,31,16,15.861,14.184,28.84,3.983,8.2,46,11.51,29.10333,24.116665,28.67,28.2,27.501,12.196,8.753,42.63083,7.8,13.555,6.715,21.25,40.7645,42.278,89.717,77.568,6.4058785,19.777,12,18.7485,22.5,21.6325,23.633,19.95,17.85,3.55126861666667,6,13.752125,34.55,45.2,7.828066,5.52555555555556,9,31.7678045,23.25049,30.3198,29.40677,30.622865,21.644065,14.75522,23.07232,31.55897,33.5557861,13.742,20.02,20.61,18.97,26.6625,17.895,18.784,14.175,61.24535,63.8712,64.2072,41.24514,35.37,38.0835325,34.599,12.7,43.23,35.2,34.3,34.86355,86,7.9,7.491932,19.172424516,8.78,14.283605,24.15,8.9,35.09956,16.17312,10.32,9.635,9.77475,15.975,5,13.33,17.38,23.9,12.9,13.601,11.7505,7.9,36.861,38.5790465,0.14,0.147,0.0805,9.825,6.81895,12.45,8.453,25.64367,32.5,32.6775,3.51180075,33.47705,40.541,14.325,6.375,9.8,11.0825,25.623,28.001,31.14483,10.9065,46.3,30.1,30.54,29.64,17.785,29.2416666666667,28.845,34.7616666666667,37.505,24.2054166666667,29.2933333333333,13.835,24.137,24.88,12.5516666666667,37.795,18.1425,13.235,22.4875,19.4233333333333,32.8325,11.40875,23.82,4.18125,28.5675,19.94125,17.4275,20.8833333333333,36.2225,22.85,37.43
35,29.62499975,2.9,22.23,28.3725,27.79,14.63775,20.15,6.45,23.12,16.682,11.71165,6.1,15.394,6.1265,4.768,4.434,4.2195,3.42,41.296,13.201,24.09475,10,9.4,8,14.35,16.1375,11.375,12.85,16.15,19.4625,49.8,12.80791335,5.116,1.877,54.1634665643333,5.50375,31.635,4.6693768255,22.895,9.025,27.0391625,11,34.90725,31.7833335,50.133333,26.2,9,14.45,4.4,8.4,9.9,31,16,15.937,14.126,28.83175,4.1269,4.9,46,7.6045,29.60333,24.38333,28.663335,28.30333,28.0005,12.017,8.725,42.504105,7.75,14.03,6.7,21.25,40.735,42.264,89.717,77.5865,6.4078115,19.698,12,18.7245,22.25,21.6275,23.633,19.95,17.85,3.52937078333333,6.3,13.423805,34.6,45.2,7.80686175,5.44055555555556,8.9,31.73370305,23.22462,30.303845,29.40614,30.60627,21.60536,14.78797,23.05381328,31.531045,33.4959432,13.7845,20.02,20.62,18.96,26.65125,17.8845,18.784,14.28,61.25035,63.7879,64.4941,41.239585,35.36014,38.0339875,34.524,12.7,43.225,35.15,34.3,34.8565,86,7.88333333333333,7.48828,19.1733133464,8.81,14.283605,24.2,9,35.0226,16.12632,10.3,9.63,9.77325,15.9125,5,13.28,17.35,23.89,12.95,13.601,11.701,8,36.863,38.57542,0.14,0.146,0.0805,9.76,6.80545,12.45,8.486,25.651005,32.4,32.65275,3.50981075,33.4687,40.50985,14.3,5.75,9.38,10.915,25.612,28.001,31.333165,10.907,46.2,30,30.965,29.2366666666667,19.35,29.39,26.86,35.2,37.25,24.29,29.065,13.86,24.2966666666667,24.9,12.7,37.665,18.61,13.235,22.0536666666667,19.5175,32.805,11.36,24.65,4.395,28.53,19.98875,17.8825,20.8633333333333,37.56,22.7,37.4725
35,32.5750005,2.9,22.305,28.355,27.757,14.604,20.1125,6.45,23.1065,16.6805,11.7149,6.1,15.395,6.127,4.767,4.432,4.211,3.424,41.273,13.201,24.09625,10,9.4,8,14.3,16.1375,11.35,12.85,16.15,19.5,49.8,12.81306,5.116,1.878,54.1195385061667,5.47333333333333,31.595,4.6661577795,22.895,9.0155,27.020425,11,34.89575,31.7333335,50.133333,26.1505,9,14.45,4.4,8.4,9.9,30.4,16,15.913,14.126,28.8255,4.2655,4.9,46,7.524,29.59667,24.98,28.68333,27.88333,27.501,11.945,8.6685,42.19257,7.6,13.63,6.715,21.25,40.717,42.2365,89.717,77.605,6.410086,19.5935,12,19.1375,22.1,21.5945,23.633,19.95,17.85,3.50771546666667,6.31,13.122705,34.6,45.15,7.81773775,5.31666666666667,8.8,31.7223686,23.19172,30.222955,29.39121,30.590125,21.569585,14.754065,23.007476085,31.48911,33.4364802,13.7295,20.02,20.61,18.97,26.69875,17.85,18.784,14.35,60.9728,63.712,64.56885,41.23736,35.360125,38.04871,34.453,12.7,43.22,35.15,34.35,34.75075,86,7.86666666666667,7.484626,19.188,8.845,14.283605,24.65,9,35.4776,16.14764,10.255,9.64,9.7715,15.85,5,13.255,17.35,23.825,12.4,13.601,11.701,7.9,36.862,38.48273,0.14,0.146,0.0805,9.63,6.80825,12.3,8.4865,25.66278,32.4,32.62525,3.510026,33.405975,40.43495,14.35,5.3,9.38,10.9125,25.6295,28.001,31.35867,10.9095,46.15,29.904,31.01,29.4816666666667,18.3,29.4183333333333,27.19,35.165,36.89,24.30625,29.9683333333333,13.58,24.5533333333333,24.49,12.545,37.65,19.72,12.365,22.3225,19.97,32.815,11.3033333333333,23.0933333333333,4.29333333333333,28.52,20.2633333333333,17.1175,20.85,36.45125,23.225,36.57
35.5,32.3249995,2.9,22.275,28.3625,27.7625,14.6255,20.075,6.45,23.0965,16.6805,11.7205,6.1,15.3975,6.221,4.766,4.7385,4.213,3.443,41.273,13.201,24.09725,10,9.4,8,14.3,16.125,11.375,12.925,16.15,19.5375,49.8,12.86027835,5.116,1.8775,54.0886749131667,5.93208333333333,32.13,4.6671356855,22.89,8.9925,26.9883375,11,34.883625,31.666667,50.133333,26.1,9,14.45,4.4,8.4,9.9,30,16,15.94,14.134,28.8155,4.255,4.9,46,11.53,29.296665,24.751665,28.72,28.01,28.0505,11.945,8.6665,42.00949,7.6,13.615,6.73,21.2,40.6365,42.2,89.717,77.605,6.411906,19.5925,11.5,19.128,22.2505,21.5945,23.633,19.975,17.85,3.4861278,6.355,12.86268,34.6,45.1,7.82056975,5.23777777777778,8.75,31.6940473,23.11001,30.13413,29.40227,30.57514,21.561555,14.74125,22.96178158,31.48955,33.4364802,13.475,20.02,20.61,18.975,26.7235833333333,17.842,18.784,14.475,60.96745,63.809,64.6112,41.23243,35.36004,38.0007275,34.419,12.725,43.195,35.15,34.35,34.739,86,7.86666666666667,7.480974,19.1518836408,8.845,14.245142,24.65,9,35.11776,16.15284,10.165,9.645,9.77075,15.8375,5,13.25,17.35,23.805,12.5,13.601,11.701,8,36.862,38.5592785,0.14,0.145,0.0805,9.565,6.80385,12.3,8.4815,25.652615,32.4,32.65825,3.5103745,33.34345,40.361725,14.3,5.3,9.365,10.91,25.6165,28.001,31.321,10.913,45.9,29.8985,30.81,29.4433333333333,18.2025,30.235,29.355,34.9066666666667,36.125,24.7433333333333,29.9075,11.43,24.3466666666667,24.83,12.35,37.925,18.1625,12.67,22.6916666666667,20.0166666666667,32.7975,11.195,24.875,4.25125,28.7,21.1166666666667,18.5333333333333,20.9766666666667,36.1375,23.24,35.93
36,32.07499975,2.9,22.465,28.22,27.7475,14.638,20.05,6.45,23.0905,16.681,11.7232,6.1,15.4,6.315,4.765,5.045,4.215,3.462,41.2345,13.201,24.099,10,9.4,8,14.3,16.125,11.3,12.9,16.15,19.5875,49.8,12.85834,5.116,1.877,54.0486486381667,5.47333333333333,30.735,4.6694761015,22.886,8.99,26.9075,11,34.881625,31.7166665,50.133333,26.1,9,14.45,4.4,8.4,9.9,30,16,16.168,14.078,28.8195,4.2373,4.9,46,11.49,29.551665,24.386665,28.706665,27.94333,27.401,11.945,8.6645,41.959825,7.55,13.615,6.715,21.15,40.5485,42.3,89.717,77.6235,6.413156,19.5915,11,19.109,22.1,21.5945,23.716,20,17.85,3.46202881666667,5.9275,12.831345,34.6,45.1,7.81807875,5.14,8.7,31.63467535,23.09208,30.120035,29.40295,30.57354,21.54616,14.646875,22.93505106,31.479005,33.4364802,12.925,20.01,20.62,18.98,26.725,17.834,18.784,14.445,60.9772,63.8624,64.57455,41.208125,35.360055,38,34.332,12.7,43.15,35.1,34.35,34.7202,86,7.86666666666667,7.477324,19.14144,8.845,14.2643735,24.7,9,35.17756,16.14244,10.065,9.635,9.77,15.8,4.985,13.23,17.35,23.775,12.6,13.601,11.651,8,36.862,38.5581975,0.1395,0.145,0.0805,9.54,6.74145,12.2,8.523,25.67055,32.4,32.661,3.51027475,33.27185,40.335825,14.375,5.275,9.3625,10.91,25.614,28.001,31.313,10.914,46,29.82,30.97125,29.2375,17.865,29.44,29.65875,34.97,36.43,23.614,29.6575,13.105,24.3333333333333,24.69,12.595,37.8433333333333,18.125,11.61,22.136,19.3766666666667,32.7625,11.34,24.96,4.28625,28.4525,19.635,17.11,20.93,36.1175,22.895,36.355
36,31.8249995,2.9,22.505,28.2575,27.725,14.7125,20.05,6.4,23.0795,16.6825,11.7217,6,15.4065,6.316,4.7635,5.046,4.2185,3.46075,41.313,13.201,24.10025,10,9.4,8,14.3,15.925,11.325,12.9,16.15,19.6,49.9,12.87833335,5.116,1.885,54.0221759633333,5.6825,31.185,4.6684052075,22.886,8.985,26.855,11,34.8189583333333,31.733333,50.133333,26.1,9,14.45,4.4,8.4,9.9,29.95,16,16.199,13.83,28.8605,4.2268,4.9,46,7.3385,29.50667,23.481665,28.68,28.08667,27.401,11.762,8.715,41.73401,7.4,13.6,6.73,21.15,40.499,42.3,89.717,77.642,6.4146345,19.5915,11,19.095,22.55,21.573,23.716,20,17.85,3.44822708333333,6.865,12.89668,34.6,45.1,7.814373,4.9875,8.55,31.58391865,23.057995,30.107015,29.3999,30.56645,21.53723,14.550555,22.909165,31.46053,33.4364802,12.6105,20.015,20.625,18.97,26.75,17.834,18.784,14.475,61.1128,63.8415,64.4757,41.17,35.359985,38,34.347,12.7166666666667,43.14,35.1,34.25,34.66945,86.05,7.86666666666667,7.473674,19.14144,8.845,14.245142,24.7,9,35.17288,16.23604,9.945,9.64,9.76825,15.6875,4.97,13.23,17.33,23.775,12.7,13.601,11.701,7.9,36.8625,38.564921,0.139,0.145,0.0805,9.49,6.7465,12.2,8.534,25.49984,32.4,32.6555,3.510346,33.248475,40.334025,14.35,5.25,9.375,10.91,25.594,28.001,31.3,10.919,46.25,29.758,31.1275,29.0575,17.79,29.2466666666667,30.21,35.035,35.855,24.12,30.0933333333333,11.255,24.1083333333333,24.48,12.87,37.95,18.285,11.945,22.7166666666667,20.155,32.9725,11.24,25.02,4.20583333333333,28.7025,20.0133333333333,17.1575,20.9533333333333,36.3620833333333,24.875,37.375
35,31.649999,2.9,22.4475,28.3275,27.73,14.66425,20.05,6.4,23.068,16.682,11.7168,6,15.413,6.317,4.762,5.047,4.222,3.4595,41.296,13.201,24.10225,10,9.4,8,14.3,15.95,11.35,12.825,16.15,19.5875,48.55,12.8922183,5.116,1.885,53.9967186473333,5.91,30.7075,4.657954199,22.88,8.9805,26.815425,11,34.7491666666667,31.75,50.133333,26.2,9,14.45,4.4,8.4,9.9,29.95,16,15.916,13.664,28.808,4.03161,4.9,46,11.42,29.5,23.41333,28.666665,27.985,27.3505,11.687,8.7135,41.702425,7.35,13.615,6.715,21.1,40.46,42.3,89.717,77.6235,6.4157715,19.59,11,19.561,22.2505,21.5735,23.716,19.95,17.85,3.44526155,6.1975,12.93822,34.6,45.05,7.79943175,4.79777777777778,8.4,31.5445114,23.03663,30.045315,29.37517,30.60884,21.526425,14.52873,22.93425,31.429005,33.4387065,12.5015,20.02,20.625,18.98,26.745,17.8505,18.784,14.45,61.04165,63.7498,64.34835,41.12034,35.359955,38,34.423,12.65,43.11,35.1,34.25,34.7857,86.1,7.86666666666667,7.473674,19.14144,8.845,14.245142,24.55,9,35.13544,15.99372,9.825,9.65,9.7685,15.7,4.97,13.215,17.33,23.78,12.75,13.601,11.601,7.95,36.8605,38.574072,0.1385,0.144,0.08,9.465,6.7587,12.1,8.5465,25.50001,32.4,32.6445,3.50775,33.27225,40.3242,14.4,5.225,9.385,10.91,25.596,28.001,31.22083,10.925,46.2,29.7175,31.2575,29.365,17.8075,29.7908333333333,30.01,35.005,35.47,24.2358333333333,29.76875,9.75,23.9866666666667,24.495,12.8033333333333,37.89,18.21,11.755,22.705,20.32,32.9825,11.4525,25.46,4.32125,28.785,21.24875,17.185,20.8933333333333,36.1175,22.9,36.8
35,31.37499975,2.9,22.425,28.275,27.72,14.631,20.1083333333333,6.4,23.063,16.6805,11.71285,6,15.4105,6.317,4.7635,5.046,4.2175,3.45725,41.279,13.201,24.10325,10,9.4,8,14.3,15.9625,11.275,12.8,16.125,19.3875,46.6,12.86499835,5.116,1.885,53.9649885581667,5.82666666666667,33.22,4.650980783,22.8775,8.975,26.8158375,11,34.6950833333333,31.75,50.133333,26.05,9,14.45,4.4,8.4,9.9,29.9,16,14.705,13.702,28.8025,4.11493,11.47,46,11.405,28.48667,24.106665,28.65333,28.13833,27.3505,11.576,8.77,41.748075,7.3,13.6,6.715,21.05,40.374,42.3,89.717,77.5865,6.4166815,19.6005,11,20.006,22.4505,21.5575,23.625,19.95,17.85,3.4432629,6.27,12.925155,34.5,45,7.82019525,4.60861111111111,8.3,31.4125738,22.918445,30.007585,29.351475,30.466645,21.45586,14.60321,22.9366,31.42131,33.3765886,12.475,20.025,20.625,18.965,26.71875,17.842,18.784,14.275,60.9258,63.77455,64.21665,41.06,35.326585,38.01336,34.387,12.6333333333333,43.055,35.05,34.2,34.7578,86.1,7.83333333333333,7.4718495,19.14144,8.85,14.283605,24.7,9,35.21188,16.15856,9.715,9.63,9.7665,15.6,5,13.215,17.29,23.765,12.85,13.601,11.651,7.9,36.8565,38.641424,0.133,0.144,0.08,9.435,6.75445,12.1,8.5025,25.50001,32.6,32.639,3.506114,33.258375,40.311075,14.4,5.175,9.4,10.91,25.6085,28.001,31.25333,10.927,46.25,29.669,31.335,29.0375,19.33,29.6283333333333,29.71,35.0025,35.65,24.2125,29.685,11.625,23.9333333333333,24.56,12.99,37.9166666666667,18.675,10.42,22.6025,20.4925,32.96,10.9466666666667,25.54,4.31125,28.895,20.0275,17.155,20.8433333333333,36.18,24.64,36.635
35,31.125,2.9,22.42,28.2925,27.72,14.59025,20.15,6.5,23.0555,16.6785,11.71175,6,15.408,6.317,4.765,5.045,4.213,3.455,41.271,13.101,24.105,10,9.4,8,14.3,15.975,11.275,12.9,16.05,19.25,46.5005,12.8455467,5.116,1.885,53.911361634,5.46666666666667,31.58,4.638777156,22.875,8.9675,26.8266625,11,34.66125,31.733333,50.133333,26.05,9,14.45,4.4,8.4,9.9,29.9,16,14.621,13.753,28.7961666666667,4.188,8.15,46,7.2265,28.44666,22.87333,28.641665,28.058335,27.3505,11.092,8.769,41.79094,7.35,13.6,6.715,21.05,40.302,42.3,89.717,77.605,6.4173635,19.622,11,19.9755,22.6005,21.5465,23.625,19.95,17.85,3.53386283333333,6.3,12.98094,34.5,44.95,7.77492325,4.68416666666667,8.3,31.35659523,22.90276,29.990555,29.35576,30.49664,21.452345,14.47759,22.93805,31.38816,33.367203995,12.475,20.025,20.62,18.98,26.70875,17.834,18.784,13.9591666666667,60.5517,63.83015,63.8405,41.06007,35.31,38.01565,34.489,12.6166666666667,43.035,35,34.15,34.95835,86.1,7.83333333333333,7.473674,19.142560932,8.845,14.283605,24.7,9,35.16404,16.18612,9.735,9.61,9.76525,15.525,5,13.23,17.265,23.79,12.95,13.601,11.651,7.9,36.852,38.637655,0.132,0.144,0.08,9.45,6.75995,12.1,8.411,25.51856,33.15,32.617,3.50641225,33.254625,40.296325,14.4,5.15,9.4225,10.915,25.604,28.001,31.1525,10.9265,46.3,29.766,31.28,28.8770833333333,17.77,29.6033333333333,29.8475,35.0883333333333,35.86,24.3425,30.84,11.88,24.05,24.67,13.025,37.9533333333333,18.36,10.21,22.64125,19.02875,32.9775,11.52,25.62,4.11833333333333,29.12,20.12,18.9191666666667,20.8266666666667,36.415,23.165,37.12
35.5,30.1000005,2.9,22.535,28.4175,27.68475,14.5585,20.05,6.5,23.046,16.676,11.71045,5.975,15.4015,6.317,4.7585,4.8895,4.2075,3.4545,41.2525,13.101,24.10725,10,9.45,8,14.3,16.025,11.25,12.85,16.05,19.0875,46.4505,12.86666665,5.116,1.888,53.882427811,5.81875,32.85,4.6114338495,22.8725,8.953,26.812075,11,34.631125,31.9666665,50.133333,26,9,14.45,4.4,8.4,9.9,29.9,16,14.572,13.755,28.7935,4.1724,8.85714285714286,46,7.2405,29.10667,22.34,28.65167,28.32333,27.3,10.608,8.767,41.747475,7.35,13.6,6.73,21.05,40.292,42.4,89.717,77.568,6.4179325,19.6205,11,19.9575,22.8,21.5355,23.625,19.95,17.9,3.54238141666667,6.3,13.02982,34.45,44.9,7.7815055,5.04861111111111,8.4,31.337031915,22.9853,29.99454,29.39081,30.82012,21.35981,14.4494,22.9244,31.385015,33.3207152,12.475,20.03,20.62,18.99,26.79,17.8,18.8195,13.63,60.2939,63.6081,63.73785,41.06007,35.33086,38.00681,34.449,12.5416666666667,43.025,35,34.15,34.95835,85.9,7.83333333333333,7.48828,19.1758473744,8.88,14.245142,24.6,8.85,35.12608,15.858,9.755,9.61,9.765,15.525,5.03,13.265,17.215,23.8,13.05,13.601,11.651,8,36.843,38.6455305,0.1315,0.144,0.08,9.53,6.782,12.1,8.456,25.528165,33.2,32.64175,3.50667775,33.235,40.284075,14.45,5.15,9.4425,10.915,25.5945,28.001,31.17633,10.9095,46.4,29.765,30.8475,29.4525,17.78,29.625,29.75,35.27625,35.855,24.595,29.27,12.765,23.676,24.555,12.945,37.885,18.865,11.335,22.24825,19.9908333333333,32.975,11.5316666666667,22.155,3.98125,29.07,20.125,18.4,20.77,36.09875,24.565,36.94
