DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.263,0.00177274853486087,0.264772748534861,0.0195,-17.941,0.283,-5.036,-25.961,0.16,1.977,4.769,-1.508
1,1.5,0.1755,0.0065911093426958,0.182091109342696,0.046,-19.007,0.2825,-5.148,-26.5355,0.16,1.8905,4.768,-1.5195
1,2.5,0.2155,0.00102432339942942,0.216524323399429,-0.112,-18.3405,0.2875,-4.239,-26.1525,0.16,1.9955,4.767,-1.45
1,3.5,0.132,0.0103876443432157,0.142387644343216,-0.03,-19.2535,0.278,-6.06,-25.372,0.175,1.895,4.766,-1.753
1,4.5,0.3845,0.00398749942681493,0.388487499426815,0.144,-24.0045,0.2925,-4.4,-26.377,0.17,2.0325,4.765,-1.289
1,5.5,0.454,0.00799312162307354,0.461993121623073,0.015,-22.439,0.309,-2.879,-26.286,0.16,2.0225,4.7635,-0.954
1,6.5,0.426,0.00487914628163969,0.43087914628164,0.0805,-15.583,0.259,-4.086,-26.0365,0.16,1.737,4.762,-1.108
1,7.5,0.421833333333333,-0.0044595615155809,0.417373771817752,-0.01,-13.1015,0.2475,-5.269,-25.8025,0.155,1.785,4.7635,-1.249
1,8.5,0.417666666666667,0.000484160581080019,0.418150827247747,0.1145,-10.911,0.2605,-3.8375,-25.4785,0.16,1.862,4.765,-0.6375
1,9.5,0.4135,0.00282976358555225,0.416329763585552,-0.0105,-7.063,0.293,4.671,-25.2535,0.16,1.862,4.7585,12.453
1,10.5,0.234,-0.0252868327139741,0.208713167286026,0.374,10.146,0.397,20.8,-24.881,0.17,2.241,4.752,46.4505
1,11.5,0.397,-0.0493559266441604,0.34764407335584,0.6345,32.6355,0.4195,44.254,-23.8565,0.18,2.3865,4.756,73.7855
1,12.5,0.558,-0.0330744970682256,0.524925502931774,0.686,43.6255,0.451,57.12,-22.9875,0.195,2.2935,4.76,85.3745
1,13.5,0.385,-0.0271821177985183,0.357817882201482,0.9,44.4735,0.4785,56.1405,-22.4025,0.21,2.455,4.759,92.895
1,14.5,0.383,-0.0177830629287976,0.365216937071202,0.549,26.86,0.4715,32.253,-22.315,0.22,2.498,4.758,77.8905
1,15.5,0.342,-0.0107485018925068,0.331251498107493,0.232,0.799,0.399,8.57,-22.197,0.21,2.2545,4.759,28.75
1,16.5,0.32,0.00598959051362022,0.32598959051362,-0.024,-15.915,0.3275,-5.298,-22.1895,0.2,2.067,4.76,0.976
1,17.5,0.149,0.00449801940779167,0.153498019407792,0.153,-15.032,0.2975,-6.7955,-22.4635,0.19,2.1385,4.756,-1.7185
1,18.5,0.254,0.000549806306808858,0.254549806306809,0.065,-13.468,0.284,-6.811,-22.6825,0.18,2.05,4.752,-1.6925
1,19.5,0.378,-0.00665853666257714,0.371341463337423,0.047,-18.007,0.3,-5.5495,-23.2485,0.18,1.9695,4.752,-2.0265
1,20.5,0.219,-0.000501431035733725,0.218498568964266,0.062,-22.6315,0.2755,-4.318,-24.1035,0.17,1.9705,4.752,-2.123
1,21.5,0.235,-0.00515176829625158,0.229848231703748,-0.044,-17.9085,0.2765,-5.9265,-25.0525,0.17,1.9935,4.755,-2.0245
1,22.5,0.119,-0.00333328664137942,0.115666713358621,-0.0445,-19.522,0.298,-5.21,-25.878,0.165,1.9985,4.758,-1.9405
1,23.5,0.2455,-0.00509553205242029,0.24040446794758,-0.003,-22.918,0.2985,-5.32,-26.1235,0.155,2.048,4.758,-1.85
2,0.5,0.1435,0.00754634815679793,0.151046348156798,0.014,-6.01,0.216,-11.761,-30.2705,0.14,1.759,4.576,-2.6535
2,1.5,0.14,0.00789989206014337,0.147899892060143,-0.0115,-7.86,0.193,-12.2285,-30.55,0.13,1.7225,4.5765,-2.5625
2,2.5,0.084,0.012989324035045,0.096989324035045,0.0015,-5.671,0.196,-12.2415,-31.2585,0.125,1.703,4.577,-2.5025
2,3.5,0.096,0.0103843433283646,0.106384343328365,0.008,-6.54,0.187,-10.3655,-31.9775,0.12,1.624,4.575,-2.0475
2,4.5,0.076,0.0124618256554198,0.0884618256554198,-0.0105,-5.9165,0.147,-9.2895,-32.119,0.12,1.42,4.573,-2.0125
2,5.5,0.091,0.00904630804953169,0.100046308049532,-0.008,-7.485,0.159,-8.151,-32.2715,0.12,1.5065,4.5665,-1.925
2,6.5,0.122,0.00777526696853516,0.129775266968535,-0.004,-5.156,0.1525,-7.671,-32.578,0.12,1.4835,4.56,-1.8615
2,7.5,0.078,0.00931373944373749,0.0873137394437375,-0.023,-5.873,0.153,-8.3765,-32.5795,0.11,1.454,4.562,-1.645
2,8.5,0.097,0.0057052560684053,0.102705256068405,-0.028,-5.118,0.155,-4.679,-32.3805,0.11,1.547,4.564,0.803
2,9.5,0.154,-0.00775127891672943,0.146248721083271,0.0325,-2.193,0.2245,16.82,-32.2225,0.12,1.4995,4.5645,41.089
2,10.5,0.18,-0.0772676664297617,0.102732333570238,0.4745,23.351,0.3125,58.6945,-30.631,0.14,1.7345,4.565,120.0045
2,11.5,0.185,-0.0580482644533075,0.126951735546692,1.0125,60.47,0.356,90.077,-28.55,0.165,1.842,4.5645,185.8625
2,12.5,0.129,-0.0345823737882082,0.0944176262117918,2.297,90.425,0.389,103.835,-26.7525,0.2,1.9175,4.564,210.448
2,13.5,0.112,-0.0299373719740085,0.0820626280259915,2.1805,89.7015,0.432,101.2835,-24.7475,0.245,2.121,4.5695,226.327
2,14.5,0.138,-0.0149774377037266,0.123022562296273,2.2475,65.5405,0.4365,74.717,-24.0395,0.26,2.1745,4.575,179.163
2,15.5,0.135,-0.00912376118763702,0.125876238812363,1.1765,23.8345,0.4,28.396,-24.0985,0.26,2.258,4.57575,93.702
2,16.5,0.0785,0.000988880652539349,0.0794888806525394,0.06,-5.9315,0.3205,-10.5565,-24.4795,0.235,1.9315,4.5765,18.1465
2,17.5,0.059,0.00286174131798796,0.061861741317988,-0.0565,-7.0745,0.2285,-23.5625,-25.531,0.21,2.118,4.5795,-2.8915
