DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.2405,0,0.2405,1.5445,-18.902,0.199,-50.2565,-1.8315,1.04,2.4525,22.895,-1.55
1,1.5,0.093,0,0.093,1.5775,-19.5085,0.1995,-49.4125,-2.5125,0.92,2.287,22.895,-1.6375
1,2.5,0.077,0,0.077,1.678,-20.067,0.2115,-50.439,-2.978,0.85,2.3055,22.895,-1.565
1,3.5,0.1025,0,0.1025,1.338,-14.454,0.22,-50.218,-3.2765,0.73,2.6915,22.89,-1.6015
1,4.5,0.15,0,0.15,1.287,-15.452,0.174,-49.416,-3.256,0.71,2.2915,22.886,-1.6125
1,5.5,0.0515,0,0.0515,0.788,-14.5275,0.153,-50.278,-3.4835,0.69,2.1975,22.886,-1.5995
1,6.5,0.145,0,0.145,0.147,-14.829,0.15,-51.017,-3.86,0.625,2.1375,22.88,-1.593
1,7.5,0.016,0,0.016,0.707,-15.0025,0.146,-47.276,-3.994,0.51,2.1995,22.8775,0.658
1,8.5,0.0585,0,0.0585,7.155,-3.616,0.21,-8.891,-3.606,0.73,2.503,22.875,89.299
1,9.5,-0.035,0,-0.035,15.8205,37.805,0.257,56.876,-0.148,1.44,2.917,22.8725,248.8105
1,10.5,-0.3245,0,-0.3245,23.9215,96.0415,0.27,145.701,2.6075,2.6,3.3515,22.866,421.8705
1,11.5,-0.232,0,-0.232,25.0595,130.8555,0.305,199.7555,4.774,3.67,3.6455,22.863,533.255
1,12.5,-0.31,0,-0.31,26.7155,155.3785,0.327,220.05,6.5565,4.765,3.8635,22.8575,576.4105
1,13.5,-0.412,0,-0.412,25.3785,142.447,0.3265,208.205,7.75,5.575,3.984,22.8525,547.5405
1,14.5,-0.272,0,-0.272,22.29,113.126,0.3145,147.311,8.0805,6.37,3.7975,22.85,446.16
1,15.5,-0.1545,0,-0.1545,15.815,66.702,0.318,58.274,9.485,7.055,3.925,22.85,300.795
1,16.5,0.046,0,0.046,5.9865,7.33,0.2695,-8.474,8.775,5.705,3.1885,22.85,110.8
1,17.5,0.1585,0,0.1585,0.754,-19.69,0.173,-54.74,5.832,4.305,2.442,22.8425,1.73
1,18.5,0.179,0,0.179,0.149,-21.369,0.1665,-52.302,3.5775,3.04,2.3355,22.84,-2.067
1,19.5,0.308,0,0.308,0.6945,-18.022,0.1645,-53.02,1.971,2.085,2.311,22.84,-1.863
1,20.5,0.298,0,0.298,0.6765,-18.7155,0.148,-52.281,0.779,1.775,2.362,22.8375,-1.773
1,21.5,0.2225,0,0.2225,0.9305,-19.852,0.1705,-49.823,-0.019,1.54,2.3615,22.835,-1.5715
1,22.5,0.176,0,0.176,0.9235,-17.02,0.187,-48.4015,-0.2405,1.28,2.252,22.835,-1.536
1,23.5,0.048,0,0.048,0.942,-19.236,0.208,-48.6975,-0.938,1.145,2.372,22.835,-1.5645
2,0.5,0.202,0,0.202,1.059,-19.827,0.2275,-45.327,1.1125,1.03,3.134,21.621,-1.376
2,1.5,0.1765,0,0.1765,2.893,-23.718,0.251,-45.0125,0.801,1.04,3.348,21.608,-1.2835
2,2.5,0.311,0,0.311,2.116,-21.7655,0.241,-43.6465,0.5215,0.945,3.127,21.5935,-1.3035
2,3.5,0.2475,0,0.2475,4.081,-15.4825,0.256,-43.6085,0.2175,1.04,3.4795,21.58,-1.2975
2,4.5,0.207,0,0.207,2.28,-12.8265,0.262,-44.6455,-0.2015,0.84,3.164,21.565,-1.309
2,5.5,0.138,0,0.138,2.9775,-14.0075,0.285,-38.51,-0.225,0.805,3.334,21.5525,-1.1305
2,6.5,0.145,0,0.145,2.503,-12.6165,0.297,-39.7605,-0.592,0.81,3.7005,21.5405,-1.181
2,7.5,0.146,0,0.146,3.566,-12.987,0.275,-34.169,-0.686,0.91,3.543,21.528,1.233
2,8.5,-0.062,0,-0.062,9.745,0.121,0.264,3.341,-0.4315,0.98,3.655,21.515,73.1195
2,9.5,-0.112,0,-0.112,20.418,35.506,0.29,63.8645,0.494,1.365,3.9925,21.503,252.8305
2,10.5,-0.182,0,-0.182,28.462,89.895,0.323,143.5455,2.8215,2.3,4.138,21.505,424.125
2,11.5,-0.643,0,-0.643,34.072,129.894,0.3235,220.0355,5.1845,3.95,4.497,21.5125,554.7405
