DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.367656,0,0.367656,2.46712,-9.008055,0.1950305,-46.815,-0.40825,1.21254240316275,3.326395,25.01625,-0.12261
1,1.5,0.42582,0,0.42582,2.2294,-9.18755,0.196395,-47.305,-0.5334835,1.13620281458256,3.365845,24.9225,-0.1449
1,2.5,0.357036,0,0.357036,2.44687,-8.65376,0.1999905,-48.5047,-0.70025,1.04959771029068,3.461595,24.82625,-0.162
1,3.5,0.410671,0,0.410671,2.273625,-9.41092,0.198329,-49.1593,-1.0005,0.965111074992768,3.37918,24.805,-0.208
1,4.5,0.415208,0,0.415208,2.26823,-8.52013,0.191651,-48.45,-1.2755,0.893677141821343,3.286675,24.7875,-0.1631025
1,5.5,0.379134,0,0.379134,2.58848,-9.01242,0.20454,-48.0916,-1.55675,0.878051017005484,3.484805,24.74,-0.072575
1,6.5,0.40659,0,0.40659,2.71929,-8.56312,0.2111505,-47.3675,-1.699385,0.846251514976008,3.567555,24.6725,-0.0621675
1,7.5,0.31144,0,0.31144,2.7795,-7.098045,0.205549,-43.7575,-1.772,0.85407061733387,3.45249,24.5825,1.2379425
1,8.5,0.0518235,0,0.0518235,8.711855,-0.814155,0.24698,-3.42523,-1.12813,0.975832180771399,3.74332,24.5625,65.37
1,9.5,-0.509366,0,-0.509366,23.26605,20.3826,0.310429,55.85,0.384,1.50835182699994,4.66924,24.53625,230.7
1,10.5,-0.956177,0,-0.956177,34.9326,47.5277,0.3369905,162.7825,2.577615,2.20620903802872,5.06442,24.45625,383.81175
1,11.5,-1.34163,0,-1.34163,42.17775,75.3926,0.3388165,237.85,4.29675,2.7872764236436,5.054665,24.53625,489.29925
1,12.5,-1.60154,0,-1.60154,47.0194,85.6208,0.339639,269.11,5.712835,3.45589777202108,4.95564,24.58,543.675
1,13.5,-1.50947,0,-1.50947,52.2444,85.1482,0.337707,249.9725,6.891515,4.1351004948648,4.79502,24.6975,516.7
1,14.5,-1.20812,0,-1.20812,46.81605,64.9112,0.33154,190.79,7.4325,4.84767343369132,4.86303,24.755,421.6
1,15.5,-0.9986085,0,-0.9986085,34.4783,29.2035,0.31581,94.5715,7.6375,5.07407741987927,4.84406,24.7575,269.45
1,16.5,-0.410982,0,-0.410982,17.43955,-1.70638,0.271832,4.171235,7.207,4.78723687571763,4.24139,24.74625,101.9
1,17.5,0.2858775,0,0.2858775,3.66982,-7.83005,0.151864,-52.67715,5.120235,3.67731117537004,3.250895,24.66875,2.922735
1,18.5,0.41492,0,0.41492,1.963395,-7.51578,0.142225,-55.8857,3.599585,2.81052838881751,3.045245,24.76875,-0.833075
1,19.5,0.425297,0,0.425297,1.86298,-8.252525,0.1622845,-54.23,2.659,2.2734782019268,3.03392,24.80125,-0.6302325
1,20.5,0.404691,0,0.404691,1.99951,-9.045865,0.1645265,-53.135,1.739,1.97317476340636,3.18347,24.69875,-0.5322075
1,21.5,0.4136525,0,0.4136525,2.83607,-10.69935,0.172192,-53.2425,1.324985,1.70187836972636,3.26031,24.68,-0.3775
1,22.5,0.396209,0,0.396209,3.312465,-10.08885,0.192109,-50.6522,0.5476835,1.51868047570026,3.41403,24.65875,-0.257
