DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,-0.159,0,-0.136,1,-9,0.114,-91,2.1,2.365,1.435,11,-2
1,1.5,-0.136,0,-0.113,1,-9,0.12,-91,2.05,2.23,1.405,11,-2
1,2.5,-0.113,0,-0.113,1,-8,0.101,-90,2,2.12,1.405,11,-2
1,3.5,-0.1245,0,-0.113,0,-8,0.113,-89,1.55,1.98,1.345,11,-2
1,4.5,-0.136,0,-0.136,0,-8,0.0995,-87,1.3,1.98,1.25,11,-2
1,5.5,-0.113,0,-0.113,0,-7.5,0.1035,-87,1.1,1.92,1.22,11,-2
1,6.5,-0.159,0,-0.136,0,-8,0.114,-86,0.8,1.785,1.26,11,-2
1,7.5,-0.136,0,-0.136,2,-5,0.1155,-70,1.05,1.82,1.14,11,32
1,8.5,0.0115,0,0,13,19,0.155,20.5,5.1,3.45,1.005,11,192
1,9.5,0.819,0,0.773,22,71,0.244,138,9.4,6.415,2.105,11,377.5
1,10.5,1.739,0,1.7165,21,127,0.302,236,11.85,8.725,2.9,11,532
1,11.5,2.296,0,2.296,22,155,0.3595,283,13.65,10.715,3.535,11,629.5
1,12.5,2.637,0,2.614,20,164,0.38,293.5,14.7,12.345,3.8,11,660
1,13.5,2.364,0,2.364,17,148,0.396,259,15.6,13.415,3.765,11,598
1,14.5,1.864,0,1.864,15,112,0.3855,172.5,16.0505,13.46,3.71,11,482.5
1,15.5,1,0,1,10,54,0.347,59.5,15.5,12.89,3.48,12,312.5
1,16.5,-0.022,0,-0.022,5,-5,0.298,-56,14.2,11.565,2.875,12,119
1,17.5,-0.227,0,-0.204,1,-16,0.177,-108,11.4,8.76,1.985,11,-1
1,18.5,-0.159,0,-0.136,1,-14,0.143,-104.5,8.9,6.565,1.515,11,-4
1,19.5,-0.136,0,-0.113,1,-12,0.116,-101,6.4,4.83,1.485,11,-3
1,20.5,-0.136,0,-0.113,0,-10,0.113,-98,4.6,3.765,1.39,11,-3
1,21.5,-0.113,0,-0.113,1,-8.5,0.104,-96,3.35,2.925,1.36,11,-3
1,22.5,-0.136,0,-0.113,0,-8.5,0.106,-94,2.7,2.655,1.34,11,-3
1,23.5,-0.136,0,-0.113,1,-8,0.097,-92,1.9,2.475,1.415,11,-2
2,0.5,-0.136,0,-0.113,0,-8,0.096,-92,2,2.05,1.31,13,-2
2,1.5,-0.136,0,-0.113,0,-8,0.09,-91,1.65,1.81,1.315,13,-2
2,2.5,-0.136,0,-0.113,0,-7,0.089,-88,1.6,1.57,1.27,13,-2
2,3.5,-0.113,0,-0.09,0,-7,0.088,-86,1.45,1.555,1.31,13,-2
2,4.5,-0.136,0,-0.113,0,-7,0.099,-85,1.05,1.475,1.305,13,-2
2,5.5,-0.136,0,-0.113,0,-8,0.092,-83,0.6,1.33,1.275,13,-2
2,6.5,-0.159,0,-0.136,0,-7,0.083,-81.5,0.6,1.255,1.215,12,-2
2,7.5,-0.159,0,-0.136,1,-5,0.103,-60.5,1.35,1.34,1.09,12,34
2,8.5,0.046,0,0.023,11,20,0.14,38.5,5.6,2.985,1.005,13,206.5
2,9.5,0.841,0,0.796,16,81,0.255,151,9.25,5.795,2.46,13,390.5
2,10.5,1.739,0,1.728,17,136,0.339,252.5,11.5,7.765,3.115,13,559.5
2,11.5,2.364,0,2.364,18,176,0.365,315.5,12.7,9.58,3.37,13,665
2,12.5,2.7845,0,2.7845,18,189.5,0.384,335.5,13.9,11.06,3.665,13,696.5
2,13.5,2.6025,0,2.6025,16,178,0.3985,291.5,14.3,11.975,3.805,13,645.5
2,14.5,2.1255,0,2.114,12,140,0.405,213.5,14.7,12.42,3.72,13,524
2,15.5,1.228,0,1.228,9.5,82,0.376,96,14.65,12.25,3.69,13,354
2,16.5,0.25,0,0.25,5,10,0.336,-21,13.5,11.15,3.25,13,160
2,17.5,-0.204,0,-0.1925,1.5,-19,0.248,-104,10.9,8.595,2.33,13,7
2,18.5,-0.227,0,-0.204,1,-21,0.179,-111,8.2,5.945,1.96,13,-4
2,19.5,-0.136,0,-0.136,0,-14,0.129,-105,6.3,4.29,1.7,13,-3
2,20.5,-0.136,0,-0.113,0,-12,0.109,-102,5.25,3.32,1.5,13,-3
2,21.5,-0.1475,0,-0.136,0,-11,0.12,-97,4.4,2.695,1.425,13,-3
2,22.5,-0.159,0,-0.136,0,-9,0.113,-94,3.55,2.31,1.275,13,-3
2,23.5,-0.113,0,-0.09,0,-7,0.098,-92,2.85,2.135,1.3,13,-3
3,0.5,-0.136,0,-0.113,0,-9,0.1185,-96,2.3,2.405,1.44,13,-3
3,1.5,-0.181,0,-0.159,0,-9,0.122,-94,2,2.205,1.46,13,-2
3,2.5,-0.1925,0,-0.159,0,-8,0.0975,-93,1.4,2.1,1.345,13,-3
3,3.5,-0.159,0,-0.136,0,-9,0.113,-91,0.95,1.92,1.35,13,-2
3,4.5,-0.204,0,-0.159,0,-8,0.1145,-90,0.85,1.785,1.36,13,-2
3,5.5,-0.159,0,-0.136,0,-9,0.1,-90,0.65,1.615,1.385,13,-2
3,6.5,-0.227,0,-0.181,0,-10,0.113,-88,0.4,1.59,1.375,13,-2
3,7.5,-0.159,0,-0.159,2,-3,0.135,-62.5,1.3,1.8,1.285,13,39
3,8.5,0.16,0,0.16,13,30,0.1605,47,5.55,3.75,1.285,13,220
3,9.5,1.137,0,1.137,18.5,93.5,0.2735,178,9.35,6.57,2.4,13,431.5
3,10.5,2.239,0,2.2165,24.5,156,0.349,292.5,11.55,8.71,3.335,13,609
3,11.5,3.069,0,3.046,24,191,0.3855,357,12.85,10.455,3.6,13,727.5
3,12.5,3.33,0,3.33,23,209.5,0.428,380.5,14.2,11.9,3.915,13,764
3,13.5,3.228,0,3.228,22.5,203,0.43,348.5,14.8,12.975,3.955,13,725
3,14.5,2.671,0,2.671,20,171.5,0.424,274.5,15.15,13.46,3.895,13,617
3,15.5,1.819,0,1.819,15,112,0.415,156,14.8,13.085,3.735,13,443
3,16.5,0.569,0,0.569,10,36,0.386,11,14.15,12.39,3.615,13,226
3,17.5,-0.136,0,-0.136,3,-15,0.299,-89,12.2,10.13,2.84,13,35
3,18.5,-0.261,0,-0.25,1,-21,0.1985,-117,9,7.465,2.135,13,-4
3,19.5,-0.181,0,-0.159,1,-17,0.158,-110,6.6,5.48,1.95,13,-4
3,20.5,-0.159,0,-0.136,1,-11,0.1235,-105,5.6,4.48,1.67,13,-3
3,21.5,-0.159,0,-0.136,1,-10,0.118,-102,4.4,3.645,1.57,13,-3
