DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.182,0,0.2615,3,-7,0.314,-13,-1,0.31,4.955,31,0
1,1.5,0.25,0,0.2845,2.5,-6,0.2975,-13,-1.1,0.3,4.765,31,0
1,2.5,0.3985,0,0.319,3,-6,0.291,-15,-1.3,0.29,4.55,30.4,0
1,3.5,0.387,0,0.364,2,-7,0.282,-14.5,-1.2,0.31,4.45,30,0
1,4.5,0.478,0,0.319,3,-8,0.2655,-13,-1.4,0.26,4.665,30,0
1,5.5,0.478,0,0.3985,2,-9,0.277,-12,-1.85,0.24,4.685,29.95,0
1,6.5,0.41,0,0.455,2.5,-9,0.28,-15,-1.85,0.24,4.66,29.95,0
1,7.5,0.682,0,0.614,4.5,-7,0.3045,-8,-1.9,0.24,4.995,29.9,8
1,8.5,0.1935,0,0.205,11,5,0.341,12.5,-1.3,0.32,5.32,29.9,75.5
1,9.5,0.0575,0,0.069,24,22,0.365,51,-0.3,0.41,5.71,29.9,144.5
1,10.5,-0.068,0,-0.136,32,29,0.392,70.5,0.3,0.56,6.04,30.05,235
1,11.5,0,0,-0.045,34,35,0.3965,86,0.7,0.625,6.105,31,263.5
1,12.5,5e-04,0,-0.09,34,38,0.392,81.5,0.9,0.765,5.945,31,269
1,13.5,0.1935,0,0.205,35,27,0.3865,68,1.1,0.895,6.105,31,216
1,14.5,0.25,0,0.205,24,12.5,0.3675,39,1.4,0.925,5.825,31.05,140.5
1,15.5,0.421,0,0.341,22,3,0.337,9,1,0.89,5.665,31,69
1,16.5,0.4095,0,0.341,8,-6,0.314,-10.5,0.5,0.765,5.29,31,5.5
1,17.5,0.6025,0,0.41,5,-8,0.299,-16,0.3,0.59,4.735,31,0
1,18.5,0.478,0,0.3755,2,-6,0.305,-19,0.2,0.48,4.665,30.5,0
1,19.5,0.5,0,0.421,3,-7,0.2785,-17,-0.1,0.455,4.835,30.5,0
1,20.5,0.546,0,0.387,4,-7,0.275,-16,-0.5,0.44,4.835,30.5,0
1,21.5,0.637,0,0.5,3,-7,0.288,-15,-0.75,0.44,4.82,30.5,0
1,22.5,0.364,0,0.319,2,-8,0.282,-16,-1.05,0.4,4.845,30.5,0
