DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,2.718665,0.0222,2.740865,-1.55954,-10.49355,0.1098255,-34.677805,15.06,0.9057245,1.1723971345,23.830705,-2.11883
1,1.5,2.795715,0.0727,2.868415,-2.610245,-10.5669,0.1103575,-30.34194,14.745,0.74482,0.974496638,23.85,-2.156251
1,2.5,3.0618,-0.01745,3.04435,-3.094125,-9.02058,0.100345,-30.67965,14.145,0.4580345,0.9649427745,23.85,-2.3452435
1,3.5,2.36369,0.010745,2.374435,-3.21054,-7.295345,0.0994945,-22.998295,13.91,0.3690485,1.0142893415,23.85,-1.867323
1,4.5,2.55874,0.1243615,2.6831015,-0.725641,-8.098655,0.098299,-19.349755,13.56,0.3173775,1.05048,23.85,-2.043327
1,5.5,2.76373,0.01025,2.77398,-1.46295,-7.52188,0.1099225,-16.058565,12.93,0.245096,1.05979,23.85,-1.889269
1,6.5,2.84553,-0.00322,2.84231,-2.04915,-9.11211,0.117909,-17.23896,12.79,0.2081595,1.063629384,23.85,-1.3157935
1,7.5,1.48746,0.0603,1.54776,-2.02982,-5.00293,0.09435,-8.388204,12.2025,0.1997645,1.0438896195,23.85004,3.7938775
1,8.5,-0.274634,-0.281153,-0.555787,32.2183,11.613245,0.2208315,81.419495,15.3095,0.2682505,1.45431,23.85004,135.86325
1,9.5,-4.94892,-0.3597855,-5.3087055,88.31995,47.9451,0.2857375,211.1833,18.4645,2.875795,1.8210547215,24.46687,334.697
1,10.5,-9.254995,-0.167879,-9.422874,125.4885,114.212,0.357124,345.8953,21.395,6.39938,2.1861043195,24.885025,529.92105
1,11.5,-10.9681,-0.05695,-11.02505,149.5115,144.035,0.345966,426.67605,23.235,9.258605,2.17987,24.71754,610.1978
1,12.5,-11.70725,-0.02805,-11.7353,158.099,151.6045,0.381592,473.00185,23.925,11.6786,2.17516,24.597855,671.36685
1,13.5,-11.54025,-0.01481,-11.55506,169.6515,151.772,0.378984,454.87475,24.83,14.8974,2.1381445465,24.428705,640.9286
1,14.5,-9.379835,0.00675,-9.373085,139.9225,113.475,0.3439235,372.06815,25.01,14.2302,2.010325,24.235075,566.22305
1,15.5,-6.94193,-0.001137,-6.943067,111.903,61.631,0.3242795,248.18485,25.06,14.81745,1.908315,24.119985,401.7094
1,16.5,-3.355585,-4.5e-05,-3.35563,68.5082,0.37833,0.275328,92.293285,24.475,13.2468,1.6203837975,24.07504,197.93945
1,17.5,-0.0593325,0.0867,0.0273675,16.0073,-14.2158,0.1443975,-23.87547,22.1,10.040205,1.10919,23.6399,12.15231
1,18.5,3.08445,0.167624,3.252074,2.49932,-8.46316,0.08095,-49.14245,19.585,5.956505,1.0072975915,23.715435,-3.2003665
1,19.5,2.58305,0.06995,2.653,0.801117,-9.381565,0.096952,-45.43333,18.375,3.55676,0.9254510325,23.76179,-2.51558
1,20.5,2.572555,0.0672,2.639755,0.024535,-15.20435,0.1153085,-41.33082,17.235,2.66899,0.972330453,23.4001,-2.066656
1,21.5,2.55138,0.05655,2.60793,-0.9421305,-10.91871,0.1217445,-42.52727,16.535,2.04563,1.046445214,23.4006,-2.2188825
1,22.5,2.658425,0.011435,2.66986,-1.495925,-12.35431,0.110814,-47.75589,15.65,1.319845,1.044636108,23.40119,-2.276029
1,23.5,2.47982,0.0449,2.52472,-1.31158,-9.67151,0.104098,-41.010275,14.54,1.240815,1.0019100875,23.43564,-2.6555635
2,0.5,2.479875,-0.01275,2.467125,1.867675,-8.33848,0.1087955,-37.934435,10.75,1.16052,1.0222437555,21.804985,-2.3456475
2,1.5,2.71816,0.00235,2.72051,-0.0826585,-9.35931,0.130499,-36.460835,10.43,1.04081,1.144115,21.80501,-2.403325
2,2.5,2.23206,0.01975,2.25181,0.178093,-10.05597,0.1559925,-27.855605,10.22,0.935208,1.2797952725,21.807795,-2.004112
2,3.5,2.48762,0.0023,2.48992,0.498601,-13.3812,0.175284,-23.295725,10.15,0.780273,1.18636,21.998805,-1.8506845
2,4.5,1.74308,0.04795,1.79103,-0.71367,-12.55735,0.152338,-22.766485,10.28,0.815293,1.339646167,22.22,-2.1265105
2,5.5,2.3493,0.0398,2.3891,-1.1876565,-16.9741,0.1591905,-23.748665,10.24,0.827269,1.314495,22.22,-2.553266
2,6.5,2.74814,-0.00566,2.74248,-0.0513,-16.09975,0.165955,-29.94432,9.82,0.894969,1.340565,22.22,-2.388409
2,7.5,2.00476,-0.0401,1.96466,3.616115,-13.61605,0.2017345,-11.34706,9.88,0.8038455,1.2404841005,22.58533,6.211628
2,8.5,-1.298005,-0.203474,-1.501479,47.76275,-1.762905,0.296351,79.83286,11.715,1.713445,1.9293,22.706565,147.8292
2,9.5,-4.99227,-0.180491,-5.172761,87.8157,52.9843,0.3605505,209.4704,14.234,4.215005,2.17738,22.672565,331.4238
2,10.5,-8.97073,-0.0803,-9.05103,113.0065,122.419,0.4154925,335.5813,17.43,6.819785,2.30843,22.60827,513.7829
