DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,-0.409,0,-0.409,3.5,-9,0.295,-40,-10.05,0.385,4.275,11.7505,-2
1,1.5,-0.318,0,-0.318,3,-8,0.304,-37,-10.35,0.37,4.32,11.701,-2
1,2.5,-0.386,0,-0.386,4.5,-7,0.3365,-34,-10.25,0.38,4.1,11.701,-2
1,3.5,-0.34,0,-0.34,4,-5,0.3255,-27.5,-10.45,0.415,4.04,11.701,-1.5
1,4.5,-0.329,0,-0.329,3.5,-5,0.294,-28,-11.65,0.395,4.205,11.651,-1
1,5.5,-0.3175,0,-0.3175,1,-7.5,0.209,-27,-12.1,0.375,3.755,11.701,-1.5
1,6.5,-0.181,0,-0.181,2,-6.5,0.21,-27.5,-11.5,0.38,3.625,11.601,-2
1,7.5,-0.204,0,-0.204,1,-3,0.2,-28,-11,0.38,3.13,11.651,-1
1,8.5,-0.295,0,-0.295,2.5,-2,0.152,-18,-10.45,0.355,3.465,11.651,32
1,9.5,-0.3515,0,-0.3515,7.5,8.5,0.248,7.5,-8,0.44,4.265,11.651,114.5
1,10.5,-0.477,0,-0.477,14,33,0.297,17,-6.95,0.53,4.995,11.651,241.5
1,11.5,-0.431,0,-0.431,21,49,0.3195,43,-6.4,0.665,5.79,11.701,340.5
1,12.5,-0.3855,0,-0.3855,35,52,0.3395,48,-6.25,0.765,6.235,11.701,394
1,13.5,-0.409,0,-0.409,30,48,0.374,43,-6.1,0.925,6.795,11.701,325.5
1,14.5,-0.2835,0,-0.2835,19.5,24,0.351,27,-5.8,0.885,6.65,11.8,266.5
1,15.5,-0.318,0,-0.318,13.5,6,0.33,6.5,-5.9,0.925,6.045,11.85,152.5
1,16.5,-0.249,0,-0.249,7,-1,0.309,-29.5,-6.55,0.9,5.805,11.9,44
1,17.5,-0.397,0,-0.397,4.5,-9,0.279,-45.5,-7.95,0.77,5.355,11.8,-1
1,18.5,-0.34,0,-0.34,3.5,-8,0.252,-47,-8,0.67,4.745,11.85,-2
1,19.5,-0.295,0,-0.295,1.5,-13,0.235,-45,-8.15,0.64,4.44,11.8,-2
1,20.5,-0.34,0,-0.34,4,-15,0.2635,-38,-7.8,0.57,4.54,11.8,-2
1,21.5,-0.318,0,-0.318,3,-10.5,0.2665,-40.5,-7.4,0.58,4.21,11.9,-2
1,22.5,-0.4425,0,-0.4425,3,-5,0.2585,-39,-8,0.54,4.37,11.85,-2
1,23.5,-0.3405,0,-0.3405,2,-3.5,0.2685,-37,-9.1,0.44,4.4,11.8,-2
