DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,-0.095,0,-0.095,0.831,-18.1,0.156,-69.55,5.276,3.68,1.84,9.825,-1.96
1,1.5,-0.107,0,-0.107,0.672,-15.7,0.1455,-68.35,4.49,3.56,1.82,9.76,-1.84
1,2.5,-0.1275,0,-0.1275,0.599,-15.8,0.159,-67.4,4.225,3.09,1.845,9.63,-1.7005
1,3.5,-0.106,0,-0.106,0.7705,-17.45,0.1495,-66.75,3.65,3.01,1.8115,9.565,-1.72
1,4.5,-0.1045,0,-0.1045,0.5145,-14.95,0.1395,-66.2265,3.695,2.94,1.735,9.54,-1.745
1,5.5,-0.104,0,-0.104,0.6385,-14.8,0.1405,-65.9,3.385,2.87,1.76,9.49,-1.725
1,6.5,-0.101,0,-0.101,0.5575,-16.0165,0.142,-65.8,3.505,2.63,1.7635,9.465,-1.76
1,7.5,-0.124,0,-0.124,0.7965,-14.2,0.147,-49.35,3.27,2.54,1.715,9.435,7.94
1,8.5,-0.295,0,-0.295,4.965,11.204,0.1415,38.4,6.955,4.965,1.0745,9.45,130
1,9.5,-0.6145,0,-0.6145,14.4,61.3,0.1755,184,10.653,7.92,1.17,9.53,322.5
1,10.5,-0.607,0,-0.607,21.3,109.29,0.198,308.5,12.45,9.47,1.4,9.715,495.3865
1,11.5,-0.514,0,-0.514,24.9,145,0.202,383,14.5,11.705,1.37,10.0505,612.5
1,12.5,-0.455,0,-0.455,27.55,159.5,0.218,398.1015,16.25,14.22,1.5875,10.4,653
1,13.5,-0.54,0,-0.54,24.85,163,0.2425,361.006,17.697,15.75,1.7525,10.6,622.6255
1,14.5,-0.388,0,-0.388,21.6665,137.5805,0.277,276,18.3,17.215,2.0305,10.75,516.824
1,15.5,-0.1835,0,-0.1835,16.3,93,0.3235,150,18.35,17.375,2.24,10.7,345.848
1,16.5,-0.154,0,-0.154,9.855,25.15,0.3215,10.25,17.4,15.8,2.325,10.6,147.5
1,17.5,-0.032,0,-0.032,1.52,-6.31,0.1415,-78.25,14.85,12.51,1.3525,10.4,11.85
1,18.5,-0.026,0,-0.026,0.308,-11.1,0.1185,-81.9985,10.7225,8.03,1.52,10.1505,-3.37
1,19.5,-0.046,0,-0.046,0.7225,-18.1475,0.163,-79.106,8.735,6.49,1.83,10,-2.48
1,20.5,-0.0725,0,-0.0725,0.999,-21,0.176,-77.0935,7.898,5.6,1.9,9.98,-2.325
1,21.5,-0.074,0,-0.074,0.745,-20.7,0.1675,-74.4455,7.25,5.15,1.8645,9.9,-2.09
1,22.5,-0.084,0,-0.084,0.8865,-19.438,0.1595,-72.8,6.6175,4.86,1.879,9.83,-2.01
1,23.5,-0.106,0,-0.106,0.586,-18.807,0.158,-70.464,5.885,4.45,1.88,9.75,-1.96
2,0.5,-0.111,0,-0.111,0.629,-18.5,0.163,-66.95,8.665,6.35,1.841,9.06,-1.718
2,1.5,-0.126,0,-0.126,0.765,-18.058,0.16,-64.6,8.44,5.68,1.875,9.04,-1.69
2,2.5,-0.118,0,-0.118,0.789,-18.459,0.159,-63.2,8.035,5.49,1.8325,9.031,-1.585
2,3.5,-0.089,0,-0.089,0.914,-15.9,0.151,-63.15,7.41,5.145,1.785,9.015,-1.588
2,4.5,-0.092,0,-0.092,0.699,-16.4005,0.149,-62.2,6.93,4.95,1.86,8.98,-1.54
2,5.5,-0.074,0,-0.074,0.699,-16.5,0.1555,-61.3745,6.5,4.77,1.795,8.955,-1.583
2,6.5,-0.0635,0,-0.0635,0.658,-15.85,0.145,-62.0485,6.11,4.61,1.755,8.97,-1.512
2,7.5,-0.131,0,-0.131,0.807,-13.55,0.1445,-40.8,6.06,4.59,1.655,8.93,6.3665
2,8.5,-0.3805,0,-0.3805,7.18,10.4,0.1425,43.2,10.05,7.37,1.0465,8.935,139.5
2,9.5,-0.683,0,-0.683,23.3,63.7,0.1725,197.5,13.546,10.73,1.13,9.045,340
2,10.5,-0.6685,0,-0.6685,27.5,114,0.205,322.5,15.25,13.22,1.37,9.315,516.8385
2,11.5,-0.449,0,-0.449,34.65,148.062,0.236,396,17,15.325,1.6,9.6155,640
2,12.5,-0.404,0,-0.404,34.3,171,0.2635,415.5,18.3395,17.13,1.8,9.899,693.5
2,13.5,-0.517,0,-0.517,31.9445,167.9615,0.284,386.5,19.25,18.305,2.11,10.0505,663.5
2,14.5,-0.428,0,-0.428,27.391,143,0.3195,304.5,19.723,18.945,2.425,10.1055,561
2,15.5,-0.329,0,-0.329,21.25,100.45,0.3655,182.768,19.7,18.7,2.565,10.051,394.412
2,16.5,-0.17,0,-0.17,14.784,38.1,0.35,38.1,19.3,18.11,2.57,9.96,190.496
2,17.5,-0.01,0,-0.01,4.34,-4.63,0.232,-58.1245,17.3,15.55,1.725,9.8425,21.85
