DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,-0.346,0,-0.346,7.3155,-30.958,0.3145,-9999,-3.6355,1.145,4.831,8.453,-0.080325
1,1.5,-0.2465,0,-0.2465,5.698,-25.817,0.3165,-9999,-3.722,1.07,4.718,8.486,-0.078075
1,2.5,-0.212,0,-0.212,7.203,-26.6075,0.2945,-9999,-4.2285,1.105,4.379,8.4865,-0.079875
1,3.5,-0.213,0,-0.213,6.412,-28.383,0.3195,-9999,-4.433,1.075,4.569,8.4815,-0.078075
1,4.5,-0.165,0,-0.165,5.9535,-27.9875,0.3025,-9999,-4.7595,1.125,4.3985,8.523,-0.078525
1,5.5,-0.193,0,-0.193,5.6235,-28.7635,0.306,-9999,-4.8215,1.11,4.62,8.534,-0.07875
1,6.5,-0.107,0,-0.107,3.6455,-26.6075,0.2875,-9999,-4.758,1.055,5.1345,8.5465,-0.084825
1,7.5,-0.217,0,-0.217,2.916,-19.474,0.2805,-9999,-5.005,0.96,4.161,8.5025,1.823175
1,8.5,-0.35,0,-0.35,6.046,-18.8875,0.2665,-9999,-4.775,1.06,4.206,8.411,64.6641
1,9.5,-0.438,0,-0.438,12.756,-11.393,0.296,-9999,-3.5385,1.4,5.0805,8.456,172.617075
1,10.5,-0.64,0,-0.64,16.5935,-14.8645,0.29,-9999,-2.697,1.715,5.5295,8.5005,282.95325
1,11.5,-0.891,0,-0.891,25.0235,-8.385,0.3205,-9999,-2.655,2,6.268,8.555,331.3332
1,12.5,-0.915,0,-0.915,29.0235,-5.34,0.3485,-9999,-1.713,2.07,6.5475,8.546,329.93235
1,13.5,-0.9345,0,-0.9345,30.1565,-8.3975,0.3415,-9999,-1.047,2.06,6.075,8.5425,312.08085
1,14.5,-0.855,0,-0.855,28.72,-13.3815,0.337,-9999,-1.652,2.12,5.728,8.553,245.919825
1,15.5,-0.577,0,-0.577,17.346,-18.337,0.336,-9999,-1.5265,1.87,5.286,8.5715,135.852525
1,16.5,-0.4305,0,-0.4305,14.8245,-26.449,0.293,-9999,-2.691,1.625,5.1005,8.576,29.041875
1,17.5,-0.2505,0,-0.2505,11.3025,-28.6425,0.2515,-9999,-3.8375,1.425,4.269,8.557,0.1395
1,18.5,-0.2415,0,-0.2415,5.0615,-28.0745,0.244,-9999,-4.492,1.315,4.2045,8.534,-0.086625
1,19.5,-0.26,0,-0.26,7.2475,-27.2075,0.274,-9999,-4.6255,1.285,4.366,8.516,-0.08595
1,20.5,-0.216,0,-0.216,8.7265,-29.9685,0.292,-9999,-4.5115,1.265,4.5405,8.5015,-0.085725
1,21.5,-0.261,0,-0.261,7.447,-33.5145,0.3005,-9999,-5.199,1.005,4.554,8.482,-0.082125
1,22.5,-0.2965,0,-0.2965,11.02,-35.2975,0.32,-9999,-4.787,1.175,4.7145,8.4665,-0.080325
1,23.5,-0.304,0,-0.304,6.463,-29.5735,0.285,-9999,-5.2325,1.18,4.361,8.465,-0.085725
2,0.5,-0.057,0,-0.057,1.149,-18.474,0.196,-9999,-8.8485,0.545,3.1535,7.897,-0.08145
2,1.5,-0.021,0,-0.021,0.39,-22.029,0.198,-9999,-9.3065,0.545,3.36,7.8955,-0.08415
2,2.5,-0.065,0,-0.065,0.7045,-22.5275,0.188,-9999,-9.385,0.535,3.339,7.8875,-0.07875
2,3.5,0.056,0,0.056,0.4555,-21.037,0.212,-9999,-9.9275,0.61,3.263,7.8905,-0.084825
2,4.5,0.018,0,0.018,0.087,-21.521,0.199,-9999,-10.0985,0.55,3.333,7.8955,-0.0792
2,5.5,-0.067,0,-0.067,0.011,-19.656,0.1915,-9999,-9.6625,0.55,3.2015,7.928,-0.085275
2,6.5,-0.069,0,-0.069,0.845,-19.274,0.2355,-9999,-10.0735,0.65,3.0125,7.907,-0.08325
2,7.5,-0.109,0,-0.109,0.941,-19.9855,0.221,-9999,-10.1165,0.61,3.637,7.877,4.107375
2,8.5,-0.19,0,-0.19,2.835,-15.473,0.192,-9999,-9.2005,0.72,3.64,7.8795,82.25595
2,9.5,-0.2585,0,-0.2585,7.132,-12.173,0.2185,-9999,-8.4795,0.84,3.6195,7.829,221.5557
2,10.5,-0.425,0,-0.425,9.146,-4.9625,0.246,-9999,-7.523,0.97,4.2,7.8205,336.957975
2,11.5,-0.723,0,-0.723,16.0425,-5.311,0.229,-9999,-6.648,1.105,4.7165,7.8205,398.289375
2,12.5,-0.681,0,-0.681,20.053,-3.872,0.209,-9999,-6.19,1.24,4.4795,7.8195,393.642225
2,13.5,-0.794,0,-0.794,18.8705,-3.0275,0.1785,-9999,-5.6515,1.39,4.353,7.8225,384.487875
2,14.5,-0.761,0,-0.761,21.284,-3.1095,0.1855,-9999,-5.2955,1.4,3.835,7.8245,319.666725
2,15.5,-0.583,0,-0.583,13.924,-7.8125,0.1835,-9999,-4.938,1.355,3.946,7.8265,187.63785
2,16.5,-0.254,0,-0.254,4.0575,-9.815,0.1665,-9999,-5.595,1.18,2.624,7.829,64.151775
2,17.5,-0.1795,0,-0.1795,0.777,-6.06,0.142,-9999,-7.098,0.93,2.3255,7.8315,1.3248
2,18.5,-0.145,0,-0.145,0.8145,-12.789,0.1635,-9999,-7.069,0.855,2.7255,7.8385,-0.080775
2,19.5,-0.091,0,-0.091,0.041,-7.65,0.1575,-9999,-7.035,0.71,3.0715,7.851,-0.084375
2,20.5,-0.077,0,-0.077,0.576,-14.838,0.179,-9999,-7.746,0.705,3.26,7.864,-0.0855
2,21.5,-0.069,0,-0.069,0.224,-19.201,0.182,-9999,-8.5535,0.57,3.401,7.8635,-0.08505
2,22.5,-0.048,0,-0.048,0.6465,-14.862,0.192,-9999,-8.7355,0.6,3.19,7.8735,-0.085275
2,23.5,0.0065,0,0.0065,1.0615,-21.6255,0.227,-9999,-8.891,0.56,3.172,7.879,-0.0819
3,0.5,-0.1945,0,-0.1945,3.191,-23.0275,0.209,-9999,-6.449,1.01,3.2625,7.812,-0.083925
3,1.5,-0.2945,0,-0.2945,2.1885,-20.4555,0.186,-9999,-6.5715,0.94,3.0795,7.968,-0.078525
3,2.5,-0.18,0,-0.18,1.767,-19.753,0.189,-9999,-6.802,0.92,3.029,7.798,-0.0819
3,3.5,-0.171,0,-0.171,3.165,-19.586,0.196,-9999,-7.407,0.88,3.438,7.7905,-0.079425
3,4.5,-0.2045,0,-0.2045,5.117,-21.125,0.2195,-9999,-7.16,0.93,3.7425,7.937,-0.081
3,5.5,-0.205,0,-0.205,4.5425,-23.4075,0.222,-9999,-7.649,0.87,4.3815,7.926,-0.083025
3,6.5,-0.236,0,-0.236,4.442,-22.8,0.208,-9999,-7.9135,0.785,3.672,8.072,-0.04545
3,7.5,-0.236,0,-0.236,3.312,-21.9935,0.226,-9999,-8.072,0.775,3.925,8.0635,16.3854
3,8.5,-0.3935,0,-0.3935,8.502,-16.426,0.252,-9999,-6.3475,1.03,3.835,7.739,111.5334
3,9.5,-0.645,0,-0.645,16.875,-13.907,0.277,-9999,-3.931,1.39,4.034,7.679,249.6501
3,10.5,-0.944,0,-0.944,28.3425,-10.2585,0.2905,-9999,-2.91,1.63,3.863,7.677,341.3061
3,11.5,-0.988,0,-0.988,31.8205,-6.773,0.3055,-9999,-2.399,1.81,5.328,7.678,428.889375
3,12.5,-1.039,0,-1.039,38.0165,-8.3275,0.313,-9999,-2.565,1.83,5.6385,7.6765,470.8593
3,13.5,-1.21,0,-1.21,40.05,-8.7585,0.345,-9999,-1.968,1.99,5.928,7.6755,443.7261
3,14.5,-1.181,0,-1.181,37.109,-10.5795,0.3385,-9999,-1.7785,1.985,5.553,7.6775,367.77825
3,15.5,-0.978,0,-0.978,29.4665,-13.395,0.3385,-9999,-1.99,2.04,5.227,7.6955,242.21295
