SITE_ID,IGBP,GRP_LOCATION.LOCATION_LAT,GRP_LOCATION.LOCATION_LONG,GRP_LOCATION.LOCATION_ELEV,GRP_CLIM_AVG.MAT,GRP_CLIM_AVG.MAP,GRP_CLIM_AVG.CLIMATE_KOEPPEN,UTC_OFFSET,data_year_length,SC_source,NEE_source,FC,FC_F,SC,SC_F,NEE,NEE_F,LE,LE_F,H,H_F,USTAR,USTAR_F,NETRAD,NETRAD_F,TA,TA_F,VPD,VPD_F,WS,WS_F,SWC,SWC_F,SW_IN,SW_IN_F
AR-TF1,WET,-54.9733,-66.7335,40,-9999,-9999,-9999,-3,2,negligible,FC+SC,0.798299956778562,1,1,1,0.798299956778562,1,0.879868414733708,1,0.879844402823801,1,0.893315084281804,1,0,0,0.951688037266484,1,0.951688037266484,1,0.893315084281804,1,0,0,0.951688037266484,1
AR-TF2,WET,-54.8269,-68.4549,60,5.5,530,-9999,-3,2,negligible,FC+SC,0.502126812765852,1,1,1,0.502126812765852,1,0.575383696922962,1,0.575508071938509,1,0.596452824556603,1,0,0,0.887341110917639,1,0.887341110917639,1,0.596452824556603,1,0,0,0.593069824133728,1
BR-Npw,WSA,-16.498,-56.412,120,24.9,1486,Aw,-4,4,CO2,FC+SC,0.329471627245965,1,0.626941427266267,1,0.329471627245965,1,0.612425134504111,1,0.639148309816262,1,0.641394274692925,1,0.668802659628464,1,0.675794335600447,1,0.675794335600447,1,0.641394274692925,1,0,0,0.584407674347782,1
BR-Sa1,EBF,-2.8567,-54.9589,88,26.13,2074.79,Am,-4,10,-9999,NEE,0.296572654253377,1,0.598507667031763,1,0.584268893756846,1,0.744181270536692,1,0.744181270536692,1,0.61243838992333,1,0.528694322745528,1,0.740108159912377,1,0.999942953632713,1,0.721705001825484,1,0,0,0.770376962395035,1
BR-Sa3,EBF,-3.018,-54.9714,100,26.12,2043.77,Am,-4,5,-9999,NEE,0.312853493887977,1,0.641044061302682,1,0.565818281335523,1,0.534596788907134,1,0.548405856595512,1,0.652561120233534,1,0.572967980295567,1,0.688708721036307,1,0.476338715562854,1,0.654818919905127,1,0.712666484218208,1,0.664568509396096,1
CA-ARB,WET,52.695,-83.9452,90,-1.3,700,Dfb,-5,5,negligible,FC+SC,0.383778538812785,1,1,1,0.383778538812785,1,0.722990867579909,1,0.799474885844749,1,0.885582191780822,1,0,0,0.936563926940639,1,0.936563926940639,1,0.934668949771689,1,0.936586757990868,1,0.936426940639269,1
CA-ARF,WET,52.7008,-83.955,88,-1.3,700,Dfb,-5,5,negligible,FC+SC,0.478527397260274,1,1,1,0.478527397260274,1,0.651107305936073,1,0.690856164383562,1,0.824109589041096,1,0,0,0.935719178082192,1,0.935719178082192,1,0.932203196347032,1,0.880114155251142,1,0.934920091324201,1
CA-Ca1,ENF,49.8673,-125.3336,300,9.93,1369,Cfb,-8,15,-9999,NEE,0.287497718422974,1,0.581767917984911,1,0.555655268921879,1,0.840631844731078,1,0.86462642978827,1,0.863808864687272,1,0.7490683560477,1,0.700402318082259,1,0.700151344609394,1,0.876939340472134,1,0.842814553419323,1,0.862816378680944,1
CA-Ca2,ENF,49.8705,-125.2909,300,9.86,1474,Cfb,-8,12,-9999,NEE,0.444345147550958,1,0.180816473988439,1,0.415305559780955,1,0.779472163066626,1,0.813146486157591,1,0.816664131426833,1,0.840607887131123,1,0.554133708548829,1,0.527352068755704,1,0.860297193489504,1,0.863087541831457,1,0,0
CA-Ca3,ENF,49.5346,-124.9004,-9999,9.94,1676,Cfb,-8,17,-9999,NEE,0.503492351046699,1,0.479834272678476,1,0.668662775093935,1,0.774386070853462,1,0.822856280193237,1,0.843914385399893,1,0,0,0.366841116478798,1,0.335929951690821,1,0,0,0.823752012882448,1,0,0
CA-Cbo,DBF,44.3167,-79.9333,120,6.66,876.34,Dfb,-5,25,-9999,NEE,0.387993465334788,1,0.696706200174319,1,0.684289423607847,1,0.705912685555743,1,0.742197874408481,1,0.753722523147409,1,0.533118249147801,1,0.701246697301713,1,0.693683004850802,1,0.324807542244877,1,0.536595494184057,1,0.326498249969198,1
CA-CF2,WET,58.6658,-93.83,16.5,-6.5,452,Dfc,-6,4,negligible,FC+SC,0.0830196212639744,0.46875,1,1,0.0830196212639744,0.46875,0.13938797627196,0.503472222222222,0.139273899155829,0.503472222222222,0.249443874058864,0.541666666666667,0.107546201232033,0.416666666666667,0.343956764772987,0.458333333333333,0.343543235227013,0.458333333333333,0.382857061373488,0.541666666666667,0,0,0.245351357517682,0.458333333333333
CA-DBB,WET,49.1293,-122.9849,4,10,1128,Csb,-8,4,negligible,FC+SC,0.4500372901664,1,1,1,0.4500372901664,1,0.488611216393002,1,0.612671320805468,1,0.683106943306721,1,0.562873665806751,1,0.572165641696519,1,0.518736780330354,1,0.762883446834004,1,0,0,0.568192099375237,1
CA-ER1,CRO,43.6405,-80.4123,370,6.7,946,Dfb,-5,6,negligible,FC+SC,0.418453467153285,1,1,1,0.418453467153285,1,0.562442974452555,1,0.662152144160584,1,0.750513229927007,1,0,0,0.565988062652068,1,0.552064324817518,1,0.750513229927007,1,0,0,0.856295620437956,1
CA-Gro,MF,48.2167,-82.1556,340,1.3,831,Dfb,-5,12,-9999,NEE,0.353601034299186,1,0.568199102593353,1,0.727788234846756,1,0.794105065023956,1,0.807570917940528,1,0.822182295231577,1,0.893903528785459,1,0.858097573959997,1,0.84595311430527,1,0.880432922655715,1,0.110531219104114,0.25,0.894098410525515,1
CA-Let,GRA,49.7093,-112.9402,960,5.36,398.4,Dfb,-7,10,-9999,NEE,0,0,0,0,0.872109850719685,1,0.872655319433158,1,0.883592523739021,1,0.877570103861696,1,0.930653115294275,1,0.314535071411873,1,0.562756732085806,1,0.880965368302702,1,0.602358873885407,1,0.121823201344747,1
CA-LP1,ENF,55.1119,-122.8414,751,2,570,Csa,-8,10,-9999,NEE,0.418440323022174,1,0.519150926179396,1,0.998916415731362,1,0.43408956109134,1,0.678734373574231,1,0.952812756638379,1,0.995294963044073,1,0.974501551236427,1,0.963648599324756,1,0.842885984122639,1,0.999635003193722,1,0.848263983940141,1
CA-MA1,CRO,50.1645,-97.8762,261,2.6,514,Dfb,-6,3,negligible,FC+SC,0.28820395738204,0.809027777777778,1,1,0.28820395738204,0.809027777777778,0.401179604261796,1,0.408694824961948,1,0.451940639269406,1,0,0,0.858428462709285,1,0.858371385083714,1,0.520148401826484,1,0.839307458143075,1,0.75144596651446,1
CA-MA2,GRA,50.171,-97.8762,261,2.6,514,Dfb,-6,3,negligible,FC+SC,0.255079908675799,0.753472222222222,1,1,0.255079908675799,0.753472222222222,0.341818873668189,0.753472222222222,0.351655251141552,0.753472222222222,0.439345509893455,0.753472222222222,0.772222222222222,1,0.77574200913242,1,0.772260273972603,1,0.64119101978691,1,0.737557077625571,1,0.772241248097412,1
CA-MA3,GRA,50.1774,-97.8686,261,2.6,514,Dfb,-6,3,negligible,FC+SC,0.277416286149163,0.75,1,1,0.277416286149163,0.75,0.373211567732116,0.75,0.386967275494673,0.75,0.474562404870624,1,0.624372146118721,1,0.845015220700152,1,0,0,0.560007610350076,1,0.803805175038052,1,0.80439497716895,1
CA-Man,ENF,55.8796,-98.4808,259,-3.2,520,Dfc,-6,15,-9999,NEE,0.368284966843098,1,0.586930400924743,1,0.397871418141997,1,0.656282320374764,1,0.721071363387479,1,0.715725193161769,1,0.832664111455862,1,0.844786153190972,1,0,0,0.742284936423922,1,0,0,0.858604064001947,1
CA-MR3,GRA,50.8671,-111.9045,712,-9999,325,Dwd,-7,4,SC,FC+SC,0.258749055411717,0.557291666666667,0.280552011198791,0.583333333333333,0.258749055411717,0.557291666666667,0.29562825960383,0.583333333333333,0.264608599779493,0.583333333333333,0.389764998823136,0.583333333333333,0,0,0.389764998823136,0.583333333333333,0.372880096131214,0.583333333333333,0.389764998823136,0.583333333333333,0,0,0.412732430657929,0.541666666666667
CA-MR5,GRA,50.9056,-111.8823,700,-9999,325,Dwd,-7,4,SC,FC+SC,0.262212014301613,0.583333333333333,0.359647668884522,0.583333333333333,0.262212014301613,0.583333333333333,0.328866052612886,0.583333333333333,0.310681220846258,0.583333333333333,0.438057916794923,0.625,0,0,0.438057916794923,0.625,0.40966779532593,0.592013888888889,0.438057916794923,0.625,0,0,0.505552530012076,0.625
CA-Na1,ENF,46.4722,-67.1,341,7.09,1102.7,Dfb,-4,3,CO2,FC+SC,0.253065181439732,1,0.503526146710514,1,0.253065181439732,1,0.612580074894976,1,0.635542798486893,1,0.666755374760013,1,0.667059516794343,1,0.803866405611421,1,0.803828387857129,1,0.648107666280153,1,0.77791928830764,1,0.667078525671489,1
CA-NS1,ENF,55.8792,-98.4839,260,-2.89,500.29,Dfc,-6,5,CO2,FC+SC,0.404880887185104,1,0.605570007301935,1,0.404880887185104,1,0.621691310697335,1,0.683906078860898,1,0.714597024461482,1,0.625479189485214,1,0.703803851770719,1,0.695121394669587,1,0.731836436655714,1,0.147795728368018,1,0.715076213946696,1
