DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,1.07184,0.008803635,1.27173,0.389,-9.955,0.114784,-9999,4.037,0,-9999,27.79925,-9999
1,1.5,1.153975,0.0208337,1.21664,0.3921825,-10.875,0.1281855,-9999,4.1335,0,-9999,27.762,-9999
1,2.5,1.22107,-0.00108989,1.259655,0.1803,-9.33,0.1219,-9999,4.091,0,-9999,27.73375,-9999
1,3.5,1.08665,0.02057135,1.26855,0.2274,-9.896,0.115155,-9999,4.1705,0,-9999,27.69025,-9999
1,4.5,1.00851,0.001763021,1.236645,0.3008,-8.755,0.1129605,-9999,4.088,0,-9999,27.732,-9999
1,5.5,1.06811,0.016824,1.27361,0.165069,-8.210325,0.111454,-9999,3.9805,0,-9999,27.695,-9999
1,6.5,1.09249,0.012015,1.29897,0.1549,-9.222,0.106699,-9999,3.948,0,-9999,27.65525,-9999
1,7.5,1.041595,0.00886887,1.236625,0.136235,-8.37761,0.1109475,-9999,3.8785,0,-9999,27.7075,-9999
1,8.5,0.928244,-0.05566785,0.78435,0.2204,-7.1755,0.1091,-9999,3.832,0,-9999,27.715,-9999
1,9.5,0.498908,-0.2027425,0.159,0.98175,-6.93829,0.1243,-9999,4.173,0,-9999,27.67,-9999
1,10.5,-0.306003,-0.1432745,-0.7277,5.891,-0.704012,0.1843,-9999,4.404,0.059455291,-9999,27.7205,-9999
1,11.5,-1.4358,-0.055923,-1.557295,12.055,5.839,0.203928,-9999,4.65,0.0910199225,-9999,27.7475,-9999
1,12.5,-1.69099,-0.018615,-1.8774,13.9127,10.51,0.2173215,-9999,4.8405,0.160223956,-9999,27.7725,-9999
1,13.5,-1.333835,0.004551025,-1.69271,10.895,8.64,0.2174,-9999,5.161,0.2306176415,-9999,27.884,-9999
1,14.5,-0.9646,0.02592095,-0.9493535,6.351,2.82963,0.1946,-9999,5.129,0.228124217,-9999,27.9625,-9999
1,15.5,-0.0213172,0.08286,-0.04206875,2.334815,-2.2632,0.151391,-9999,5.028,0.150519981,-9999,27.995,-9999
1,16.5,0.721979,0.223556,0.970079,0.6872085,-6.004,0.129895,-9999,4.961,0.0452280995,-9999,28.0225,-9999
1,17.5,1.01,0.118417,1.27916,0.4338435,-6.971455,0.103248,-9999,4.895,0,-9999,28.0135,-9999
1,18.5,1.0715,0.0520003,1.32087,0.3345,-7.11467,0.1072,-9999,4.482,0,-9999,27.99,-9999
1,19.5,1.171,0.03186985,1.30819,0.3063,-9.230335,0.11105,-9999,4.356,0,-9999,27.9665,-9999
1,20.5,0.986725,0.0144328,1.2773,0.250306,-8.921,0.106552,-9999,4.1935,0,-9999,27.948,-9999
1,21.5,1.127265,0.01327225,1.291735,0.4755,-9.02387,0.108361,-9999,4.24,0,-9999,27.928,-9999
1,22.5,1.25367,-0.0208768,1.30531,0.3831,-9.456,0.1112,-9999,4.205,0,-9999,27.8925,-9999
1,23.5,0.942158,0.01085685,1.19151,0.2082,-10.44,0.1142,-9999,4.1275,0,-9999,27.85,-9999
2,0.5,1.26,0.03751605,1.46069,0.1279,-5.3561,0.09334,-9999,4.0495,0,-9999,27.42975,-9999
2,1.5,1.336885,0.01550915,1.438,0.3384,-6.23842,0.09780845,-9999,4.12,0,-9999,27.3835,-9999
2,2.5,1.269,0.019186,1.449,0.1685545,-6.07,0.10096,-9999,3.9925,0,-9999,27.3385,-9999
2,3.5,1.36699,0.014185,1.45475,-0.06739,-5.2615,0.09257,-9999,4.103,0,-9999,27.31125,-9999
2,4.5,1.25385,0.00995,1.499,0.0954803,-6.01161,0.092005,-9999,4.108,0,-9999,27.419,-9999
2,5.5,1.227035,0.0367318,1.40869,0.2024,-5.73841,0.09278,-9999,4.09,0,-9999,27.451,-9999
2,6.5,1.221,0.011809,1.48924,0.06329,-5.47,0.094055,-9999,4.174,0,-9999,27.448,-9999
2,7.5,1.34629,-0.011203755,1.4016,0.078345,-6.265,0.0871762,-9999,4.204,0,-9999,27.4615,-9999
2,8.5,1.0892,-0.2702845,0.586852,0.2571735,-5.63,0.0932185,-9999,4.2125,0,-9999,27.47725,-9999
2,9.5,0.0949677,-0.306614,-0.07742,2.0462,-2.81707,0.122976,-9999,4.1635,0,-9999,27.46325,-9999
2,10.5,-1.443,-0.139436,-1.145,8.75112,4.684,0.158057,-9999,4.533,0,-9999,27.44825,-9999
2,11.5,-2.44359,-0.1037,-2.0935,13.87,16.3455,0.1952,-9999,4.8035,0.0461760345,-9999,27.42575,-9999
2,12.5,-2.96315,-0.0427328,-2.662,16.5617,19.29,0.210945,-9999,5.087,0.165905466,-9999,27.40375,-9999
2,13.5,-2.54092,-0.0408411,-2.324,13.61,18.45,0.21445,-9999,5.1835,0.233718241,-9999,27.38625,-9999
2,14.5,-1.5141,-0.01495215,-1.53232,10.265,11.9,0.2062615,-9999,5.096,0.210399031,-9999,27.396,-9999
2,15.5,-0.587316,0.0205467,-0.5203,4.713,2.875,0.162707,-9999,4.9415,0.2420553615,-9999,27.4,-9999
2,16.5,0.431578,0.239955,0.56715,1.106,-3.791,0.1119,-9999,4.65,0.003236553,-9999,27.365,-9999
