DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,-1.12306,0.02108105,0.506594,3.82504,0.0427825,0.236755,-26.04765,-6.80627,0.3036615,1.75963,7.2,0.264
1,1.5,-0.2529,0.0137685,0.506533,0.975072,1.29638,0.237246,-28.70175,-7.155755,0.2905645,1.87021,7.2,0.189667
1,2.5,-0.5,0.023869,0.506609,0.614819,-0.611883,0.2132945,-26.46625,-7.46804,0.303485,1.7034,7.2,0.188
1,3.5,-0.46,-0.00750429,0.507451,1.65908,-4.90679,0.2279535,-29.26405,-8.074035,0.323535,1.76195,7.2,0.266111
1,4.5,-0.6697775,-0.03971995,0.507738,0.355683,-1.1454845,0.2118825,-30.3627,-8.382995,0.3029205,1.74452,7.2,0.240583
1,5.5,-0.675605,0.0344318,0.5077995,3.1916,-1.60167,0.24489,-29.71,-8.43733,0.2931075,1.82242,7.2,0.30425
1,6.5,-0.451791,0.0755829,0.507206,1.614105,-5.53347,0.2463755,-30.0353,-8.11364,0.3080965,1.81166,7.2,0.251833
1,7.5,-0.927017,0.0540878,0.5075635,1.620575,-6.480855,0.2417255,-26.9174,-7.95661,0.302687,2.076005,7.2,0.3354
1,8.5,-0.303953,-0.0220932,0.5071825,2.28669,-4.308565,0.261567,-5.3355,-7.543895,0.3340565,2.04384,7.2,1.40696
1,9.5,-1.00697,-0.03165555,0.506861,5.89858,-1.44437,0.3085925,5.809,-7.00589,0.372975,2.13191,7.25,18.07
1,10.5,-0.713321,-0.03590105,0.5061095,8.470355,6.63564,0.329697,21.4825,-7.017595,0.418315,2.18324,7.25,43.65
1,11.5,-1.1466,-0.1435865,0.507281,11.70765,14.3973,0.3742805,35.4395,-6.43233,0.4576495,2.22353,7.25,60.135
1,12.5,-1.65858,-0.0701152,0.5078835,11.257,19.5074,0.383773,39.4725,-5.81195,0.495309,2.33179,7.25,71.7739
1,13.5,-1.38,-0.0369563,0.5075425,14.7392,16.1316,0.3840405,30.2645,-4.597005,0.562535,2.38043,7.25,60.905
1,14.5,-1.83,0.0180811,0.508613,13.9244,7.88764,0.345891,12.52,-4.37408,0.544809,2.127385,7.25,35.6594
1,15.5,-1.14,0.100838,0.5099345,5.985255,1.1762,0.2885715,0.4845,-4.56139,0.5016185,2.11762,7.25,9.713625
1,16.5,-0.481512,-0.005927145,0.511398,1.18182,-1.60013,0.233903,-36.2767,-4.840455,0.451505,2.10671,7.25,0.5915
1,17.5,-0.569867,-0.02232695,0.508898,0.840777,-1.12813,0.2490565,-42.3713,-4.94071,0.433702,2.143075,7.25,0.195
1,18.5,-0.234652,-0.0555732,0.5099085,1.16016,-1.145652,0.2199055,-40.37525,-5.27412,0.368047,1.76066,7.25,0.182
1,19.5,0.024236995,0.09663875,0.508118,0.892431,-0.998464,0.2268695,-35.3507,-5.42841,0.3652465,2.01154,7.25,0.1936
1,20.5,0.0855692,-0.0205357,0.508095,0.337014,-1.807275,0.2676115,-25.80275,-5.619025,0.3782775,2.29811,7.25,0.22925
1,21.5,-0.259581,-0.03690925,0.507386,0.0651741,-1.96605,0.251768,-26.69475,-5.498775,0.349962,2.124205,7.25,0.148
1,22.5,-0.27142,0.0153581,0.5067775,0.840611,-3.08257,0.283678,-30.44095,-6.070875,0.346021,2.18373,7.25,0.17925
1,23.5,-0.897694,-0.0451645,0.506791,2.141155,-3.81528,0.271611,-25.79235,-6.198965,0.312867,1.984105,7.3,0.201667
2,0.5,0.1458245,-0.0416791,0.511186,3.82504,-15.1585,0.3428945,-45.59675,-3.995355,0.3497875,2.46412,8.45,0.202167
2,1.5,0.2010895,-0.0395176,0.5107865,0.975072,-12.7426,0.3514295,-45.0382,-4.455535,0.379413,2.66195,8.45,0.17
2,2.5,-0.227627,0.023869,0.5104425,0.614819,-11.5977,0.3270715,-44.0953,-4.694475,0.3799875,2.542855,8.4,0.18
2,3.5,0.03,-0.00750429,0.509989,1.65908,-13.5958,0.336455,-41.27,-4.61617,0.3592445,2.582735,8.4,0.3755835
2,4.5,0.082573,-0.03971995,0.5096035,0.355683,-17.8848,0.3350845,-41.926,-4.535575,0.3326655,2.64698,8.4,0.289
