DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.31,0.004,0.316,0.019,-4.3475,0.227,-24.045,-17.2135,0.2,2.193,-9999,0
1,1.5,0.377,-0.001,0.336,0.069,-7.119,0.262,-23.79,-17.326,0.2,2.16,-9999,0.01
1,2.5,0.358,0.015,0.345,0.07,-5.7825,0.26,-23.685,-17.246,0.2,2.0955,10.225,0.025
1,3.5,0.342,0.014,0.3585,0.019,-5.9365,0.261,-25.185,-17.292,0.2,2.192,-9999,0.03
1,4.5,0.3,0.009,0.303,0.019,-5.258,0.2675,-21.54,-17.358,0.2,2.1475,-9999,0.05
1,5.5,0.327,0.0075,0.333,0.055,-6.7595,0.285,-21.125,-17.454,0.2,2.0845,-9999,0.04
1,6.5,0.355,0.0105,0.332,-0.015,-5.859,0.267,-22.73,-17.3015,0.2,2.1095,10.245,0.1
1,7.5,0.3595,0.015,0.3285,0.0025,-7.543,0.2725,-17.45,-16.9325,0.2,2.15,-9999,0.08
1,8.5,0.3715,-0.002,0.308,-0.002,-6.616,0.2685,-21.98,-17.058,0.2,2.228,-9999,0.18
1,9.5,0.373,0.003,0.262,0.142,-6.522,0.27,-8.14,-16.83,0.2,2.1125,-9999,7.845
1,10.5,0.398,-0.015,0.2615,0.624,-1.7495,0.293,19.75,-16.386,0.22,2.243,10.21,53.195
1,11.5,0.361,-0.0365,0.249,2.333,15.34,0.344,56.555,-16.0245,0.24,2.2315,-9999,106.225
1,12.5,0.3695,-0.041,0.259,4.301,29.3,0.384,83.78,-15.275,0.26,2.2985,-9999,143.535
1,13.5,0.309,-0.032,0.2205,6.2225,36.13,0.397,84.58,-14.738,0.28,2.497,-9999,147.6
1,14.5,0.328,-0.015,0.208,5.1255,29.33,0.38,55.79,-14.3695,0.295,2.5175,10.165,108.84
1,15.5,0.351,0.001,0.243,3.265,10.97,0.3595,18.19,-14.8295,0.28,2.4875,-9999,67.285
1,16.5,0.31,0.0205,0.217,0.666,-4.247,0.294,-20.8,-14.804,0.27,2.259,-9999,17.205
1,17.5,0.33,0.035,0.321,0.065,-7.943,0.255,-36.42,-15.7645,0.23,2.38,-9999,0.33
1,18.5,0.373,0.029,0.3695,0.003,-9.1145,0.275,-28.925,-16.0285,0.22,2.49,10.175,-0.08
1,19.5,0.352,0.019,0.3575,0,-9.059,0.288,-25.905,-16.202,0.21,2.461,-9999,-0.05
1,20.5,0.363,0.0215,0.3245,0.04,-7.889,0.294,-21.57,-17.1155,0.21,2.381,-9999,-0.05
1,21.5,0.319,0.0075,0.3495,0.15,-7.309,0.276,-17.54,-17.147,0.2,2.3745,-9999,-0.03
1,22.5,0.3655,0.0075,0.302,0.046,-8.232,0.271,-19.7,-17.102,0.2,2.359,10.16,-0.03
1,23.5,0.341,-0.005,0.292,0.0335,-7.3,0.275,-23.75,-16.922,0.21,2.377,-9999,0
2,0.5,0.3635,0.0015,0.3095,0.039,-8.656,0.331,-30.9,-16.75,0.22,2.7665,-9999,0.02
2,1.5,0.3275,0.0035,0.276,0.046,-8.4985,0.3405,-31.16,-16.8105,0.21,2.7075,-9999,0.02
2,2.5,0.3085,0.0045,0.2845,0.033,-7.683,0.323,-28.305,-16.524,0.21,2.612,10.32,0.04
2,3.5,0.396,0.008,0.3445,0.0085,-7.995,0.326,-28.72,-16.5675,0.21,2.627,-9999,0.04
2,4.5,0.3375,0.0095,0.299,-0.063,-8.0005,0.342,-30.305,-16.939,0.21,2.6945,-9999,0.04
2,5.5,0.301,0.0195,0.267,-0.0045,-9.3235,0.349,-30.16,-17.1295,0.2,2.763,-9999,0.03
2,6.5,0.337,0.015,0.3,-0.091,-9.453,0.349,-25.24,-17.3215,0.21,2.703,10.34,0.05
2,7.5,0.348,0.001,0.357,0.1125,-6.9725,0.3445,-22.995,-17.4185,0.21,2.5675,-9999,0.08
2,8.5,0.2905,0.005,0.296,0.05,-7.4295,0.377,-21.42,-17.42,0.21,2.6215,-9999,0.53
2,9.5,0.3105,5e-04,0.227,0.096,-5.4385,0.393,-4.895,-17.24,0.21,2.6025,-9999,19.13
2,10.5,0.342,-0.019,0.274,1.719,8.2205,0.417,36.72,-16.811,0.22,2.637,10.34,83.9
2,11.5,0.339,-0.037,0.2465,4.832,35.105,0.457,86.02,-16.294,0.25,2.9105,-9999,147
2,12.5,0.283,-0.033,0.231,7.517,60.34,0.4835,121.55,-15.4685,0.29,3.0755,-9999,193.41
2,13.5,0.274,-0.026,0.2155,8.436,66.92,0.474,126.785,-14.59,0.33,3.1445,-9999,193.715
2,14.5,0.2695,-0.02,0.233,8.961,60.42,0.458,90.46,-14.411,0.37,3.1075,10.32,175.07
2,15.5,0.276,-0.005,0.2195,5.957,31.71,0.432,48.48,-14.3375,0.36,3.091,-9999,112.945
2,16.5,0.275,0.013,0.2025,2.625,2.207,0.377,-2.13,-14.6875,0.36,2.779,-9999,42.525
2,17.5,0.2825,0.033,0.268,0.235,-8.532,0.306,-45.075,-15.162,0.32,2.7065,-9999,2.445
2,18.5,0.287,0.0255,0.3,0.014,-8.547,0.324,-41.965,-15.618,0.28,2.8355,10.32,-0.17
2,19.5,0.3175,0.021,0.3,0.038,-6.8115,0.3465,-38.74,-15.87,0.25,2.858,-9999,-0.13
2,20.5,0.269,0.022,0.271,-0.012,-7.49,0.3365,-36.88,-16.256,0.235,2.797,-9999,-0.08
2,21.5,0.3145,0.009,0.2725,-0.0125,-7.793,0.304,-37.825,-16.425,0.23,2.7725,-9999,-0.04
2,22.5,0.3405,0.009,0.3205,-0.062,-9.626,0.281,-34.945,-16.577,0.23,2.6575,10.31,-0.015
2,23.5,0.274,0.008,0.294,-0.008,-10.38,0.3135,-29.55,-16.561,0.22,2.713,-9999,-0.005
3,0.5,0.3305,0.01,0.3125,-0.0585,-9.827,0.275,-27.845,-15.4585,0.24,2.518,-9999,0.03
3,1.5,0.2735,0.0235,0.282,0.012,-8.75,0.284,-27.86,-15.5195,0.23,2.4835,-9999,0.04
3,2.5,0.29,0.02,0.289,0.004,-7.7135,0.313,-26.015,-15.66,0.23,2.543,10.07,0.05
3,3.5,0.3135,0.01,0.311,0.012,-9.752,0.306,-27.17,-15.669,0.22,2.4805,-9999,0.06
3,4.5,0.32,0.005,0.277,-0.0135,-9.705,0.3215,-17.675,-15.467,0.23,2.3805,-9999,0.08
3,5.5,0.3015,0.004,0.2915,0.007,-8.704,0.297,-21.97,-15.991,0.23,2.318,-9999,0.08
3,6.5,0.312,0.011,0.293,-0.03,-9.268,0.293,-21.505,-16.5515,0.22,2.4675,10.07,0.08
3,7.5,0.337,0.011,0.306,-0.0265,-9.466,0.3215,-22.065,-16.5925,0.22,2.4125,-9999,0.09
3,8.5,0.349,-0.001,0.219,-0.018,-8.3375,0.316,-15.665,-16.72,0.22,2.3455,-9999,2.465
3,9.5,0.309,-0.004,0.221,0.7735,-0.755,0.353,17.61,-16.5325,0.23,2.328,-9999,43.235
3,10.5,0.329,-0.057,0.254,3.296,26.19,0.403,76.73,-15.5105,0.265,2.514,10.07,123.35
3,11.5,0.362,-0.064,0.251,6.8105,64.541,0.4685,137.645,-14.4615,0.31,2.888,-9999,207.055
3,12.5,0.342,-0.05,0.231,10.68,97.46,0.5,185.85,-13.4695,0.38,3.125,-9999,267.81
3,13.5,0.278,-0.0335,0.202,11.58,105.7,0.513,193.12,-12.5695,0.43,3.3485,-9999,277.08
3,14.5,0.264,-0.031,0.208,12.475,94.16,0.499,155.76,-11.84,0.49,3.299,10.06,243.165
3,15.5,0.271,-0.008,0.2235,10.08,60.575,0.475,94.075,-11.48,0.52,3.2135,-9999,174.57
3,16.5,0.255,0.0105,0.202,5.803,22.54,0.422,27.92,-11.3065,0.51,3.1165,-9999,85.86
3,17.5,0.213,0.021,0.184,1.342,-2.6025,0.319,-27.285,-11.9325,0.46,2.6745,-9999,16.1855
3,18.5,0.265,0.0365,0.267,0.119,-8.36,0.26,-49.88,-12.636,0.39,2.6245,10.06,0.03
3,19.5,0.271,0.0425,0.314,-0.011,-10.62,0.2755,-47.22,-13.2855,0.33,2.7385,-9999,-0.26
3,20.5,0.293,0.022,0.2985,-0.022,-9.458,0.2815,-41.345,-14.147,0.3,2.7225,-9999,-0.165
3,21.5,0.274,0.0175,0.2685,0.002,-9.855,0.2795,-36.62,-14.9595,0.29,2.6675,-9999,-0.09
3,22.5,0.3115,0.0145,0.2975,0,-11.7,0.276,-34.91,-15.284,0.28,2.6865,10.05,-0.06
3,23.5,0.3275,0.011,0.299,0.002,-11.21,0.2465,-33,-15.467,0.26,2.5655,-9999,-0.01
4,0.5,0.2355,0.018,0.238,-0.052,-5.0855,0.2375,-37.325,-13.5045,0.33,2.5895,-9999,-0.01
4,1.5,0.262,0.018,0.253,-0.046,-8.0225,0.222,-32.955,-13.695,0.31,2.544,-9999,0.02
4,2.5,0.279,0.005,0.2425,-0.033,-7.376,0.224,-32.745,-13.6645,0.29,2.4375,10.05,0.05
4,3.5,0.283,0.002,0.229,-0.007,-6,0.241,-34.485,-13.8275,0.29,2.3775,-9999,0.07
4,4.5,0.269,0.019,0.2415,-0.016,-6.024,0.208,-31.76,-13.9085,0.26,2.458,-9999,0.1
4,5.5,0.29,0.0145,0.267,-0.0395,-7.373,0.2305,-28.36,-13.814,0.24,2.474,-9999,0.115
4,6.5,0.2555,0.007,0.2505,-0.0295,-7.8675,0.2415,-24.45,-13.708,0.23,2.4935,10.06,0.145
4,7.5,0.2705,0.0245,0.2555,-0.058,-6.938,0.281,-29.215,-14.0525,0.22,2.4855,-9999,0.38
4,8.5,0.279,0.015,0.215,-0.073,-4.4005,0.2755,-1.72,-14.1745,0.22,2.3965,-9999,17.335
4,9.5,0.289,-0.017,0.252,1.593,12.45,0.363,51.74,-13.552,0.265,2.3845,-9999,96.125
4,10.5,0.3115,-0.043,0.235,6.246,55.54,0.4335,132.31,-12.698,0.35,2.702,10.06,207.84
4,11.5,0.286,-0.04,0.2185,10.52,106.85,0.475,212.74,-11.4815,0.47,2.9495,-9999,308.79
4,12.5,0.32,-0.038,0.245,13.19,142,0.491,248.5,-10.336,0.61,3.0465,-9999,344.955
4,13.5,0.2995,-0.038,0.229,14.38,157.4,0.501,259.9,-9.237,0.78,3.1125,-9999,370.12
4,14.5,0.252,-0.021,0.233,13.225,141.85,0.512,217.57,-8.7755,0.91,3.0975,10.06,313.94
4,15.5,0.293,-0.013,0.2425,10.845,105.3,0.5025,162.73,-8.4085,1.04,3.168,-9999,266.15
4,16.5,0.226,0.001,0.221,7.457,54.5,0.472,75.145,-8.3295,1.06,3.072,-9999,158.41
4,17.5,0.219,0.017,0.202,3.195,7.808,0.394,3.37,-8.7415,0.935,2.816,-9999,50.81
4,18.5,0.226,0.026,0.224,0.1275,-7.012,0.247,-47.285,-9.7235,0.74,2.471,10.041,2.265
4,19.5,0.289,0.0355,0.291,-0.004,-5.129,0.223,-54.655,-10.5975,0.605,2.416,-9999,-0.17
4,20.5,0.273,0.0355,0.265,-0.069,-7.457,0.206,-48.115,-11.4015,0.51,2.5595,-9999,-0.145
4,21.5,0.278,0.035,0.262,-0.076,-6.5705,0.205,-44.27,-11.923,0.44,2.556,-9999,-0.115
4,22.5,0.246,0.0225,0.25,-0.0475,-6.215,0.217,-42.645,-12.398,0.395,2.587,10.05,-0.07
4,23.5,0.2615,0.023,0.26,-0.021,-5.3675,0.215,-36.9,-12.864,0.37,2.5465,-9999,-0.06
5,0.5,0.335,0.017,0.31,-0.0025,-4.438,0.2025,-44.345,-10.957,0.42,2.62,-9999,-0.015
5,1.5,0.371,0.025,0.3505,-0.0095,-4.358,0.1865,-42.285,-11.434,0.38,2.679,-9999,0.03
5,2.5,0.354,0.013,0.348,-0.031,-4.589,0.19,-42.615,-11.698,0.33,2.4365,11.12,0.045
5,3.5,0.391,0.016,0.3605,-0.015,-4.377,0.199,-39.63,-12.13,0.3,2.5895,-9999,0.07
5,4.5,0.426,0.011,0.3795,-0.0085,-4.844,0.23,-38.17,-12.3,0.3,2.5145,-9999,0.12
5,5.5,0.429,0.004,0.397,-0.034,-5.382,0.222,-34.93,-12.7,0.28,2.4615,-9999,0.14
5,6.5,0.391,0.01,0.3985,-0.012,-5.434,0.2395,-35.13,-12.852,0.27,2.4065,11.1,0.19
5,7.5,0.371,0.013,0.298,-0.007,-4.787,0.255,-22.42,-12.956,0.245,2.448,-9999,4.525
5,8.5,0.404,0.003,0.3325,0.717,-0.0605,0.316,24.25,-12.811,0.27,2.515,-9999,59.61
5,9.5,0.4045,-0.038,0.3345,4.82,36.33,0.4325,108.96,-11.615,0.38,2.679,-9999,173.695
5,10.5,0.379,-0.071,0.29,10.75,105.7,0.494,216.66,-10.203,0.56,3.138,11.12,310.815
5,11.5,0.3585,-0.053,0.281,13.53,160.7,0.531,293.68,-9.0125,0.785,3.3795,-9999,412.62
5,12.5,0.3685,-0.0365,0.3205,15.675,192.5,0.558,356.665,-7.7005,1,3.4995,-9999,478.67
5,13.5,0.326,-0.024,0.2955,16.52,209.1,0.588,361.71,-6.7765,1.245,3.5735,-9999,490.85
5,14.5,0.359,-0.0135,0.321,16.87,192.4,0.5975,322.11,-5.88,1.44,3.717,11.111,455.46
5,15.5,0.328,-0.0045,0.3085,13.855,155.65,0.608,248.24,-5.357,1.535,3.7935,-9999,375.86
5,16.5,0.337,0.009,0.318,9.2865,91.71,0.5665,137.935,-5.1875,1.65,3.7245,-9999,247.77
5,17.5,0.305,0.0185,0.2945,5.105,32.7705,0.526,33.47,-5.401,1.62,3.5075,-9999,108.345
5,18.5,0.291,0.021,0.2565,1.11,-6.097,0.3955,-34.79,-6.4475,1.315,3,11.1,19.405
5,19.5,0.296,0.033,0.3215,-0.098,-10.53,0.288,-66.27,-7.7745,1.01,2.8075,-9999,-0.05
5,20.5,0.2945,0.0415,0.3325,-0.062,-9.263,0.249,-60.735,-8.638,0.805,2.769,-9999,-0.21
5,21.5,0.29,0.0415,0.339,-0.114,-7.986,0.2495,-55.73,-9.5925,0.7,2.816,-9999,-0.14
5,22.5,0.326,0.022,0.322,-0.07,-7.024,0.225,-52.33,-10.315,0.615,2.759,11.111,-0.08
5,23.5,0.317,0.021,0.324,-0.0215,-6.35,0.225,-48.29,-10.6355,0.52,2.6715,-9999,-0.03
6,0.5,0.347,0.024,0.401,-0.079,-10.96,0.24,-52.18,-4.553,0.835,2.963,-9999,-0.01
6,1.5,0.3965,0.0225,0.439,-0.1045,-9.7545,0.2435,-47.1,-4.828,0.735,2.9555,-9999,0.06
6,2.5,0.374,0.019,0.447,-0.0925,-11.725,0.2505,-47.685,-5.2025,0.665,2.956,11.46,0.08
6,3.5,0.453,0.0155,0.457,-0.109,-9.748,0.279,-49.115,-5.669,0.63,2.888,-9999,0.09
6,4.5,0.5,0.021,0.492,-0.039,-8.495,0.267,-48.82,-6.179,0.56,2.86,-9999,0.12
6,5.5,0.45,0.023,0.47,-0.0405,-6.8045,0.2755,-46.22,-6.3805,0.49,2.867,-9999,0.15
6,6.5,0.4555,0.0235,0.465,-0.021,-9.008,0.269,-44.47,-6.3815,0.445,2.7805,11.47,0.68
6,7.5,0.4725,0.021,0.3755,0.0295,-7.765,0.284,0.375,-6.5715,0.47,2.7645,-9999,32.3905
6,8.5,0.415,-0.0425,0.391,3.6395,16.795,0.4,73.405,-5.768,0.64,2.795,-9999,142.265
6,9.5,0.3995,-0.073,0.3395,10.65,77.97,0.513,185.85,-4.344,0.93,3.224,-9999,280.05
6,10.5,0.401,-0.0475,0.301,15.19,158.8,0.566,297.34,-2.8935,1.355,3.5835,11.46,411.15
6,11.5,0.39,-0.039,0.322,19.45,213.6,0.602,389.62,-1.584,1.83,3.84,-9999,522.8355
6,12.5,0.4025,-0.035,0.343,20.9,252.95,0.638,441.18,-0.427,2.325,4.083,-9999,586.69
6,13.5,0.4045,-0.027,0.327,22.02,265.1,0.665,441.82,0.1795,2.8,4.2345,-9999,585.025
6,14.5,0.3745,-0.015,0.33,20.49,239.4,0.659,375.75,0.6735,3.005,4.2465,11.46,502.24
6,15.5,0.3835,-0.0055,0.339,17.75,199.4,0.646,300.5,0.789,3.415,4.2985,-9999,423.99
6,16.5,0.383,0.002,0.348,12.74,139.5,0.632,194.275,0.691,3.55,4.1615,-9999,301.785
6,17.5,0.346,0.017,0.344,8.178,65.7,0.581,75.505,0.587,3.26,3.983,-9999,176.415
6,18.5,0.329,0.029,0.3155,3.399,3.796,0.468,-6.705,0.127,2.87,3.4125,11.451,51
6,19.5,0.362,0.0445,0.367,0.0835,-11.45,0.344,-64.9795,-1.315,2.29,2.89,-9999,1.425
6,20.5,0.371,0.0415,0.419,-0.08,-9.964,0.299,-66.32,-2.211,1.76,2.945,-9999,-0.29
6,21.5,0.382,0.049,0.448,-0.1655,-9.309,0.237,-62.155,-3.0795,1.43,2.8405,-9999,-0.21
6,22.5,0.389,0.028,0.424,-0.0925,-7.167,0.249,-59.415,-3.6875,1.165,2.8455,11.451,-0.14
6,23.5,0.3985,0.0305,0.428,-0.037,-9.087,0.254,-54.245,-3.9285,0.98,2.891,-9999,-0.08
7,0.5,0.824,0.035,0.824,0.043,-6.335,0.143,-55.65,-0.276,1.635,2.6015,-9999,0
7,1.5,0.859,0.036,0.811,-0.013,-5.1235,0.1445,-54.34,-0.672,1.48,2.674,-9999,0.06
7,2.5,0.902,0.044,0.851,0.011,-5.2025,0.1405,-52.975,-0.921,1.305,2.577,17.89,0.105
7,3.5,0.8245,0.036,0.829,0.011,-5.144,0.132,-50.32,-1.404,1.195,2.5205,-9999,0.14
7,4.5,0.823,0.034,0.7845,0.0195,-4.449,0.1365,-52.87,-1.5415,1.07,2.476,-9999,0.14
7,5.5,0.8395,0.026,0.818,5e-04,-4.4205,0.134,-50.81,-1.7645,0.92,2.4275,-9999,0.26
7,6.5,0.7685,0.022,0.491,-0.011,-3.0025,0.124,-26.19,-1.9815,0.885,2.5145,17.92,9.315
7,7.5,0.406,-0.025,0.466,1.486,0.073,0.246,31.915,-1.49,0.99,2.3885,-9999,84.25
7,8.5,0.344,-0.14,0.3295,9.461,37.66,0.41,136.46,-0.602,1.475,2.689,-9999,227.33
7,9.5,0.279,-0.129,0.178,16.71,108.1,0.49,262.405,0.413,2.145,3.1525,-9999,373.34
7,10.5,0.165,-0.093,0.103,21.055,187.3,0.553,364.225,1.345,2.91,3.618,17.94,479.93
7,11.5,0.137,-0.0535,0.051,24.9,240.3,0.585,439.715,2.32,3.46,3.897,-9999,569.63
7,12.5,0.137,-0.042,0.0785,25.635,270.3,0.6,481.56,2.935,3.71,4.01,-9999,614.12
7,13.5,0.0995,-0.028,0.056,26.06,278.1,0.606,490.245,3.227,4.24,4.095,-9999,643.405
7,14.5,0.105,-0.017,0.037,24,260,0.619,455.81,3.7365,4.59,4.2005,19.67,588.51
7,15.5,0.113,-0.005,0.0875,21.91,219.1,0.617,365.56,3.919,4.815,4.1795,-9999,495.01
7,16.5,0.196,0.006,0.159,17.17,140.3,0.593,241.48,4.2765,4.86,4.09,-9999,350.98
7,17.5,0.2,0.0125,0.1945,11.855,70.58,0.551,122.2,4.308,4.75,3.8875,-9999,211.83
7,18.5,0.257,0.047,0.2625,6.012,13.53,0.475,20.36,3.8125,4.395,3.575,19.93,90.34
7,19.5,0.427,0.071,0.39,1.072,-9.504,0.3245,-45.585,2.9475,3.6,2.9245,-9999,12.54
7,20.5,0.8715,0.0805,0.815,0.149,-11.57,0.207,-58.63,1.8065,3.045,2.747,-9999,-0.09
7,21.5,0.902,0.0735,0.9115,0.088,-9.426,0.183,-58.875,1.0865,2.56,2.734,-9999,-0.215
7,22.5,0.878,0.064,0.85,0.012,-7.622,0.169,-57.49,0.511,2.23,2.693,19.581,-0.12
7,23.5,0.838,0.0485,0.854,0.097,-6.879,0.179,-55.07,0.1245,1.99,2.647,-9999,-0.055
8,0.5,1.0755,0.0705,1.102,0.154,-9.2665,0.207,-60.86,3.292,2.87,2.8965,-9999,-0.01
8,1.5,0.969,0.0675,1.053,0.274,-10.11,0.199,-58.35,3.121,2.525,2.9675,-9999,0.07
8,2.5,1.0075,0.04,1.084,0.1875,-8.908,0.198,-57.655,2.7455,2.115,2.8965,25.25,0.1
8,3.5,0.989,0.0265,1.012,0.209,-9.086,0.193,-55.365,2.4075,1.955,2.835,-9999,0.16
8,4.5,0.8815,0.028,0.94,0.135,-9.0785,0.197,-53.37,1.7805,1.77,2.8845,-9999,0.18
8,5.5,0.852,0.0205,0.8515,0.178,-8.288,0.2245,-49.145,1.1815,1.655,2.7765,-9999,1.52
8,6.5,0.5865,-0.0165,0.414,0.997,-6.064,0.289,-0.155,0.794,1.62,2.7615,25.081,41.22
8,7.5,0.1115,-0.148,0.22,8.561,11.52,0.399,73.91,1.6905,2.04,2.843,-9999,156.32
8,8.5,-0.7615,-0.26,-0.691,20.075,73.09,0.521,200.895,3.078,2.7,3.288,-9999,313.295
8,9.5,-1.554,-0.144,-1.644,31.43,150.15,0.585,327.7,4.668,3.75,3.807,-9999,465.73
8,10.5,-2.168,-0.1045,-2.3545,40,218.05,0.6285,451.115,5.874,4.53,4.1165,24.96,605.43
8,11.5,-2.914,-0.08,-2.8145,48.035,286.1,0.645,529.29,6.521,5.35,4.0735,-9999,697.795
8,12.5,-3.0055,-0.0435,-3.091,58.12,308.15,0.667,571.49,7.6555,6.46,4.2545,-9999,735.43
8,13.5,-3.02,-0.029,-3.116,62.52,297.9,0.691,549.6,9.024,6.91,4.3715,-9999,707.99
8,14.5,-2.983,-0.025,-3.013,54.15,300.2,0.687,484.25,9.482,7.47,4.3785,24.91,637.74
8,15.5,-2.4805,-0.011,-2.4785,47.39,250.2,0.662,430.27,9.8935,7.765,4.449,-9999,566.635
8,16.5,-1.933,0.001,-2.0215,36.54,188.9,0.642,288.19,10.187,7.88,4.3285,-9999,411.01
8,17.5,-1.319,0.018,-1.282,27.73,104,0.612,170.36,9.9155,7.87,4.094,-9999,286.64
8,18.5,-0.4655,0.044,-0.403,16.67,29.64,0.522,46.17,9.25,7.055,3.783,25.01,150.54
8,19.5,0.339,0.097,0.2685,6.957,-9.55,0.3865,-25,8.3595,6.295,3.185,-9999,38.25
