DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.0895,-9999,0.1055,-0.1225,-7.669,0.253,-20.43,-19.2895,0.22,2.4,-9999,0.01
1,1.5,0.141,-9999,0.135,-0.107,-10.671,0.292,-22.28,-19.1635,0.22,2.434,-9999,0.04
1,2.5,0.147,-9999,0.098,-0.053,-8.691,0.268,-21.305,-18.935,0.22,2.4395,7.75,0.045
1,3.5,0.142,-9999,0.114,-0.182,-8.61,0.288,-21.315,-19.4315,0.22,2.424,-9999,0.04
1,4.5,0.1115,-9999,0.1065,-0.075,-7.365,0.279,-15.9245,-19.7245,0.22,2.268,-9999,0.075
1,5.5,0.116,-9999,0.109,-0.0555,-5.93,0.28,-15.555,-19.551,0.215,2.284,-9999,0.09
1,6.5,0.1065,-9999,0.124,-0.1,-8.0555,0.303,-16.79,-19.1885,0.22,2.334,7.75,0.1
1,7.5,0.103,-9999,0.113,-0.034,-9.1745,0.298,-16.58,-19.155,0.22,2.2815,-9999,0.13
1,8.5,0.175,-9999,0.1515,-0.028,-7.2515,0.2885,-18.975,-19.662,0.22,2.3435,-9999,0.24
1,9.5,0.1355,-9999,0.1105,-0.0355,-5.511,0.2985,-7.395,-19.3525,0.22,2.254,-9999,8.48
1,10.5,0.154,-9999,0.1005,0.6205,-0.062,0.34,18.35,-18.4505,0.23,2.0815,7.735,53.155
1,11.5,0.0945,-9999,0.0635,2.543,15.275,0.38,50.22,-18.076,0.25,2.102,-9999,98.305
1,12.5,0.063,-9999,0.032,4.48,30.638,0.396,72.565,-16.6345,0.27,2.08,-9999,149.365
1,13.5,0.072,-9999,0.032,5.808,33.96,0.412,71.77,-16.073,0.29,2.2255,-9999,141.74
1,14.5,0.0985,-9999,0.0775,5.746,26.706,0.3965,49.28,-15.568,0.31,2.167,7.715,112.24
1,15.5,0.0815,-9999,0.065,2.9645,10.253,0.382,14.88,-15.4615,0.31,2.246,-9999,65.405
1,16.5,0.0535,-9999,0.053,0.705,-2.548,0.332,-22.21,-15.949,0.3,2.236,-9999,16.121
1,17.5,0.09,-9999,0.1175,0.0115,-7.257,0.303,-30.6,-16.6785,0.27,2.424,-9999,0.29
1,18.5,0.098,-9999,0.136,-0.0325,-8.661,0.301,-31.3,-17.4795,0.25,2.556,7.72,-0.16
1,19.5,0.08,-9999,0.121,-0.038,-7.7285,0.313,-27.375,-18.0645,0.24,2.553,-9999,-0.105
1,20.5,0.0935,-9999,0.107,-0.068,-7.63,0.314,-22.95,-18.401,0.23,2.459,-9999,-0.03
1,21.5,0.112,-9999,0.1,0.0075,-7.929,0.3,-21.435,-18.7975,0.23,2.4625,-9999,-0.01
1,22.5,0.128,-9999,0.114,-0.072,-7.685,0.282,-19.455,-18.768,0.22,2.468,7.73,0.01
1,23.5,0.1215,-9999,0.1285,-0.0845,-7.724,0.304,-16.23,-18.794,0.23,2.4875,-9999,0.01
2,0.5,0.09,-9999,0.0465,-0.088,-10.99,0.329,-30.11,-15.137,0.26,2.6075,-9999,0.03
2,1.5,0.078,-9999,0.083,-0.0875,-9.0155,0.3305,-36.085,-15.9075,0.26,2.538,-9999,0.02
2,2.5,0.08,-9999,0.0845,-0.097,-9.668,0.33,-31.395,-16.043,0.26,2.6285,7.815,0.005
2,3.5,0.0665,-9999,0.075,-0.117,-11.16,0.332,-27.1,-15.9385,0.26,2.6085,-9999,0.03
2,4.5,0.092,-9999,0.07,-0.177,-8.76,0.33,-28.88,-15.723,0.26,2.712,-9999,0.04
2,5.5,0.0815,-9999,0.087,-0.063,-8.668,0.3215,-30.465,-16.1265,0.26,2.6285,-9999,0.04
2,6.5,0.063,-9999,0.093,-0.1155,-8.971,0.31,-25.53,-16.0775,0.25,2.5945,7.825,0.08
2,7.5,0.078,-9999,0.086,-0.1385,-10.521,0.3095,-22.59,-16.108,0.25,2.531,-9999,0.12
2,8.5,0.0795,-9999,0.09,-0.095,-10.51,0.313,-17.89,-16.22,0.25,2.4695,-9999,0.67
2,9.5,0.093,-9999,0.0905,-0.022,-6.268,0.331,-5.445,-16.0675,0.25,2.4915,-9999,20.54
2,10.5,0.135,-9999,0.0965,0.95,8.2445,0.403,32.61,-15.3275,0.27,2.363,7.83,85.685
