DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.163,-9999,0.16,-0.1965,-4.2795,0.182,-5.007,-16.395,0.28,2.4745,41.3,-0.282
1,1.5,0.134,-9999,0.148,-0.405,-5.3195,0.1895,-5.146,-16.645,0.275,2.4945,41.296,-0.3545
1,2.5,0.19,-9999,0.1645,-0.274,-3.996,0.184,-4.696,-16.74,0.27,2.4935,41.273,-0.4115
1,3.5,0.18,-9999,0.122,-0.256,-4.156,0.183,-3.521,-16.9,0.26,2.439,41.273,-0.198
1,4.5,0.134,-9999,0.0975,-0.2095,-3.785,0.2,-2.624,-17.05,0.27,2.436,41.2345,-0.206
1,5.5,0.166,-9999,0.109,-0.0725,-4.3585,0.193,-2.993,-17.18,0.265,2.4785,41.313,-0.3125
1,6.5,0.169,-9999,0.126,-0.218,-4.701,0.1895,-2.689,-17.53,0.26,2.473,41.296,-0.327
1,7.5,0.163,-9999,0.139,-0.155,-3.748,0.2035,-1.665,-17.9,0.26,2.4495,41.279,0.5945
1,8.5,0.209,-9999,0.153,-0.054,-3.407,0.2125,2.075,-17.76,0.27,2.6215,41.271,29.975
1,9.5,0.206,-9999,0.099,0.693,-1.774,0.2295,9.1785,-16.93,0.32,3.072,41.2525,86.75
1,10.5,0.1225,-9999,0.0905,1.959,2.139,0.2625,15.774,-15.72,0.36,3.5435,41.249,141.2
1,11.5,0.268,-9999,0.1655,2.323,5.482,0.2795,17.5935,-14.54,0.4,3.7045,41.2415,178.6
1,12.5,0.252,-9999,0.156,2.174,5.5485,0.282,12.534,-14.09,0.45,3.8375,41.2305,184.9
1,13.5,0.241,-9999,0.203,2.554,3.0375,0.292,7.963,-13.62,0.49,3.726,41.2185,162
1,14.5,0.253,-9999,0.178,2.266,-0.2305,0.283,-3.1755,-13.06,0.48,3.497,41.221,100.75
1,15.5,0.178,-9999,0.122,1.018,-4.7545,0.237,-10.4885,-12.98,0.44,3.166,41.3235,31.715
1,16.5,0.126,-9999,0.078,-0.0395,-5.3475,0.206,-11.591,-14.23,0.36,2.811,41.297,0.338
1,17.5,0.125,-9999,0.0905,-0.105,-6.258,0.202,-11.8375,-14.94,0.32,2.8305,41.2965,-0.478
1,18.5,0.188,-9999,0.112,-0.1415,-5.236,0.205,-12.484,-15.74,0.3,2.8915,41.2925,-0.4245
1,19.5,0.167,-9999,0.128,-0.2685,-5.062,0.211,-10.4145,-16.025,0.29,2.88,41.2775,-0.447
1,20.5,0.171,-9999,0.12,-0.204,-5.2665,0.2,-9.6475,-16.26,0.29,2.6325,41.2705,-0.51
1,21.5,0.127,-9999,0.1225,-0.0555,-5.1275,0.1815,-7.4455,-16.565,0.28,2.6175,41.2895,-0.438
1,22.5,0.1515,-9999,0.125,-0.09,-4.743,0.188,-5.448,-16.93,0.28,2.4995,41.2475,-0.4185
1,23.5,0.141,-9999,0.1485,-0.176,-5.464,0.19,-4.7775,-17.31,0.28,2.482,41.2355,-0.436
2,0.5,0.0775,-9999,0.07,-0.2495,-4.768,0.17,-10.591,-21.435,0.235,2.2535,39.913,-0.9115
2,1.5,0.1535,-9999,0.067,-0.188,-4.041,0.1615,-9.6375,-21.5485,0.24,2.158,39.9125,-0.843
2,2.5,0.144,-9999,0.1065,-0.2685,-4.013,0.163,-5.872,-21.7835,0.24,2.092,39.899,-0.804
2,3.5,0.13,-9999,0.102,-0.132,-3.11,0.167,-5.3915,-22.04,0.23,2.197,39.892,-1.046
2,4.5,0.084,-9999,0.1,-0.2775,-3.1795,0.134,-3.33,-22.27,0.23,2.1045,39.8815,-0.8665
2,5.5,0.157,-9999,0.1165,-0.2195,-3.497,0.1535,-3.4965,-22.26,0.22,2.1235,39.8915,-0.8755
2,6.5,0.1675,-9999,0.125,-0.318,-3.65,0.156,-3.0665,-23.105,0.22,2.1965,39.8885,-0.889
2,7.5,0.13,-9999,0.139,-0.224,-2.742,0.136,-1.9895,-23.38,0.215,2.151,39.864,1.304
2,8.5,0.118,-9999,0.1425,-0.108,-2.3405,0.158,8.5665,-22.3,0.23,2.26,39.854,67.225
2,9.5,0.14,-9999,0.117,0.0585,-0.857,0.2045,19.983,-20.865,0.27,2.571,39.812,193.95
2,10.5,0.1955,-9999,0.122,0.687,2.702,0.202,28.9945,-19.09,0.325,2.9385,39.7875,272.8
2,11.5,0.2495,-9999,0.123,1.143,6.994,0.23,32.7355,-18.085,0.37,3.178,39.7565,328.9
2,12.5,0.241,-9999,0.159,2.0525,7.862,0.259,21.457,-16.915,0.42,3.637,39.774,328.9
2,13.5,0.2345,-9999,0.149,2.027,5.3765,0.274,9.413,-16.235,0.46,3.5795,39.7705,271.5
2,14.5,0.197,-9999,0.137,1.399,0.948,0.256,-7.999,-15.915,0.48,3.353,39.781,196.2
2,15.5,0.1525,-9999,0.1385,0.05,-4.673,0.2375,-25.581,-16.1145,0.44,3.1375,39.8225,83.75
2,16.5,0.133,-9999,0.0795,-0.2415,-5.838,0.191,-30.484,-16.96,0.38,2.517,39.8125,5.7905
2,17.5,0.1485,-9999,0.059,-0.2105,-4.8975,0.1585,-26.428,-18.02,0.31,2.188,39.8055,-1.193
2,18.5,0.0975,-9999,0.076,-0.239,-5.918,0.173,-22.4635,-18.84,0.29,2.251,39.792,-0.7515
2,19.5,0.1105,-9999,0.078,-0.252,-5.361,0.163,-20.564,-19.575,0.27,2.236,39.774,-0.8265
2,20.5,0.1345,-9999,0.082,-0.257,-5.291,0.1595,-17.198,-20.06,0.26,2.1195,39.778,-0.8825
2,21.5,0.114,-9999,0.062,-0.337,-4.228,0.162,-13.5325,-20.225,0.25,2.255,39.743,-0.851
2,22.5,0.1025,-9999,0.0815,-0.373,-5.169,0.15,-11.0625,-20.335,0.24,2.219,39.771,-0.8745
2,23.5,0.128,-9999,0.0655,-0.189,-4.6565,0.172,-13.921,-20.71,0.24,2.1805,39.7605,-0.855
3,0.5,0.0685,-9999,0.082,-0.2,-3.5325,0.164,-10.768,-17.205,0.28,2.179,37.105,-0.786
3,1.5,0.072,-9999,0.105,-0.278,-3.682,0.155,-8.8115,-17.48,0.275,2.291,37.125,-0.707
3,2.5,0.084,-9999,0.0635,-0.0775,-4.066,0.158,-7.998,-18.025,0.27,2.2415,37.0985,-0.585
3,3.5,0.096,-9999,0.1035,-0.2345,-3.94,0.169,-5.722,-18.3,0.26,2.3445,37.0875,-0.499
3,4.5,0.1,-9999,0.0865,-0.2255,-3.6095,0.1645,-4.7345,-18.825,0.25,2.352,37.105,-0.4505
3,5.5,0.095,-9999,0.068,-0.19,-3.302,0.172,-4.6975,-19.4585,0.25,2.335,37.081,-0.433
3,6.5,0.0855,-9999,0.0865,-0.2615,-4.001,0.174,-3.939,-19.555,0.25,2.441,37.0945,-0.437
3,7.5,0.087,-9999,0.111,-0.1025,-3.073,0.173,-0.959,-19.44,0.25,2.435,37.085,10.68
3,8.5,0.128,-9999,0.151,0.224,-1.34,0.204,5.279,-18.74,0.28,2.921,37.0815,81.25
3,9.5,0.185,-9999,0.113,1.5025,1.8785,0.234,15.0835,-17.644,0.33,3.1665,37.085,182.1
3,10.5,0.214,-9999,0.1135,2.1275,7.0965,0.264,23.969,-16.41,0.41,3.605,37.0715,296.85
3,11.5,0.218,-9999,0.136,3.921,9.07,0.279,18.8935,-14.63,0.49,3.852,37.0675,350.85
3,12.5,0.223,-9999,0.139,4.776,9.384,0.2875,17.8935,-13.67,0.56,4.0205,37.061,357.6
3,13.5,0.1925,-9999,0.13,4.628,8.5055,0.2935,13.4555,-12.98,0.59,4.038,37.064,310.4
3,14.5,0.141,-9999,0.087,3.978,2.377,0.296,2.736,-12.385,0.59,3.882,37.0575,227.75
3,15.5,0.1215,-9999,0.096,2.1845,-2.121,0.2635,-6.4355,-12.375,0.55,3.532,37.031,116.9
3,16.5,0.088,-9999,0.0775,1.019,-5.059,0.251,-14.8225,-12.765,0.48,3.0485,37.041,27.035
3,17.5,0.1315,-9999,0.066,-0.0875,-5.385,0.206,-20.5185,-14.035,0.39,2.651,37.017,-0.236
3,18.5,0.121,-9999,0.0455,-0.1035,-5.591,0.183,-17.485,-14.67,0.35,2.47,36.983,-0.6375
3,19.5,0.138,-9999,0.055,-0.173,-5.2695,0.1925,-18.641,-15.29,0.33,2.618,36.9765,-0.731
3,20.5,0.055,-9999,0.083,-0.2505,-4.487,0.195,-17.3785,-15.349,0.32,2.641,36.97,-0.7195
3,21.5,0.087,-9999,0.066,-0.149,-3.6545,0.184,-11.4865,-15.94,0.31,2.619,36.99,-0.6355
3,22.5,0.0235,-9999,0.059,-0.106,-4.815,0.179,-11.05,-16.33,0.305,2.473,36.981,-0.5825
3,23.5,0.0785,-9999,0.086,-0.174,-4.1435,0.1675,-10.563,-16.673,0.3,2.41,36.981,-0.723
4,0.5,0.075,-9999,0.0195,-0.155,-3.3465,0.1425,-15.1505,-17.6015,0.29,2.324,37.245,-0.6845
4,1.5,0.065,-9999,0.0475,-0.061,-3.2,0.138,-13.562,-18.05,0.27,2.27,37.238,-0.7125
4,2.5,0.1245,-9999,0.051,-0.1145,-2.4295,0.1295,-10.921,-18.49,0.26,2.2245,37.2345,-0.6525
4,3.5,0.135,-9999,0.035,-0.0875,-2.555,0.136,-11.2985,-18.955,0.245,2.2925,37.228,-0.656
4,4.5,0.145,-9999,0.07,-0.122,-3.616,0.135,-9.4505,-19.5725,0.24,2.266,37.231,-0.4995
4,5.5,0.14,-9999,0.0615,-0.185,-2.6815,0.15,-9.3895,-19.69,0.24,2.3165,37.214,-0.6205
4,6.5,0.0835,-9999,0.033,-0.1085,-2.503,0.1405,-8.354,-19.97,0.245,2.259,37.2105,0.159
4,7.5,0.118,-9999,0.088,-0.094,-2.2925,0.159,1.7325,-19.375,0.27,2.369,37.2005,43.42
4,8.5,0.2205,-9999,0.098,0.281,-0.434,0.184,9.636,-17.92,0.32,2.769,37.201,156.8
4,9.5,0.247,-9999,0.064,1.805,3.193,0.218,19.511,-15.41,0.4,3.187,37.191,284.8
