DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.4905,-0.0445,0.257,0.061,-9.6955,0.33,-7.8585,-15.37,0.245,2.1235,13.201,-0.7505
1,1.5,0.445,0.013,0.336,0.209,-8.977,0.332,-6.894,-15.29,0.25,1.997,13.201,-0.78
1,2.5,0.5585,0.0365,0.376,0.168,-7.92,0.354,-7.7115,-15.61,0.235,2.097,13.201,-2.385
1,3.5,0.464,0.02,0.358,0.132,-8.451,0.378,-7.4635,-15.755,0.24,2.2125,13.201,-1.26
1,4.5,0.359,0.025,0.309,0.0975,-7.692,0.343,-7.103,-16.37,0.24,2.115,13.201,-0.6105
1,5.5,0.426,0.0225,0.335,0.115,-8.939,0.377,-6.875,-16.665,0.24,2.2615,13.201,-0.605
1,6.5,0.4495,0.0125,0.324,0.1085,-6.6915,0.349,-6.408,-16.58,0.235,2.1865,13.201,-0.557
1,7.5,0.5,0.0295,0.3195,0.1,-7.422,0.3605,-4.7665,-16.5,0.23,2.0785,13.201,-0.1265
1,8.5,0.476,-0.014,0.363,0.414,-3.51,0.375,8.2075,-16.54,0.24,2.1235,13.101,22.63
1,9.5,0.525,-0.033,0.384,1.858,7.893,0.449,50.0885,-16.309,0.25,2.524,13.101,80.5
1,10.5,0.452,-0.0505,0.361,5.006,38.038,0.5205,85.063,-14.975,0.28,2.724,13.101,127.6
1,11.5,0.466,-0.0325,0.363,7.8745,56.1985,0.553,115.7,-13.445,0.31,2.8455,13.101,162.55
1,12.5,0.4555,-0.006,0.387,8.744,58.326,0.546,114.45,-12.715,0.33,2.846,13.101,165.3
1,13.5,0.4035,-0.015,0.339,8.434,53.67,0.55,86.2485,-12.085,0.36,2.8935,13.101,140.3
1,14.5,0.403,0.02,0.359,6.294,21.5715,0.509,40.3535,-11.915,0.375,2.7055,13.101,84.7
1,15.5,0.391,0.034,0.3115,2.804,-0.38,0.436,3.4595,-12.6,0.37,2.576,13.101,28.12
1,16.5,0.541,0.0865,0.346,0.5695,-10.506,0.35,-15.1045,-13.405,0.33,2.3165,13.101,-0.112
1,17.5,0.406,0.066,0.318,0.2565,-10.296,0.371,-14.9195,-14.005,0.3,2.261,13.101,-0.963
1,18.5,0.469,0.035,0.316,0.185,-11.141,0.371,-13.076,-14.93,0.28,2.3225,13.101,-1.051
1,19.5,0.516,0.0505,0.333,0.002,-10.522,0.346,-13.8555,-15.72,0.27,2.3055,13.101,-0.966
1,20.5,0.3865,-5e-04,0.288,0.06,-10.4765,0.3395,-11.8335,-15.9,0.26,2.3115,13.101,-1.0295
1,21.5,0.4245,0.0195,0.324,0.112,-9.354,0.306,-10.5125,-15.69,0.25,2.1345,13.101,-0.7815
1,22.5,0.349,0.048,0.326,0.07,-8.996,0.308,-10.5275,-16.105,0.25,2.234,13.0505,-0.6725
1,23.5,0.349,0.007,0.243,0.1405,-8.594,0.316,-8.325,-16.355,0.24,2.247,13,-0.6945
2,0.5,0.405,0.0405,0.266,0.002,-11.287,0.274,-20.4155,-20.99,0.215,2.118,9.3,-1.525
2,1.5,0.465,0.04,0.24,0.014,-10.191,0.243,-16.311,-21.175,0.21,2.09,9.3,-1.484
2,2.5,0.434,0.0185,0.246,0.032,-9.3825,0.2475,-15.331,-21.655,0.21,2.012,9.3,-2.928
2,3.5,0.421,0.0075,0.26,0.006,-10.6545,0.248,-19.0505,-22.165,0.2,1.9525,9.3,-2.112
2,4.5,0.384,0.0335,0.267,0.002,-9.497,0.239,-18.8475,-22.42,0.195,1.885,9.25,-1.846
2,5.5,0.492,0.01,0.265,0.01,-8.612,0.224,-15.8065,-23.08,0.19,1.94,9.2,-1.654
2,6.5,0.5505,0.0195,0.267,-0.07,-8.01,0.227,-13.8015,-23.445,0.18,1.852,9.2,-1.7835
2,7.5,0.426,0.0245,0.2755,-0.03,-6.499,0.227,-7.2845,-23.17,0.18,1.7355,9.1,0.346
2,8.5,0.424,-0.056,0.307,0.0485,-3.362,0.272,22.85,-23.235,0.185,1.735,9.1,50.03
2,9.5,0.533,-0.16,0.356,1.628,24.8865,0.3905,88.57,-22.065,0.2,1.9135,9.1,141.6
2,10.5,0.438,-0.134,0.356,5.857,70.0205,0.4585,153.67,-19.995,0.24,2.196,9.1,240.4
2,11.5,0.4425,-0.0585,0.3645,8.8455,103.886,0.5,167.475,-18.315,0.28,2.6,9,273.65
2,12.5,0.405,-0.0305,0.339,9.7755,109.7755,0.5505,171.53,-17.365,0.33,2.739,9,256.05
2,13.5,0.4025,-0.034,0.371,11.5585,93.021,0.551,139.99,-16.67,0.35,2.7735,9,217.65
2,14.5,0.392,-0.002,0.31,8.436,58.79,0.505,81.942,-16.195,0.375,2.578,9.05,152.2
2,15.5,0.338,0.0515,0.301,4.338,12.563,0.465,16.249,-16.15,0.37,2.5345,9.1,65.1405
2,16.5,0.361,0.08,0.2705,0.3815,-7.602,0.328,-38.575,-16.54,0.32,2.0375,9,4.204
2,17.5,0.346,0.0885,0.257,0.008,-10.9005,0.279,-44.5745,-17.745,0.28,1.9595,9,-2.1515
2,18.5,0.3945,0.0545,0.295,-0.0315,-11.1175,0.2805,-40.129,-18.49,0.25,2.0655,9,-1.9455
2,19.5,0.424,0.026,0.231,-0.027,-13.903,0.285,-32.6405,-18.825,0.24,2.12,8.95,-1.685
2,20.5,0.416,0.055,0.2635,-0.0085,-12.1995,0.2665,-37.0915,-19.155,0.235,2.119,8.9,-1.9115
2,21.5,0.4045,0.061,0.255,0.039,-9.4615,0.252,-29.914,-19.575,0.22,2.1655,8.95,-1.7065
2,22.5,0.415,0.035,0.265,0.0155,-10.5255,0.2515,-28.6695,-20.285,0.22,2.0555,8.9,-1.806
2,23.5,0.4105,0.0175,0.242,0.031,-7.9865,0.2505,-25.1715,-20.36,0.22,2.0795,8.9,-1.671
3,0.5,0.3925,0.015,0.277,0.1225,-9.138,0.3245,-12.7525,-16.2045,0.25,2.1255,5,-1.6945
3,1.5,0.3965,0.023,0.287,0.161,-7.4255,0.311,-11.4325,-16.86,0.25,2.103,5,-1.586
3,2.5,0.378,-0.023,0.251,0.175,-5.372,0.327,-12.821,-17.305,0.25,2.139,5,-3.106
3,3.5,0.405,-0.0085,0.248,0.081,-7.5165,0.338,-11.7865,-17.605,0.25,2.1895,5,-1.761
3,4.5,0.4265,0.009,0.273,0.2665,-7.672,0.332,-10.8225,-18.34,0.24,2.104,5,-1.1325
3,5.5,0.349,-0.015,0.264,0.1935,-7.6045,0.3285,-10.7245,-18.86,0.24,2.08,5,-0.992
3,6.5,0.447,-0.012,0.2795,0.0585,-8.199,0.3395,-8.5415,-18.18,0.24,2.158,5,-0.974
3,7.5,0.372,0,0.282,0.0975,-7.987,0.355,-1.274,-18.57,0.23,2.083,5,4.287
3,8.5,0.421,-0.062,0.317,1.4635,6.379,0.407,37.2795,-17.905,0.24,2.3425,5,63.195
3,9.5,0.448,-0.033,0.3615,5.301,43.697,0.495,102.43,-16.84,0.27,2.576,5,157.15
3,10.5,0.473,-0.037,0.396,9.318,89.0565,0.5845,162.21,-15.1,0.33,2.8295,5,229.65
3,11.5,0.4005,-0.029,0.347,13.078,117.241,0.579,184.925,-13.86,0.39,2.9405,5,263.15
3,12.5,0.397,-0.011,0.4065,16.057,115.721,0.587,186.56,-13.48,0.45,3.0405,5,256.351
3,13.5,0.3605,-0.018,0.358,16.492,93.788,0.596,160.425,-12.83,0.47,3.0525,5,234.95
3,14.5,0.3655,0.0235,0.393,13.915,70.0695,0.574,112.005,-12.04,0.48,2.986,4.95,167.25
3,15.5,0.313,0.0245,0.3305,7.759,28.7535,0.5175,44.423,-12.26,0.48,2.8505,4.9,95.2
3,16.5,0.324,0.052,0.289,2.754,-2.49,0.444,-3.807,-12.76,0.43,2.4915,4.9,24.105
3,17.5,0.296,0.0675,0.31,0.413,-10.28,0.374,-17.217,-13.51,0.37,2.3195,4.9,-1.07
3,18.5,0.335,0.029,0.298,0.341,-9.877,0.3585,-17.2835,-14.14,0.33,2.1375,4.9,-1.893
3,19.5,0.4075,0.059,0.2935,0.195,-10.3545,0.3445,-18.596,-14.34,0.31,2.155,4.9,-1.782
3,20.5,0.355,0.0455,0.282,0.179,-9.686,0.341,-16.817,-14.285,0.285,2.171,4.9,-1.7965
3,21.5,0.395,0.0305,0.2675,0.1195,-10.7865,0.3385,-18.0405,-14.21,0.28,2.0885,4.9,-1.663
3,22.5,0.352,0.023,0.303,0.146,-9.5385,0.342,-15.0315,-14.455,0.27,2.218,4.9,-1.5435
3,23.5,0.33,0.0295,0.2795,0.116,-9.643,0.3615,-14.0995,-14.895,0.26,2.0715,4.9,-1.407
4,0.5,0.335,0.052,0.221,0.068,-9.6615,0.3045,-23.9165,-17.69,0.27,2.047,4.6,-0.994
4,1.5,0.479,0.015,0.235,0.218,-8.417,0.2585,-24.143,-18.3,0.26,1.9565,4.6,-1.09
4,2.5,0.402,0.0165,0.251,0.12,-7.824,0.261,-26.0715,-18.88,0.25,1.906,4.6,-2.683
4,3.5,0.369,0.017,0.236,0.028,-6.983,0.259,-22.896,-19.195,0.24,1.9475,4.6,-1.734
4,4.5,0.4405,0.0075,0.256,0.0365,-6.547,0.268,-20.043,-19.69,0.23,1.9965,4.6,-1.1155
4,5.5,0.4205,0.02,0.2615,0.0845,-7.0355,0.248,-20.5975,-20.16,0.23,1.9095,4.6,-1.185
4,6.5,0.352,0.031,0.243,0.1055,-6.62,0.251,-17.466,-20.44,0.23,1.9025,4.6,-0.229
4,7.5,0.4165,0.003,0.3125,0.145,-3.532,0.275,12.9195,-20.6,0.22,1.9085,4.6,32.815
4,8.5,0.413,-0.042,0.377,2.364,18.24,0.401,88.748,-19.615,0.25,2.156,4.6,137.1
4,9.5,0.434,-0.055,0.337,6.806,81.947,0.5155,183.065,-16.835,0.33,2.673,4.6,269.75
4,10.5,0.46,-0.047,0.398,12.255,150.754,0.592,250.71,-14.775,0.425,2.962,4.6,338.55
4,11.5,0.493,-0.005,0.409,14.651,172.894,0.618,296.43,-13.51,0.55,3.199,4.6,404.6
4,12.5,0.406,-0.008,0.385,16.454,175.3185,0.6015,274.705,-11.98,0.61,3.178,4.6,373.3
4,13.5,0.425,-0.013,0.328,13.945,158.7075,0.605,246.715,-11.005,0.69,3.2515,4.6,343.4
4,14.5,0.395,-0.013,0.34,14.6235,129.715,0.621,187.815,-10.43,0.72,3.385,4.6,273.05
4,15.5,0.4075,-0.0125,0.29,9.216,72.017,0.614,89.1535,-10.585,0.755,3.09,4.6,169.45
4,16.5,0.34,0.028,0.304,4.658,13.75,0.533,11.1525,-11.28,0.66,2.943,4.6,62.995
4,17.5,0.33,0.0695,0.241,0.875,-7.671,0.363,-54.815,-12.125,0.57,2.3115,4.6,2.224
4,18.5,0.3925,0.075,0.256,0.094,-11.1825,0.3,-53.444,-13.325,0.475,2.157,4.6,-1.63
4,19.5,0.3555,0.111,0.304,0.022,-11.0715,0.2885,-53.236,-14.07,0.405,2.1795,4.6,-1.5885
4,20.5,0.361,0.049,0.291,0.0595,-11.643,0.291,-46.407,-15.285,0.38,2.107,4.6,-1.462
4,21.5,0.384,0.03,0.248,0.053,-12.5195,0.285,-40.1635,-16.105,0.35,2.1565,4.6,-1.477
4,22.5,0.375,0.0525,0.252,0.04,-11.3315,0.264,-42.9195,-16.59,0.31,2.1275,4.6,-1.513
4,23.5,0.343,0.042,0.236,0.06,-10.478,0.266,-33.368,-17.185,0.28,2.213,4.6,-1.426
5,0.5,0.3885,0.038,0.2775,0.272,-7.058,0.299,-35.601,-11.605,0.39,2.1195,4.4,-1.7
5,1.5,0.438,0.028,0.292,0.1115,-6.1845,0.256,-25.939,-12.2,0.375,2.043,4.4,-1.589
5,2.5,0.4965,-5e-04,0.2535,0.1235,-4.9195,0.261,-23.6255,-12.525,0.35,2.049,4.4,-2.47
5,3.5,0.442,-0.003,0.293,0.158,-5.9185,0.2865,-21.075,-13.13,0.35,2.0155,4.4,-1.481
5,4.5,0.5425,0.0045,0.29,0.141,-6.388,0.2685,-19.5395,-13.82,0.325,1.9575,4.4,-1.232
5,5.5,0.4575,0.015,0.2665,0.071,-6.9995,0.247,-19.6615,-14.39,0.31,2,4.4,-0.966
5,6.5,0.388,-0.0145,0.2985,0.0955,-6.257,0.278,-9.44,-14.74,0.3,2.0725,4.4,4.7065
