DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,-9999,-9999,-9999,0.4,-4.475,0.28,-1.475,-15.2,0.13,1.78,10,-0.165
1,1.5,-9999,-9999,-9999,0.1,-4.72,0.235,-1.395,-15.4,0.13,1.73,10,-0.225
1,2.5,-9999,-9999,-9999,0.4,-8.03,0.285,-1.395,-15.45,0.13,1.9,10,-0.19
1,3.5,-9999,-9999,-9999,0.05,-8.745,0.285,-1.435,-15.35,0.12,1.995,10,-0.185
1,4.5,-9999,-9999,-9999,-0.1,-7.23,0.333,-1.375,-15.3,0.13,2.06,10,-0.195
1,5.5,-9999,-9999,-9999,0,-6.93,0.325,-1.165,-15.7,0.13,2.05,10,-0.03
1,6.5,-9999,-9999,-9999,0.5,-4.54,0.315,-1.065,-15.7,0.13,1.88,10,-0.005
1,7.5,-9999,-9999,-9999,1.2,-1.955,0.335,-1.015,-16.15,0.13,2.02,10,0
1,8.5,-9999,-9999,-9999,1,-7.48,0.29,-0.96,-15.6,0.13,1.81,10,0
1,9.5,-9999,-9999,-9999,1.2,-5.81,0.3465,2.105,-15.3,0.13,1.83,10,4.555
1,10.5,-9999,-9999,-9999,4.6,2.41,0.31,16.08,-14.6,0.135,1.84,10,26.59
1,11.5,-9999,-9999,-9999,10.5,23.175,0.38,35.935,-13.95,0.15,1.94,10,56.46
1,12.5,-9999,-9999,-9999,11,39.49,0.42,47.63,-13,0.18,2.095,10,71.95
1,13.5,-9999,-9999,-9999,11.1,40.705,0.41,51.36,-12.75,0.195,2.16,10,83.45
1,14.5,-9999,-9999,-9999,9.05,28.01,0.46,39.665,-12.75,0.2,2.24,10,62.35
1,15.5,-9999,-9999,-9999,7.3,15.5,0.45,22.77,-12.95,0.19,2.22,10,38.21
1,16.5,-9999,-9999,-9999,3.6,-1.655,0.395,5.48,-13.45,0.175,2.075,10,10.095
1,17.5,-9999,-9999,-9999,1.15,-4.86,0.335,-1.41,-13.9,0.17,1.995,10,0
1,18.5,-9999,-9999,-9999,0.75,-7.95,0.37,-1.655,-14,0.15,2.05,10,-0.485
1,19.5,-9999,-9999,-9999,1.35,-6.295,0.35,-1.445,-14.05,0.135,2.195,10,-0.105
1,20.5,-9999,-9999,-9999,1.4,-4.915,0.3035,-1.355,-14.45,0.13,1.99,10,-0.13
1,21.5,-9999,-9999,-9999,0.85,-4.085,0.325,-1.18,-14.75,0.13,2.085,10,-0.28
1,22.5,-9999,-9999,-9999,1.3,-5.245,0.323,-1.2,-14.95,0.13,1.94,10,-0.21
1,23.5,-9999,-9999,-9999,1.4,-3.45,0.31,-1.32,-15.05,0.13,1.855,10,-0.1
