variable_names,basename,proposed_name,qualifier_gf,qualifier_pi,qualifier_pos,qualifier_ag,need_aggregate,aggregate_method,layer,H_index,V_index,R_index,is_correct_basename,is_unique,is_PI_provide,is_gapfill,is_fetch,is_layer_integrate,is_layer_SD,is_layer_number,is_replicate_average,is_replicate_SD,is_replicate_number,is_quadruplet
TIMESTAMP_START,TIMESTAMP_START,TIMESTAMP_START,NA,NA,NA,NA,FALSE,equal,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TIMESTAMP_END,TIMESTAMP_END,TIMESTAMP_END,NA,NA,NA,NA,FALSE,equal,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FC_1_1_1,FC,FC,NA,NA,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
H_1_1_1,H,H,NA,NA,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
LE_1_1_1,LE,LE,NA,NA,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
USTAR_1_1_1,USTAR,USTAR,NA,NA,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WD_1_1_1,WD,WD,NA,NA,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CO2_1_1_1,CO2,CO2,NA,NA,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WS_1_1_1,WS,NA,NA,NA,_1_1_1,NA,TRUE,2step,NA,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TA_1_1_1,TA,NA,NA,NA,_1_1_1,NA,TRUE,2step,NA,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TA_1_2_1,TA,NA,NA,NA,_1_2_1,NA,TRUE,2step,NA,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
P_1_1_1,P,P,NA,NA,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
RH_1_1_1,RH,RH,NA,NA,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
VPD_PI_1_1_1,VPD,VPD,NA,_PI,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WS_1_2_1,WS,NA,NA,NA,_1_2_1,NA,TRUE,2step,NA,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PPFD_IN_1_1_2,PPFD_IN,NA,NA,NA,_1_1_2,NA,TRUE,2step,NA,1,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PPFD_OUT_1_1_1,PPFD_OUT,PPFD_OUT,NA,NA,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SW_IN_1_1_1,SW_IN,SW_IN,NA,NA,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SW_OUT_1_1_1,SW_OUT,SW_OUT,NA,NA,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PPFD_IN_1_1_1,PPFD_IN,NA,NA,NA,_1_1_1,NA,TRUE,2step,NA,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PPFD_DIF_1_1_1,PPFD_DIF,PPFD_DIF,NA,NA,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PPFD_DIR_1_1_1,PPFD_DIR,PPFD_DIR,NA,NA,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
NETRAD_1_1_1,NETRAD,NETRAD,NA,NA,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PPFD_BC_IN_1_1_1,PPFD_BC_IN,PPFD_BC_IN,NA,NA,_1_1_1,NA,FALSE,equal,NA,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SWC_1_1_1,SWC,NA,NA,NA,_1_1_1,NA,TRUE,2step,NA,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SWC_2_1_1,SWC,NA,NA,NA,_2_1_1,NA,TRUE,2step,NA,2,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SWC_3_1_1,SWC,NA,NA,NA,_3_1_1,NA,TRUE,2step,NA,3,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SWC_4_1_1,SWC,NA,NA,NA,_4_1_1,NA,TRUE,2step,NA,4,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
