DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.887,-9999,-9999,2,-6.5,0.2615,-59,6.45,2.405,2.81,27.501,-2
1,1.5,0.6595,-9999,-9999,2,-6,0.209,-55,6.25,2.27,2.885,28.0005,-1
1,2.5,0.6025,-9999,-9999,1,-3,0.231,-40.5,5.85,2.06,3.305,27.501,-1
1,3.5,0.273,-9999,-9999,1,-4,0.203,-50,5.55,2.125,3.11,28.0505,-1
1,4.5,0.182,-9999,-9999,1,-5,0.2415,-56,5.2,1.885,3.1,27.401,-1.5
1,5.5,0.2845,-9999,-9999,0.5,-3.5,0.241,-44.5,5,1.755,3.025,27.401,-1
1,6.5,0.091,-9999,-9999,1,-4,0.222,-44,4.8,1.645,3.105,27.3505,-1
1,7.5,0.205,-9999,-9999,1,-4,0.206,-48,4.6,1.525,3.26,27.3505,0
1,8.5,0.16,-9999,-9999,2,-3,0.256,3,3.9,1.32,3.375,27.3505,43.5
1,9.5,1.955,-9999,-9999,10,5,0.2795,85,3,1.505,2.695,27.3,172
1,10.5,1.296,-9999,-9999,21,58,0.372,169.5,4.35,1.885,2.29,27.3,250
1,11.5,1.637,-9999,-9999,23,90,0.414,250.5,4.75,2.465,2.04,28.001,353
1,12.5,1.2615,-9999,-9999,27,125,0.413,294,5.6,3.105,2.055,27.701,395.5
1,13.5,0.864,-9999,-9999,23,144,0.463,275,6.9,3.415,2.385,28.001,391
1,14.5,1.4095,-9999,-9999,25,120,0.509,193,7.4,4.02,2.125,28.6,292
1,15.5,1.1935,-9999,-9999,19,74,0.445,113,7.8,4.45,2.105,28.7,223
1,16.5,0.887,-9999,-9999,10,29.5,0.375,12,8.3,4.755,2.185,27.801,81
1,17.5,0.75,-9999,-9999,2,-1,0.31,-51,7.8,4.56,2.56,28.2505,4
1,18.5,0.523,-9999,-9999,1,-3,0.256,-59.5,7.5,4.235,2.76,28.75,-2
1,19.5,0.523,-9999,-9999,1,-4,0.2325,-63,7.25,4.01,2.795,28.8,-2
1,20.5,0.637,-9999,-9999,2,-6,0.2895,-66.5,7.15,4.01,3.35,28.8,-2
1,21.5,0.66,-9999,-9999,1,-6,0.2385,-66,7.05,3.87,2.97,28.85,-2
1,22.5,1.319,-9999,-9999,1,-8,0.259,-75,6.7,3.67,2.835,28.95,-2
1,23.5,1.671,-9999,-9999,1,-6,0.268,-75.5,6.4,3.05,2.85,28.9,-2
2,0.5,0.478,-9999,-9999,2,-4.5,0.275,-44,3,1.815,3.52,30.1,-1
2,1.5,0.273,-9999,-9999,2,-4,0.2495,-35,2.3,1.75,3.19,30.55,-1
2,2.5,0.4435,-9999,-9999,2,-5,0.25,-31,2.2,1.59,3.295,31.5005,-1
2,3.5,0.319,-9999,-9999,3,-6,0.255,-37,1.9,1.57,3.385,31.5,-1
2,4.5,0.6145,-9999,-9999,2,-6,0.284,-34,1.8,1.535,3.425,31.4,-1
2,5.5,0.796,-9999,-9999,2.5,-7,0.241,-41,1.65,1.56,3.645,31.35,-1
2,6.5,0.546,-9999,-9999,2,-8,0.248,-32,1.3,1.51,3.03,30.6005,-1
2,7.5,0.796,-9999,-9999,3,-8.5,0.2625,-40.5,0.9,1.46,3.33,30.5505,0
2,8.5,1.1935,-9999,-9999,4,-3,0.255,6,0.85,1.45,3.035,30.85,44.5
2,9.5,0.91,-9999,-9999,11,11,0.334,88,0.75,1.55,2.54,29.45,163.5
2,10.5,0.421,-9999,-9999,15,56,0.359,172.5,1.3,1.82,2.46,28.75,268
2,11.5,0.387,-9999,-9999,19.5,125,0.447,285,2.05,2.285,2.3,31.0505,398
2,12.5,0.137,-9999,-9999,26,135,0.473,269.5,3.2,2.85,2.81,31.8005,410
2,13.5,0.455,-9999,-9999,27,169,0.458,286,4.5,3.295,2.8,30.75,405.5
2,14.5,0.7615,-9999,-9999,25,130,0.502,172.5,5.2,3.725,2.975,31.85,261
2,15.5,0.478,-9999,-9999,20,82,0.489,110.5,5.15,3.685,2.92,32.6505,189.5
2,16.5,0.682,-9999,-9999,14,30,0.444,25,5.25,3.715,3.055,31.65,81.5
2,17.5,0.728,-9999,-9999,5,0,0.3745,-24,5.05,3.68,2.92,32.2,14
2,18.5,0.637,-9999,-9999,2,-4,0.322,-44.5,4.4,3.395,3.44,31.95,-1
2,19.5,0.546,-9999,-9999,2,-6,0.292,-46,4,2.995,3.7,31.75,-1
