DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,-0.409,0,-0.409,1,-13.5,0.19,-62,-4.6,1.08,3.04,7.8,-2
1,1.5,-0.181,0,-0.181,0.5,-12,0.165,-56.5,-5.25,0.865,2.22,7.75,-2
1,2.5,-0.318,0,-0.318,0.5,-11,0.1965,-52,-5.35,1,2.83,7.6,-1
1,3.5,-0.272,0,-0.272,1,-18,0.224,-54.5,-5,0.985,3.03,7.6,-2
1,4.5,-0.386,0,-0.386,1,-19.5,0.2615,-48,-5.85,1.025,4.195,7.55,-1.5
1,5.5,-0.3065,0,-0.3065,1,-18,0.224,-46.5,-6.7,0.985,3.48,7.4,-1
1,6.5,-0.34,0,-0.34,1,-17,0.1955,-48,-6.6,0.895,3.25,7.35,-1
1,7.5,-0.386,0,-0.386,0.5,-6,0.205,-40.5,-7,0.73,2.5,7.3,2
1,8.5,-0.431,0,-0.431,3,-5,0.1915,5.5,-6.75,0.695,2.645,7.35,49
1,9.5,-0.238,0,-0.238,4.5,-1,0.2765,49,-6.5,0.77,3.745,7.35,116.5
1,10.5,-0.204,0,-0.204,8,0,0.382,86,-5.2,0.93,4.14,7.3,239.5
1,11.5,-0.204,0,-0.204,13.5,1,0.3525,112,-4.6,0.955,4.635,7.2,284
1,12.5,-0.204,0,-0.204,12,6.5,0.326,115,-3.9,1.2,4.12,7.2,275.5
1,13.5,-0.2155,0,-0.2155,9,-2,0.287,71,-2.85,1.405,3.615,7.3,220
1,14.5,-0.3065,0,-0.3065,6,-8,0.288,33,-2.6,1.34,3.99,7.3,110.5
1,15.5,-0.34,0,-0.34,5,-6.5,0.2155,-4,-3.35,1.285,3.155,7.05,71
1,16.5,-0.2835,0,-0.2835,4.5,-5.5,0.221,-31,-2.7,1.36,3.15,6.95,11
1,17.5,-0.113,0,-0.113,4.5,-1.5,0.296,-36,-2.5,1.58,3.735,6.9,-1
1,18.5,-0.0335,0,-0.0335,4.5,-4.5,0.2525,-27,-1.8,2.03,3.72,6.95,-1
1,19.5,0,0,0,2,-3,0.202,-37,-2,1.825,3.375,7.25,-1
1,20.5,0.16,0,0.16,3,-1,0.213,-31,-3.15,1.305,3.33,7.45,-1
1,21.5,-0.022,0,-0.022,6,-1,0.263,-25,-3.6,1.08,3.27,7.7,-1
1,22.5,-0.113,0,-0.113,3,-14,0.208,-49,-3.25,1.24,3.29,7.7,-0.5
1,23.5,-0.352,0,-0.352,0,-16,0.184,-62.5,-4.35,1.185,2.96,7.65,-1
2,0.5,-0.2605,0,-0.2605,0,-18,0.29,-52,-5.4,0.94,3.37,10.2,-1
2,1.5,-0.227,0,-0.227,0,-17.5,0.253,-40.5,-6.4,0.855,3.245,10.2005,-1
2,2.5,-0.318,0,-0.318,0,-10,0.2245,-50,-6.3,0.83,3.41,10.0005,-1
2,3.5,-0.295,0,-0.295,0.5,-12,0.231,-54,-6.8,0.895,3.135,9.35,-1
2,4.5,-0.318,0,-0.318,0,-16.5,0.252,-59,-5.9,0.89,3.98,8.9,-2
2,5.5,-0.522,0,-0.522,0,-15,0.288,-57,-5.05,0.89,3.515,7.9,-1
2,6.5,-0.454,0,-0.454,2,-16.5,0.357,-54,-5.3,0.865,5.25,7.45,-1
2,7.5,-0.749,0,-0.749,1,-18,0.359,-39,-5.55,0.945,4.63,7.8,16.5
2,8.5,-0.136,0,-0.136,8,1,0.3525,20,-4.4,1.22,4.165,8.5,141
2,9.5,0.296,0,0.296,11,29,0.371,103,-3.4,1.76,5.3,8.1,275
2,10.5,0.341,0,0.341,13,77.5,0.339,187.5,-0.45,2.275,5.8,9,395
2,11.5,0.364,0,0.364,14,90,0.404,211.5,0.7,2.985,5.765,9.25,456
2,12.5,0.239,0,0.239,12,73.5,0.382,215.5,2.95,4.295,6.12,9.5,455.5
2,13.5,0.2165,0,0.2165,10.5,54.5,0.41,174,3.6,4.39,6.27,10.2005,403.5
2,14.5,0.114,0,0.114,6,22,0.35,83,4,4.11,5.41,10.6,282
2,15.5,-0.159,0,-0.159,3.5,-6.5,0.286,4.5,2.95,3.77,4.765,10.65,131.5
2,16.5,-0.2835,0,-0.2835,1,-23,0.257,-62,1.45,2.97,4.325,10.85,14
2,17.5,-0.363,0,-0.363,0.5,-25,0.2005,-66,-0.55,2.31,3.955,10.65,-2
2,18.5,-0.272,0,-0.272,0,-19.5,0.257,-62,-1.45,2.17,3.865,11.2505,-2
2,19.5,-0.3065,0,-0.3065,0,-16.5,0.23,-64.5,-2.85,2.06,3.41,11.4,-2
2,20.5,-0.318,0,-0.318,0.5,-15.5,0.251,-62,-3.85,1.555,3.73,11.45,-2
2,21.5,-0.249,0,-0.249,1.5,-18,0.2745,-59.5,-3.5,1.445,3.53,11.5,-2
2,22.5,-0.227,0,-0.227,1,-16.5,0.21,-60,-4.15,1.185,3.365,11.601,-2
