DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,2.369,-9999,0.292,0.282,-7.894,0.149,-62.25,8.99,2.555,2.125,21.25,0
1,1.5,1.978,-9999,0.464,1.4525,-4.119,0.1565,-62.25,8.63,2.85,1.857,21.25,0
1,2.5,1.625,-9999,0.675,0.795,-4.7205,0.1555,-60.25,8.06,2.465,1.655,21.25,0
1,3.5,1.272,-9999,0.6175,-0.1645,-7.4795,0.123,-60.75,7.9215,2.34,1.8615,21.2,0
1,4.5,1.609,-9999,0.663,0.284,-7.132,0.141,-60.5,7.9255,1.96,1.7715,21.15,0
1,5.5,1.889,-9999,1.016,-0.361,-3.834,0.1455,-60.25,7.529,2.05,1.4815,21.15,0
1,6.5,2.169,-9999,0.387,-0.298,-9.689,0.1545,-61,6.599,1.595,1.569,21.1,0
1,7.5,2.185,-9999,0.196,0.021,-10.82,0.1615,-54.5,6.962,1.95,1.811,21.05,0.5
1,8.5,0.4415,-9999,0.381,3.205,-4.628,0.163,14.25,7.5885,2.195,1.6365,21.05,80.75
1,9.5,-2.5985,-9999,0.089,10.227,11.756,0.1685,89.75,8.82,2.65,1.0855,21.05,242
1,10.5,-5.511,-9999,-0.817,15.5395,40.4555,0.159,196.75,9.04,2.6,1.3745,21.1,389.25
1,11.5,-6.695,-9999,-1.245,20.194,63.038,0.1865,257,10.32,3.25,1.7455,21.225,471.5
1,12.5,-6.79,-9999,-1.173,19.552,102.404,0.191,280.75,11.055,3.175,1.754,21.425,511.25
1,13.5,-3.5095,-9999,-1.848,15.721,84.965,0.1915,241.75,12.195,3.745,1.7995,21.625,451
1,14.5,-3.7075,-9999,-1.329,12.605,71.791,0.1785,164,12.44,3.49,1.8195,21.65,356.25
1,15.5,0.795,-9999,-0.8885,9.0095,39.37,0.1665,74.25,12.275,3.765,1.6055,21.7,220
1,16.5,-1.1755,-9999,0.327,5.389,13.8735,0.154,-12.25,12.12,3.54,1.314,21.7,63.25
1,17.5,2.351,-9999,0.359,-0.398,-7.519,0.117,-68,10.91,2.945,1.548,21.6,0
1,18.5,1.664,-9999,0.452,0.891,-13.965,0.1355,-70,10.28,3.22,1.934,21.55,0
1,19.5,1.822,-9999,0.421,-0.8825,-11.8215,0.1365,-69,9.905,3.35,2.033,21.5,0
1,20.5,1.598,-9999,0.424,-0.265,-15.619,0.14,-66.75,9.55,3.375,1.816,21.4,0
1,21.5,2.2065,-9999,0.2835,-0.626,-17.803,0.1405,-66.25,9.635,3.655,1.772,21.35,0
1,22.5,1.5615,-9999,0.2555,0.5465,-17.226,0.1315,-66,9.38,3.04,1.87,21.35,0
1,23.5,1.778,-9999,0.413,0.713,-7.711,0.1275,-64,8.765,3.015,1.853,21.3,0
2,0.5,2.369,-9999,0.408,1.482,-29.373,0.1755,-63.75,9.11,3.65,1.992,27.5005,0
2,1.5,1.978,-9999,0.6245,2.137,-22.134,0.2045,-61.25,8.875,3.43,2.063,27.4,0
2,2.5,1.625,-9999,0.4845,-0.0255,-17.2245,0.179,-61,8.775,3.165,1.893,27.3005,0
2,3.5,1.272,-9999,0.63,1.192,-13.257,0.173,-62.5,8.3,2.86,1.855,27.175,0
2,4.5,1.609,-9999,1.022,1.766,-14.239,0.1445,-67,8.106,2.745,1.9365,27.1,0
2,5.5,1.889,-9999,0.437,0.387,-14.406,0.1605,-64,8.035,2.7,1.7385,27.0005,0
2,6.5,2.169,-9999,0.633,0.122,-15.592,0.1535,-63,8.075,2.465,1.777,26.95,0
2,7.5,2.185,-9999,0.833,-0.192,-24.4465,0.172,-55.5,8.05,2.825,1.9695,26.9,2.75
2,8.5,0.4415,-9999,0.609,6.11,-9.429,0.167,20.75,8.09,2.7,1.4625,26.85,99.5
2,9.5,-2.5985,-9999,0.108,18.6795,18.97,0.158,124.25,9.255,3.085,1.258,27,273
2,10.5,-5.511,-9999,-0.9275,37.675,52.03,0.175,241.5,9.945,3.465,1.6175,27.2505,425.5
2,11.5,-6.695,-9999,-1.3595,36.846,94.6425,0.205,292.5,10.565,3.71,1.891,27.6505,500.25
2,12.5,-6.79,-9999,-1.9,37.964,113.741,0.2025,315.75,10,4,1.985,28.475,551
2,13.5,-3.5095,-9999,-2.71,42.655,112.268,0.209,285.75,10.315,4.455,2.108,29.125,510
2,14.5,-3.7075,-9999,-1.407,40.43,91.579,0.2265,205.5,10.96,4.95,2.1145,29.325,408
