DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,1.391,0.1795,1.185,0.37,-24.2365,0.334,-34.49,3.2005,1.29,1.677,-9999,-0.05
1,1.5,1.2265,0.097,1.182,0.201,-24.385,0.302,-34.69,2.7615,1.135,1.715,-9999,-0.0565
1,2.5,1.342,-0.032,1.049,0.0915,-27.972,0.3275,-30,2.8285,1.15,1.6295,-9999,-0.038
1,3.5,1.325,-0.015,0.955,0.26,-26.948,0.31,-31.085,3.2955,1.12,1.673,-9999,-0.038
1,4.5,1.177,0.031,1.017,0.22,-26.263,0.316,-32.79,2.921,1.085,1.5665,-9999,-0.0505
1,5.5,1.256,0.019,0.973,0.631,-25.915,0.332,-25.115,3.1965,1.095,1.566,-9999,-0.0545
1,6.5,1.108,-0.078,0.918,0.456,-23.364,0.32,-36.215,3.366,1.1,1.595,-9999,-0.0275
1,7.5,1.0895,-0.2195,0.8355,0.19,-21.2915,0.3235,-20.455,4.113,1.05,1.6365,-9999,4.1285
1,8.5,0.5185,-0.503,0.023,2.803,7.1315,0.4515,15.89,4.7445,1.385,1.723,-9999,77.3
1,9.5,0.163,-0.792,-0.5235,11.798,52.922,0.614,72.4,5.6005,2.175,2.0505,-9999,137.45
1,10.5,-0.3845,-0.5185,-0.728,15.954,109.733,0.643,120.1,6.6185,2.75,2.2335,-9999,211.9
1,11.5,-0.9535,-0.425,-1.267,27.524,165.3445,0.6625,142.45,7.585,2.985,2.3245,-9999,251.4
1,12.5,-0.502,-0.374,-1.117,24.609,156.506,0.576,156.3,8.08,3.7,2.226,-9999,276.4
1,13.5,-0.445,-0.073,-0.701,20.8955,97.8975,0.622,126.6,8.5,3.89,2.073,-9999,216.3
1,14.5,-0.389,0.0685,-0.439,18.5605,57.857,0.5825,87.25,8.28,4.175,2.1165,-9999,192.25
1,15.5,0.19,0.224,0.3385,8.1745,0.756,0.4885,11.815,8.055,4,1.847,-9999,89.15
1,16.5,0.89,0.508,1.279,1.86,-16.7665,0.364,-23.45,7.245,3.74,1.857,-9999,8.59
