DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.43,0.014,0.474,15.299,-9.0435,0.119,-37.265,17.815,4,1.345,89.717,0
1,1.5,0.423,0.0035,0.434,15.7,-10.394,0.135,-39,17.445,3.965,1.4,89.717,0
1,2.5,0.468,-5e-04,0.4855,16.1575,-10.1535,0.1245,-36.78,17.355,3.93,1.3135,89.717,0
1,3.5,0.495,0.006,0.466,15.815,-8.853,0.129,-31.955,17.58,3.79,1.3195,89.717,0
1,4.5,0.432,0,0.543,18.1525,-9.0865,0.125,-32.48,17.255,3.78,1.28,89.717,0
1,5.5,0.424,0.0075,0.4505,23.533,-8.828,0.1085,-30.88,16.93,3.975,1.25,89.717,0
1,6.5,0.4515,0.0045,0.495,22.898,-8.639,0.1145,-28.6,16.52,3.955,1.234,89.717,0
1,7.5,0.392,0.01,0.3835,20.206,-6.9975,0.1125,-19.15,16.71,3.82,1.2215,89.717,6.25
1,8.5,-0.085,-0.0105,-0.113,25.167,3.43,0.1525,60.455,18.595,4.22,1.6,89.717,108.05
1,9.5,-0.785,-0.096,-0.944,48.821,26.191,0.239,206.7,21.505,5.925,2.6975,89.717,288.5
1,10.5,-1.101,-0.068,-1.187,64.216,33.093,0.332,349.7,23.44,8.005,3.491,89.717,453.65
1,11.5,-1.364,-0.027,-1.375,88.7755,49.2965,0.3595,455,24.385,9.95,3.62,89.717,544.6
1,12.5,-1.404,-0.005,-1.426,102.677,49.82,0.361,509.2,24.72,10.95,3.63,89.717,598.15
1,13.5,-1.296,-0.009,-1.2925,112.041,54.7005,0.3715,487.15,24.74,12.215,3.74,89.717,578.5
1,14.5,-1.239,-0.0075,-1.3455,119.9905,51.812,0.36,401.8,24.765,12.415,3.763,89.717,498.7
1,15.5,-1.075,-0.002,-1.075,114.727,35.014,0.3585,293.5,24.72,12.265,3.6335,89.717,372.85
1,16.5,-0.893,-0.007,-0.948,86.625,15.275,0.334,136,23.995,11.205,3.4295,89.717,212.15
1,17.5,-0.4115,-0.0095,-0.2885,47.613,-4.257,0.284,-2.89,23.02,9.025,2.7405,89.717,49.65
1,18.5,0.241,0.0315,0.3635,23.0325,-15.332,0.176,-58.515,21.035,6.4,1.726,89.717,0.2
1,19.5,0.409,0.0505,0.6355,20.0035,-11.995,0.12,-62.15,19.94,5.11,1.2915,89.717,0
1,20.5,0.409,0.0445,0.546,23.489,-12.867,0.0945,-56.76,18.755,4.125,1.167,89.717,0
1,21.5,0.446,0.007,0.5115,21.2105,-13.3915,0.12,-51.385,18.215,4.16,1.255,89.717,0
