DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.768,0.015,0.662,11.277,-22.057,0.072,-20.18,17.46,3.78,0.958,77.568,0
1,1.5,0.6605,0.0265,0.646,15.644,-26.116,0.0775,-18.645,16.93,3.85,1.0145,77.5865,0
1,2.5,0.614,0.0245,0.565,16.314,-24.764,0.071,-16.85,16.78,3.79,1.018,77.605,0
1,3.5,0.681,0.0115,0.602,16.334,-21.839,0.0685,-15.5,16.45,3.595,1.01,77.605,0
1,4.5,0.7745,0.055,0.561,14.657,-21.921,0.079,-15.95,15.85,3.585,1.1,77.6235,0
1,5.5,0.574,0.0075,0.594,12.9595,-21.4985,0.073,-15.39,15.85,3.635,1.1,77.642,0
1,6.5,0.6325,0.039,0.568,16.349,-22.6615,0.0725,-15.09,15.89,3.4,1.1205,77.6235,0
1,7.5,0.573,0.0135,0.294,12.687,-21.592,0.082,-10.6,16.1155,3.505,1.134,77.5865,2.95
1,8.5,-0.0045,-0.0385,0.0265,29.131,-0.312,0.138,38.65,17.39,3.495,1.2195,77.605,72.35
1,9.5,-1.06,-0.2985,-1.1655,65.5545,35.038,0.273,167,20.885,4.76,2.297,77.568,250.7
1,10.5,-1.493,-0.0795,-1.547,89.822,84.665,0.395,284.6,23.6,7.79,3.545,77.5125,404.9
1,11.5,-1.7745,-0.0315,-1.7775,112.5045,114.34,0.418,394.7,24.765,9.905,3.82,77.327,495.8
1,12.5,-1.856,-0.002,-1.8985,117.4155,141.677,0.4405,446.45,25.1,11.175,4.095,77.2895,556.95
1,13.5,-1.8305,-0.007,-1.827,122.549,140.983,0.44,433.4,25.4,11.88,3.885,77.271,533.95
1,14.5,-1.6785,-0.003,-1.721,102.715,124.2,0.441,374.45,25.8,12.18,3.8225,77.1785,476.9
1,15.5,-1.369,-0.002,-1.473,88.708,107.3325,0.418,282,25.3,12.09,3.714,77.1415,356.7
1,16.5,-0.81,-0.0145,-0.87,63.336,44.194,0.388,153.05,24.61,11,3.422,77.123,221.6
1,17.5,-0.048,-0.008,-0.093,31.347,-1.632,0.316,15.065,23.86,9.25,2.7875,77.123,70.55
1,18.5,0.599,0.053,0.6785,15.179,-18.4755,0.144,-53.565,21.68,6.43,1.505,77.1415,2.3
1,19.5,0.721,0.117,0.808,4.284,-21.417,0.079,-51.605,20.03,4.7,1.2215,77.1415,0
1,20.5,0.816,0.109,0.846,9.805,-19.062,0.072,-45.3,19.13,4.025,1.141,77.1785,0
1,21.5,0.737,0.059,0.6595,11.003,-23.224,0.075,-36.365,18.37,3.7,1.137,77.271,0
1,22.5,0.7205,0.0265,0.709,15.146,-23.575,0.075,-29.5,17.5,3.615,1.088,77.271,0
1,23.5,0.65,0.0375,0.648,11.398,-22.016,0.079,-25.285,17.255,3.795,1.085,77.271,0
2,0.5,1.16,-0.006,1.2045,4.5075,-23.3925,0.07,-26.15,15.7,3.6,1.1,70.752,0
2,1.5,1.1825,0.004,1.2225,6.2875,-24.5565,0.066,-22.445,15.32,3.61,1.0245,70.7335,0
