DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,1.61,0.017,1.0585,1.58,-14.93,0.245,-39.38,8.8235,3.8,1.839,22.5,-1.349
1,1.5,1.481,-0.0065,0.8605,1.849,-13.6685,0.2555,-36.105,8.6055,3.6,1.784,22.25,-1.3865
1,2.5,1.521,0.026,0.8695,1.4525,-12.452,0.248,-37.325,8.102,3.45,1.7465,22.1,-1.0895
1,3.5,1.493,-0.0265,0.975,1.1125,-15.049,0.259,-30.32,7.465,3.45,1.826,22.2505,-0.9695
1,4.5,1.565,0.001,1.067,1.8865,-15.655,0.258,-35.27,6.726,3.28,1.784,22.1,-1.0205
1,5.5,1.356,0.0065,1.051,1.428,-13.628,0.2645,-29.52,6.603,3.4,1.8535,22.55,-1.021
1,6.5,1.324,0.033,1.107,1.255,-13.456,0.2565,-28.61,6.2565,3.135,1.8435,22.2505,-1.029
1,7.5,2.1225,0,1.593,2.351,-13.411,0.267,-29.515,6.208,3.255,1.821,22.4505,0.054
1,8.5,1.093,-0.018,1.144,6.3515,-9.701,0.297,6.2795,6.7,3.06,1.7985,22.6005,42.745
1,9.5,-0.887,-0.244,-0.899,24.63,27.563,0.4,88.45,8.408,4.21,2.071,22.8,173.3
1,10.5,-3.2565,-0.219,-3.989,45.706,101.21,0.536,221.05,11.562,5.47,2.624,22.05,355.1
1,11.5,-5.003,-0.128,-5.0805,63.515,183.4125,0.601,345.9,12.8125,6.665,2.7695,22.3,484.8
1,12.5,-6.022,-0.025,-6.166,71.893,219.714,0.6225,417.3,13.921,8.125,2.9055,21.95,630.75
1,13.5,-5.611,-0.0615,-5.7465,68.314,220.884,0.602,414.45,14.976,9.41,2.817,22.55,603.75
1,14.5,-4.692,-0.0065,-4.804,65.6335,211.564,0.6205,368.55,15.72,10.71,2.89,22.901,518.3
1,15.5,-3.7125,0.0015,-4.06,59.345,147.5945,0.582,234.35,16.093,10.78,2.762,23.1005,366.6
1,16.5,-2.229,-0.004,-2.079,45.75,57.653,0.52,100.95,16.347,10.32,2.621,22.5,212.25
1,17.5,-0.7025,0.076,-0.504,24.401,-8.27,0.448,2.48,15.79,9.55,2.317,22.55,49.735
1,18.5,0.6295,0.1975,0.569,4.8605,-20.1035,0.225,-60.63,14.369,8.585,1.8915,22.401,-0.872
1,19.5,1.775,0.2115,0.893,2.447,-16.7305,0.188,-58.165,12.569,7.24,1.675,22.6,-2.357
1,20.5,1.8875,0.1175,0.97,1.2735,-15.39,0.188,-54.29,11.7,5.975,1.628,22.4505,-2.1445
1,21.5,1.657,0.081,0.876,1.4635,-11.121,0.212,-51.58,10.3725,5.16,1.712,23.3,-1.7385
1,22.5,1.819,0.035,0.9175,1.56,-13.218,0.215,-48.28,9.684,4.5,1.704,22.5,-1.699
1,23.5,1.6615,0.024,0.755,0.9085,-11.388,0.2045,-42.98,8.9305,4.185,1.791,22.5505,-1.266
2,0.5,1.2445,0.025,1.196,2.145,-14.6725,0.284,-29.895,9.206,3.23,1.855,25.1,-1.54
