DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,1.315,0.047,0.397,0.009,-15.0315,0.2,-85.65,0.068,3.43,1.7595,19.777,-2.096
1,1.5,1.31,0.01,0.302,0.1715,-11.846,0.186,-84,-0.305,3.36,1.466,19.698,-2.017
1,2.5,1.123,0.0145,0.307,0.155,-11.3645,0.1935,-82.95,-0.257,3.55,1.5525,19.5935,-1.962
1,3.5,1.025,0.0135,0.377,0.244,-14.248,0.1795,-82.15,-0.398,3.585,1.5925,19.5925,-2.018
1,4.5,1.1465,0.014,0.343,0.32,-16.6345,0.2115,-79.61,-0.52,3.58,1.9935,19.5915,-1.93
1,5.5,0.942,5e-04,0.37,0.1005,-18.6745,0.217,-78.175,-0.785,3.44,1.6465,19.5915,-2.2045
1,6.5,0.962,0.014,0.4055,0.107,-21.88,0.267,-78.24,-0.861,3.335,1.6575,19.59,-2.046
1,7.5,0.7235,0.021,0.309,0.141,-14.6495,0.2035,-71.965,-0.7935,3.14,1.65,19.6005,3.5315
1,8.5,0.577,-0.0235,0.205,1.8,-2.4435,0.246,23.96,-0.1455,3.37,1.43,19.622,121.8
1,9.5,0.4325,-0.137,0.0565,9.204,48.594,0.4895,171.8,1.5925,4.24,1.785,19.6205,330.4
1,10.5,0.2415,-0.12,-0.158,17.426,125.714,0.6105,295,3.243,4.765,2.272,19.642,501.2
1,11.5,0.092,-0.0535,-0.2065,23.5955,164.52,0.662,384.45,5.1,5.485,2.434,19.6585,618.8
1,12.5,-0.063,-0.089,-0.3435,24.89,176.67,0.7015,414.5,6.0375,6.01,2.63,19.689,651.3
1,13.5,-0.1945,-0.063,-0.311,24.218,169.236,0.695,389.95,6.13,6.38,2.7115,19.7535,616.65
1,14.5,-0.063,-0.04,-0.011,22.259,155.0115,0.678,312.5,5.907,6.46,2.747,19.7885,507.35
1,15.5,0.107,0.019,0.1195,17.0245,87.331,0.6205,169.8,5.553,6.24,2.317,19.79,330.45
1,16.5,0.2065,0.027,0.309,8.9975,18.38,0.4905,7.298,4.508,5.7,1.982,19.8015,119.35
1,17.5,0.754,0.1335,0.595,1.072,-16.0205,0.271,-89.95,2.9655,4.77,1.3675,19.801,1.5855
1,18.5,0.839,0.146,0.6975,0.549,-14.609,0.191,-92.35,1.452,3.99,1.472,19.795,-2.762
1,19.5,1.1455,0.0945,0.745,0.365,-11.516,0.2155,-88.9,0.4755,3.64,1.3375,19.796,-2.356
1,20.5,0.9145,0.032,0.467,0.427,-12.364,0.211,-87.65,0.0805,3.51,1.425,19.794,-2.1755
1,21.5,1.036,0.0565,0.4945,0.3465,-12.1925,0.1945,-87.45,0.676,3.56,1.5835,19.7905,-2.0585
1,22.5,1.1465,0.036,0.383,0.132,-13.1815,0.181,-85.9,0.427,3.495,1.5625,19.7865,-2.103
1,23.5,1.051,0.009,0.414,0.0865,-13.4,0.2055,-84.85,0.245,3.475,1.6185,19.7825,-1.8275
2,0.5,0.981,0.024,0.435,0.208,-13.83,0.231,-78.895,-2.4655,2.21,1.6415,19.7195,-2.0185
2,1.5,0.852,0.029,0.3365,0.044,-12.5135,0.2095,-78.47,-2.731,2.265,1.63,19.6985,-1.7885
2,2.5,1.032,0.0135,0.35,0.0775,-13.0725,0.2345,-78.22,-2.9325,2.22,1.5235,19.6565,-1.9985
2,3.5,0.969,-0.011,0.348,0.1615,-15.3675,0.239,-77.03,-3.0715,2.14,1.624,19.599,-1.8845
2,4.5,0.944,-0.0035,0.409,0.228,-12.4365,0.21,-78.18,-3.257,1.845,1.703,19.552,-1.801
2,5.5,1.0035,-0.006,0.352,0.139,-12.967,0.2335,-73.875,-3.419,1.98,1.78,19.4965,-1.824
2,6.5,0.853,0.04,0.346,0.268,-10.5795,0.2075,-73.935,-3.767,1.825,1.697,19.4615,-1.7625
2,7.5,0.87,0.017,0.396,0.116,-12.3895,0.201,-47.795,-3.786,1.77,1.6975,19.4415,3.401
2,8.5,0.861,0.004,0.316,1.517,-0.0455,0.313,31.68,-2.528,1.945,1.371,19.442,130.7
2,9.5,0.655,-0.125,0.35,7.699,56.622,0.428,171,-0.662,2.375,1.675,19.4425,322.3
2,10.5,0.5065,-0.099,0.3305,17.9885,120.487,0.5635,298.65,0.374,2.95,2.146,19.4435,503.4
2,11.5,0.393,-0.082,0.188,27.199,171.678,0.6435,392.25,1.747,3.29,2.262,19.4485,632.75
2,12.5,0.3935,-0.062,0.148,29.2805,176.549,0.659,432.1,2.498,3.615,2.438,19.476,685.9
2,13.5,0.335,-0.033,0.243,28.426,171.807,0.655,412.6,2.707,4.18,2.486,19.504,616.75
2,14.5,0.39,-0.0465,0.2515,25.3265,154.677,0.655,327.75,2.924,4.115,2.6055,19.858,523.5505
2,15.5,0.335,0.0085,0.323,17.4265,108.729,0.631,203.8,3.015,4.08,2.358,19.5685,345.8
2,16.5,0.3605,0.03,0.41,9.63,34.509,0.5425,42.24,2.4615,4,2.185,19.6015,156
2,17.5,0.488,0.1195,0.4735,2.1875,-7.866,0.3825,-61.135,0.8725,3.335,1.735,19.6325,6.68
2,18.5,0.743,0.177,0.587,0.303,-13.027,0.204,-87.05,-0.867,2.72,1.434,19.652,-2.7985
2,19.5,0.896,0.11,0.508,0.203,-13.3855,0.172,-87.2,-1.416,2.365,1.448,19.673,-2.5015
2,20.5,0.913,0.061,0.445,0.0575,-12.215,0.204,-84,-1.617,2.225,1.637,19.6775,-2.171
2,21.5,0.9905,-0.019,0.2895,0.316,-10.891,0.158,-81.25,-2.016,2.275,1.657,19.706,-2.146
2,22.5,1.2,-0.003,0.358,0.3555,-12.738,0.217,-78.235,-2.2625,2.125,1.669,19.713,-1.977
2,23.5,1.011,0.016,0.4165,0.128,-13.0515,0.205,-80.81,-2.255,2.12,1.635,19.7475,-1.8875
3,0.5,1.0665,0.002,0.346,0.3095,-9.898,0.1635,-78.035,0.018,2.74,1.3895,20.794,-2.049
3,1.5,1.083,0.02,0.337,0.298,-10.5085,0.1715,-74.085,-0.0425,2.855,1.454,20.7955,-1.871
3,2.5,0.993,0.018,0.2715,0.491,-12.272,0.185,-76.745,-0.097,2.85,1.4915,20.7945,-2.052
3,3.5,1.083,-0.02,0.366,0.6675,-13.3,0.197,-75.425,-0.492,2.555,1.628,20.796,-2.011
3,4.5,1.236,0.002,0.3405,0.26,-11.202,0.1725,-68.995,-0.905,2.545,1.5435,20.8445,-2.007
3,5.5,0.962,0.0195,0.3645,0.642,-12.523,0.2,-68.815,-1.01,2.41,1.625,20.8445,-2.0895
3,6.5,1.022,0.0095,0.386,0.597,-10.1485,0.1765,-69.265,-1.0815,2.315,1.5675,20.8455,-1.959
3,7.5,1.062,-0.0325,0.264,0.6045,-15.4735,0.1915,-27.505,-1.1845,2.46,1.52,20.846,10.895
3,8.5,0.867,-0.056,0.253,3.3695,2.3315,0.312,67.38,-0.008,2.99,1.423,20.845,194.95
3,9.5,0.314,-0.11,-0.125,20.7335,69.6195,0.45,225.75,2.4585,3.99,1.84,20.845,402.85
3,10.5,-0.215,-0.093,-0.565,27.637,143.9975,0.549,346.8,3.8905,4.6,2.2265,20.844,596.3
3,11.5,-0.3545,-0.184,-0.708,31.448,191.611,0.633,440.45,4.75,5.195,2.5125,20.8925,706.8
3,12.5,-0.287,-0.101,-0.5145,33.547,195.7505,0.709,479.1,5.1325,5.41,2.594,20.8905,764.55
3,13.5,-0.71,-0.069,-0.627,32.891,191.833,0.725,460.35,5.845,5.775,2.73,20.892,716
3,14.5,-0.4865,-0.0315,-0.4785,29.0925,170.56,0.704,394.95,5.9175,6.125,2.7285,20.8915,597.9
3,15.5,-0.3215,-0.057,-0.294,23.316,123.001,0.649,245.4,6.3395,6.24,2.5135,20.939,436.45
3,16.5,-0.0535,0,0.251,13.8185,52.302,0.5575,94.2,5.5965,5.635,2.347,20.894,234.45
3,17.5,0.463,0.0925,0.504,3.5815,-7.18,0.393,-35.12,4.35,4.805,1.696,20.8935,29.815
3,18.5,0.933,0.1845,0.8255,0.039,-17.8,0.243,-92.25,2.4165,3.755,1.433,20.8935,-2.951
3,19.5,0.833,0.1785,0.593,-0.1275,-16.756,0.209,-88.75,1.686,3.22,1.519,20.894,-2.703
3,20.5,0.924,0.1505,0.511,0.03,-17.508,0.2225,-86,1.0925,2.74,1.408,20.8935,-2.485
3,21.5,1.016,0.065,0.479,0.144,-16.1385,0.228,-81.85,0.5775,2.535,1.4135,20.894,-2.338
