DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,1.328,-0.0699368019931981,1.2580631980068,-0.1145,-22.955,0.614,-24.3565,-4.8065,0.625,3.7355,17.2225,-0.41355
1,1.5,1.256,-0.0334765083527835,1.22252349164722,-0.441,-17.572,0.6525,-22.1945,-4.9915,0.545,3.6335,17.2215,-0.43605
1,2.5,1.129,0.0079488409292083,1.13694884092921,-0.582,-21.061,0.631,-26.9125,-5.121,0.54,3.262,17.222,-0.43695
1,3.5,1.287,0.0195684490251852,1.30656844902519,-0.5865,-13.073,0.618,-21.3085,-5.403,0.545,3.2425,17.219,-0.409275
1,4.5,1.159,-0.0045562567232766,1.15444374327672,-0.368,-17.4355,0.651,-23.838,-5.637,0.54,3.48,17.2225,-0.42435
1,5.5,1.149,0.0566888374366145,1.20568883743661,-0.3115,-18.738,0.616,-24.5355,-5.6825,0.545,3.572,17.2255,-0.4176
1,6.5,0.958,0.00917930080753539,0.967179300807535,-0.326,-14.3755,0.581,-16.5105,-5.4855,0.5,3.2255,17.2145,-0.4023
1,7.5,0.582,0.0416011030523447,0.623601103052345,0.0575,-18.9725,0.543,-7.803,-5.6905,0.49,3.0705,17.219,3.239325
1,8.5,0.9625,0.0295735730510649,0.992073573051065,1.849,3.592,0.617,27.3165,-5.59,0.575,3.0395,17.213,74.60775
1,9.5,1.103,-0.0434703001487728,1.05952969985123,4.9235,28.311,0.641,94.7005,-4.812,0.745,3.2995,17.2105,169.09425
1,10.5,0.69,-0.0608736721757538,0.629126327824246,10.0005,71.445,0.678,140.62,-4.066,0.97,3.355,17.1965,248.544
1,11.5,0.833,-0.143670022712314,0.689329977287686,11.6505,65.518,0.694,161.318,-3.371,1.12,3.363,17.197,264.62025
1,12.5,0.863,-0.0979856644302154,0.765014335569785,12.826,83.431,0.695,156.185,-2.6695,1.27,3.1905,17.211,255.1635
1,13.5,0.7695,-0.0404118832604608,0.729088116739539,12.743,89.692,0.646,126.935,-2.4225,1.315,2.867,17.204,210.294
1,14.5,0.6455,0.0286764984987194,0.674176498498719,6.75,58.2585,0.6825,77.1605,-2.5485,1.315,2.9275,17.2195,136.99575
1,15.5,1.15,0.0875978931339743,1.23759789313397,3.942,15.575,0.607,24.2845,-2.746,1.2,2.8245,17.207,69.768
1,16.5,0.921,0.187773381553213,1.10877338155321,0.0105,-4.918,0.565,-13.3075,-3.2745,1.115,2.7005,17.215,4.461975
1,17.5,1.224,0.0978844798023105,1.32188447980231,-0.0635,-11.847,0.605,-25.743,-3.5715,1.015,2.803,17.216,-0.39105
1,18.5,1.139,0.0306769706185293,1.16967697061853,-0.357,-11.582,0.5975,-21.867,-4.2995,0.76,3.1405,17.2165,-0.41895
1,19.5,1.09,0.0144735432481985,1.1044735432482,-0.0135,-12.539,0.5435,-21.176,-4.6225,0.82,3.2145,17.2075,-0.42165
1,20.5,1.1355,0.0477204666711752,1.18322046667118,-0.9515,-18.52,0.578,-23.425,-4.75,0.815,3.1985,17.2165,-0.41895
1,21.5,1.106,0.0821708244836887,1.18817082448369,-1.191,-19.571,0.6625,-18.4445,-4.7805,0.755,3.4585,17.22,-0.4014
1,22.5,1.281,0.0592778704525871,1.34027787045259,-0.7655,-18.862,0.664,-18.962,-4.4135,0.695,3.583,17.2265,-0.402975
1,23.5,1.3845,-0.017467795085808,1.36703220491419,-0.6385,-21.386,0.698,-20.481,-4.6055,0.71,3.5415,17.227,-0.418725
2,0.5,0.323,0.0424949915038229,0.365494991503823,-0.0665,-10.027,0.528,-33.463,-9.607,0.7,2.956,17.357,-0.4275
2,1.5,0.274,0.0701316630480031,0.344131663048003,-0.2135,-5.808,0.595,-30.3695,-9.7295,0.64,2.874,17.3565,-0.40905
2,2.5,0.297,0.108471556606502,0.405471556606502,-0.3145,-11.7875,0.573,-27.4065,-9.237,0.585,2.9585,17.347,-0.4203
2,3.5,0.578,0.0521351832310102,0.63013518323101,-0.01,-7.603,0.6475,-28.5645,-9.435,0.55,3.108,17.36,-0.416025
2,4.5,0.22,0.0232050270464081,0.243205027046408,-0.009,-8.923,0.66,-26.6045,-9.714,0.505,3.0835,17.3445,-0.4185
2,5.5,0.129,-0.0306248181871482,0.0983751818128518,-0.0085,-6.8675,0.663,-25.9545,-9.7275,0.47,3.1675,17.364,-0.41265
2,6.5,0.346,-0.0317487051575162,0.314251294842484,-0.0225,-12.594,0.6755,-22.5385,-9.818,0.485,2.932,17.358,-0.389475
2,7.5,0.231,-0.0314036807052715,0.199596319294728,0.0015,-7.962,0.617,-10.5055,-9.592,0.47,2.908,17.3515,7.32825
2,8.5,0.277,-0.0742805336856085,0.202719466314392,0.6985,0.037,0.685,33.2915,-8.9445,0.55,2.936,17.348,71.937
2,9.5,0.3115,-0.0665866433730747,0.244913356626925,3.5735,31.664,0.695,124.1935,-8.272,0.675,3.2765,17.36,189.045
2,10.5,0.4295,-0.112803215685403,0.316696784314597,5.942,78.54,0.738,207.3,-7.1925,0.835,3.266,17.3485,276.70275
2,11.5,0.137,-0.0585392548179691,0.0784607451820309,7.7975,96.654,0.6945,240.28,-6.701,1.05,3.0235,17.3485,361.395
2,12.5,0.157,-0.162613900655581,-0.00561390065558068,10.846,104.019,0.724,240.137,-6.3105,1.16,3.0895,17.352,362.46825
2,13.5,0.234,-0.0667889239194913,0.167211076080509,7.494,100.542,0.741,211.555,-5.8235,1.3,2.9005,17.3595,299.35125
2,14.5,0.3355,0.00674144004996061,0.342241440049961,5.0765,65.802,0.7315,138.965,-5.7015,1.305,2.792,17.361,210.84975
2,15.5,0.015,0.0668987166948793,0.0818987166948793,2.932,18.776,0.707,51.2115,-5.765,1.215,2.9055,17.3775,99.22725
2,16.5,0.002,0.0848749140448346,0.0868749140448346,0.023,0.026,0.6015,-3.6935,-6.3495,1.11,2.6265,17.3855,15.075675
2,17.5,0.147,0.0697933432403418,0.216793343240342,-0.0135,-4.4395,0.665,-36.503,-7.053,0.955,2.8475,17.362,-0.351
2,18.5,0.008,0.0600231754370081,0.0680231754370081,-0.016,-10.886,0.6145,-43.0005,-7.012,0.9,2.9555,17.385,-0.42975
2,19.5,0.14,0.0440936767775878,0.184093676777588,-0.016,-6.413,0.642,-40.889,-7.1195,0.865,2.999,17.3795,-0.428625
2,20.5,0.0685,-0.0239244565393758,0.0445755434606242,0,-10.0015,0.594,-40.711,-7.7505,0.835,3.2585,17.361,-0.44235
2,21.5,0.213,-0.0440415045736805,0.16895849542632,-5e-04,-7.602,0.625,-44.048,-7.802,0.8,3.1685,17.3775,-0.40905
2,22.5,0.037,0.0366579095004893,0.0736579095004893,-0.0435,-8.2275,0.547,-39.1765,-7.827,0.78,3.37,17.3605,-0.43155
2,23.5,0.002,0.0406919421337722,0.0426919421337722,-0.003,-2.465,0.519,-34.9455,-8.3675,0.685,3.35,17.353,-0.43425
3,0.5,0.001,0.0464128480931971,0.0474128480931971,-0.002,0.01,0.494,-40.0875,-4.6735,0.77,3.142,18.8855,-0.451125
3,1.5,0.001,0.0399632135579181,0.0409632135579181,-0.001,0.011,0.568,-36.883,-4.73,0.725,3.104,18.884,-0.44595
3,2.5,0.001,-0.0271025148560732,-0.0261025148560732,-0.006,0.011,0.5025,-35.748,-4.7295,0.705,3.3055,18.874,-0.433125
3,3.5,0.001,-0.0674685550122805,-0.0664685550122805,-0.002,0.007,0.423,-37.535,-4.8735,0.68,2.899,18.8775,-0.42975
3,4.5,0.001,0.0661130272981532,0.0671130272981532,-0.003,0.007,0.384,-33.6375,-5.154,0.605,2.9965,18.8805,-0.42975
3,5.5,0.001,0.0606401894471266,0.0616401894471266,-0.001,0.0065,0.459,-34.211,-5.2755,0.6,3.0205,18.8635,-0.442575
