DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.6935,0,0.6935,1,-10.5,0.257,-35,5.85,0.93,1.845,-9999,0
1,1.5,0.75,0,0.75,0,-12,0.236,-33,5.75,0.9,1.63,-9999,0
1,2.5,0.569,0,0.569,0.5,-11,0.2215,-26.5,5.1,0.825,1.805,-9999,0
1,3.5,0.5115,0,0.5115,0,-8,0.212,-23,4.8,0.73,1.795,-9999,0
1,4.5,0.637,0,0.637,-1,-11,0.2285,-24,4.25,0.605,1.755,-9999,0
1,5.5,0.66,0,0.66,0,-10,0.203,-24.5,4.15,0.535,1.64,-9999,0
1,6.5,0.66,0,0.66,0,-10,0.2,-27.5,3.4,0.525,1.64,-9999,0
1,7.5,0.523,0,0.523,0.5,-8.5,0.195,-12,3.35,0.465,1.61,-9999,13.5
1,8.5,0,0,0,27,9,0.281,32,5.05,1.11,2.375,-9999,110.5
1,9.5,-0.613,0,-0.613,46.5,35,0.326,107.5,6.95,1.905,2.92,-9999,212
1,10.5,-0.7605,0,-0.7605,48,76,0.345,166,8,2.625,3.03,-9999,302.5
1,11.5,-1.159,0,-1.159,56,100,0.3605,207.5,8.9,3.265,3.075,-9999,371
1,12.5,-0.6015,0,-0.6015,48,92.5,0.3405,216.5,11.05,4.195,3.025,-9999,348.5
1,13.5,-0.5335,0,-0.5335,41.5,75,0.337,167.5,11.25,4.77,3.035,-9999,304.5
1,14.5,-0.2495,0,-0.2495,38,62.5,0.32,109,11.3,4.94,2.91,-9999,256.5
1,15.5,-0.011,0,-0.011,24.5,16,0.2975,27.5,11.05,4.875,2.585,-9999,129
1,16.5,0.3415,0,0.3415,13,-7,0.2435,-27,10.25,4.05,2.245,-9999,24
1,17.5,0.5345,0,0.5345,3,-11,0.173,-56,7.95,2.775,1.465,-9999,0
1,18.5,0.569,0,0.569,1,-10,0.178,-58.5,7,2.125,1.48,-9999,0
1,19.5,0.637,0,0.637,2,-13,0.2015,-61,6,1.425,1.63,-9999,0
1,20.5,0.6485,0,0.6485,5,-12,0.207,-54.5,5.85,1.275,1.7,-9999,0
1,21.5,0.546,0,0.546,2,-9,0.204,-47.5,5.75,1.135,1.705,-9999,0
1,22.5,0.7165,0,0.7165,1,-10,0.204,-44,5.45,0.985,1.47,-9999,0
1,23.5,0.773,0,0.773,3,-10,0.2125,-36,5,0.76,1.62,-9999,0
2,0.5,0.523,0,0.523,9,-14,0.2705,-44,3.2,1.015,1.825,-9999,0
2,1.5,0.2505,0,0.2505,8,-9,0.226,-40.5,2.95,1.045,1.72,-9999,0
2,2.5,0.455,0,0.455,6,-14,0.213,-36.5,2.45,1.14,1.76,-9999,0
2,3.5,0.33,0,0.33,7.5,-11,0.226,-49,2.2,1.095,1.8,-9999,0
2,4.5,0.296,0,0.296,1,-10,0.2285,-48.5,2.3,1.02,1.79,-9999,0
2,5.5,0.2845,0,0.2845,3,-10,0.2635,-34,2.5,1.005,1.91,-9999,0
2,6.5,0.41,0,0.41,3,-9.5,0.224,-37,2.5,0.825,1.87,-9999,0
2,7.5,0.432,0,0.432,8.5,-3,0.254,-12,2.7,0.905,1.88,-9999,22.5
2,8.5,-0.272,0,-0.272,32,19,0.287,39.5,4,1.355,2.565,-9999,158.5
2,9.5,-0.8065,0,-0.8065,38,53,0.3225,151.5,5.25,2.25,2.93,-9999,345.5
2,10.5,-0.954,0,-0.954,41,108,0.355,242.5,6.85,3.545,3.145,-9999,483
2,11.5,-1.0105,0,-1.0105,57,137,0.393,300,7.35,4.16,3.24,-9999,569.5
2,12.5,-0.863,0,-0.863,57,148,0.3895,302,8.6,4.705,3.155,-9999,571
2,13.5,-0.795,0,-0.795,57,132,0.3935,253.5,8.75,5.05,3.25,-9999,533
2,14.5,-0.522,0,-0.522,47,104,0.395,179.5,8.7,4.925,3.13,-9999,410
2,15.5,-0.227,0,-0.227,37.5,48,0.369,58,8.25,4.88,2.995,-9999,236
2,16.5,0.023,0,0.023,18,-1.5,0.3,-15,8,4.59,2.685,-9999,64.5
2,17.5,0.5,0,0.5,6,-11,0.1835,-80,6.8,3.595,1.785,-9999,3
2,18.5,0.228,0,0.228,2.5,-10,0.203,-77.5,5.65,2.705,1.69,-9999,0
2,19.5,0.4095,0,0.4095,1,-8.5,0.201,-72.5,4.45,1.875,1.78,-9999,0
2,20.5,0.2275,0,0.2275,1.5,-8,0.178,-67,4,1.46,1.48,-9999,0
2,21.5,0.648,0,0.648,5,-9,0.1965,-58,3.75,1.28,1.5,-9999,0
2,22.5,0,0,0,4,-9,0.238,-53.5,3.5,1.14,1.425,-9999,0
2,23.5,0.5005,0,0.5005,9,-15,0.24,-50.5,3.4,0.965,1.485,-9999,0
3,0.5,0.5235,0,0.5235,3,-6,0.183,-26.5,1.75,0.41,1.5,-9999,0
3,1.5,0.3525,0,0.3525,3,-6,0.1775,-20.5,1.65,0.4,1.48,-9999,0
3,2.5,0.3525,0,0.3525,2,-3,0.229,-18,1.15,0.38,1.525,-9999,0
3,3.5,0.25,0,0.25,1,-3,0.216,-15,1,0.305,1.46,-9999,0
3,4.5,0.523,0,0.523,1,-4,0.156,-13,1.1,0.215,1.315,-9999,0
3,5.5,0.489,0,0.489,0,-4,0.151,-12,0.9,0.12,1.325,-9999,0
3,6.5,0.364,0,0.364,0,-4,0.1685,-12.5,0.85,0.14,1.235,-9999,0
