DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.4404,0,0.4404,-0.2,-29.17,0.46,-47.65,-3.8,0.647,2.23,-9999,-2.49
1,1.5,0.5,0,0.5,-0.2,-29.365,0.46,-47.345,-4.1,0.549315,2.25,-9999,-2.11
1,2.5,0.4,0,0.4,-0.12058,-27.9,0.45155,-43.695,-4.2,0.5292,2.17,-9999,-2.235
1,3.5,0.4156,0,0.4156,-0.31895,-28.42,0.479,-38.34,-4.4,0.4,2.315,-9999,-1.945
1,4.5,0.3219,0.0354794401156353,0.357379440115635,-0.3,-29.83,0.47255,-36.94,-4.65,0.354725,2.31,-9999,-2.185
1,5.5,0.4,0.0358449930566917,0.435844993056692,-0.3,-30.89,0.46,-40.93,-4.68,0.34333,2.24,-9999,-2.055
1,6.5,0.4716,0,0.4716,-0.3,-31.5,0.455,-33.25,-4.65,0.33,2.2,-9999,-1.89
1,7.5,0.4031,0,0.4031,-0.2,-23.495,0.46,-23.35,-4.4,0.3212,2.265,-9999,6.495
1,8.5,0.32467,-0.0391017762562228,0.285568223743777,1.2,4.3,0.493,25.665,-4.025,0.50045,2.24,-9999,85.1
1,9.5,0.29597,-0.118049786884132,0.177920213115868,4.8,54.2,0.59,114.85,-3.3,0.81379,2.47,-9999,198.5
1,10.5,0.2,-0.102602132817029,0.097397867182971,7.662,99.68,0.66,189.55,-2.52,1,2.58,-9999,285.5
1,11.5,0.098912,-0.0700330321006776,0.0288789678993224,10.9,126.91,0.6856,233.35,-1.9,1.0219,2.63,-9999,323.47
1,12.5,0.03,-0.07093207801022,-0.04093207801022,10.395,118.55,0.69,210.6,-1.6,1.43355,2.635,-9999,295.5
1,13.5,0,-0.0399610500975212,-0.0399610500975212,10.55,92.06,0.68,154.8,-1.32,1.6699,2.59,-9999,230.5
1,14.5,0,0,0,6.109,47.755,0.656,74.31,-1.1,1.686,2.66,-9999,147.035
