DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.7,0,0.7,2.4,-4.6,0.21,-21.5,-5.4,0.504414917455607,3.66,34.55,0
1,1.5,0.6,0,0.6,2.25,-4.9,0.2,-20.35,-5.45,0.502223903399365,3.48,34.6,0
1,2.5,0.7,0,0.7,2.35,-5.2,0.19,-19,-5.35,0.497144936359302,3.32,34.6,0
1,3.5,0.6,0,0.6,1.9,-3.75,0.18,-19.6,-5.65,0.463123791462005,3.345,34.6,0
1,4.5,0.7,0,0.7,1.85,-3.8,0.18,-16.9,-5.7,0.442683600057184,3.31,34.6,0
1,5.5,0.7,0,0.7,2.15,-4.75,0.19,-15.6,-6.1,0.444408656871376,3.18,34.6,0
1,6.5,0.7,0,0.7,2.2,-4.3,0.18,-14.5,-6.3,0.43740927863249,3.215,34.6,0
1,7.5,0.7,0,0.7,2.9,-3.1,0.18,-8.6,-6.4,0.435128081763551,3.34,34.5,6.3
1,8.5,0.6,0,0.6,8.7,0.85,0.22,11,-6.1,0.499500761965837,3.715,34.5,94.85
1,9.5,0.8,0,0.8,16.3,8.6,0.25,35.4,-5.25,0.615159730138825,4.295,34.45,198.65
1,10.5,0.5,0,0.5,22.75,17.7,0.27,56,-4.6,0.791524101832232,4.56,34.3,290.7
1,11.5,0.6,0,0.6,25.8,24.6,0.28,68.6,-3.8,0.98898112693892,4.86,34.3,329.2
1,12.5,0.6,0,0.6,28.2,25.85,0.29,55.55,-3.1,1.09716818090427,5.025,34.3,313.2
1,13.5,0.6,0,0.6,25.4,18.9,0.28,46.1,-2.5,1.16890117407512,5,34.4,246.25
1,14.5,0.7,0,0.7,22.7,11.3,0.28,31.85,-2.15,1.19184987150776,4.9,34.3,176.1
1,15.5,0.65,0,0.65,16.45,-0.9,0.26,6.1,-2.3,1.14531209422556,4.725,34.4,79.1
1,16.5,0.7,0,0.7,7.3,-6.5,0.24,-20,-2.85,0.9539553799298,4.34,34.3,6.15
1,17.5,0.6,0,0.6,4.7,-8.6,0.21,-27.65,-3.05,0.869294961571492,3.84,34.4,0
1,18.5,0.8,0,0.8,3.45,-8.1,0.21,-25.95,-3.35,0.758492701690015,3.755,34.4,0
1,19.5,0.8,0,0.8,3.2,-7.2,0.21,-22.85,-3.45,0.710819349579337,3.68,34.4,0
1,20.5,0.7,0,0.7,3.1,-5.2,0.21,-21,-3.95,0.664334211381611,3.65,34.4,0
