DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.379,0,0.379,0.154,-0.71,0.09,-27.06,-21.03,0.2,1.472,-9999,0.058
1,1.5,0.335,0,0.335,0.226,-0.724,0.089,-25.325,-21.49,0.19,0.981,-9999,0.187
1,2.5,0.424,0,0.424,-0.184,-3.027,0.096,-15.61,-22.01,0.19,1.906,-9999,0.293
1,3.5,0.39,0,0.39,-0.1935,-1.742,0.09,-17.265,-21.885,0.185,2.025,-9999,0.202
1,4.5,0.5085,0,0.5085,-0.09,-2.41,0.114,-15.88,-21.82,0.185,2.27,-9999,0.155
1,5.5,0.487,0,0.487,-0.1245,-3.328,0.1035,-14.11,-21.575,0.19,2.6225,-9999,0.1355
1,6.5,0.317,0,0.317,0.071,-3.57,0.097,-14.47,-20.88,0.195,2.225,-9999,0.1905
1,7.5,0.322,0,0.322,0.031,-2.5515,0.0835,-20.775,-21.19,0.19,1.741,-9999,0.1875
1,8.5,0.2895,0,0.2895,-0.221,-2.259,0.0765,-19.8,-20.35,0.19,1.5025,-9999,0.158
1,9.5,0.33,0,0.33,-0.226,-1.5285,0.079,-18.53,-20.51,0.19,1.4455,-9999,0.095
1,10.5,0.334,0,0.334,0.261,-2.446,0.0825,-18.97,-20.42,0.19,1.505,-9999,0.093
1,11.5,0.271,0,0.271,0.6225,-1.899,0.108,-20.97,-21.595,0.19,1.7015,-9999,0.426
1,12.5,0.152,0,0.152,0.3885,-2.779,0.083,-23.545,-21.43,0.19,1.641,-9999,1.94
1,13.5,0.2295,0,0.2295,0.165,-0.8675,0.0775,-23.93,-19.27,0.19,1.537,-9999,3.146
1,14.5,0.185,0,0.185,0.0735,-0.5195,0.0755,-23.44,-18.805,0.19,2.1925,-9999,2.395
1,15.5,0.4305,0,0.4305,-0.0315,-1.783,0.0905,-22.565,-18.835,0.19,2.1145,-9999,0.641
1,16.5,0.442,0,0.442,-0.3115,-2.534,0.08,-22.555,-18.785,0.19,2.1855,-9999,0.0625
1,17.5,0.331,0,0.331,-0.046,-0.757,0.085,-32.415,-20.35,0.19,2.111,-9999,0.1075
1,18.5,0.385,0,0.385,-0.24,-2.225,0.072,-32.5445,-21.525,0.195,1.632,20.966,0.0805
1,19.5,0.492,0,0.492,-0.022,-0.027,0.081,-31.17,-21.26,0.19,1.7755,20.949,0.155
1,20.5,0.392,0,0.392,0.026,-1.113,0.067,-31.6795,-20.23,0.19,1.968,20.949,0.099
1,21.5,0.378,0,0.378,-0.07,-1.627,0.077,-31.59,-20.795,0.19,1.462,20.963,0.137
1,22.5,0.326,0,0.326,-0.036,-1.164,0.0645,-25.32,-20.475,0.19,1.465,-9999,0.116
1,23.5,0.3515,0,0.3515,-0.024,-1.765,0.073,-28.63,-20.81,0.205,1.3875,-9999,0.0805
2,0.5,0.447,0,0.447,0.021,-15.125,0.114,-37.545,-15.8,0.64,3.815,-9999,0.316
2,1.5,0.4,0,0.4,-0.1725,-16.6475,0.1395,-40.215,-15.915,0.655,3.8845,-9999,0.316
2,2.5,0.5045,0,0.5045,-0.103,-13.9165,0.16,-38.33,-14.405,0.585,3.7395,-9999,0.316
2,3.5,0.424,0,0.424,-0.098,-13.5155,0.136,-39.445,-14.505,0.68,4.1015,-9999,0.316
2,4.5,0.3685,0,0.3685,0.0855,-11.8945,0.13,-39.76,-15.125,0.655,4.171,-9999,0.316
2,5.5,0.338,0,0.338,0.096,-7.2195,0.124,-36.045,-15.9,0.52,3.692,-9999,0.316
2,6.5,0.44,0,0.44,-0.0515,-7.0145,0.112,-42.485,-15.51,0.52,3.8775,-9999,0.026
2,7.5,0.455,0,0.455,0.167,-8.0585,0.1065,-41.415,-15.78,0.565,4.2765,-9999,0.058
2,8.5,0.377,0,0.377,-0.103,-10.708,0.1145,-37.865,-15.91,0.61,3.4915,-9999,2.91475
2,9.5,0.2555,0,0.2555,0.041,-8.371,0.104,-37.6,-15.595,0.61,3.31,-9999,1.74716666666667
2,10.5,0.3975,0,0.3975,0.2075,-8.8565,0.11,-39.595,-15.59,0.64,2.753,-9999,0.497
2,11.5,0.4,0,0.4,0.051,-8.909,0.086,-39.685,-15.665,0.66,3.24,-9999,2.947
2,12.5,0.319,0,0.319,-0.062,-11.315,0.098,-37.605,-15.77,0.66,3.106,-9999,11.635
2,13.5,0.351,0,0.351,-0.0315,-10.3195,0.1055,-33.57,-16.07,0.725,3.3905,-9999,20.57
2,14.5,0.374,0,0.374,-0.059,-9.468,0.1275,-36.1,-15.63,0.68,4.1215,-9999,19.94
2,15.5,0.386,0,0.386,-0.0155,-14.931,0.118,-36.78,-15.655,0.645,3.181,-9999,7.8605
2,16.5,0.4325,0,0.4325,-0.2495,-8.352,0.125,-37.565,-15.16,0.64,2.837,-9999,1.8115
2,17.5,0.377,0,0.377,-0.11,-14.896,0.1,-38.54,-15.79,0.65,2.846,-9999,0.2395
2,18.5,0.455,0,0.455,0.2835,-12.0285,0.1215,-36.65,-16.11,0.585,2.8285,-9999,0.16625
2,19.5,0.4725,0,0.4725,-0.048,-8.469,0.098,-36.57,-14.6,0.6,3.507,-9999,0.994
2,20.5,0.455,0,0.455,0.0285,-8.4135,0.09,-38.445,-14.42,0.755,3.3715,-9999,0.994
2,21.5,0.4935,0,0.4935,-0.221,-10.288,0.111,-39.42,-14.41,0.645,3.434,-9999,0.994
2,22.5,0.485,0,0.485,-0.275,-10.2145,0.103,-38.535,-14.545,0.69,3.5425,-9999,0.994
2,23.5,0.468,0,0.468,-0.035,-11.88,0.1155,-38.97,-14.88,0.695,3.2735,-9999,0.994
3,0.5,0.302,0,0.302,-0.1715,-2.8045,0.092,-35.37,-18.99,0.215,1.7255,-9999,2.9948
3,1.5,0.2205,0,0.2205,-0.359,-2.685,0.083,-40.885,-18.47,0.21,1.9215,-9999,2.9948
