DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.32592,0,0.32592,1.13558,-6.94755,0.32407,-27.6435,-3.1361,0.687580061764113,2.062,-9999,-9999
1,1.5,0.32592,0,0.32592,1.72522,-5.20905,0.23338,-22.9835,-3.3049,0.646340550428162,2.1055,-9999,-9999
1,2.5,0.32592,0,0.32592,6.33465,-8.8566,0.261525,-16.0645,-3.2756,0.657539023110726,1.67595,-9999,-9999
1,3.5,0.32592,0,0.32592,5.1002,-7.5451,0.313305,-17.199,-3.2091,0.810895950641325,1.69005,-9999,-9999
1,4.5,0.32592,0,0.32592,5.221,-5.67185,0.24892,-16.909,-2.8526,0.829785070765947,1.7521,-9999,-9999
1,5.5,0.32592,0,0.32592,22.80115,-3.7986,0.399875,0.09485,-2.08585,0.889100851039171,1.5537,-9999,-9999
1,6.5,0.32592,0,0.32592,20.971125,-6.0698,0.42421,-0.518449,-1.74895,0.929530521654973,1.9302,-9999,-9999
1,7.5,0.32592,0,0.32592,6.889,-6.4099,0.36175,7.85535,-1.4029,0.972707132924568,1.7691,-9999,-9999
1,8.5,0.32592,0,0.32592,-0.20816,-0.193565,0.416815,40.1465,-1.54505,1.25100725930133,1.75135,-9999,-9999
1,9.5,2.6354,0,2.6354,7.8919,12.739,0.40814,34.086,-1.6176,1.58228845567612,2.3602,-9999,-9999
1,10.5,1.66485,0,1.66485,10.9625,-10.228,0.35567,3.3724,-1.82975,1.51380716230373,2.5688,-9999,-9999
1,11.5,1.45985,0,1.45985,17.5685,13.451,0.379885,-7.6689,-2.1439,1.84878511276974,2.5071,-9999,-9999
1,12.5,0.274725,0,0.274725,9.81595,2.946855,0.358375,13.4865,-2.0969,1.78614994504423,2.50755,-9999,-9999
1,13.5,-0.34447,0,-0.34447,19.064,-7.5022,0.28068,-4.10095,-2.11695,1.68085834973191,2.43475,-9999,-9999
1,14.5,1.0863,0,1.0863,26.952,-18.52,0.33165,-7.31115,-2.0447,1.5488214035147,2.38625,-9999,-9999
1,15.5,1.4667,0,1.4667,1.1061,-17.9145,0.36129,-21.0285,-1.9851,1.36602864111843,2.6182,-9999,-9999
1,16.5,1.027715,0,1.027715,5.58925,-30.306,0.37309,-26.2155,-1.9522,1.22549685275361,2.48595,-9999,-9999
1,17.5,0.794715,0,0.794715,4.6724,-26.4815,0.345025,-35.1145,-1.89515,1.13212351853756,2.9608,-9999,-9999
1,18.5,0.81467,0,0.81467,0.7628,-21.2065,0.37986,-32.7235,-1.8848,1.04221288985394,2.9775,-9999,-9999
1,19.5,0.724395,0,0.724395,0.35477,-18.2885,0.41282,-32.8045,-1.9523,0.97042039598814,3.14055,-9999,-9999
1,20.5,0.63412,0,0.63412,0.839145,-22.71,0.28019,-28.8345,-1.76165,0.884234593160123,2.4945,-9999,-9999
