DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.6925,0.155,2.6915,0.8,-11.3,0.22,-6.7,4.22,0.3,1.21,34.599,0
1,1.5,0.709,0.126,2.507,0.9,-13,0.28,-5.5,3.595,0.27,1.26,34.524,0
1,2.5,1.045,0.054,2.891,0.6,-19.9,0.3,-7.7,3.53,0.255,1.28,34.453,0
1,3.5,1.208,0.129,2.269,0.5,-17.2,0.26,-5.25,4.01,0.235,1.4,34.419,0
1,4.5,0.75,0.129,2.4,0.8,-19,0.25,-3.75,4.48,0.2,1.34,34.332,0
1,5.5,0.664,0.154,1.761,0,-18.6,0.25,-3.45,4.325,0.215,1.51,34.347,0
1,6.5,0.859,0.013,2.016,0.9,-20.7,0.28,-5.05,4.3,0.17,1.35,34.423,0
1,7.5,0.911,0.145,1.1905,1.1,-13.1,0.23,-6.15,3.51,0.195,1.4,34.387,0
1,8.5,0.318,-0.414,1.047,2.35,-20.15,0.33,5.25,3.475,0.225,1.49,34.489,12.35
1,9.5,-1.016,-0.832,-2.177,2.7,-4.6,0.35,45.55,4.09,0.27,1.61,34.449,59.45
1,10.5,-2.191,-1.031,-3.052,6.55,10.8,0.33,89.45,4.55,0.36,1.36,34.392,103.95
1,11.5,-4.306,-0.803,-6.3155,13.2,22.2,0.33,126.5,5.065,0.48,1.45,34.408,140.45
1,12.5,-4.1125,-0.757,-6.094,14.55,16.4,0.395,131.05,5.305,0.495,1.55,34.559,144.1
1,13.5,-5.953,-0.309,-6.72,17.4,19.7,0.38,107.9,5.525,0.53,1.58,34.53,121.45
1,14.5,-4.153,0.029,-4.4185,11.85,11,0.365,71.85,5.755,0.575,1.77,34.364,87.1
1,15.5,-2.653,0.3805,-2.0845,8.2,0.8,0.31,29.65,5.52,0.57,1.395,34.488,41.3
1,16.5,0.2975,0.982,2.5545,1.95,-9.9,0.27,-0.8,5.49,0.51,1.33,34.547,0
1,17.5,0.8115,0.7485,2.935,0.6,-14.1,0.23,-6.75,5.16,0.48,1.31,34.569,0
1,18.5,0.968,0.5685,2.986,0.5,-21.3,0.27,-7.1,4.7,0.4,1.21,34.513,0
1,19.5,1.165,0.4005,2.966,1.3,-20.8,0.27,-6.3,4.56,0.33,1.43,34.583,0
1,20.5,1.26,0.3755,3.132,1.5,-15.6,0.24,-6.85,4.58,0.37,1.285,34.653,0
1,21.5,1.037,0.319,2.767,1.1,-15.35,0.25,-7.55,4.265,0.425,1.27,34.63,0
1,22.5,1.161,0.24,1.916,1.1,-13.6,0.23,-7.9,4.35,0.325,1.23,34.685,0
1,23.5,1.0975,0.103,2.648,1.1,-17.3,0.245,-9.15,4.28,0.285,1.21,34.649,0
2,0.5,1.157,0.3105,2.418,1.1,-18.75,0.26,-15.5,2.93,0.945,1.16,33.07,0
2,1.5,1.139,0.186,2.3025,1.8,-11,0.26,-18,2.685,0.885,1.27,33.061,0
2,2.5,1.528,0.212,2.358,1.2,-18.55,0.28,-16.9,2.495,0.88,1.185,33.052,0
2,3.5,1.246,0.219,2.242,1.9,-15.6,0.24,-19.45,2.495,0.86,0.95,33.052,0
2,4.5,1.8055,0.218,2.0745,1.05,-22.25,0.26,-18.55,2.47,0.83,1.05,33.034,0
2,5.5,1.484,0.01,2.585,1.65,-21.3,0.27,-17.7,2.385,0.86,1.165,33.013,0
2,6.5,1.4105,0.105,3.315,1.3,-17.45,0.25,-14.8,2.1,0.87,1.1,33.015,0
2,7.5,1.319,0.007,1.983,1.5,-11.2,0.235,-13.6,1.975,0.83,1.095,32.989,0
2,8.5,-0.184,-0.7885,0.0585,3.8,-18.3,0.29,7.4,2.215,0.84,1.19,32.957,29.1
2,9.5,-3.719,-1.154,-2.969,10.25,14.2,0.34,70.15,3.14,0.8,1.105,32.935,117.65
2,10.5,-5.893,-1.2455,-5.3305,21.25,38.7,0.38,145.3,4.085,1.145,1.23,32.979,189.35
2,11.5,-8.217,-1.231,-7.749,31.9,59.3,0.36,191.4,4.97,1.48,1.4,32.961,275.2
2,12.5,-9.153,-0.9785,-8.45,35.8,84.4,0.39,196.75,5.915,2.2,1.37,33.044,282.9
2,13.5,-9.254,-0.6055,-7.46,40.85,78.3,0.42,186.25,6.59,2.29,1.4,33.012,252.05
2,14.5,-8.6185,-0.301,-5.033,27.3,47.4,0.405,123.75,6.89,2.365,1.455,33.245,182.8
2,15.5,-5.859,0.401,-3.784,21.9,21.7,0.37,47.7,6.98,2.25,1.33,33.199,113.3
2,16.5,-2.329,0.9645,0.8755,6.7,-6.8,0.29,-6.75,6.565,1.83,1.24,33.171,27
2,17.5,0.5935,1.33,3.4855,1.1,-14.85,0.21,-36.35,5.845,1.365,1.11,33.144,0
2,18.5,1.07,0.5805,3.072,0.85,-14.4,0.2,-24.95,5.315,1.255,1.13,33.283,0
2,19.5,1.317,0.4615,2.755,0.75,-12.55,0.24,-24.85,4.79,1.16,1.21,33.233,0
2,20.5,1.268,0.536,2.814,1.8,-18.15,0.23,-25.9,4.38,0.95,1.2,33.184,0
