DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.2776,-0.0200801012768013,0.257519898723199,3.1497,-28.258,0.46012,-103.92,3.505,5.2178,5.6748,12.4,0
1,1.5,0.37457,-0.0146573364260791,0.359912663573921,2.5688,-27.151,0.41277,-103.39,3.2685,5.1976,5.67775,12.3833333333333,0
1,2.5,0.128515,0.00133214377083198,0.129847143770832,1.3792,-15.367,0.362885,-104.12,3.352,5.2519,5.5316,12.3833333333333,0
1,3.5,0.037116,0.0094415508099623,0.0465575508099623,1.5018,-17.452,0.38211,-103.265,3.541,5.4355,5.65585,12.35,0
1,4.5,0.19693,0.0185999857017949,0.215529985701795,2.3737,-21.045,0.38079,-102.215,3.2465,5.33825,5.5182,12.3333333333333,0
1,5.5,0.34789,-0.00264658417412462,0.345243415825875,3.2358,-23.607,0.40364,-104.02,3.1405,5.44255,5.4835,12.35,0
1,6.5,0.65151,0.00817759163047143,0.659687591630471,2.0454,-21.299,0.37727,-103.015,3.1165,5.40035,5.23155,12.3166666666667,0
1,7.5,0.73783,0.111436526690266,0.849266526690265,2.8481,-19.0965,0.35253,-90.571,3.172,5.4353,5.2667,12.3333333333333,5.014
1,8.5,-0.42234,0.232548741848884,-0.189791258151116,14.693,-4.4132,0.43828,20.3675,3.3955,5.68295,4.8621,12.3166666666667,130.515
1,9.5,-1.2657,0.10235272451891,-1.16334727548109,28.5785,39.124,0.48331,153.055,3.7245,5.8874,4.2084,12.2833333333333,339.1
1,10.5,-2.272,-0.0403122545953609,-2.31231225459536,37.572,89.257,0.51278,308.01,4.34,6.0195,3.7731,12.2666666666667,516.545
1,11.5,-3.924,0.136843228639699,-3.7871567713603,43.463,141.125,0.52491,409.485,4.7335,6.0715,3.3283,12.25,641.555
1,12.5,-3.94765,0.0810729068296615,-3.86657709317034,45.194,163.53,0.52389,439.92,4.8965,6.2315,3.09315,12.25,689.065
1,13.5,-4.14425,-0.067835142380631,-4.21208514238063,50.9455,163.845,0.506805,403.29,4.9305,6.3663,3.0316,12.325,641.36
1,14.5,-3.154,-0.160459734672926,-3.31445973467293,47.793,148.88,0.49959,302.4,4.8645,6.4704,3.0028,12.45,522.59
1,15.5,-1.8428,-0.0603211090503618,-1.90312110905036,35.273,85.399,0.47128,151.875,4.6235,6.2921,3.2729,12.475,341.78
1,16.5,0.049364,-0.113690137477499,-0.0643261374774991,19.4195,20.0005,0.43388,12.541,4.12075,5.93745,4.0944,12.5166666666667,145.845
1,17.5,0.7246,-0.0988493035524698,0.62575069644753,5.6114,-11.7235,0.38323,-101.61,3.6985,5.6507,4.6903,12.5666666666667,9.505
1,18.5,0.65008,-0.0264558096481948,0.623624190351805,2.6036,-24.8,0.430455,-104.915,3.251,5.5075,5.31495,12.5416666666667,0
1,19.5,0.41413,-0.00662398035291199,0.407506019647088,3.4329,-20.628,0.43984,-105.475,3.126,5.4222,5.5609,12.5583333333333,0
1,20.5,0.4657,-0.0344514689244848,0.431248531075515,4.0837,-26.513,0.44714,-105.71,2.864,5.08205,5.64005,12.55,0
1,21.5,0.42293,0.00132449684757009,0.42425449684757,3.33455,-24.661,0.449155,-103.965,3.088,5.0092,5.5588,12.5166666666667,0
1,22.5,0.31623,-0.00402719982727024,0.31220280017273,3.3619,-25.121,0.43932,-102.84,3.1845,4.97295,5.3625,12.5166666666667,0
1,23.5,0.24803,0.0147457946722809,0.262775794672281,1.6951,-25.254,0.46206,-104.715,3.199,5.10095,5.6366,12.5166666666667,0
2,0.5,1.32615,-0.0189241110661694,1.30722588893383,1.02,-22.0465,0.520685,-103.515,2.5855,5.0519,5.4939,13.8333333333333,0
2,1.5,0.6958,0.0214065419553646,0.717206541955364,2.9757,-26.226,0.49774,-101.9,2.481,5.30975,5.3841,13.8333333333333,0
2,2.5,0.41303,0.013462469872883,0.426492469872883,3.2664,-26.0355,0.503295,-100.23,2.393,4.9722,5.17935,13.8333333333333,0
2,3.5,0.34907,-0.0053313149228484,0.343738685077152,3.05985,-27.3875,0.48359,-103.81,2.209,4.852,5.2774,13.8333333333333,0
2,4.5,0.36809,-0.0158303454295883,0.352259654570412,0.89262,-27.121,0.48203,-102.49,2.061,4.8925,5.22805,13.8333333333333,0
2,5.5,0.207425,-0.0266323412839543,0.180792658716046,1.846,-15.401,0.464525,-105.47,2.222,4.6561,5.39015,13.8333333333333,0
2,6.5,0.6093,0.00264978359706477,0.611949783597065,0.95886,-16.77,0.41327,-102.85,2.506,4.8909,5.2855,13.8,0
2,7.5,0.789635,0.11793107693037,0.90756607693037,3.5239,-17.026,0.440465,-85.3485,3.008,5.0248,5.01695,13.775,12.2275
2,8.5,0.91298,0.286506762912141,1.19948676291214,6.6411,-2.3501,0.44467,31.85,3.8355,5.6207,4.50635,13.75,151.57
2,9.5,-0.015721,0.17211202314464,0.15639102314464,18.86,41.4755,0.50474,185.48,4.5815,5.7718,3.9102,13.7583333333333,372
2,10.5,-2.49735,-0.129458464932845,-2.62680846493284,40.75,114.25,0.540175,349.89,4.8355,6.1404,3.4903,13.7333333333333,553.245
2,11.5,-2.6784,0.135018794564929,-2.54338120543507,50.731,164.82,0.53324,460.66,5.311,6.43,3.41305,13.7333333333333,691.06
2,12.5,-2.8014,0.135943520849096,-2.6654564791509,50.8495,199.305,0.542115,485.72,5.2935,6.3029,2.9816,13.7666666666667,727.18
2,13.5,-4.1856,-0.0527829573566482,-4.23838295735665,53.72,208.24,0.51496,458.175,5.661,6.21625,2.962,13.8,683.745
2,14.5,-3.5371,-0.193593747123525,-3.73069374712352,46.557,182.63,0.5338,362.47,5.686,6.402,2.8886,13.8,569.555
2,15.5,-1.6083,-0.061111352727376,-1.66941135272738,37.715,116.24,0.50322,190.02,5.321,6.212,3.1711,13.85,390.235
2,16.5,-0.43608,-0.108232484121778,-0.544312484121778,22.849,35.7455,0.48915,40.312,4.801,5.9642,3.5921,13.8666666666667,195.51
