DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.66,0,0.66,5.85,-3.7,0.205,-15.7,-0.745,0.85,4.1,-9999,0
1,1.5,0.65,0,0.65,8.1,-5.05,0.2,-16.55,-0.955,0.85,4,-9999,0
1,2.5,0.62,0,0.62,8.9,-5.05,0.2,-17.05,-0.98,0.9,3.8,-9999,0
1,3.5,0.64,0,0.64,5.9,-3.3,0.19,-18.2,-1.095,0.9,4.05,-9999,0
1,4.5,0.69,0,0.69,6.6,-5.55,0.18,-18.35,-1.41,0.7,3.8,-9999,0
1,5.5,0.675,0,0.675,6.8,-6.3,0.2,-20.4,-1.53,0.6,4.05,-9999,0
1,6.5,0.655,0,0.655,5.65,-7.3,0.2,-20.35,-1.595,0.6,4.4,-9999,0
1,7.5,0.57,0,0.57,5.35,-8,0.235,-14.3,-1.27,0.55,4.6,-9999,0.5
1,8.5,0.35,0,0.35,14,-1.9,0.24,9.4,-0.86,0.7,4.6,-9999,43.65
1,9.5,0.09,0,0.09,27.7,14,0.24,54.9,0.29,1.05,4.7,-9999,107.35
1,10.5,-2.58,0,-2.58,35.45,25.2,0.26,121.7,1.53,1.45,5.05,-9999,208.2
1,11.5,-2.2,0,-2.2,48.45,35.9,0.28,155.2,2.05,1.9,5,-9999,240
1,12.5,-2.28,0,-2.28,56.05,41.8,0.27,188.55,4.025,2.2,4.9,16.5,290.1
1,13.5,-0.84,0,-0.84,55.05,45.15,0.28,200.85,4.825,2.35,4.85,-9999,373.5
1,14.5,-2.31,0,-2.31,55.1,34.4,0.25,170.5,5.04,2.75,4.6,-9999,326.4
1,15.5,-1.24,0,-1.24,43.1,12.8,0.25,73.3,5.14,2.8,5,-9999,192.2
1,16.5,-0.26,0,-0.26,29.2,-0.9,0.22,8.5,5.4,2.3,4.4,-9999,65.6
1,17.5,0.49,0,0.49,12.5,-3.6,0.16,-22.7,3.445,1.85,3.8,-9999,0.9
1,18.5,0.535,0,0.535,4.9,-3,0.13,-27.9,2.69,1.5,3.5,-9999,0
1,19.5,0.68,0,0.68,3.9,-4.8,0.15,-32.55,1.765,1.15,3.4,-9999,0
1,20.5,0.63,0,0.63,5.5,-4.1,0.17,-27.3,1.165,1,3.7,-9999,0
1,21.5,0.64,0,0.64,7.6,-5.6,0.175,-25.15,0.735,1,3.85,-9999,0
1,22.5,0.68,0,0.68,6.5,-5.15,0.16,-25.35,0.24,0.95,3.75,-9999,0
1,23.5,0.68,0,0.68,5.4,-4.7,0.185,-18.4,-0.23,0.85,4.05,-9999,0
2,0.5,0.635,0,0.635,3.55,-6.4,0.135,-23.45,2.45,1.2,3.15,-9999,0
2,1.5,0.57,0,0.57,2.1,-4.95,0.1,-21,2.03,1.05,2.85,-9999,0
2,2.5,0.615,0,0.615,2.6,-3.85,0.11,-20.8,1.945,1.05,2.9,-9999,0
2,3.5,0.605,0,0.605,3.25,-3.8,0.11,-16.8,1.55,0.9,2.8,-9999,0
2,4.5,0.57,0,0.57,2.6,-4.4,0.12,-16.05,0.98,0.7,2.95,-9999,0
2,5.5,0.55,0,0.55,2.45,-3.8,0.115,-15.3,1.455,0.7,2.8,-9999,0
2,6.5,0.58,0,0.58,2.1,-3.8,0.1,-13,1.08,0.6,2.55,-9999,0
2,7.5,0.525,0,0.525,3,-1.75,0.125,-8.7,0.34,0.6,2.6,-9999,2
2,8.5,0.45,0,0.45,7.85,-0.75,0.15,19,1.04,0.65,2.9,-9999,62.8
2,9.5,-0.12,0,-0.12,22.3,12.2,0.2,75,2.685,0.85,4.05,-9999,151.05
2,10.5,-0.59,0,-0.59,37.4,37.3,0.21,130.65,3.46,1.4,4,-9999,273.4
2,11.5,-1.07,0,-1.07,50,46.45,0.23,206.8,5.1,2.05,4.15,-9999,375.25
2,12.5,-0.98,0,-0.98,56.3,64.401,0.265,233.45,6.39,2.75,4.7,19,452.55
2,13.5,-1.025,0,-1.025,66.25,73.3,0.28,244.2,7.4,3.5,4.6,-9999,461.7
2,14.5,-1.11,0,-1.11,59.3,52.3,0.265,166.3,7.72,3.95,4.9,-9999,321.45
2,15.5,-0.44,0,-0.44,43,20.6,0.24,94.95,7.94,4.15,4.5,-9999,231.95
2,16.5,-0.11,0,-0.11,26.15,0.2,0.23,19.45,7.61,3.5,4.4,-9999,103.85
2,17.5,0.455,0,0.455,6.3,-6.05,0.135,-33.45,6.3,3,3.5,-9999,5.95
2,18.5,0.53,0,0.53,2,-3.35,0.08,-37.8,5.095,2.25,2.75,-9999,0
2,19.5,0.6,0,0.6,2.05,-3.6,0.09,-32.55,3.89,2.1,2.8,-9999,0
2,20.5,0.65,0,0.65,2.45,-4,0.12,-30.35,3.52,2.1,3,-9999,0
2,21.5,0.62,0,0.62,3.45,-5.15,0.135,-31.6,3.41,1.65,3.15,-9999,0
2,22.5,0.615,0,0.615,2.35,-5.05,0.115,-30.85,3.01,1.5,2.9,-9999,0
2,23.5,0.615,0,0.615,6.9,-4.3,0.135,-28.9,2.635,1.5,2.9,-9999,0
3,0.5,0.67,0,0.67,2.9,-7.3,0.13,-33.25,3.23,1.05,3.1,-9999,0
3,1.5,0.645,0,0.645,2.2,-7.25,0.14,-32.6495,2.795,0.9,3.4,-9999,0
3,2.5,0.63,0,0.63,1.95,-5,0.15,-30.1,2.67,0.8,3.25,-9999,0
3,3.5,0.64,0,0.64,2.8,-5.15,0.15,-26.75,2.56,0.6,3.2,-9999,0
3,4.5,0.39,0,0.39,3.2,-3.15,0.135,-22.25,2.26,0.65,3.05,-9999,0
3,5.5,0.445,0,0.445,3.5,-3.25,0.135,-22.8,1.925,0.5,3.2,-9999,0
3,6.5,0.48,0,0.48,2.95,-5.6,0.145,-22.25,1.54,0.45,3.05,-9999,0
3,7.5,0.41,0,0.41,3.1,-5.25,0.16,-9.45,1.195,0.5,3.2,-9999,3.9
3,8.5,0.33,0,0.33,17.4,0.6,0.195,30.4,2.3,0.8,3.6,-9999,79.2
3,9.5,-0.93,0,-0.93,38.7,21.65,0.24,109.1,3.935,1.2,4.3,-9999,193.3
3,10.5,-3.23,0,-3.23,57,45.9,0.265,219.65,5.085,1.9,4.95,-9999,353.8
3,11.5,-3.965,0,-3.965,72.4,76.7,0.27,305.05,5.92,2.75,4.75,-9999,521.95
3,12.5,-4.19,0,-4.19,84.05,86,0.265,344.65,6.775,3.4,4.85,28.5,591.85
3,13.5,-4.13,0,-4.13,88.1,98.05,0.28,341.8,7.785,4.15,4.75,-9999,565.45
3,14.5,-4.02,0,-4.02,85.6,74.05,0.255,277.65,8.6,4.8,4.8,-9999,486.65
3,15.5,-3.47,0,-3.47,66.1,50.6,0.285,170.9,9.26,5.05,5.05,-9999,350.5
3,16.5,-1.885,0,-1.885,51.3,11.6,0.26,45.8,9.725,5.35,5,-9999,176.65
3,17.5,0.2,0,0.2,21.6,-13.3,0.21,-29.65,9.165,4.5,4.1,-9999,24.35
3,18.5,0.7,0,0.7,5.25,-16.2,0.14,-52.75,7.93,3.4,3.5,-9999,0
3,19.5,0.74,0,0.74,4.5,-11.6,0.145,-50.3,6.635,2.65,3.35,-9999,0
3,20.5,0.675,0,0.675,3.95,-14.75,0.15,-49.2,5.7,2.25,3.5,-9999,0
3,21.5,0.61,0,0.61,2.6,-13.75,0.15,-46.35,4.665,1.85,3.55,-9999,0
3,22.5,0.61,0,0.61,3.4,-13.4,0.16,-43.6,4.27,1.7,3.5,-9999,0
3,23.5,0.61,0,0.61,5.95,-8.5,0.15,-38.2,3.69,1.35,3.4,-9999,0
4,0.5,1.22,0,1.22,6.95,-13.95,0.175,-39.5,6.325,2,3.85,-9999,0
4,1.5,1.15,0,1.15,5.35,-13.8,0.19,-40.6,6.275,1.7,3.85,-9999,0
4,2.5,0.97,0,0.97,8,-12.45,0.21,-39.6,6.075,1.6,3.9,-9999,0
