DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,1.03,0,1.03,3.31,-12.695,0.19,-51.795,12.165,9.63995832786534,1.23,17.38,-2.86
1,1.5,0.965,0,0.965,2.38,-10.26,0.17,-52.475,12.115,9.70174113269644,1.155,17.35,-2.805
1,2.5,0.865,0,0.865,3.11,-9.085,0.16,-51.62,12.31,9.23100930421719,1.16,17.35,-2.865
1,3.5,0.95,0,0.95,3.56,-15.76,0.18,-51.19,12.18,9.1394079392858,1.125,17.35,-2.8
1,4.5,0.955,0,0.955,3.37,-12.285,0.18,-51.76,11.865,9.06651510471244,1.12,17.35,-2.475
1,5.5,1.16,0,1.16,4.275,-14.83,0.2,-51.505,12.23,9.61814603637742,1.225,17.33,-2.57
1,6.5,0.995,0,0.995,4.085,-13.7,0.19,-49.87,12.2,9.67993059744903,1.34,17.33,-1.945
1,7.5,0.18,0,0.18,6.79,-9.71,0.19,-20.67,12.145,9.43742938735281,1.27,17.29,36.515
1,8.5,-1.81,0,-1.81,29.79,12.135,0.21,61.515,13.46,10.1613699225236,1.34,17.265,207.5
1,9.5,-3.32,0,-3.32,53.71,56.65,0.23,190.265,14.28,11.5421084408607,1.715,17.215,389.12
1,10.5,-4.225,0,-4.225,75.315,106.215,0.27,295.665,15.075,11.8532677079037,2.07,17.185,528.65
1,11.5,-4.1,0,-4.1,87.325,127.545,0.27,349.355,15.875,12.2990001747752,2.23,17.17,582.235
1,12.5,-4.04,0,-4.04,78.58,124.46,0.27,347.4,16.21,12.4439610765546,2.34,17.25,579.675
1,13.5,-3.41,0,-3.41,71.96,102.12,0.26,297.41,16.6,12.5799842688831,2.25,17.37,494.365
1,14.5,-2.84,0,-2.84,56.905,67.08,0.26,197.215,16.38,11.8113422369423,2.2,17.38,363.68
1,15.5,-1.59,0,-1.59,28.91,20.8,0.22,68.59,15.875,11.5506661068901,2.185,17.375,176.285
1,16.5,0.6,0,0.6,5.73,-10.54,0.17,-35.925,14.79,10.2912399354895,1.88,17.375,20.25
1,17.5,1.215,0,1.215,3.185,-11.545,0.16,-62.295,13.765,9.02308218031502,1.505,17.375,-2.855
1,18.5,1.165,0,1.165,2.905,-9.14,0.16,-57.11,13.32,8.72466630131665,1.31,17.355,-3.15
1,19.5,1.17,0,1.17,3.085,-9.535,0.16,-54.645,13.1,8.91853939076926,1.16,17.34,-2.73
1,20.5,1.235,0,1.235,3.47,-12.505,0.17,-54.94,13.22,9.70773638885836,1.27,17.33,-2.895
1,21.5,1.285,0,1.285,3.44,-13.5,0.18,-55.28,12.655,9.36926744880682,1.305,17.315,-2.85
1,22.5,1.3,0,1.3,3.11,-13.705,0.18,-53.45,12.64,9.19413612728107,1.3,17.265,-2.965
1,23.5,1.12,0,1.12,3.03,-13.78,0.18,-53.175,12.575,9.12897368239927,1.21,17.25,-3.015
2,0.5,1.15,0,1.15,2.6,-8.705,0.17,-50.12,13.98,10.6530593879268,1.08,15.125,-2.525
2,1.5,1.01,0,1.01,2.8,-9.22,0.17,-50.04,13.96,10.6954943038994,1.02,15.1,-2.51
2,2.5,1.2,0,1.2,1.875,-10.09,0.16,-49.66,14.33,10.8630354446224,1.195,15.085,-2.42
2,3.5,1.19,0,1.19,2.98,-11.82,0.17,-49.095,13.93,10.3836251299342,1.24,15.05,-2.5
2,4.5,1.23,0,1.23,2.98,-11.945,0.18,-48.69,14.015,10.9007801288188,1.22,15.05,-2.42
2,5.5,1.13,0,1.13,3.905,-17.4,0.21,-47.37,14.135,10.9216917524878,1.36,15.05,-2.505
2,6.5,1.095,0,1.095,3.03,-12.84,0.18,-46.075,13.955,10.8094057089548,1.32,15.05,-1.385
2,7.5,0.26,0,0.26,8.57,-11.565,0.2,-16.07,13.84,10.5957786549963,1.5,15.05,42.8
2,8.5,-2.24,0,-2.24,31.05,13.04,0.24,62.63,14.97,11.4272956822374,1.62,15.05,211.33
2,9.5,-4.635,0,-4.635,62.05,55.45,0.26,188.195,16.015,12.2071129373419,1.97,15.05,393.7
2,10.5,-5.39,0,-5.39,88.04,99.37,0.28,299.44,16.775,13.0363861799926,2.09,15.065,528.67
2,11.5,-5.83,0,-5.83,94.965,115.81,0.285,368.45,17.1,13.4306111201693,2.32,15.14,619.45
2,12.5,-6.05,0,-6.05,91.11,124.85,0.29,369.47,17.37,13.9126642905573,2.38,15.1,628.26
2,13.5,-5.03,0,-5.03,80.965,101.67,0.28,308.665,17.785,14.0153192335277,2.4,15.07,549.485
2,14.5,-3.65,0,-3.65,60.25,66.22,0.28,210.645,17.81,13.7262039002432,2.44,15.015,411.285
2,15.5,-2.475,0,-2.475,36.72,24.67,0.25,86.435,16.84,12.225271897208,2.44,15,230.065
2,16.5,-0.21,0,-0.21,9.04,-7.405,0.21,-6.92,15.765,10.4195778386197,2.185,15,42.22
2,17.5,1.35,0,1.35,2.93,-12.86,0.18,-56.4,14.86,9.91950986237828,1.77,15,-0.65
2,18.5,1.36,0,1.36,1.62,-10.17,0.18,-54.63,14.745,9.89003831613415,1.43,15,-2.98
2,19.5,1.23,0,1.23,2.12,-9.035,0.17,-53.235,14.38,9.9049047507733,1.165,15.03,-2.625
2,20.5,1.28,0,1.28,2.235,-10.76,0.18,-51.105,14.03,9.91933068904451,1.185,15.05,-2.465
2,21.5,1.31,0,1.31,3.33,-11.795,0.18,-51.99,13.715,9.78181839980537,1.175,15.085,-2.43
2,22.5,1.06,0,1.06,1.81,-9.76,0.17,-50.48,13.85,10.1540648786559,1.23,15.1,-2.555
2,23.5,1.17,0,1.17,2.255,-9.87,0.17,-50.055,13.505,9.72355688806121,1.15,15.1,-2.51
3,0.5,1.425,0,1.425,2.2,-7.75,0.15,-50.64,11.67,7.61143004467503,1.02,13.6,-2.61
3,1.5,1.24,0,1.24,2.36,-9.3,0.16,-51.18,11.47,7.37401361078621,0.99,13.6,-2.815
3,2.5,0.88,0,0.88,1.77,-7.28,0.16,-49.72,11.58,7.30766721632411,0.98,13.6,-2.605
