DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,1.12,0,1.12,2.91,-17.305,0.17,-48.345,13.04,10.8090187788731,1.235,23.9,-2.725
1,1.5,1.275,0,1.275,2.075,-15.945,0.17,-48.62,13,10.4305506697389,1.205,23.89,-2.73
1,2.5,1.02,0,1.02,2.02,-16.6,0.17,-48.28,13.02,10.483153828706,1.035,23.825,-2.81
1,3.5,1.2,0,1.2,2.19,-16.3,0.165,-48.085,12.645,10.9551637095335,1.04,23.805,-2.5
1,4.5,1.16,0,1.16,3.49,-15.53,0.17,-49.5,12.465,11.0363769376732,1.19,23.775,-2.405
1,5.5,1.245,0,1.245,3.365,-17.89,0.19,-48.45,12.62,11.0780219372653,1.2,23.775,-2.49
1,6.5,1.315,0,1.315,3.875,-21.445,0.18,-48.505,12.795,11.4278828093017,1.445,23.78,-1.74
1,7.5,0.29,0,0.29,9.76,-11.225,0.19,-15.69,13.17,11.6524866031465,1.315,23.765,35.94
1,8.5,-1.985,0,-1.985,37.53,20.325,0.25,81.09,14.595,12.8970916920063,1.38,23.79,205.565
1,9.5,-3.11,0,-3.11,54.73,80.18,0.31,214.815,16.14,14.565269826165,1.72,23.8,385.925
1,10.5,-3.34,0,-3.34,63.77,136.67,0.36,328.645,16.965,15.0771866557761,1.87,23.775,528.56
1,11.5,-3.08,0,-3.08,61.36,157.31,0.36,387.155,17.03,15.044879396391,1.92,23.805,589.58
1,12.5,-3.195,0,-3.195,61.25,149.095,0.35,387.13,17.75,15.0242723654132,1.85,23.825,586.72
1,13.5,-2.57,0,-2.57,53.635,110.03,0.35,334.66,17.785,14.7249905639107,1.67,23.84,505.76
1,14.5,-1.96,0,-1.96,37.46,63.72,0.32,228.665,17.51,14.3532954028716,1.575,23.85,385.15
1,15.5,-0.56,0,-0.56,20.42,2.64,0.27,102.845,16.625,13.2400997207415,1.7,23.89,138.01
1,16.5,0.89,0,0.89,3.94,-20.225,0.21,-30.52,15.35,11.2588075283125,1.71,23.9,19.645
1,17.5,1.29,0,1.29,1.57,-20.335,0.18,-58.64,14.135,10.753728572294,1.6,23.88,-3.165
1,18.5,1.435,0,1.435,1.12,-12.815,0.16,-54.31,13.92,10.0447258939499,1.335,23.85,-2.98
1,19.5,1.385,0,1.385,1.85,-15.74,0.16,-53.63,13.59,10.6657302667924,1.4,23.855,-2.345
1,20.5,1.31,0,1.31,2.745,-16.325,0.17,-52.115,13.585,11.0976165736312,1.18,23.855,-2.58
1,21.5,1.27,0,1.27,3.35,-18.985,0.18,-53.52,13.435,11.1293168166958,1.23,23.84,-2.565
1,22.5,1.34,0,1.34,2.88,-20.655,0.18,-51.56,13.425,11.4873621309833,1.285,23.83,-2.58
1,23.5,1.21,0,1.21,2.705,-18.875,0.19,-51.9,13.455,11.4662254050807,1.205,23.815,-2.71
2,0.5,1.305,0,1.305,1.89,-13.06,0.16,-48.49,11.335,7.86382006296207,1.115,23.615,-2.27
2,1.5,1.38,0,1.38,1.69,-14.565,0.16,-48.12,11.165,7.69175515883085,1.165,23.6,-2.195
2,2.5,1.325,0,1.325,2.77,-16.23,0.17,-47.935,11.15,8.01552782023124,1.225,23.6,-2.355
2,3.5,1.24,0,1.24,1.96,-14.68,0.165,-46.705,11.01,8.01544182772201,1.245,23.6,-2.525
2,4.5,1.58,0,1.58,2.315,-17.74,0.18,-47.14,11.195,8.4372863917147,1.445,23.6,-2.095
2,5.5,1.5,0,1.5,2.85,-19.86,0.195,-45.745,11.155,8.25390035943989,1.495,23.59,-2.475
2,6.5,1.29,0,1.29,2.85,-18.23,0.21,-44.375,10.765,8.07600950647774,1.38,23.58,-1.055
2,7.5,0.225,0,0.225,11.05,-14.83,0.24,-11.515,11.04,8.26045993106151,1.465,23.58,43.215
2,8.5,-2.135,0,-2.135,35.15,17.62,0.28,73.69,12.14,9.90526705972833,1.58,23.55,218.58
2,9.5,-4.13,0,-4.13,55.38,75.435,0.33,219.44,13.235,10.2999985263816,1.935,23.54,403.57
2,10.5,-4.955,0,-4.955,60.905,130.16,0.355,330.985,14.225,11.3274433418244,2.03,23.515,539.91
2,11.5,-3.55,0,-3.55,66.285,145.35,0.37,405.87,14.835,11.9903621210914,2.025,23.465,621.24
2,12.5,-3.765,0,-3.765,52.59,145.08,0.37,405.2,15.435,12.4746249121532,1.89,23.45,627.785
2,13.5,-3.24,0,-3.24,53.68,107.305,0.37,345.835,15.895,12.3409242600336,1.76,23.55,550.39
2,14.5,-2.5,0,-2.5,38.49,63.375,0.36,249.82,15.11,11.2403800980694,1.655,23.555,414.26
2,15.5,-1.05,0,-1.05,18.085,11.27,0.34,120.495,14.425,9.5955538866347,1.76,23.53,213.98
2,16.5,0.67,0,0.67,4.77,-14.74,0.25,2.54,13.43,8.16798665864707,1.805,23.515,29.365
2,17.5,0.97,0,0.97,0.75,-16.075,0.195,-54.26,12.325,7.27489979413483,1.755,23.5,-0.615
2,18.5,1.33,0,1.33,0.42,-14.59,0.17,-52.375,11.985,6.81908237276034,1.515,23.49,-2.87
2,19.5,1.685,0,1.685,1.05,-13.08,0.17,-49.98,11.55,5.56246631890362,1.32,23.48,-2.425
2,20.5,1.52,0,1.52,1.04,-13.075,0.17,-49.705,11.385,5.89081158166399,1.275,23.465,-2.305
2,21.5,1.46,0,1.46,1.535,-14.32,0.17,-51.17,11.225,5.80201301486512,1.31,23.465,-2.35
2,22.5,1.28,0,1.28,1.165,-12.44,0.16,-50.085,11.25,5.98748597268995,1.17,23.45,-2.17
2,23.5,1.455,0,1.455,1.59,-15.9,0.18,-48.365,11.045,6.38964399936018,1.195,23.465,-2.095
3,0.5,1.665,0,1.665,1.29,-11.21,0.14,-46.16,9.98,5.65337003129746,1.08,21.1,-2.64
3,1.5,1.68,0,1.68,1.56,-11.43,0.13,-46.58,9.72,5.6097390725771,1.08,21.09,-2.65
3,2.5,1.62,0,1.62,1.285,-12.35,0.14,-45.59,9.34,6.12476206562615,1.02,21.065,-2.59
3,3.5,1.305,0,1.305,1.055,-11.065,0.14,-45.54,9.32,5.88003937522517,0.99,21.055,-2.485
3,4.5,1.4,0,1.4,2.08,-10.93,0.13,-45.64,9.375,5.47572996940666,0.995,21.04,-2.4
3,5.5,1.265,0,1.265,1.275,-11.45,0.13,-45.46,9.13,5.72870421564203,1.09,21.015,-2.24
3,6.5,1.32,0,1.32,1.76,-12.12,0.145,-44.55,9.19,5.83509598695765,1.205,20.99,0.975
3,7.5,-0.55,0,-0.55,9.08,-6.145,0.18,2.88,9.555,6.10471956227726,0.9,20.98,76.92
3,8.5,-3.95,0,-3.95,46.115,41.44,0.25,108,10.535,6.97273579698776,1.2,20.965,272.805
3,9.5,-5.115,0,-5.115,73.605,114.68,0.31,263.19,11.635,6.90650241950804,1.76,21.04,464.59
3,10.5,-5.98,0,-5.98,82.25,160.385,0.35,382.07,12.68,7.30794166825028,1.92,21.18,606.52
3,11.5,-6.63,0,-6.63,86.08,190.11,0.38,461.31,13.42,8.43107002045794,1.97,21.165,684.37
3,12.5,-6.51,0,-6.51,93.505,170.66,0.38,479.26,13.955,9.00380921410307,1.76,21.155,693.045
3,13.5,-6.035,0,-6.035,79.47,140.535,0.41,410.99,14.255,9.49764681388843,1.645,21.165,632.545
3,14.5,-4.54,0,-4.54,66.74,94.855,0.4,306.79,14.44,8.66302316191391,1.675,21.155,499.52
3,15.5,-2.74,0,-2.74,30.545,34.81,0.36,167.32,13.48,7.36799697224283,1.815,21.165,316.565
