DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.325,0,0.325,0.6,-10.06,0.14,-63.155,8.42,7.97346066911623,1.38,12.9,-5.395
1,1.5,0.27,0,0.27,0.44,-13.75,0.16,-63.97,8.34,8.01459627473231,1.41,12.95,-5.53
1,2.5,0.265,0,0.265,0.21,-13.11,0.15,-63.07,8.1,7.84891768351726,1.475,12.4,-5.55
1,3.5,0.25,0,0.25,0.42,-12.37,0.15,-62.745,7.76,7.60328786452772,1.365,12.5,-5.405
1,4.5,0.215,0,0.215,0.41,-12.095,0.16,-62.675,7.765,7.49160705079178,1.47,12.6,-5.335
1,5.5,0.2,0,0.2,0.09,-12.275,0.17,-62.285,7.64,7.41186451316027,1.415,12.7,-5.32
1,6.5,0.165,0,0.165,0.59,-14.23,0.16,-61.005,7.555,7.2492814938429,1.415,12.75,-3.275
1,7.5,0.14,0,0.14,1.595,-9.95,0.16,-4.52,7.84,7.56306817864111,1.41,12.85,52.925
1,8.5,-0.005,0,-0.005,13.05,27.26,0.25,94.085,9.42,8.74773431039824,1.245,12.95,244.235
1,9.5,-0.08,0,-0.08,22.42,96.46,0.32,224.68,11.195,9.95737575757968,1.55,13.05,424.2
1,10.5,-0.18,0,-0.18,26.6,152.02,0.37,326.065,11.765,10.4489410816511,1.83,13.2,557.69
1,11.5,-0.295,0,-0.295,28.24,183.645,0.43,369.47,11.985,10.7160000511391,2.14,13.3,612.55
1,12.5,0.04,0,0.04,28.275,191.96,0.44,361.12,12.375,11.0091755125098,2.215,13.4,602.09
1,13.5,0.15,0,0.15,25.555,173.465,0.42,295.52,12.4,10.8152255403901,2.205,13.5,516.31
1,14.5,0.06,0,0.06,19.645,133.71,0.41,187.44,12.54,11.0622976838003,2.02,13.5,372.495
1,15.5,0.11,0,0.11,10.8,60.11,0.33,57.96,12.29,10.5398841445539,1.72,13.5,193.99
1,16.5,0.145,0,0.145,2.74,0.45,0.21,-33.41,10.96,9.52939738521154,1.31,13.5,25.435
1,17.5,0.445,0,0.445,0.07,-7.69,0.15,-73.49,9.245,8.16372008872155,1.435,13.5,-6.59
1,18.5,0.28,0,0.28,0.28,-8.87,0.15,-67.965,8.92,7.94304224695094,1.395,13.5,-5.76
1,19.5,0.28,0,0.28,0.25,-10.56,0.155,-64.585,8.78,7.95178214122803,1.47,13.5,-5.615
1,20.5,0.325,0,0.325,0.49,-9.255,0.16,-65.625,8.655,7.95111208678251,1.375,13.5,-5.5
1,21.5,0.33,0,0.33,0.08,-10.04,0.15,-63.685,8.41,7.86818191886663,1.205,13.5,-5.6
1,22.5,0.18,0,0.18,0.28,-9.405,0.16,-63.68,8.625,8.02270981724041,1.19,13.4,-5.455
1,23.5,0.265,0,0.265,0.51,-13.335,0.17,-64.955,8.35,8.02124848576733,1.42,13.5,-5.545
2,0.5,0.31,0,0.31,0.35,-13.36,0.18,-64.155,8.42,7.37957045174824,1.58,12.74,-5.16
2,1.5,0.42,0,0.42,0.4,-15.455,0.2,-63.715,8.385,7.35415079006463,1.53,12.7,-5.25
2,2.5,0.29,0,0.29,0.35,-13.22,0.19,-63.035,8.15,7.21260929414944,1.41,12.74,-5.37
2,3.5,0.26,0,0.26,0.29,-10.685,0.17,-62.935,7.905,7.17486902615455,1.52,12.7,-5.34
2,4.5,0.25,0,0.25,0.34,-14.75,0.17,-63.34,7.71,6.92962546818801,1.42,12.7,-5.345
2,5.5,0.14,0,0.14,0.49,-14.09,0.17,-62.47,7.44,6.88109126503099,1.435,12.7,-5.39
2,6.5,0.295,0,0.295,0.445,-13.485,0.16,-59.27,7.465,6.61956655328013,1.45,12.7,-2.785
