DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.228,0,0.228,4.36,-30.3,0.21,-69.26,7.795,6.91,1.81,0.147,0
1,1.5,0.228,0,0.228,3.97,-28.44,0.21,-69.26,7.63,7.265,1.64,0.146,0
1,2.5,0.228,0,0.228,4.21,-27.12,0.185,-69.095,7.575,7.02,1.7585,0.146,0
1,3.5,0.228,0,0.228,3.35,-24.73,0.205,-68.285,7.51,6.825,1.63,0.145,0
1,4.5,0.228,0,0.228,4.787,-25.98,0.2,-69.225,7.58,6.395,1.62,0.145,0
1,5.5,0.228,0,0.228,4.935,-35.4375,0.2405,-69.675,7.485,6.395,1.825,0.145,0
1,6.5,0.228,0,0.228,6.015,-34.566,0.27,-67.625,7.57,6.6,1.97,0.144,0
1,7.5,0.228,0,0.228,5.79,-24.68,0.294,-53.575,7.55,6.42,1.93,0.144,5.427
1,8.5,0.023,0,0.023,14.615,5.225,0.332,28.235,8.755,7.495,2,0.144,159.95
1,9.5,-0.227,0,-0.227,27.265,83.805,0.32,141.4,10.425,8.525,1.98,0.144,341
1,10.5,-0.227,0,-0.227,41.17,176.47,0.36,254.25,11.55,9.495,2.31,0.1445,494.3
1,11.5,0,0,0,47.99,239.15,0.38,328.2,12.69,10.09,2.53,0.146,600.65
1,12.5,0.228,0,0.228,45.47,264.845,0.41,347.05,12.895,10.74,2.56,0.1485,620.45
1,13.5,0.228,0,0.228,45.805,265.685,0.39,309.9,12.965,10.885,2.46,0.153,570.55
1,14.5,0.228,0,0.228,34.53,242.623,0.405,220.75,13.46,11.27,2.84,0.154,441.9
1,15.5,0.228,0,0.228,29.07,194.64,0.405,94.85,12.97,10.25,2.645,0.1545,291.95
1,16.5,0.228,0,0.228,18.24,86.155,0.35,1.72,11.175,8.605,2.345,0.154,106.1
1,17.5,0.228,0,0.228,6.06,7.45,0.23,-78.25,9.375,7.43,1.6,0.153,2.134
1,18.5,0.455,0,0.455,3.505,-12.529,0.21,-80.25,8.5,7.115,1.57,0.1515,0
1,19.5,0.455,0,0.455,4.12,-16.83,0.185,-76.85,7.9,7.05,1.59,0.1505,0
1,20.5,0.455,0,0.455,3.53,-19.79,0.2,-76.1,7.915,7.415,1.51,0.1495,0
1,21.5,0.455,0,0.455,3.105,-18.27,0.21,-73.7,7.84,7.15,1.605,0.149,0
1,22.5,0.455,0,0.455,3.37,-24.99,0.22,-71.55,8.135,7.36,1.63,0.148,0
1,23.5,0.228,0,0.228,3.735,-28.19,0.23,-70.4,8.5,7.59,1.885,0.147,0
2,0.5,0.228,0,0.228,2.87,-25.651,0.24,-65.5245,6.5235,5.395,1.575,0.12,0
2,1.5,0,0,0,2.345,-22.28,0.23,-65.445,6.4,5.38,1.71,0.12,0
2,2.5,0.228,0,0.228,3.163,-22.842,0.23,-64.5295,6.82,5.46,1.666,0.12,0
2,3.5,0.228,0,0.228,3.32,-22.525,0.225,-63.565,6.545,5.4,1.71,0.12,0
2,4.5,0.228,0,0.228,3.247,-24.26,0.23,-62.91,6.535,5.345,1.606,0.12,0
2,5.5,0.228,0,0.228,4.31,-23.279,0.23,-61.395,6.485,5.435,1.61,0.12,0
2,6.5,0.228,0,0.228,4.79,-27.55,0.2715,-62.83,6.315,5.09,1.84,0.12,0
2,7.5,0.228,0,0.228,4.88,-28.02,0.265,-46.505,6.305,5.46,1.915,0.1195,9.34
2,8.5,0,0,0,13.87,7.83,0.335,40.07,7.31,6.385,1.87,0.1195,163.75
2,9.5,-0.227,0,-0.227,31.224,104.06,0.4,166.05,9.155,7.505,2.51,0.1195,358.65
2,10.5,-0.415,0,-0.415,40.34,179.815,0.39,272.3,10.3,8.635,2.535,0.1195,525.65
2,11.5,0,0,0,47.626,252.27,0.41,354.15,11.525,9.55,2.57,0.12,631.75
2,12.5,0.228,0,0.228,53.3195,284.415,0.42,373.75,12.41,10.14,2.812,0.12,667.45
2,13.5,0.41,0,0.41,45.65,285.7,0.43,344.05,12.28,10.325,2.79,0.12,629.5
2,14.5,0.455,0,0.455,38.325,282.935,0.44,259.101,12.44,10.35,2.78,0.12,522.25
2,15.5,0,0,0,33.975,232.905,0.41,137.1,11.9,9.705,2.665,0.12,358.8
2,16.5,0,0,0,22.77,130.81,0.38,27.975,10.78,8.465,2.57,0.12,163.25
2,17.5,0.228,0,0.228,8.25,23.7,0.28,-61.725,9.08,6.42,1.82,0.12,16.085
2,18.5,0.228,0,0.228,2.47,-5.54,0.23,-73.85,7.325,5.16,1.43,0.12,0
2,19.5,0.228,0,0.228,1.84,-12.957,0.22,-70.8,6.83,4.96,1.515,0.12,0
2,20.5,0.228,0,0.228,2.135,-13.032,0.23,-68.54,6.688,4.86,1.595,0.12,0
2,21.5,0.228,0,0.228,2.48,-19.22,0.23,-66.165,6.4,5.11,1.64,0.12,0
2,22.5,0.455,0,0.455,2.735,-20.475,0.23,-65.1645,6.185,5.1,1.677,0.12,0
2,23.5,0.228,0,0.228,2.685,-20.815,0.22,-63.895,6.765,5.285,1.647,0.12,0
3,0.5,0.228,0,0.228,4.326,-32.3,0.34,-68.945,5.775,5.94,1.91,0.12,0
3,1.5,0.228,0,0.228,4.15,-37.19,0.36,-68.215,5.595,5.695,1.84,0.12,0
3,2.5,0.228,0,0.228,4.1695,-35.255,0.33,-67.895,5.48,5.515,1.86,0.12,0
3,3.5,0.228,0,0.228,4.08,-36.115,0.335,-68,5.3,5.465,2,0.12,0
3,4.5,0.228,0,0.228,4.05,-34.08,0.34,-65.665,4.98,5.385,1.825,0.12,0
3,5.5,0.228,0,0.228,3.03,-34.6,0.32,-66.1,4.865,5.43,2.08,0.12,0
3,6.5,0.41,0,0.41,4.18,-31.7,0.34,-67.14,4.68,5.105,1.83,0.12,0.0135
3,7.5,0,0,0,5.94,-27.39,0.321,-31.35,5.145,5.395,1.77,0.12,25.72
3,8.5,-0.227,0,-0.227,15.935,18.615,0.3465,65.31,6.385,6,1.88,0.12,235.6
3,9.5,0,0,0,28.64,119.155,0.43,206.55,7.685,7.08,2.57,0.12,442.65
3,10.5,0,0,0,36.01,201.1545,0.42,312.7,8.64,7.78,2.72,0.12,595.05
3,11.5,0.263,0,0.263,44.22,268.28,0.43,375.95,9.375,8.59,2.8375,0.12,708.5
3,12.5,0.455,0,0.455,46.06,329.75,0.44,405.45,10.08,9.055,2.94,0.12,726
3,13.5,0.455,0,0.455,46.295,329.51,0.43,387.55,10.475,9.42,2.7785,0.12,716.5
3,14.5,0.455,0,0.455,41.9,305.4325,0.43,302.1,10.925,9.78,2.695,0.12,600
3,15.5,0.205,0,0.205,34.92,266.43,0.41,173.25,10.92,9.54,2.67,0.12,426.25
3,16.5,0.228,0,0.228,24.205,175.385,0.42,49.585,10.425,8.985,2.68,0.12,227.55
3,17.5,0,0,0,11.22,39.43,0.3505,-47.355,8.615,7.65,2.21,0.12,48.43
3,18.5,0.228,0,0.228,3.87,-4.02,0.2535,-77.65,6.895,6.235,1.684,0.12,0.0655
3,19.5,0.228,0,0.228,3.26,-13.43,0.2555,-75.85,6.125,5.93,1.72,0.12,0
3,20.5,0.455,0,0.455,3.01,-15.435,0.26,-73.25,6.08,5.895,1.8,0.12,0
3,21.5,0.228,0,0.228,4.025,-21.385,0.28,-69.66,5.92,5.785,1.78,0.12,0
3,22.5,0.228,0,0.228,3.805,-20.295,0.285,-64.415,6.005,5.78,1.83,0.12,0
3,23.5,0.228,0,0.228,3.47,-26.985,0.36,-67.175,5.905,5.685,1.945,0.12,0
4,0.5,0.455,0,0.455,2.13,-9.1185,0.22,-33.02,3.66,0.53,1.73,0.18,0
4,1.5,0.4435,0,0.4435,2.58,-11.37,0.23,-34.535,3.56,0.545,1.69,0.18,0
4,2.5,0.455,0,0.455,2.975,-17.205,0.24,-38.745,3.5,0.6,1.71,0.18,0
4,3.5,0.455,0,0.455,3.96,-17.24,0.23,-38.64,3.665,0.735,1.77,0.18,0
4,4.5,0.455,0,0.455,2.445,-12.31,0.225,-38.075,3.695,0.68,1.795,0.18,0
4,5.5,0.273,0,0.273,2.07,-11.02,0.23,-40.075,3.705,0.74,1.73,0.18,0
4,6.5,0.421,0,0.421,2.32,-10.35,0.25,-39.235,3.875,0.915,1.535,0.18,0.0885
4,7.5,0,0,0,4.15,-6.9,0.225,0.86,3.905,1.34,1.48,0.18,27.47
4,8.5,0,0,0,23.63,28.03,0.27,89.35,4.7095,2.18,1.653,0.18,266.75
4,9.5,-0.3835,0,-0.3835,36.113,105.025,0.35,228.85,5.865,2.9,2.315,0.18,481.5
4,10.5,-0.227,0,-0.227,54.4725,178.3,0.389,358.65,6.825,3.945,2.705,0.18,632.2
4,11.5,0,0,0,60.5,225.69,0.4185,424.6,7.735,4.275,2.801,0.18,750
4,12.5,-0.227,0,-0.227,62.51,251.03,0.45,432.25,8.135,4.215,2.994,0.18,779
4,13.5,0,0,0,60.02,257.48,0.48,388.25,8.775,4.495,3,0.18,599.3
4,14.5,0.228,0,0.228,54.3665,238.244,0.4765,302.65,8.84,4.635,3.02,0.18,550.75
4,15.5,0.114,0,0.114,44.4015,206.935,0.47,192.5,8.5,3.735,2.992,0.18,462.5
4,16.5,0.228,0,0.228,32.295,147.8415,0.43,74.5,7.47,3.17,2.812,0.18,262.65
4,17.5,0.228,0,0.228,12.57,43.3,0.36,-2.085,6.555,2.275,2.36,0.18,63.005
4,18.5,0.228,0,0.228,2.57,3.42,0.2385,-51.605,5.475,1.06,1.5195,0.18,0.1785
4,19.5,0.4775,0,0.4775,2.954,-2.03,0.2,-50.04,4.74,0.76,1.445,0.18,0
4,20.5,0.455,0,0.455,2.5,-5.135,0.2,-43.89,4.335,0.62,1.494,0.18,0
4,21.5,0.533,0,0.533,2.75,-7.255,0.189,-41.395,4.04,0.525,1.555,0.18,0
4,22.5,0.455,0,0.455,2.55,-9.65,0.19,-37.61,3.805,0.58,1.555,0.18,0
4,23.5,0.455,0,0.455,4.03,-13.66,0.245,-34.57,3.64,0.57,1.83,0.18,0
5,0.5,0.443,0,0.443,3.385,-12.4,0.3,-65.2,7.175,6.545,1.741,0.17,0
5,1.5,0.228,0,0.228,4.23,-13.05,0.23,-64.0895,7.215,6.67,1.69,0.17,0
5,2.5,0.228,0,0.228,2.71,-15.59,0.219,-63.9,7.375,6.405,1.61,0.17,0
5,3.5,0.455,0,0.455,2.8565,-13.955,0.18,-65.0695,7.27,6.43,1.64,0.17,0
5,4.5,0.273,0,0.273,2.9,-13.97,0.23,-64.9245,7.08,6.81,1.705,0.17,0
5,5.5,0.478,0,0.478,3.59,-18.56,0.27,-66.37,6.69,7.45,1.8,0.17,0
5,6.5,0.228,0,0.228,3.15,-17.535,0.28,-59.365,6.672,7.09,1.68,0.17,2.0955
5,7.5,-0.022,0,-0.022,7.34,-5.615,0.28,18.295,8.155,8.1,1.675,0.17,67.395
5,8.5,-0.454,0,-0.454,34.265,61.146,0.36,179.5,10.49,9.73,2.09,0.17,261.5
5,9.5,-0.045,0,-0.045,52.72,145.42,0.39,348.4,12.12,10.98,2.43,0.17,488.9
5,10.5,-0.227,0,-0.227,67.375,239.89,0.42,464.5,13.315,11.545,2.74,0.17,592.65
5,11.5,-0.159,0,-0.159,76.65,281.26,0.4035,539.05,14.365,11.86,2.56,0.17,622.65
5,12.5,-0.4655,0,-0.4655,79.705,317.025,0.45,560.15,15.27,12.345,2.806,0.17,765
5,13.5,0,0,0,80.895,328.38,0.45,515.85,15.36,12.42,2.665,0.17,768.5
5,14.5,-0.227,0,-0.227,61.54,306.06,0.41,422.8,15.28,12.125,2.68,0.17,658.65
5,15.5,0.228,0,0.228,58.14,288.5,0.42,282.95,14.75,11.64,2.88,0.17,485.9
5,16.5,0.175,0,0.175,45.615,211.385,0.44,122,13.9,10.61,2.93,0.17,273.45
5,17.5,0.228,0,0.228,23.67,102.23,0.37,4.89,12.49,9.3,2.31,0.17,80.65
5,18.5,0.3525,0,0.3525,6.915,9.62,0.29,-78.8,10.08,6.28,1.75,0.17,1.5065
5,19.5,0.682,0,0.682,3.625,-5.3725,0.239,-76.95,8.7,5.06,1.49,0.17,0
5,20.5,0.614,0,0.614,3.685,-5.24,0.22,-74.6,7.815,5.215,1.667,0.17,0
5,21.5,0.455,0,0.455,2.74,-5.338,0.2,-69.4,7.63,5.69,1.52,0.17,0
5,22.5,0.41,0,0.41,2.72,-7.56,0.26,-69.26,7.52,5.85,1.61,0.17,0
5,23.5,0.228,0,0.228,3.08,-8.47,0.33,-67.9,7.41,6.145,1.587,0.17,0
6,0.5,0.455,0,0.455,4.74,-9.1,0.24,-70.55,7.23,3.57,1.57,0.1635,0
6,1.5,0.421,0,0.421,2.695,-9.58,0.21,-69.3,7.42,4.18,1.49,0.163,0
6,2.5,0.455,0,0.455,4.05,-12.614,0.23,-69.23,6.925,4.175,1.52,0.1655,0
