DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,1.99,0.127,2.99,1.057,-25.501,0.147,-40.505,10.75,1.385,0.6615,-9999,0
1,1.5,2.729,0.094,3.066,1.803,-26.373,0.1635,-38.8,10.3,1.145,0.5695,-9999,0
1,2.5,2.056,-0.004,2.984,1.655,-21.513,0.115,-38.575,10.18,0.975,0.4775,-9999,0
1,3.5,2.112,-0.06,2.963,1.3915,-22.215,0.144,-34.205,9.55,0.89,0.493,-9999,0
1,4.5,2.075,-0.0315,2.8435,1.069,-21.2735,0.135,-36.015,9.02,0.79,0.492,-9999,0
1,5.5,1.832,0.014,2.45,1.126,-24.026,0.163,-31,8.59,0.73,0.47,-9999,0
1,6.5,2.27,-0.0765,2.582,1.669,-24.693,0.143,-31,7.95,0.66,0.3045,-9999,0
1,7.5,2.155,0.0105,2.8285,1.2715,-21.513,0.1155,-30.719,7.88,0.6,0.3835,-9999,0
1,8.5,0.4835,-0.028,0.63,4.72,-7.745,0.153,7.5545,8.7,0.65,0.3965,-9999,53.11
1,9.5,-0.485,-0.1565,-2.2195,20.7775,22.359,0.33,87.061,11.095,1.48,1.118,-9999,212.6
1,10.5,-2.542,-0.6895,-7.276,38.9725,80.5295,0.425,205.7,13.945,3.44,1.6,-9999,370.25
1,11.5,-5.281,-0.583,-10.577,80.837,140.026,0.5,315.4815,15.91,5.655,1.8895,-9999,494.23
1,12.5,-8.557,-0.258,-11.998,101.0555,165.3295,0.5605,368.5315,17.85,7.575,1.99,-9999,547.85
1,13.5,-8.6415,-0.1205,-11.807,111.947,162.337,0.547,345.95,18.665,8.92,2.1,-9999,516.1005
1,14.5,-9.185,-0.094,-12.1495,108.016,120.3645,0.545,272.4,19.015,9.845,2.0015,-9999,453.67
1,15.5,-7.3765,-0.06,-9.457,88.665,75.458,0.494,192.1,19.345,10.38,1.9,-9999,346
1,16.5,-5.199,-0.012,-6.053,57.56,21.246,0.4695,89.5,18.935,9.925,1.842,-9999,196.443
1,17.5,-0.926,0.067,-1.494,23.917,-16.057,0.319,-7.8,18.2,8.72,1.357,-9999,48.595
1,18.5,0.952,0.374,2.321,5.166,-27.581,0.156,-45.936,15.995,6.125,0.963,-9999,0
1,19.5,2.413,0.418,2.989,2.211,-26.9315,0.174,-45.8,14.3,4.43,0.9455,-9999,0
1,20.5,2.269,0.2295,2.732,0.9555,-27.882,0.136,-45.936,13.31,3.46,0.92,-9999,0
1,21.5,1.744,0.2185,2.626,1.293,-23.963,0.129,-45.7,12.435,2.69,0.775,-9999,0
1,22.5,0.7395,0.1715,2.864,0.7645,-20.441,0.1035,-45.7,11.37,2.125,0.6,-9999,0
1,23.5,1.7995,0.153,2.947,0.7745,-20.343,0.117,-44.51,10.73,1.72,0.6495,-9999,0
2,0.5,2.069,0.0625,3.102,0.943,-19.757,0.18,-35.73,10.38,1.335,0.789,-9999,0
2,1.5,2.208,-0.023,3.092,1.382,-19.2605,0.166,-31,9.89,1.135,0.6315,-9999,0
2,2.5,1.778,0.027,2.419,0.4205,-18.994,0.182,-30.719,9.48,0.955,0.4,-9999,0
2,3.5,1.882,0.0315,2.854,0.96,-20.719,0.1875,-30.719,9.405,0.87,0.5825,-9999,0
2,4.5,1.663,0.044,3.0715,1.559,-19.522,0.197,-30.719,9.135,0.8,0.6735,-9999,0
2,5.5,1.835,0.051,2.725,1.374,-18.788,0.1725,-30.719,8.76,0.76,0.6455,-9999,0
2,6.5,1.769,-0.033,2.669,0.568,-21.513,0.1755,-30.719,8.62,0.72,0.665,-9999,0
2,7.5,2.166,0.011,2.812,0.443,-20.6125,0.194,-30.4895,8.66,0.685,0.735,-9999,0
2,8.5,0.94,0.051,1.194,3.215,-7.393,0.219,8.6465,8.9,0.81,0.7085,-9999,54.605
2,9.5,-0.1195,-0.401,-2.2255,13.813,19.222,0.368,88.9745,10.855,1.795,1.2015,-9999,212.55
2,10.5,-4.453,-0.594,-6.628,40.707,83.774,0.498,212.95,13.42,3.625,1.726,-9999,373.305
2,11.5,-8.326,-0.34,-9.9455,82.038,139.9955,0.5215,314.2,15.36,5.67,1.916,-9999,502.4
2,12.5,-10.271,-0.282,-12.509,106.686,166.971,0.553,382.35,17.05,7.58,2.057,-9999,570.4
2,13.5,-10.172,-0.183,-12.3035,126.887,162.351,0.568,383.9,18.13,8.665,2.163,-9999,545.493
2,14.5,-9.512,-0.127,-11.912,124.9815,149.1085,0.5655,312.25,18.91,9.74,2.135,-9999,503.5
2,15.5,-8.184,-0.04,-9.804,100.736,98.359,0.535,229.75,19.11,10.43,2,-9999,387
2,16.5,-5.975,-0.015,-6.991,75.8265,39.2855,0.493,118.35,18.76,10.34,1.908,-9999,231.4
