DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.2851,0,0.2851,2.0852,-22.7703,0.16295,-71.5841,8.03,6.02809294016929,1.86975,13.78425,0
1,1.5,0.2839,0,0.2839,2.22135,-22.88855,0.15655,-71.5072,7.955,5.79000360507907,1.9261,13.79275,0
1,2.5,0.27995,0,0.27995,2.2699,-23.6912,0.1572,-70.93695,7.6775,5.71380544964262,2.0375,13.750525,0
1,3.5,0.2695,0,0.2695,2.5754,-24.7779,0.16075,-70.50605,7.591,5.7902294556394,1.9259,13.7675,0
1,4.5,0.28765,0,0.28765,2.3858,-25.8797,0.1626,-70.25565,7.598,5.99160983124745,1.9863,13.8023,0
1,5.5,0.2487,0,0.2487,2.8615,-25.547,0.1677,-70.4424,7.7575,6.16996631904324,1.93715,13.77675,0
1,6.5,0.2632,0,0.2632,2.7604,-27.2013,0.17085,-71.12805,7.6745,6.25798224835031,2.04625,13.785675,0
1,7.5,0.2297,0,0.2297,2.69215,-25.69255,0.18445,-65.90405,7.701,6.4232794258044,2.0535,13.7612,4.3265
1,8.5,0.14515,0,0.14515,7.8849,-11.4364,0.1946,8.9333,9.21,7.76530012249899,1.5945,13.814525,83.96105
1,9.5,-0.03775,0,-0.03775,22.144,36.54735,0.204,129,12.33,9.82798111551926,1.02225,13.74315,314.79125
1,10.5,0.03725,0,0.03725,32.6599,91.7413,0.2118,247.3043,13.71,11.3541643315439,1.4655,13.76925,486.65205
1,11.5,0.044225,0,0.044225,38.7552,134.5327,0.22225,317.9999,14.76,12.3949635198859,1.6999,13.665,600.95635
1,12.5,0.0591,0,0.0591,39.9966,151.65135,0.22945,342.6521,15.54,13.283920420649,1.71085,13.48955,642.79035
1,13.5,0.0662,0,0.0662,40.3264,148.1902,0.23105,311.2608,16.285,14.4489326865728,1.8099,13.392425,605.645
1,14.5,0.1317,0,0.1317,34.75415,119.25,0.25055,229.06915,16.395,14.9342313609549,1.8526,13.3143,500.1796
1,15.5,0.1705,0,0.1705,24.5863,69.0878,0.24495,116.3043,16.1,14.3551739097443,2.18375,13.31985,332.413
1,16.5,0.22295,0,0.22295,12.8964,8.113,0.21315,2.66245,15.505,13.2027540885028,1.92815,13.38125,139.531
1,17.5,0.24315,0,0.24315,2.44085,-14.8484,0.1846,-71.63435,12.79,10.1551914535443,1.3949,13.433075,6.59315
1,18.5,0.3514,0,0.3514,2.1208,-21.6337,0.1439,-77.72855,10.32,8.01984337594444,1.8721,13.5075,0
1,19.5,0.3067,0,0.3067,2.1852,-22.68065,0.15675,-76.2024,9.47,7.16049486296541,1.984,13.53935,0
1,20.5,0.2834,0,0.2834,2.3442,-23.1513,0.15725,-75.8952,9.005,6.90217057614091,2.0535,13.605875,0
