DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.1715,0,0.1445,1.7835,-22.504,0.22,-36.9,-2.5135,0.915,3.105,13.601,0
1,1.5,0.142,0,0.3045,0.6945,-22.8435,0.231,-38.513,-2.943,0.8,2.779,13.601,0
1,2.5,0.289,0,0.289,-1.177,-27.1965,0.3145,-37.4225,-3.1225,0.81,3.542,13.601,0
1,3.5,0.221,0,0.326,-0.703,-24.338,0.28,-37.605,-3.562,0.88,3.744,13.601,0
1,4.5,0.2705,0,0.283,2.363,-29.543,0.278,-39.29,-3.6935,0.805,3.573,13.601,0
1,5.5,0.299,0,0.3,3.009,-31.954,0.278,-38.9,-4.2415,0.8,3.989,13.601,0
1,6.5,0.192,0,0.1515,6.5815,-17.7285,0.2065,-36.949,-3.965,0.81,3.8295,13.601,0
1,7.5,0.2895,0,0.28,5.09,-21.548,0.2565,-36.5095,-3.918,0.715,4.246,13.601,0
1,8.5,0.2305,0,0.1405,8.318,-16.4265,0.325,-32.215,-3.7465,0.745,5.0605,13.601,4.5365
1,9.5,0.193,0,0.181,18.3785,-1.151,0.3295,-4.284,-2.586,1.08,5.12,13.601,51.3465
1,10.5,0.215,0,0.171,24.3855,11.15,0.3935,31.295,0.0325,1.59,5.225,13.601,179.1
1,11.5,0.1,0,0.091,27.1935,38.3415,0.447,87.5415,1.41,2.14,6.1035,13.601,275.29
1,12.5,0.0645,0,0.1485,30.965,49.6,0.455,126.65,2.7445,3.13,6.173,13.601,374.35
1,13.5,0.1715,0,0.157,29.404,43.4955,0.466,119.1,3.856,3.65,6.214,13.601,414.09
1,14.5,0.126,0,0.126,24.392,31.024,0.437,97.672,4.4045,3.74,5.77,13.601,352.37
1,15.5,0.214,0,0.165,15.744,-0.5785,0.382,46.623,4.044,3.77,5.4635,13.601,248.56
1,16.5,0.274,0,0.243,6.667,-18.513,0.3005,2.9535,3.543,3.5,4.182,13.601,124.55
1,17.5,0.411,0,0.2915,0.997,-28.562,0.224,-32.135,1.588,2.31,3.313,13.601,19.1955
1,18.5,0.3135,0,0.267,0.839,-29.849,0.245,-40.8535,-0.231,1.45,3.536,13.601,0
1,19.5,0.292,0,0.291,1.1225,-27.907,0.254,-40.13,-1.6555,1.12,3.3385,13.601,0
1,20.5,0.368,0,0.307,2.136,-28.118,0.2395,-38.19,-2.1415,0.955,2.881,13.601,0
1,21.5,0.379,0,0.2555,1.0555,-16.5645,0.1945,-40.4945,-2.056,0.86,2.405,13.601,0
1,22.5,0.257,0,0.224,1.01,-15.4,0.2,-41.3675,-2.821,0.79,3.044,13.651,0
1,23.5,0.3525,0,0.3,4.0665,-18.69,0.247,-37.47,-2.568,0.77,3.1835,13.701,0
2,0.5,0.037,0,-0.065,0.408,-23.511,0.2045,-38.79,-3.388,0.795,3.027,14.5,0
2,1.5,0.1,0,-0.046,1.083,-23.5465,0.2205,-36.33,-3.327,0.82,2.6255,14.5,0
2,2.5,0.059,0,0.0075,0.8615,-28.5455,0.283,-36.725,-3.1995,0.845,3.594,14.55,0
2,3.5,0.1,0,0.278,0.6705,-29.559,0.2995,-39.735,-3.362,0.895,4.1355,14.5,0
2,4.5,0.141,0,0.071,0.817,-32.9575,0.331,-37.555,-4.2985,0.85,4.875,14.55,0
2,5.5,0.182,0,0.108833333333333,3.42083333333333,-32.4266666666667,0.320666666666667,-39.2415,-4.788,0.805,4.407,14.7,0
2,6.5,0.223,0,0.146666666666667,6.02466666666667,-31.8958333333333,0.310333333333333,-39.695,-4.3675,0.69,3.939,14.8,0
2,7.5,0.264,0,0.1845,8.6285,-31.365,0.3,-39.9925,-4.5885,0.65,3.471,14.05,0
2,8.5,-0.0135,0,-0.0135,25.502,5.893,0.4445,-31.375,-3.8695,0.66,5.72,13.8,8.4465
2,9.5,-0.017,0,0.018,27.759,33.788,0.498,-0.016,-2.491,0.83,6.675,13.8505,95.7065
2,10.5,-0.2775,0,-0.185,25.7475,78.7155,0.475,53.6255,-1.1245,1.29,6.419,13.901,236.65
2,11.5,-0.193,0,-0.19,26.624,118.757,0.5005,128.495,1.3275,1.845,7.1715,14.001,367.45
2,12.5,-0.106,0,-0.116,26.9505,123.421,0.5045,182.305,3.0265,2.78,7.182,14.001,447.9
2,13.5,-0.2245,0,-0.213,26.217,123.74,0.503,186.555,3.977,3.595,6.751,14.0505,477.95
2,14.5,-0.122,0,-0.105,20.014,95.234,0.46,147.175,5.053,4.36,6.661,14.1,430.99
2,15.5,-0.067,0,-0.065,11.365,42.264,0.432,82.2965,4.839,4.57,5.961,14.1,303.57
2,16.5,0.141,0,0.1425,5.9875,-3.9595,0.368,22.65,4.654,4.455,4.8805,14.1,171.39
2,17.5,0.2745,0,0.2565,0.909,-28.0625,0.2685,-24.18,3.323,3.48,3.491,14.2,50.574
2,18.5,0.279,0,0.218,-0.286,-18.215,0.185,-43.335,0.404,2.19,2.4735,14.2,0.3825
2,19.5,0.4125,0,0.319,0.32,-18.722,0.211,-40.395,-1.558,1.485,2.808,14.2,0
2,20.5,0.3915,0,0.298,-0.92,-23.218,0.197,-39.975,-2.443,1.12,2.848,14.25,0
2,21.5,0.327,0,0.2735,0.0855,-29.947,0.29,-42.025,-3.669,1.005,3.619,14.3,0
2,22.5,0.242,0,0.252,0.3565,-26.881,0.32,-44.513,-3.6675,0.87,3.7195,14.35,0
2,23.5,0.235,0,0.05,0.598,-16.718,0.2265,-40.469,-3.703,0.815,3.583,14.4,0
3,0.5,0.219,0,0.219,3.7765,-15.345,0.291,-40.2135,-3.9735,0.59,2.893,12.9,0
3,1.5,0.0875,0,-0.041,2.958,-13.228,0.237,-39.37,-3.981,0.54,2.801,12.9,0
3,2.5,0.22,0,0.1695,2.49,-22.872,0.287,-40,-4.2425,0.45,3.015,12.9,0
3,3.5,0.043,0,0.021,2.691,-16.229,0.339,-41.455,-4.499,0.525,3.8365,12.9,0
3,4.5,-0.913,0,-0.913,1.078,-21.035,0.2205,-41.6135,-4.854,0.525,2.1635,12.9,0
3,5.5,-0.001,0,0.138,-0.154,-22.958,0.1875,-37.62,-5.743,0.48,2.297,12.9,0
3,6.5,0.025,0,0.2795,2.8045,-21.5,0.171,-38.139,-5.6255,0.495,2.487,12.9,0
3,7.5,0.051,0,0.0455,12.706,-2.3345,0.238,-35.063,-5.958,0.51,2.612,12.9,0
3,8.5,0.08,0,-0.032,22.254,36.2065,0.3175,-18.2905,-5.327,0.62,4.0845,12.9,22.2835
3,9.5,0.2,0,0.061,24.487,64.14,0.3755,11.4015,-3.1515,0.97,4.7895,12.9,122.5
3,10.5,0.1405,0,0.0595,30.949,91.9635,0.414,59.359,-0.5735,1.66,5.2815,12.9,250.315
3,11.5,0.3225,0,0.403,35.16,118.482,0.451,126.72,0.653,2.345,5.782,13,367.25
3,12.5,0.139,0,0.1425,32.9795,117.2125,0.4465,163.3,2.002,2.85,5.9085,13,464.34
3,13.5,0.436,0,0.4115,33.543,103.877,0.468,188.6,2.8925,3.5,6.0705,13,529.9
