DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,1.0925,0.011,0.9865,0.3625,-20.273,0.285,-38.58,0.841,1.5,1.774,7.9,0
1,1.5,1.067,0.045,0.935,0.25,-21.048,0.292,-38.79,0.6185,1.42,1.719,8,0
1,2.5,1.0555,0.088,0.965,0.15,-20.004,0.29,-36.3,0.44,1.35,1.753,7.9,0
1,3.5,1.0605,0.0685,1.063,0.187,-20.7145,0.31,-35.36,0.2815,1.28,1.727,8,0
1,4.5,1.0265,0.0265,0.904,0.193,-18.678,0.316,-36.715,0.2015,1.22,1.7655,8,0
1,5.5,1.033,0.068,0.961,0.189,-17.6795,0.305,-34.515,-0.0965,1.155,1.735,7.9,0
1,6.5,1.207,0.158,1.147,0.1475,-15.904,0.27,-36.68,-0.1795,1.155,1.6465,7.95,0
1,7.5,1.154,0.1955,1.1705,0.433,-11.9445,0.287,-22.01,-0.193,1.045,1.684,7.9,5
1,8.5,1.352,-0.3395,1.0865,3.755,8.3405,0.398,16.975,0.5405,1.23,1.8215,7.9,78.45
1,9.5,1.1805,-0.683,0.382,12.4145,59.579,0.548,81.8,2.053,1.78,2.2965,8,184.45
1,10.5,0.949,-0.561,0.483,21.094,110.341,0.654,142.3,3.2625,2.31,2.6555,8,277.55
1,11.5,0.678,-0.438,0.289,26.8485,138.953,0.699,178.2,3.937,2.775,2.898,8,302.2
1,12.5,0.74,-0.321,0.3905,27.387,137.106,0.72,184.2,4.568,3.095,2.868,8.05,314.35
1,13.5,0.693,-0.167,0.409,22.965,120.716,0.7125,162.85,4.8785,3.56,2.8585,8.05,295.6
1,14.5,0.762,-0.031,0.73,16.959,64.8195,0.661,99.2,5.038,3.68,2.783,8.1,217.85
1,15.5,0.8225,0.134,0.993,8.134,13.8135,0.5955,19.98,4.544,3.57,2.599,8,109.3
1,16.5,0.9685,0.428,1.2095,2.114,-13.807,0.447,-28.055,3.751,3.26,2.151,8,11.25
1,17.5,0.8975,0.482,1.3765,0.557,-19.007,0.335,-54.765,3.0905,2.71,1.664,7.95,0
1,18.5,1.073,0.445,1.381,0.309,-21.47,0.31,-50.355,2.5765,2.43,1.6585,8,0
1,19.5,1.093,0.3375,1.205,0.3145,-21.4945,0.294,-48.02,2.3015,2.235,1.633,7.95,0
1,20.5,1.106,0.246,1.123,0.214,-21.406,0.324,-45.31,1.821,2.035,1.6625,8,0
1,21.5,1.2035,0.2325,1.171,0.27,-21.0645,0.2895,-39.685,1.5415,1.825,1.629,7.9,0
1,22.5,1.324,0.1605,1.1675,0.452,-19.473,0.2855,-39.78,1.0915,1.71,1.6155,7.9,0
1,23.5,1.228,0.07,1.1215,0.318,-19.8055,0.278,-39.235,1.0355,1.615,1.7535,8,0
2,0.5,0.989,0.072,0.8455,0.365,-15.545,0.3,-39.035,-2.917,1.385,1.576,7.7,0
2,1.5,0.857,0.066,0.731,0.3285,-15.778,0.333,-43.705,-3.1675,1.3,1.6985,7.6,0
2,2.5,0.834,0.0985,0.9675,0.223,-18.211,0.3055,-37.66,-3.4765,1.245,1.6375,7.6,0
2,3.5,0.815,0.14,0.917,0.436,-17.831,0.3375,-35.825,-3.3285,1.17,1.6195,7.65,0
2,4.5,0.8605,0.137,0.8315,0.3085,-17.906,0.322,-34.26,-3.22,1.175,1.675,7.75,0
2,5.5,0.933,0.097,0.913,0.225,-15.129,0.28,-37.845,-3.4155,1.125,1.7545,7.65,0
2,6.5,1.039,0.149,1.078,0.357,-15.508,0.305,-33.71,-3.485,1.015,1.66,7.7,0
2,7.5,1.13,0.034,1.0695,0.58,-9.713,0.312,-21.015,-3.2725,1.065,1.764,7.8,9.25
2,8.5,1.274,-0.342,0.739,6.149,15.037,0.458,21.24,-2.235,1.325,1.959,7.75,102.9
2,9.5,1.147,-0.6985,0.4965,16.615,78.869,0.5825,104.2,-1.0615,1.775,2.4535,7.75,214.5
2,10.5,0.943,-0.642,0.343,23.961,128.9125,0.6705,177.6,0.2335,2.235,2.664,7.8,341.5
2,11.5,0.77,-0.435,0.382,30.504,162.905,0.668,207.9,1.1565,2.64,2.8345,7.8,354.9
2,12.5,0.858,-0.188,0.66,30.074,147.3315,0.692,195.7,1.9265,2.985,2.9195,7.85,358.65
2,13.5,0.864,-0.1795,0.634,26.491,137.794,0.718,172.6,2.186,3.2,2.851,7.85,321.1
2,14.5,0.804,-0.028,0.772,19.556,92.8165,0.711,119.65,2.2825,3.425,2.796,7.8,234.95
2,15.5,0.825,0.116,0.924,13.4525,37.208,0.613,40.5,2.0235,3.55,2.5945,7.75,150.6
2,16.5,0.824,0.305,1.036,5.089,-5.4005,0.459,-13.045,1.409,3.145,2.095,7.8,28.83
2,17.5,0.85,0.528,1.339,0.894,-16.244,0.3205,-55.76,0.1185,2.705,1.669,7.85,0.16
2,18.5,0.893,0.485,1.157,0.37,-15.705,0.278,-52.555,-0.4625,2.37,1.5955,7.75,0
2,19.5,0.933,0.29,1.004,0.4585,-17.432,0.3,-50.02,-0.806,2.095,1.6755,7.75,0
2,20.5,0.959,0.251,0.969,0.251,-17.0675,0.2755,-49.7,-1.17,1.915,1.6295,7.8,0
2,21.5,0.9955,0.19,0.979,0.521,-15.0415,0.2595,-48.075,-1.6855,1.76,1.597,7.8,0
2,22.5,1.0355,0.205,1.0115,0.369,-16.196,0.2595,-48.455,-2.096,1.59,1.6075,7.75,0
2,23.5,1.004,0.1535,0.992,0.498,-15.475,0.2925,-46.51,-2.3865,1.44,1.6165,7.75,0
3,0.5,1.156,0.1635,1.018,0.043,-16.485,0.244,-44.345,-1.375,1.475,1.546,8.1,0
3,1.5,1.1135,0.175,0.9905,0.056,-17.6335,0.236,-39.525,-1.6595,1.43,1.546,8.1,0
3,2.5,1.0815,0.087,1.07,0.12,-19.615,0.266,-37.02,-1.6975,1.39,1.534,8.1,0
3,3.5,0.995,0.121,0.842,0.188,-17.979,0.2775,-38.99,-1.9415,1.295,1.569,8.1,0
3,4.5,0.941,0.168,0.9555,0.2475,-18.422,0.27,-39.745,-2.252,1.235,1.6795,8.1,0
3,5.5,0.998,0.175,1.054,0.288,-20.222,0.2495,-41.875,-2.3625,1.24,1.688,8.1,0
3,6.5,1.145,0.1915,1.16,0.415,-19.077,0.251,-39.085,-2.6565,1.235,1.653,8.05,0
3,7.5,1.2575,0.051,1.2815,1.703,-6.983,0.296,-11.955,-2.4075,1.21,1.665,8.05,21.55
3,8.5,1.532,-0.729,0.7875,9.58,37.086,0.499,42.53,-1.2525,1.5,2.011,8.05,135.85
