DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,2.123,0,1.9095,5.287,-16.504,0.093,-36.18,4.659,0.52,1.074,36.861,-0.4365
1,1.5,2.199,0,2.373,2.535,-24.559,0.089,-35.111,4.362,0.49,1.0135,36.863,-0.5575
1,2.5,4.4535,0,1.5015,2.141,-18.029,0.105,-32.536,3.9485,0.42,1.011,36.862,-0.4485
1,3.5,2.76,0,1.757,1.9585,-17.9945,0.097,-28.5095,3.898,0.415,1.014,36.862,-0.29
1,4.5,2.8145,0,1.503,3.419,-12.662,0.092,-28.723,3.9925,0.43,0.9465,36.862,-0.178
1,5.5,2.8055,0,1.911,1.442,-5.061,0.101,-27.4115,4.015,0.38,1.275,36.8625,-0.2645
1,6.5,4.3085,0,1.951,0.3225,-4.868,0.099,-26,3.7575,0.35,0.996,36.8605,-0.309
1,7.5,2.422,0,1.59,3.604,-1.833,0.096,-15.7695,3.717,0.3,1.081,36.8565,5.675
1,8.5,1.1535,0,0.3175,12.831,0.2855,0.115,16.02,4.981,0.45,1.3135,36.852,78.667
1,9.5,0.693,0,0.441,30.1985,25.3785,0.15,87,6.914,1.245,1.549,36.843,188
1,10.5,0.4685,0,0.3625,34.328,56.029,0.175,165.9985,8.371,2.16,1.754,36.842,299.0025
1,11.5,0.644,0,0.644,40.544,95.427,0.202,227.05,9.371,3.02,1.9625,36.8375,394.75
1,12.5,1.45,0,0.891,36.639,101.57,0.2085,219.174,10.178,3.945,1.9145,36.836,393
1,13.5,1.714,0,1.1055,32.6345,93.9425,0.201,190.8195,11.173,4.61,1.876,36.8395,341.25
1,14.5,1.574,0,1.1475,26.608,62.704,0.193,115.88,11.7265,4.96,1.8195,36.844,269.835
1,15.5,1.722,0,1.2645,18.412,20.074,0.166,25.973,11.6135,4.92,1.6465,36.831,146.781
1,16.5,2.269,0,1.685,9.7945,-4.85,0.109,-25.575,10.877,4.3,1.3965,36.8255,31.295
1,17.5,3.786,0,2.098,-0.159,-12.083,0.0865,-45.2675,9.2925,2.905,0.9995,36.8215,-0.417
1,18.5,4.258,0,1.654,1.195,-16.9445,0.072,-40.1375,7.4665,1.97,0.7665,36.833,-0.766
1,19.5,4.672,0,1.476,5.3465,-13.52,0.0775,-36.44,6.362,1.585,0.779,36.837,-0.598
1,20.5,1.4755,0,1.758,4.173,-25.674,0.0795,-35.632,5.825,1.335,0.859,36.8415,-0.3565
1,21.5,1.915,0,1.615,2.925,-28.514,0.083,-36.331,5.4475,1.02,0.882,36.846,-0.2925
1,22.5,1.5055,0,1.578,3.694,-21.8915,0.088,-38.323,5.0355,0.865,0.9855,36.85,-0.3825
1,23.5,2.022,0,1.5075,3.38,-20.511,0.093,-37.317,4.8075,0.69,1.029,36.8545,-0.4655
2,0.5,4.4795,0,2.09,9.465,-20.694,0.099,-35.932,6.0205,0.66,1.1985,36.5155,-0.1225
2,1.5,2.199,0,1.9395,7.8395,-23.668,0.0985,-35.4605,5.9015,0.62,1.187,36.519,-0.178
2,2.5,4.4535,0,1.8875,3.8065,-17.077,0.108,-33.89,5.684,0.64,1.129,36.5175,-0.275
2,3.5,2.76,0,2.863,3.0225,-17.254,0.1035,-32.4845,5.6135,0.59,1.069,36.5155,-0.394
2,4.5,2.8145,0,3.2425,9.131,-22.062,0.104,-32.71,5.3195,0.64,1.196,36.5135,-0.232
2,5.5,2.8055,0,3.657,13.6045,-24.063,0.108,-28.763,5.359,0.565,1.295,36.5235,-0.1255
2,6.5,4.3085,0,2.9225,6.448,-20.704,0.111,-30.9395,5.2775,0.58,1.211,36.505,-0.371
2,7.5,2.422,0,2.225,5.107,-15.374,0.114,-16.911,5.3595,0.61,1.3,36.4885,9
2,8.5,1.1535,0,0.9165,23.8625,-2.189,0.137,24.618,6.4795,0.82,1.551,36.474,102.4395
2,9.5,0.305,0,0.465,51.708,29.61,0.168,113.657,8.2255,1.505,1.576,36.472,257.8635
