DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,3.6295,-0.073,3.205,6.798,-30.607,0.1575,-42.7105,18.5605,6.045,1.633,-9999,-9999
1,1.5,3.8535,-0.0135,3.112,9.93,-30.564,0.186,-46.6355,18.204,5.805,1.7385,-9999,-9999
1,2.5,3.888,0.0915,3.351,11.373,-35.222,0.189,-47.046,18.064,5.825,1.773,-9999,-9999
1,3.5,3.6375,0.032,3.493,10.236,-36.138,0.172,-45.68,18.052,5.715,1.7605,-9999,-9999
1,4.5,3.651,0.0435,3.695,12.623,-38.139,0.1715,-47.422,17.965,5.4,1.7955,-9999,-9999
1,5.5,3.5755,-0.0245,3.3085,10.398,-35.7065,0.1715,-48.598,17.8275,5.525,1.7645,-9999,-9999
1,6.5,3.779,0.007,3.636,8.01,-38.705,0.171,-51.242,17.997,5.16,1.762,-9999,-9999
1,7.5,3.081,-0.042,3.0475,12.241,-41.333,0.1905,-47.3165,17.8605,5.51,1.7775,-9999,-9999
1,8.5,-1.8865,-0.6325,-6.31,35.175,-21.691,0.2265,18.039,19.443,6.865,1.7805,-9999,-9999
1,9.5,-14.186,-0.2105,-16.804,73.318,29.048,0.269,141.496,21.981,8.39,1.6195,-9999,-9999
1,10.5,-20.523,-0.0625,-24.2915,118.579,67.814,0.312,304.548,22.854,9.84,1.862,-9999,-9999
1,11.5,-23.504,-0.065,-28.727,150.7545,108.8565,0.3535,426.26,23.894,10.29,2.317,-9999,-9999
1,12.5,-25.2165,-0.048,-30.447,175.3215,131.711,0.4395,474.412,24.608,10.85,2.4695,-9999,-9999
1,13.5,-23.293,-0.0385,-29.413,176.324,143.139,0.451,481.231,24.881,12.21,2.832,-9999,-9999
1,14.5,-22.598,0.0365,-25.873,166.853,121.186,0.4455,405.7065,24.6355,11.15,2.887,-9999,-9999
1,15.5,-20.071,0.0215,-23.813,143.421,101.604,0.49,318.4985,24.492,11.055,3.191,-9999,-9999
1,16.5,-14.5825,0.1375,-18.3155,104.862,63.501,0.469,179.523,23.905,10.75,2.899,-9999,-9999
1,17.5,-4.088,0.2075,-4.04,47.885,5.23,0.4175,24.2225,23.088,9.43,2.466,-9999,-9999
1,18.5,2.6505,0.2755,2.902,13.0795,-18.2445,0.247,-39.144,21.668,6.94,1.473,-9999,-9999
1,19.5,3.9225,0.1135,3.7205,11.034,-19.959,0.159,-49.258,20.5345,6.165,1.411,-9999,-9999
1,20.5,3.939,0.125,3.628,13.505,-30.4,0.1475,-49.207,19.7065,5.63,1.466,-9999,-9999
1,21.5,3.526,0.1095,3.3305,13.348,-30.478,0.161,-47.96,19.245,5.61,1.56,-9999,-9999
1,22.5,3.657,-0.004,3.016,14.403,-31.379,0.1805,-46.662,19.018,5.84,1.669,-9999,-9999
1,23.5,3.4195,-0.0025,3.115,11.926,-27.3605,0.175,-46.402,19.056,6.125,1.663,-9999,-9999
2,0.5,3.696,-0.003,3.568,9.74,-30.0565,0.1505,-41.284,18.9485,5.625,1.6095,-9999,-9999
2,1.5,3.556,0.013,3.365,10.9335,-30.9505,0.1645,-42.0485,18.7975,5.825,1.639,-9999,-9999
2,2.5,3.619,0.0225,3.5535,11.147,-29.77,0.1545,-44.129,18.6515,5.71,1.612,-9999,-9999
2,3.5,3.735,-0.002,3.4515,7.9175,-31.5275,0.1535,-44.3215,18.2805,5.47,1.6085,-9999,-9999
2,4.5,3.763,-0.025,3.536,10.0755,-35.2675,0.187,-44.5645,18.073,5.32,1.7425,-9999,-9999
2,5.5,3.8445,-0.025,3.616,9.431,-34.167,0.1875,-45.821,18.1055,5.69,1.7795,-9999,-9999
2,6.5,3.5455,0.064,3.476,8.2,-32.779,0.161,-47.1915,17.9035,5.875,1.6605,-9999,-9999
2,7.5,3.1715,-0.1205,2.821,10.726,-35.757,0.208,-43.008,18.1455,5.89,1.817,-9999,-9999
2,8.5,-2.491,-0.588,-5.4375,32.939,-18.23,0.19,17.2095,20.5415,7.32,1.57,-9999,-9999
2,9.5,-15.785,-0.2465,-16.912,75.383,26.063,0.237,165.9905,22.743,10.265,1.306,-9999,-9999
2,10.5,-22.831,-0.05,-23.133,117.6945,72.32,0.285,308.472,23.708,11.28,1.6785,-9999,-9999
2,11.5,-25.545,-0.092,-26.702,149.8945,101.5045,0.305,440.2725,24.2815,11.98,1.863,-9999,-9999
2,12.5,-28.8025,-0.0935,-29.6415,185.3705,129.9045,0.427,519.89,25.0195,12.23,2.4815,-9999,-9999
2,13.5,-27.564,-0.0275,-29.662,196.7475,130.8695,0.424,509.8055,25.3,12.6,2.468,-9999,-9999
2,14.5,-23.7155,0.02,-25.8355,168.131,110.35,0.448,427.8935,25.141,12.79,2.876,-9999,-9999
2,15.5,-18.337,0.031,-22.202,148.7875,103.8975,0.455,335.982,25.1405,12.02,2.697,-9999,-9999
2,16.5,-13.664,0.0745,-15.252,97.543,54.704,0.424,184.599,24.626,12.215,2.4895,-9999,-9999
2,17.5,-6.8515,0.135,-6.977,52.2845,19.242,0.385,48.706,23.9945,10.455,2.293,-9999,-9999
2,18.5,1.9615,0.383,2.3505,20.943,-17.404,0.264,-34.714,22.4715,8.335,1.621,-9999,-9999
2,19.5,4.027,0.223,3.864,10.134,-24.118,0.147,-46.503,21.5335,6.825,1.261,-9999,-9999
2,20.5,3.998,0.1405,3.949,8.912,-30.883,0.1155,-46.221,20.9785,5.925,1.392,-9999,-9999
2,21.5,3.558,0.0615,3.3955,10.067,-24.55,0.142,-46.1945,19.996,6.485,1.4285,-9999,-9999
2,22.5,3.6375,-0.034,3.243,7.89,-26.9265,0.1395,-44.8395,19.3985,6.145,1.539,-9999,-9999
2,23.5,3.478,0.067,3.037,9.193,-25.9345,0.143,-44.142,19.0125,5.905,1.5995,-9999,-9999
3,0.5,3.252,-0.0075,3.375,13.667,-32.385,0.197,-48.918,18.14,6.29,1.6105,-9999,-9999
3,1.5,3.016,-0.0215,3.1495,10.833,-36.472,0.1725,-48.341,17.5845,6.155,1.63,-9999,-9999
