DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,5.879,-0.019,5.221,21.58,-48.435,0.3735,-52.315,20.892,7.99,3.1205,-9999,-9999
1,1.5,5.505,0.0605,5.562,19.8665,-53.279,0.42,-51.6345,20.927,8.135,3.3005,-9999,-9999
1,2.5,5.636,0.0285,5.2895,21.227,-48.925,0.3855,-53.2245,20.716,7.605,2.933,-9999,-9999
1,3.5,5.047,-0.0185,4.819,15.741,-47.485,0.3495,-54.6755,20.4785,7.435,2.72,-9999,-9999
1,4.5,5.943,0.011,5.3195,16.439,-44.015,0.36,-54.191,20.403,7.39,2.6365,-9999,-9999
1,5.5,5.887,0.009,4.7,14.1335,-42.445,0.307,-54.1755,20.2155,6.79,2.5835,-9999,-9999
1,6.5,6.3295,-0.0315,5.182,11.043,-40.308,0.2875,-52.093,20.271,7.3,2.512,-9999,-9999
1,7.5,5.322,0.0865,5.017,17.3755,-51.79,0.332,-47.17,20.429,7.11,2.5,-9999,-9999
1,8.5,-2.8775,-0.167,-3.1445,40.774,-24.212,0.409,-2.1165,21.2325,8.17,3.0665,-9999,-9999
1,9.5,-18.3385,-0.1835,-18.704,93.875,24.373,0.481,129.2765,23.012,10.515,3.5,-9999,-9999
1,10.5,-27.188,-0.0845,-27.21,148.836,71.049,0.521,242.256,24.26,11.96,3.784,-9999,-9999
1,11.5,-32.0835,-0.0415,-31.3515,189.629,107.8705,0.5875,335.418,25.0525,12.525,4.127,-9999,-9999
1,12.5,-35.282,-0.069,-33.593,206.6445,113.1725,0.595,399.234,25.4345,13.15,4.1555,-9999,-9999
1,13.5,-37.001,-0.014,-34.0715,210.3915,129.9615,0.6245,405.58,25.5725,13.335,4.229,-9999,-9999
1,14.5,-34.221,0.038,-33.4565,216.293,122.882,0.6385,364.139,25.478,12.92,4.3675,-9999,-9999
1,15.5,-27.583,0.044,-27.107,178.783,93.798,0.6185,284.375,25.174,12.615,4.356,-9999,-9999
1,16.5,-18.227,0.108,-17.1905,118.271,43.3055,0.598,153.1915,24.3465,11.7,4.5745,-9999,-9999
1,17.5,-3.028,0.1195,-3.1105,59.6005,-9.138,0.567,11.5155,23.4425,10.95,4.052,-9999,-9999
1,18.5,5.609,0.1185,4.628,32.756,-37.094,0.4495,-43.918,22.4425,9.53,3.374,-9999,-9999
1,19.5,6.367,0.1005,5.765,26.687,-42.191,0.446,-53.061,21.8495,9.06,3.436,-9999,-9999
1,20.5,5.9265,0.0425,5.819,24.1845,-50.2385,0.3965,-54.0585,21.5085,8.785,3.227,-9999,-9999
1,21.5,6.206,0.021,5.823,24.736,-38.4635,0.4105,-54.7125,21.016,8.135,3.1825,-9999,-9999
1,22.5,6.204,-0.058,5.406,21.8685,-47.052,0.43,-51.571,21.152,8.08,3.4115,-9999,-9999
1,23.5,5.6575,-0.017,4.9865,15.571,-47.199,0.386,-49.0555,21.1035,8.275,3.213,-9999,-9999
2,0.5,5.861,0.001,5.7355,22.092,-41.9515,0.2175,-46.6535,20.0295,8.66,1.526,-9999,-9999
2,1.5,5.646,-0.0425,5.408,24.967,-43.633,0.229,-45.678,20.051,7.935,1.6505,-9999,-9999
2,2.5,5.826,-0.022,5.7625,19.345,-43.622,0.255,-47.589,19.9225,7.685,2.132,-9999,-9999
2,3.5,6.242,0.0295,5.936,22.9935,-51.207,0.262,-47.333,19.7045,8.525,2.359,-9999,-9999
2,4.5,5.933,0.04,5.963,20.3885,-49.628,0.2295,-45.435,19.5425,8.725,1.6965,-9999,-9999
2,5.5,5.8655,0.053,5.3525,14.896,-38.207,0.163,-43.212,18.783,7.925,1.6055,-9999,-9999
2,6.5,5.827,0.098,5.149,18.203,-31.995,0.2015,-43.988,18.756,7.345,1.5715,-9999,-9999
2,7.5,5.3415,-0.001,5.006,16.171,-39.7695,0.1735,-40.916,18.9155,7.53,1.494,-9999,-9999
2,8.5,-5.305,-0.463,-3.2,48.2665,-21.9665,0.21,-20.077,20.569,8.75,1.401,-9999,-9999
2,9.5,-16.9705,-0.293,-17.481,93.639,23.9365,0.3355,87.9485,22.951,11.59,2.08,-9999,-9999
2,10.5,-25.583,-0.0835,-26.1255,150.1565,74.247,0.4375,249.363,24.4145,13.77,2.5605,-9999,-9999
2,11.5,-31.982,0.003,-32.156,196.071,114.1205,0.4885,381.894,25.162,14.73,3.2335,-9999,-9999
2,12.5,-32.6975,-0.0235,-32.4835,207.1935,133.873,0.51,421.222,25.4255,15.34,3.75,-9999,-9999
2,13.5,-33.487,-0.0345,-32.074,216.2275,134.5965,0.5195,427.9295,25.5955,15.405,3.4545,-9999,-9999
2,14.5,-33.709,0.03,-31.187,214.286,131.136,0.5115,382.1555,25.288,15.325,3.9035,-9999,-9999
2,15.5,-25.638,0.0695,-24.826,162.899,82.334,0.5215,263.1065,25.028,14.28,3.608,-9999,-9999
2,16.5,-17.862,0.0565,-17.579,122.417,45.631,0.4775,174.806,24.526,13.395,3.591,-9999,-9999
2,17.5,-5.899,0.1425,-5.42,63.466,-2.9675,0.4265,35.594,23.8865,12.165,3.239,-9999,-9999
2,18.5,3.059,0.173,3.2665,32.908,-39.0345,0.341,-42.324,22.8145,10.88,2.7735,-9999,-9999
2,19.5,5.992,0.0595,5.6765,22.187,-41.6065,0.3045,-52.8055,22.258,10.05,2.3135,-9999,-9999
2,20.5,5.353,0.0565,5.663,20.816,-36.681,0.2965,-48.954,21.6525,9.095,2.2305,-9999,-9999
2,21.5,5.873,0.02,5.453,16.3405,-37.148,0.253,-45.2115,21.3645,8.72,2.01,-9999,-9999
2,22.5,5.451,-0.021,5.379,14.463,-40.854,0.2595,-47.846,21.143,8.92,1.874,-9999,-9999
2,23.5,6.15,0.002,5.8605,14.3055,-40.0345,0.266,-46.3405,20.7445,8.79,1.876,-9999,-9999
3,0.5,6.583,-5e-04,6.471,26.629,-64.281,0.4205,-54.678,20.373,8.46,3.028,-9999,-9999
3,1.5,6.064,-0.0385,5.945,22.369,-63.855,0.434,-55.0985,20.2565,8.2,3.107,-9999,-9999
3,2.5,6.338,-0.0325,6.052,21.201,-60.866,0.3685,-55.815,19.952,8.315,2.6725,-9999,-9999
3,3.5,6.7095,0,6.1945,25.6115,-67.1575,0.404,-57.8505,19.79,8.235,2.82,-9999,-9999
3,4.5,6.6925,0.007,6.2155,22.42,-65.8755,0.425,-59.7155,19.524,8.2,2.981,-9999,-9999
3,5.5,5.8255,-0.009,5.466,21.768,-61.868,0.4335,-56.994,19.4715,8.19,3.1205,-9999,-9999
3,6.5,5.709,0.054,5.293,22.094,-52.579,0.4095,-57.654,19.683,8.315,2.971,-9999,-9999
3,7.5,5.0585,-0.0485,4.857,26.803,-65.107,0.4365,-50.475,19.946,8.535,3.2115,-9999,-9999
3,8.5,-7.335,-0.28,-7.9405,60.258,-20.404,0.518,3.698,21.246,9.49,3.4365,-9999,-9999
