DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.189,-9999,0.2298168,0.5736442,-12.06023,0.565,-11.959,-10.83374,0.421535978860771,3.240656,22.95,-0.9615776
1,1.5,0.1781809,-9999,0.3184796,0.1884198,-11.62607,0.5623784,-13.08595,-10.877,0.411478010381318,3.32,22.9,-1.0742735
1,2.5,0.262207,-9999,0.2688254,0.5336276,-12.10728,0.537,-12.676205,-10.992665,0.391580385233793,3.236,22.9,-1.21054
1,3.5,0.164,-9999,0.2500134,-0.027,-11.70508,0.548,-12.945925,-11.030835,0.392000097916979,3.207976,22.9,-1.1186455
1,4.5,0.3505014,-9999,0.41157745,-0.10634935,-10.73801,0.54089255,-11.8185,-11.25801,0.371415994617846,3.155636,22.9,-1.221987
1,5.5,0.326,-9999,0.27007555,0.1958905,-12.36523,0.5535,-13.457,-10.582665,0.366963252727661,3.2339055,22.9,-1.3300095
1,6.5,0.4440112,-9999,0.4365666,0.15038825,-11.91883,0.55,-11.563355,-10.496055,0.35891334000413,3.195513,22.9,-1.0499445
1,7.5,0.3454939,-9999,0.3821383,0.4679116,-10.22704,0.5118371,-9.214277,-10.789,0.338782733878111,3.181,22.9,0.4933019
1,8.5,0.22412695,-9999,0.2646751,0.9096689,-3.17099,0.57,7.368937,-10.80604,0.353025106347305,3.255,22.9,35.371745
1,9.5,-0.006538662,-9999,0.045193435,3.563,21.05827,0.6378877,45.6715,-10.193,0.408171133952809,3.2908575,22.9,97.399055
1,10.5,-0.17062435,-9999,-0.12814605,7.612645,49.03414,0.6895063,88.2415,-9.31211,0.486255101698628,3.347529,22.9,163.172
1,11.5,-0.169,-9999,-0.201149,9.479782,67.38161,0.6972173,117.1153,-8.3311105,0.555413299879053,3.356,22.9,202.443
1,12.5,-0.24067,-9999,-0.24254965,9.775976,67.53518,0.7224458,111.796,-7.823333,0.653767671120495,3.541185,22.9,191.7453
1,13.5,-0.1986239,-9999,-0.1745608,11.32059,56.57198,0.7105,90.24657,-7.461668,0.697612583493327,3.380347,22.9,152.80625
1,14.5,-0.07461263,-9999,-0.1016073,10.79582,36.72627,0.691,51.872,-7.509279,0.723072468274375,3.329,22.9,110.0546
1,15.5,0.0836511,-9999,-0.00451182465,5.603934,7.6289475,0.6350566,8.4340165,-7.691277,0.706599110803035,3.307,22.9,44.693035
1,16.5,0.1745478,-9999,0.1633729,2.766227,-12.50798,0.5915,-13.083515,-7.9196045,0.665303348608723,3.2035,22.9,1.0431455
1,17.5,0.2433492,-9999,0.3081287,2.332963,-13.819525,0.57897235,-14.60297,-8.262221,0.621785001874637,3.1174255,22.9,-1.4056165
1,18.5,0.242,-9999,0.31667955,2.007429,-14.837665,0.577,-14.399345,-8.472,0.583465676454728,3.314,22.9,-1.328045
1,19.5,0.1689814,-9999,0.2010299,1.115345,-15.71812,0.579599,-13.002875,-9.0670555,0.554800347485942,3.3694215,22.9,-1.1487835
1,20.5,0.249,-9999,0.2628365,0.7185765,-13.77532,0.573,-13.018635,-9.548,0.501079937426107,3.3249305,22.9,-1.2265535
1,21.5,0.303,-9999,0.2614919,0.6576018,-15.424835,0.5574957,-11.71225,-9.812168,0.48460800124573,3.205,22.9,-0.9757937
1,22.5,0.288,-9999,0.29612675,0.649658,-13.5624,0.57897515,-12.349555,-9.970165,0.45500440362692,3.3410075,22.9,-1.1283535
1,23.5,0.2525985,-9999,0.3008842,0.69907055,-13.942455,0.5475397,-12.8851,-10.531,0.435851754246315,3.244533,22.9,-1.338981
2,0.5,0.4135,-9999,0.3289301,0.2909644,-12.045735,0.51819145,-11.17373,-10.744545,0.464725473119192,3.235,22.4,-0.9091324
2,1.5,0.40440865,-9999,0.3669489,-0.00324887,-11.129,0.498,-9.8985375,-10.751335,0.468174071182412,3.183,22.4,-0.82227605
2,2.5,0.3935999,-9999,0.30550825,0.25290665,-10.26684,0.53260825,-9.70703,-10.8155,0.451433246761456,3.1220455,22.4,-0.79520315
2,3.5,0.29,-9999,0.3356557,0.1226957,-10.47148,0.5267252,-9.599,-10.988,0.442917481788798,3.061,22.4,-0.7198112
2,4.5,0.3585,-9999,0.3015758,0.12017875,-10.97384,0.538,-9.651,-11.243335,0.442987161668443,3.1135,22.4,-0.71395985
2,5.5,0.297,-9999,0.2996282,-0.13155215,-9.733423,0.5277477,-9.066,-11.031705,0.444432713048816,3.031,22.4,-0.75890275
2,6.5,0.4660093,-9999,0.3064047,-0.128,-10.999865,0.5248868,-9.6338035,-10.9406,0.413599536586222,3.081481,22.4,-0.87851335
2,7.5,0.395,-9999,0.4406705,0.17245965,-8.992408,0.5208816,-6.219627,-10.8945,0.398179962529408,3.135493,22.4,1.593586
2,8.5,0.1998802,-9999,0.1864159,0.5881761,2.6125195,0.5637718,13.841985,-10.921665,0.415875259036651,3.1565,22.4,36.81753
2,9.5,0.1125,-9999,0.03140289,3.345425,28.423795,0.6208961,54.15899,-10.38,0.458048819840319,3.113,22.4,92.218495
2,10.5,0.152,-9999,0.0451359,8.628852,59.74701,0.712,102.19715,-9.770167,0.496114220197368,3.389502,22.4,160.36045
2,11.5,0.1251202,-9999,-0.1724529,11.04882,77.00156,0.724,131.9455,-9.1355565,0.571645207050313,3.448366,22.4,192.39015
2,12.5,0.12233695,-9999,0.03415809,11.62105,78.47078,0.73092495,131.7897,-8.744389,0.671085740565395,3.457219,22.4,194.33715
