DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.6524,0.0379475,0.63744,-0.121,-13.424,0.496375,-18.934,-6.2125,0.592858940455467,2.8925,11.58,-0.63388
1,1.5,0.665225,0.0526275,0.63132,0.185,-13.7405,0.493665,-20.2125,-6.485,0.55615277772499,3.0081,11.4825,-0.59982
1,2.5,0.59056,0.0617815,0.57079,-0.056868,-13.019,0.486,-17.601,-6.85545,0.532907552903116,2.929,11.4825,-0.61508
1,3.5,0.607,0.0465125,0.60676,-0.119,-13.428,0.487,-17.233,-7.014,0.523017063022493,2.89815,11.48,-0.594
1,4.5,0.60149,0.046757,0.581105,-0.172,-11.993,0.476265,-18.571,-6.9968,0.536208746907772,2.874,11.4775,-0.65264
1,5.5,0.57936,0.049275,0.569,-0.069603,-11.728,0.45402,-19.082,-7.06005,0.503190345578363,2.7938,11.475,-0.621
1,6.5,0.62633,0.0763995,0.603245,-0.193,-12.098,0.4305,-17.088,-7.21155,0.510934312666792,2.7475,11.4725,-0.58
1,7.5,0.66457,0.0484005,0.607,-0.051,-11.701,0.41581,-17.294,-7.2315,0.481411914674887,2.7425,11.47,-0.638
1,8.5,0.677,0.0627485,0.654,-0.231,-11.359,0.41104,-11.713,-6.8,0.480828167223523,2.6558,11.465,5.41935
1,9.5,0.66927,-0.154045,0.56405,0.45506,-1.45245,0.452415,17.427,-6.75925,0.511289606977371,2.6415,11.465,52.8205
1,10.5,0.741,-0.23754,0.66308,1.682,21.292,0.532,62.842,-6.38425,0.611671240508308,2.641,11.4625,114.156
1,11.5,0.72751,-0.27069,0.632525,3.80275,47.376,0.612625,100.953,-5.455,0.781782479096078,2.8517,11.46,166.8705
1,12.5,0.72348,-0.2548,0.601,5.3115,67.11,0.64528,115.847,-5.04695,0.886503757723389,2.9927,11.4575,188.195
1,13.5,0.676435,-0.13853,0.569,5.5201,63.985,0.663,104.71,-4.7675,0.960918628863584,3.1375,11.455,176.143
1,14.5,0.794,-0.098493,0.655845,4.2706,49.151,0.67249,76.16,-4.6615,1.0440419821304,3.2947,11.45,136.6375
1,15.5,0.642955,-0.006521,0.63828,3.07145,26.304,0.66281,34.978,-4.813,0.980813283010593,3.1335,11.4475,81.9995
1,16.5,0.554,0.114835,0.55405,1.011,-0.11677,0.554,-2.9589,-5.0315,0.92475059738407,2.782,11.4425,26.532
1,17.5,0.59162,0.12154,0.53119,-0.030999,-11.414,0.481,-22.721,-5.3155,0.855096312207264,2.7054,11.4425,0.03151765
1,18.5,0.70228,0.13566,0.613,-0.0509025,-11.2975,0.4755,-21.236,-5.4905,0.792857413933835,2.6968,11.4375,-0.69886
1,19.5,0.695,0.12125,0.58529,-0.064984,-11.671,0.509,-21.7285,-5.57535,0.744607351569374,2.9152,11.4375,-0.70707
1,20.5,0.62415,0.12298,0.567,-0.246735,-10.478,0.524775,-18.956,-5.943,0.728196409883056,3.10285,11.4325,-0.6616
1,21.5,0.67717,0.14143,0.6591,-0.16,-12.86,0.53145,-18.479,-5.955,0.730131423911984,3.06,11.4325,-0.658895
1,22.5,0.67546,0.082498,0.60967,-0.080586,-13.793,0.532,-19.25,-6.1445,0.685986367499246,3.0188,11.4275,-0.669
1,23.5,0.66,0.09921,0.58357,-0.139,-12.8915,0.50139,-20.0965,-6.304,0.629696357958948,2.98575,11.58,-0.71
