DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,1.3253,0,1.3253,-0.21457,-11.9175,0.11177,-32.257,6.28605,0.80564,1.2075,26.012,0
1,1.5,1.6008,0,1.6008,-0.024674,-12.461,0.11288,-32.0075,5.9722,0.83137,1.2066,25.996,0
1,2.5,1.29235,0,1.29235,0.35763,-11.8585,0.115675,-28.845,5.868,0.802995,1.20835,26.012,0
1,3.5,1.3463,0,1.3463,0.19099,-12.05,0.114715,-33.603,5.635,0.851565,1.2457,25.9915,0
1,4.5,1.25495,0,1.25495,0.686195,-12.569,0.111905,-33.468,5.528,0.87549,1.2295,25.9545,0
1,5.5,1.2595,0,1.2595,0.76866,-12.45,0.11732,-35.373,5.3895,0.88508,1.2104,25.9475,0
1,6.5,1.27765,0,1.27765,0.5931,-12.781,0.111,-34.4,5.217,0.87064,1.2055,25.9225,0
1,7.5,1.0951,0,1.0951,1.93,-12.049,0.11393,-27.14,5.175,0.92045,1.1999,25.955,5.2943
1,8.5,-0.20577,0,-0.20577,13.891,2.2394,0.132,20.0775,6.53115,1.4395,1.1033,25.9975,84.709
1,9.5,-1.464,0,-1.464,35.413,27.239,0.146555,93.145,9.004,2.4392,1.00415,25.9385,206.67825
1,10.5,-2.2332,0,-2.2332,52.591,56.454,0.17288,158.2,10.474,3.37425,1.1765,25.937,291.05
1,11.5,-2.3217,0,-2.3217,57.333,82.2875,0.19511,210.2,11.163,3.9139,1.3597,25.92,368.675
1,12.5,-2.17235,0,-2.17235,58.1615,90.074,0.20827,207.495,11.697,4.32775,1.4951,25.874,358.135
1,13.5,-1.9502,0,-1.9502,52.393,79.1065,0.209465,172.54,12.3355,4.8377,1.55205,25.8545,338.01
1,14.5,-1.6463,0,-1.6463,41.4235,55.563,0.19365,95.2945,12.53,5.0016,1.4504,25.7695,253.565
1,15.5,-0.79428,0,-0.79428,24.079,17.894,0.17187,19.285,12.411,4.7954,1.4049,25.727,141.625
1,16.5,0.56419,0,0.56419,5.54425,-3.5436,0.10823,-36.504,11.408,3.86545,0.98143,25.853,23.995625
1,17.5,1.0994,0,1.0994,0.77712,-2.57275,0.081533,-44.442,9.385,2.37415,0.72215,25.8125,0
1,18.5,1.2566,0,1.2566,0.35831,-3.16755,0.080843,-42.21,8.09785,1.49705,0.91808,25.78,0
1,19.5,1.21225,0,1.21225,-0.480145,-6.1265,0.091079,-44.914,7.71,1.1839,1.0045,25.7075,0
1,20.5,1.4325,0,1.4325,-0.52766,-11.0345,0.10499,-40.2375,7.2444,1.02075,1.1024,25.842,0
1,21.5,1.2936,0,1.2936,-0.44621,-11.178,0.10697,-33.943,6.90515,0.88928,1.14255,25.8125,0
1,22.5,1.3324,0,1.3324,-0.32347,-12.3705,0.10927,-30.429,6.589,0.850905,1.1587,25.786,0
1,23.5,1.42565,0,1.42565,-0.191815,-10.614,0.110405,-30.794,6.545,0.84248,1.21585,26.291,0
2,0.5,1.8074,0,1.8074,0.073312,-14.017,0.115505,-35.661,6.5015,1.07225,1.198,24.938,0
2,1.5,1.6335,0,1.6335,0.115985,-13.6,0.11813,-38.62,6.39135,1.0054,1.22955,24.9255,0
2,2.5,1.7894,0,1.7894,0.47994,-14.5445,0.11793,-31.6575,6.1067,0.995975,1.2187,24.906,0
2,3.5,1.583,0,1.583,0.81671,-13.7865,0.11492,-31.22,5.917,1.03215,1.1947,24.908,0
2,4.5,1.5839,0,1.5839,1.0703,-12.2525,0.113315,-34.234,5.665,1.1356,1.2205,24.9095,0
2,5.5,1.6281,0,1.6281,0.911275,-12.551,0.108845,-36.938,5.4895,1.1124,1.20405,24.9145,0
2,6.5,1.584,0,1.584,1.1218,-13.437,0.10933,-38.84,5.372,1.164,1.23125,24.915,0.044732
2,7.5,1.1095,0,1.1095,2.30535,-11.397,0.11427,-23.188,5.475,1.12355,1.1549,24.915,8.6265
