DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,7.30435,0,7.30435,3.1634,-14.2264,0.18865,-9999,17.8707,0.6522,2.30345,-9999,0
1,1.5,6.6468,0,6.6468,2.067,-11.7676,0.1681,-9999,17.2472,0,2.169,-9999,0
1,2.5,7.17872,0,7.17872,0.1252,-12.0438,0.14737,-9999,16.268,0,2.03133,-9999,0
1,3.5,7.020885,0,7.020885,-0.330435,-11.2653,0.1492,-9999,15.69625,0,2.1139,-9999,0
1,4.5,6.63476,0,6.63476,-0.4629,-8.39059,0.1595,-9999,15.6532,0,2.03155,-9999,0
1,5.5,2.8262,0,2.8262,-0.5116,-10.1568,0.168276,-9999,15.8334,0,2.2141,-9999,0
1,6.5,0.4267,0,0.4267,7.10416,-5.44995,0.178409,-9999,15.72715,0,2.073815,-9999,0
1,7.5,-0.11495,0,-0.11495,40.70465,5.80535,0.268873,-9999,16.99465,0.160457,2.81286,-9999,4.05
1,8.5,-4.5431,0,-4.5431,90.997,29.2074,0.3354,-9999,18.5751,3.00425,3.7386,-9999,72.9
1,9.5,-6.491,0,-6.491,118.398,56.8594,0.344293,-9999,20.0898,3.95888,3.7931,-9999,145.8
1,10.5,-9.5509,0,-9.5509,159.1165,78.081,0.35705,-9999,21.3992,5.31131,4.00592,-9999,488.25
1,11.5,-10.21345,0,-10.21345,244.145,102.759,0.378402,-9999,22.5084,7.54765,4.08975,-9999,641.475
1,12.5,-10.5795,0,-10.5795,262.4795,105.5775,0.35305,-9999,23.6185,9.55125,4.00315,-9999,747.675
1,13.5,-9.82744,0,-9.82744,296.6585,102.255,0.391671,-9999,24.7133,10.946,3.944495,-9999,778.95
1,14.5,-9.23305,0,-9.23305,315.576,92.5329,0.399285,-9999,25.3518,12.9698,4.2147,-9999,789.525
1,15.5,-7.8616,0,-7.8616,262.745,76.36625,0.363741,-9999,25.43185,13.9698,4.196175,-9999,771.075
1,16.5,-5.2192,0,-5.2192,235.45,47.5598,0.3765,-9999,25.52175,14.36505,4.073075,-9999,706.275
1,17.5,-3.362635,0,-3.362635,169.848,21.3505,0.358117,-9999,25.51135,14.0696,3.8265,-9999,517.725
1,18.5,-0.337577,0,-0.337577,93.6861,-6.31709,0.3040865,-9999,25.30515,13.4538,3.0944,-9999,290.25
1,19.5,2.10891,0,2.10891,21.1876,-11.66215,0.1547975,-9999,23.83795,10.1046,2.30632,-9999,139.95
1,20.5,6.9796,0,6.9796,1.49955,-11.08115,0.12025,-9999,22.06845,6.12375,1.78175,-9999,9
1,21.5,7.96437,0,7.96437,1.7745,-12.7981,0.1284,-9999,20.8994,4.1849,1.8109,-9999,0
1,22.5,7.1634,0,7.1634,0.94375,-11.8415,0.1458,-9999,19.48285,2.6687,2.0116,-9999,0
1,23.5,6.76729,0,6.76729,-0.0493,-10.7165,0.1467,-9999,18.7518,1.8844,1.96935,-9999,0
2,0.5,0.04825,0,0.04825,-0.1207,-15.3788,0.1446,-9999,19.1636,0.828,2.12405,-9999,0
2,1.5,5.2661,0,5.2661,-0.684,-14.6877,0.171323,-9999,18.7286,0.0205,2.33602,-9999,0
2,2.5,5.0756,0,5.0756,-0.4196,-11.4565,0.1823,-9999,18.4492,0,2.33522,-9999,0
2,3.5,4.93395,0,4.93395,-0.2663,-8.89435,0.177165,-9999,18.00745,0,2.293975,-9999,0
2,4.5,5.307,0,5.307,-0.2318,-10.3469,0.1674,-9999,17.5546,0,2.10461,-9999,0
2,5.5,5.1229,0,5.1229,-0.4658975,-9.1339,0.15875,-9999,16.8124,0,2.054825,-9999,0
2,6.5,3.6228,0,3.6228,0.2364,-8.494755,0.1742755,-9999,17.13595,0,2.18487,-9999,0
2,7.5,0.0277,0,0.0277,21.62255,6.0855,0.247,-9999,17.6946,0,2.71781,-9999,6.3
2,8.5,-3.901,0,-3.901,71.4699,37.19355,0.290286,-9999,19.5663,2.010765,3.25909,-9999,93.6
2,9.5,-10.11125,0,-10.11125,132.4415,74.6002,0.35565,-9999,20.84955,4.5741,3.64245,-9999,259.425
2,10.5,-13.9332,0,-13.9332,194.975,96.7474,0.3707,-9999,22.4578,6.8779,3.89414,-9999,540
2,11.5,-14.8213,0,-14.8213,234.479,113.101,0.3795405,-9999,23.6964,8.71752,3.81025,-9999,679.5
2,12.5,-14.7806,0,-14.7806,268.2745,118.571,0.3767155,-9999,25.1139,9.801005,3.88815,-9999,736.65
