DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,5.045,0.758607786132336,5.80360778613234,1.505,-4.18,0.12,-20.825,23.4,1.07261195567271,1.375,-9999,-0.753745
1,1.5,8.615,0.558870351602839,9.17387035160284,0.095,-4.075,0.115,-20.34,23.265,1.04574368639777,1.32,-9999,-0.66143
1,2.5,7.22,0.506307563373919,7.72630756337392,0.22,-2.3,0.115,-18.4,23.2,1.01668474120731,1.265,-9999,-0.55217
1,3.5,7.325,0.927425321961104,8.2524253219611,0.225,-2.415,0.1,-19.655,22.905,1.00668404436342,1.205,-9999,-0.653405
1,4.5,8.01,0.807104495416238,8.81710449541624,0.15,-2.11,0.1,-17.53,22.735,0.943965987127159,1.25,-9999,-0.56686
1,5.5,7.84,1.51495113049073,9.35495113049073,-0.25,-2.245,0.1,-12.975,22.86,0.922444824514965,1.305,-9999,-0.0535
1,6.5,5.99,-0.762306357596369,5.22769364240363,2.71,-1.185,0.1,25.68,23.26,0.884325308331743,1.09,-9999,36.19546
1,7.5,3.42,-5.5068021187922,-2.0868021187922,65.38,5.935,0.22,151.31,24.515,1.18091383330905,1.125,-9999,195.8261
1,8.5,-8.09,-3.63570759981501,-11.725707599815,182.21,25.545,0.295,316.665,26.835,4.79711886135228,1.645,-9999,371.0547
1,9.5,-11.875,-1.78880413857346,-13.6638041385735,270.145,62.46,0.32,508.215,28.88,9.85531949387819,2,-9999,476.3017
1,10.5,-14.19,-0.82045929353743,-15.0104592935374,326.82,76.55,0.34,611.94,30.71,14.0020975261246,1.995,-9999,494.9606
1,11.5,-14.52,-0.536297442443023,-15.056297442443,384.81,71.77,0.38,635.62,31.425,16.2778919848782,1.91,-9999,509.30705
1,12.5,-14.36,-0.2592492405827,-14.6192492405827,386.65,82,0.4,657.38,31.82,17.2584976594834,2.015,-9999,597.9377
1,13.5,-12.55,-0.155680980469286,-12.7056809804693,399.1,67.54,0.365,619.24,32.065,17.5826540661754,2.075,-9999,544.53025
1,14.5,-10.015,-0.044720187279605,-10.0597201872796,343.38,46.69,0.33,522.325,32.6,19.8442074705531,2.1,-9999,332.92445
1,15.5,-8.35,0.00109597561378857,-8.34890402438621,282.31,28.31,0.315,331.44,32.735,18.9278927514482,1.8,-9999,271.74765
1,16.5,-4.82,0.151932014620572,-4.66806798537943,156.72,3.885,0.29,179.45,31.32,14.5650376680844,1.615,-9999,184.21635
1,17.5,-1.47,0.372660490999443,-1.09733950900056,78.725,-4.1,0.24,50.1,28.82,9.45201118597662,1.56,-9999,90.554505
1,18.5,4.96,1.14869683540339,6.10869683540339,15.81,-3.5,0.16,-8.43,27.29,5.45028095274393,1.505,-9999,11.04473
1,19.5,4.11,1.6722663510229,5.7822663510229,5.25,-4.695,0.15,-24.46,25.275,2.78869445783318,1.685,-9999,-0.657905
1,20.5,6.75,1.32087222982064,8.07087222982064,5.89,-6.38,0.16,-20.38,24.5,1.79743164398811,1.585,-9999,-0.81687
1,21.5,6.67,0.874337894272391,7.54433789427239,5.27,-5.145,0.14,-19.905,24,1.44929867696483,1.535,-9999,-0.712275
1,22.5,6.36,1.52598780222898,7.88598780222898,2.68,-4.73,0.13,-19.77,23.76,1.21393944396144,1.515,-9999,-0.73393
1,23.5,6.22,1.20605373263182,7.42605373263182,1.57,-4.46,0.145,-20.585,23.6,1.09843806380346,1.47,-9999,-0.674935
2,0.5,6.425,0.443179045670468,6.86817904567047,2.74,-2.805,0.11,-18.49,23.215,1.04084632060769,1.195,-9999,-0.73097
2,1.5,5.65,0.741516219938916,6.39151621993892,2.45,-3.435,0.11,-18.46,23.1,0.99560632619071,1.27,-9999,-0.83347
2,2.5,5.09,0.839868214106126,5.92986821410613,1.6,-2.425,0.1,-18.185,23,0.959525596386998,1.17,-9999,-0.70084
2,3.5,4.84,1.12566918462669,5.96566918462669,1.795,-2.535,0.105,-19.29,22.9,0.962688335475336,1.095,-9999,-0.75166
2,4.5,5.06,1.2062662351043,6.2662662351043,0.875,-2.16,0.12,-18.305,22.725,0.939746296268537,1.26,-9999,-0.85523
2,5.5,5.58,0.757338325273422,6.33733832527342,0.355,-3.51,0.13,-11.9,22.7,0.900036843936677,1.305,-9999,-0.34152
2,6.5,4.585,-1.00356951689357,3.58143048310643,4.94,-2.69,0.15,15.63,22.8,0.873892910083583,1.25,-9999,29.89772
2,7.5,0.34,-4.55147816654449,-4.21147816654449,68.66,2.595,0.23,121.325,24,0.956630797324561,1.43,-9999,203.7025
2,8.5,-7.56,-2.92967894592797,-10.489678945928,168.97,30.345,0.31,291.945,25.775,3.69603451509376,1.785,-9999,490.40915
2,9.5,-12.95,-1.61364994350472,-14.5636499435047,248.41,48.49,0.35,447.115,28,7.71658995414815,1.86,-9999,557.47425
2,10.5,-15,-0.555523603640792,-15.5555236036408,307.38,78.5,0.34,537.58,29.1,10.621443807509,1.88,-9999,572.69265
2,11.5,-16.41,-0.334303073085471,-16.7443030730855,372.605,87.19,0.38,651.15,30.23,13.0422136462083,1.99,-9999,807.6059
2,12.5,-14.67,-0.293181661879321,-14.9631816618793,399.515,93.855,0.39,666.66,30.95,15.5582995352326,2.06,-9999,806.80125
2,13.5,-13.04,-0.0378760647065764,-13.0778760647066,378.06,79.37,0.365,565.79,31.15,15.8552974154397,2.175,-9999,724.6537
2,14.5,-11.82,-0.0745117872439479,-11.8945117872439,306.695,52.51,0.375,502.44,31.13,15.324574744789,2.11,-9999,695.8663
2,15.5,-10.035,-0.174078626528521,-10.2090786265285,259.49,40.825,0.37,373.87,31.09,14.7767105568874,2.14,-9999,486.92325
2,16.5,-7.53,-0.216180330080076,-7.74618033008008,199.37,6.84,0.33,186.59,30.26,12.1000054488368,1.985,-9999,291.82145
2,17.5,-1.585,-0.061864833255427,-1.64686483325543,94.135,-3.47,0.25,57.87,28.365,7.85668131247136,1.81,-9999,138.7266
2,18.5,1.55,0.789548628938652,2.33954862893865,21.285,-6.04,0.17,-12.64,26.44,4.03839960282206,1.63,-9999,19.48438
2,19.5,3.19,1.92616878889859,5.11616878889859,8.045,-4.78,0.13,-25.095,24.86,2.15421288147525,1.53,-9999,-1.0108
2,20.5,5.27,1.10981288901106,6.37981288901106,4.79,-4.815,0.125,-22.92,23.95,1.4530866700422,1.405,-9999,-1.027215
2,21.5,4.675,1.73178021309679,6.40678021309679,2.97,-4.15,0.13,-18.93,23.645,1.23696286937667,1.42,-9999,-0.964175
2,22.5,4.89,1.19636584241718,6.08636584241718,3.785,-3.795,0.115,-18.255,23.4,1.11118392414992,1.325,-9999,-0.848475
2,23.5,4.67,0.766691559943587,5.43669155994359,2.82,-3.955,0.14,-17.665,23.3,1.0720877073912,1.405,-9999,-0.548685
3,0.5,5.86,1.03508255054366,6.89508255054366,2.32,-2.255,0.1,-24.095,23.75,1.05451816162323,1.18,-9999,-1.027305
3,1.5,5.78,0.717248788342267,6.49724878834227,1.845,-3.125,0.11,-21.895,23.7,1.02901768941428,1.19,-9999,-1.094625
3,2.5,6.81,0.564119494259035,7.37411949425903,1.895,-2.425,0.1,-23.66,23.7,1.00287991096314,1.18,-9999,-1.213255
3,3.5,5.77,0.743437879846927,6.51343787984693,0.885,-1.645,0.09,-22.275,23.595,0.961601613979556,1.03,-9999,-1.035705
3,4.5,5.56,0.429606141743042,5.98960614174304,1.29,-1.72,0.09,-22.9,23.52,0.939980171199188,1.075,-9999,-1.143785
3,5.5,4.14,0.36145374681247,4.50145374681247,2,-2.065,0.1,-20.58,23.42,0.928390220311881,1.155,-9999,-0.87852
3,6.5,3.115,-0.532108280158716,2.58289171984128,4.49,-2.25,0.11,4.355,23.5,0.888279442818016,1.035,-9999,28.944565
