DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.1537465,0,0.1537465,-0.049275,-16.285315,0.249476,-9999,-23.815,0.235045,4.768,29.84999975,0
1,1.5,0.134971,0,0.134971,-0.039458,-16.718052,0.266772,-9999,-23.96,0.21966,4.7055,29.62499975,0
1,2.5,0.129871,0,0.129871,-0.03527,-15.959293,0.251527,-9999,-24.28,0.215445,4.502,32.5750005,0
1,3.5,0.1722415,0,0.1722415,-0.0221125,-16.508303,0.2737165,-9999,-24.3249995,0.209325,4.3335,32.3249995,0
1,4.5,0.14087,0,0.14087,-0.060098,-15.809357,0.272395,-9999,-24.47,0.20789,4.434,32.07499975,0
1,5.5,0.167309,0,0.167309,-0.040656,-20.472375,0.270914,-9999,-24.4250005,0.20944,4.3585,31.8249995,0
1,6.5,0.131314,0,0.131314,-0.071672,-17.289803,0.2533875,-9999,-24.6850005,0.211185,4.1895,31.649999,0
1,7.5,0.1008545,0,0.1008545,-0.020648,-13.5846855,0.2740235,-9999,-25.1350005,0.217345,4.222,31.37499975,0
1,8.5,0.088134,0,0.088134,0.001791,-11.702129,0.301251,-9999,-25.2600005,0.21699,4.0755,31.125,1.0827095
1,9.5,0.106474,0,0.106474,0.047227,-8.691887,0.3307405,-9999,-24.7350005,0.225185,4.274,30.1000005,39.5140015
1,10.5,0.074295,0,0.074295,0.285128,-2.933563,0.322831,-9999,-23.4750005,0.238495,4.839,30.65000025,127.102745
1,11.5,0.072734,0,0.072734,0.280257,-0.2279225,0.29257,-9999,-22.309999,0.26639,5.1465,29.624999,190.3270035
1,12.5,0.0618215,0,0.0618215,0.159744,-3.6611305,0.3178635,-9999,-21.2100005,0.30363,5.3045,30.1249995,200.7475665
1,13.5,0.0928565,0,0.0928565,0.2474495,-7.266488,0.2967,-9999,-20.7750005,0.3337,5.3365,29.89999925,206.915787
1,14.5,0.116894,0,0.116894,0.07865,-8.4415005,0.265048,-9999,-20.545,0.34975,5.5925,29.57500025,143.4578705
1,15.5,0.170364,0,0.170364,-0.04827,-9.476166,0.282598,-9999,-20.5299995,0.34753,5.545,26.4249995,69.4952965
1,16.5,0.115365,0,0.115365,-0.043422,-13.3371775,0.289718,-9999,-20.5100005,0.321795,4.825,26.19999975,8.4392485
1,17.5,0.098347,0,0.098347,-0.005672,-11.4182135,0.2900115,-9999,-21.0749995,0.285925,4.4,23.80000025,0
1,18.5,0.133582,0,0.133582,-0.043331,-9.867693,0.280739,-9999,-21.7300005,0.278025,5.0465,23.62500025,0
1,19.5,0.199975,0,0.199975,-0.038124,-16.1889485,0.276414,-9999,-22.115001,0.27022,4.82,23.45000025,0
1,20.5,0.1558815,0,0.1558815,-0.068196,-15.896328,0.248336,-9999,-22.735,0.26484,4.779,23.275,0
1,21.5,0.159543,0,0.159543,-0.063078,-14.8835035,0.264767,-9999,-22.8949995,0.255225,4.6745,23.10000025,0
1,22.5,0.1997615,0,0.1997615,-0.068651,-15.293704,0.2891035,-9999,-22.87,0.24413,4.796,22.9000005,0
1,23.5,0.115816,0,0.115816,-0.075349,-15.5363035,0.273561,-9999,-23.6849995,0.25332,4.8455,23.075,0
2,0.5,0.146288,0,0.146288,-0.0307815,-16.183817,0.237059,-9999,-25.04,0.193085,4.2835,7,0
2,1.5,0.117301,0,0.117301,-0.003565,-11.901878,0.2272285,-9999,-24.805,0.19069,4.436,6.95,0
2,2.5,0.157311,0,0.157311,-0.025108,-14.638646,0.2551085,-9999,-24.91,0.187215,4.622,6.975,0
2,3.5,0.14569,0,0.14569,-0.002397,-13.842431,0.269724,-9999,-24.72,0.199015,4.373,6.975,0
2,4.5,0.101003,0,0.101003,-0.005937,-14.694481,0.26367,-9999,-24.455,0.1895,4.119,6.925,0
2,5.5,0.078832,0,0.078832,-0.0269895,-16.380384,0.275802,-9999,-24.21,0.19021,4.4895,6.925,0
2,6.5,0.0980905,0,0.0980905,-0.032474,-18.594759,0.2833865,-9999,-24.384999,0.19292,4.1285,6.9,0
2,7.5,0.0943525,0,0.0943525,-0.009432,-18.146517,0.274539,-9999,-24.9400005,0.192065,4.0125,6.9,0
2,8.5,0.117672,0,0.117672,-0.0893355,-16.564924,0.273874,-9999,-24.505,0.19882,4.0175,6.9,3.087849
2,9.5,0.189619,0,0.189619,0.021789,-9.6307695,0.271875,-9999,-24.005,0.20177,4.501,6.925,58.1541785
2,10.5,0.0858575,0,0.0858575,0.206171,-4.0220255,0.289658,-9999,-22.335,0.224205,4.8975,6.875,152.1494675
2,11.5,0.071311,0,0.071311,0.411649,-0.606056,0.300551,-9999,-21.785001,0.26813,4.986,6.875,236.1681215
2,12.5,0.038676,0,0.038676,0.497226,-0.025816,0.304244,-9999,-21.75,0.30778,5.3295,6.875,275.7008055
2,13.5,0.076541,0,0.076541,0.474372,-1.993863,0.293303,-9999,-21.1050005,0.324735,5.472,6.9,277.1493985
2,14.5,0.129512,0,0.129512,0.113699,-5.758916,0.262945,-9999,-21.0550005,0.36355,5.2665,6.9,220.8877415
2,15.5,0.121308,0,0.121308,0.013204,-8.80115,0.2173125,-9999,-21.0649995,0.35713,5.458,6.875,132.38311
2,16.5,0.07471,0,0.07471,-0.031573,-12.519505,0.189463,-9999,-21.405001,0.33181,4.672,6.875,30.9158725
2,17.5,0.072578,0,0.072578,-0.090481,-11.4711535,0.2003015,-9999,-22.63,0.281025,3.9305,6.875,0
2,18.5,0.081518,0,0.081518,-0.02876,-10.5307845,0.1911385,-9999,-23.6849995,0.25917,3.831,6.8,0
2,19.5,0.077997,0,0.077997,-0.0154765,-12.628256,0.225237,-9999,-23.8500005,0.249025,4.5425,6.825,0
