DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.521,0.011,0.409,0.554,-5.334,0.438,-12.7335,-11.9225,0.27,3.251,-9999,0
1,1.5,0.47,-0.007,0.3305,0.347,-4.548,0.382,-11.447,-11.992,0.27,3.1925,-9999,0
1,2.5,0.41,0.026,0.287,0.379,-4.779,0.376,-12.989,-11.8815,0.27,3.2265,41.389,0
1,3.5,0.495,0.092,0.441,0.562,-4.5005,0.3745,-13.905,-11.971,0.26,3.161,-9999,0
1,4.5,0.421,-0.0125,0.35,0.25,-4.454,0.378,-11.598,-12.2535,0.26,3.1155,-9999,0
1,5.5,0.4675,0.0925,0.426,0.306,-3.85,0.356,-11.856,-12.5,0.26,3.1,-9999,0
1,6.5,0.472,0.0415,0.394,0.2455,-3.791,0.337,-11.958,-12.8365,0.25,3.029,41.383,0
1,7.5,0.469,0.044,0.3095,0.3695,-4.4795,0.3175,-11.581,-13.592,0.25,3.0365,-9999,0
1,8.5,0.3935,0.072,0.313,0.212,-3.7065,0.297,-6.6585,-14.099,0.25,2.898,-9999,5.9265
1,9.5,0.6015,-0.0535,0.422,1.172,0.162,0.384,23.281,-14.375,0.25,2.792,-9999,53.531
1,10.5,0.649,-0.2045,0.389,5.41,26.15,0.4615,76.0825,-13.9705,0.265,2.851,41.299,118.241
1,11.5,0.594,-0.1825,0.387,9.8715,54.128,0.498,111.256,-13.551,0.31,2.8565,-9999,157.2675
1,12.5,0.496,-0.149,0.3355,11.2665,61.4805,0.492,122.856,-12.985,0.36,3.0205,-9999,183.758
1,13.5,0.449,-0.066,0.341,13.916,57.364,0.511,111.597,-12.0715,0.41,3.0615,-9999,165.5985
1,14.5,0.466,-0.048,0.362,11.863,41.318,0.513,73.354,-11.143,0.405,3.1335,41.335,122.386
1,15.5,0.446,-0.002,0.384,7.9065,14.5185,0.5,22.373,-10.7515,0.445,3.301,-9999,65.2675
1,16.5,0.457,0.063,0.399,2.48,-2.121,0.4425,-10.888,-10.979,0.42,3.111,-9999,10.202
1,17.5,0.551,0.0975,0.426,0.739,-6.335,0.3405,-21.855,-11.3045,0.37,3.1265,-9999,0
1,18.5,0.522,0.036,0.333,0.55,-5.049,0.365,-17.28,-11.794,0.34,3.2915,41.356,0
1,19.5,0.459,0.104,0.3865,0.73,-6.32,0.4,-18.092,-11.9565,0.33,3.37,-9999,0
1,20.5,0.501,0.059,0.483,0.6135,-5.692,0.388,-17.946,-12.155,0.31,3.421,-9999,0
1,21.5,0.459,0.0395,0.387,0.63,-6.008,0.4105,-17.275,-12.268,0.29,3.467,-9999,0
1,22.5,0.423,0.095,0.411,0.3795,-5.5305,0.412,-16.271,-12.28,0.285,3.447,41.228,0
1,23.5,0.4445,0.0575,0.442,0.422,-5.673,0.4325,-15.781,-12.3695,0.28,3.341,-9999,0
2,0.5,0.481,0.035,0.304,0.096,-8.2855,0.3005,-38.407,-16.029,0.31,3.3575,-9999,0
2,1.5,0.4615,0.049,0.374,0.03,-8.022,0.2725,-40.4905,-16.581,0.29,3.2815,-9999,0
2,2.5,0.433,0.0695,0.333,0.047,-7.039,0.264,-39.815,-16.9325,0.27,3.251,39.5245,0
2,3.5,0.46,0.1265,0.375,0.0105,-6.108,0.27,-36.596,-17.1435,0.26,3.2115,-9999,0
2,4.5,0.5325,-0.027,0.286,0.027,-6.261,0.262,-29.736,-17.399,0.25,3.2375,-9999,0
2,5.5,0.407,0.0685,0.306,0.008,-6.266,0.243,-27.876,-17.9535,0.24,3.22,-9999,0
2,6.5,0.48,-0.0115,0.299,0.005,-6.516,0.2765,-17.214,-17.952,0.25,3.252,39.537,0
2,7.5,0.4525,0.044,0.345,0.008,-7.76,0.277,-21.8575,-17.6015,0.25,3.311,-9999,0
2,8.5,0.48,-0.0475,0.2805,0.077,-7.472,0.31,-5.803,-17.462,0.25,3.123,-9999,16.9485
2,9.5,0.59,-0.0925,0.425,1.7225,4.158,0.385,43.8825,-17.17,0.26,2.868,-9999,91.501
2,10.5,0.599,-0.1585,0.4025,5.605,34.0675,0.471,118.1925,-16.6515,0.29,2.944,39.4585,182.449
2,11.5,0.48,-0.101,0.342,9.92,70.17,0.514,160.777,-15.518,0.37,3.172,-9999,239.744
2,12.5,0.468,-0.123,0.33,12.339,87.211,0.524,193.154,-14.677,0.435,3.227,-9999,278.077
2,13.5,0.429,-0.031,0.336,14.4005,84.101,0.5315,152.091,-14.096,0.49,3.2655,-9999,225.993
2,14.5,0.483,-0.045,0.404,13.5015,66.2695,0.535,113.2335,-13.641,0.53,3.344,39.464,190.012
2,15.5,0.4055,0.014,0.374,9.775,36.207,0.4865,49.665,-13.097,0.53,3.372,-9999,107.3625
2,16.5,0.39,0.0355,0.32,4.5595,3.158,0.445,-1.8905,-13.199,0.5,3.2545,-9999,36.327
2,17.5,0.477,0.144,0.3,0.736,-6.423,0.3105,-44.893,-13.655,0.465,3.118,-9999,0
2,18.5,0.517,0.1245,0.325,0.331,-8.139,0.289,-40.0565,-14.2825,0.42,3.211,39.4555,0
2,19.5,0.544,0.075,0.358,0.1825,-8.44,0.3145,-36.639,-14.6035,0.4,3.3525,-9999,0
2,20.5,0.489,0.0675,0.3155,0.101,-9.0375,0.332,-30.3295,-14.7705,0.365,3.3655,-9999,0
2,21.5,0.528,0.041,0.345,0.1535,-8.523,0.31,-34.0765,-15.416,0.34,3.3465,-9999,0
2,22.5,0.46,0.056,0.346,0.137,-8.751,0.308,-32.7675,-15.563,0.315,3.385,39.452,0
2,23.5,0.497,0.018,0.2925,0.1435,-7.897,0.312,-33.492,-15.859,0.31,3.3455,-9999,0
3,0.5,0.469,0.033,0.3305,0.141,-6.313,0.301,-27.89,-14.9905,0.35,3.241,-9999,0
3,1.5,0.419,0.024,0.2995,0.1555,-5.384,0.295,-30.219,-15.2785,0.33,3.1425,-9999,0
3,2.5,0.42,0.042,0.297,0.06,-6.7355,0.29,-34.275,-15.378,0.31,3.1145,37.907,0
3,3.5,0.462,0.093,0.347,0.048,-6.899,0.2675,-32.572,-15.959,0.29,3.126,-9999,0
3,4.5,0.476,0.0535,0.299,0.021,-6.68,0.259,-26.5805,-16.284,0.28,3.108,-9999,0
3,5.5,0.497,0.1175,0.365,0.064,-5.9565,0.271,-26.1665,-16.391,0.28,3.2075,-9999,0
3,6.5,0.46,0.028,0.3205,0.0415,-5.783,0.271,-25.6885,-16.74,0.26,3.126,37.9045,0
3,7.5,0.518,0.071,0.3045,0.0935,-6.9075,0.262,-20.536,-17.007,0.26,3.04,-9999,0
3,8.5,0.494,0.0125,0.33,0.1515,-4.2215,0.308,6.5055,-17.482,0.25,2.935,-9999,36.5355
3,9.5,0.52,-0.1975,0.394,2.5845,13.6145,0.399,71.0615,-16.475,0.28,2.7665,-9999,118.9375
3,10.5,0.541,-0.248,0.294,8.349,64.732,0.49,154.4765,-15.523,0.36,2.8765,37.908,224.461
3,11.5,0.53,-0.133,0.3495,13.179,98.507,0.5325,207.7965,-13.874,0.48,3.07,-9999,289.6895
3,12.5,0.428,-0.1185,0.35,16.446,129.5635,0.578,240.564,-12.2425,0.58,3.275,-9999,316.637
3,13.5,0.494,-0.085,0.372,18.0225,115.881,0.587,215.577,-11.1835,0.68,3.45,-9999,300.27
3,14.5,0.432,-0.018,0.348,17.555,98.87,0.575,173.6635,-10.2445,0.775,3.5395,37.903,258.343
3,15.5,0.4415,0.0355,0.415,14.462,60.992,0.563,95.6525,-9.7945,0.84,3.565,-9999,169.498
3,16.5,0.483,0.05,0.354,7.423,13.518,0.497,13.9195,-9.835,0.83,3.353,-9999,68.3315
3,17.5,0.396,0.114,0.3345,1.945,-4.552,0.369,-31.949,-10.6475,0.73,3.0965,-9999,4.779
3,18.5,0.471,0.0815,0.33,0.561,-7.227,0.3125,-36.7935,-11.445,0.625,3.2185,37.905,0
3,19.5,0.512,0.1125,0.317,0.2465,-8.994,0.319,-40.939,-11.7625,0.565,3.3505,-9999,0
3,20.5,0.4955,0.0655,0.331,0.1545,-8.366,0.3135,-37.208,-12.6895,0.5,3.3275,-9999,0
3,21.5,0.45,0.056,0.3095,0.085,-8.89,0.343,-39.203,-13.3285,0.44,3.449,-9999,0
3,22.5,0.477,0.0745,0.372,0.17,-7.95,0.3195,-38.0555,-13.6935,0.415,3.3575,37.859,0
3,23.5,0.4975,0.052,0.317,0.112,-6.974,0.323,-37.068,-14.322,0.38,3.341,-9999,0
4,0.5,0.518,0.051,0.331,0.119,-7.599,0.31,-41.8065,-12.2085,0.49,3.2285,-9999,0
4,1.5,0.458,0.087,0.37,0.078,-6.332,0.271,-42.2495,-12.7305,0.45,3.2395,-9999,0
4,2.5,0.537,0.0695,0.346,0.0545,-5.3575,0.259,-38.147,-13.2835,0.4,3.256,37.119,0
4,3.5,0.5195,0.1,0.372,0.0485,-4.433,0.265,-45.2865,-13.757,0.36,3.2405,-9999,0
4,4.5,0.52,0.0565,0.37,0.025,-4.365,0.235,-42.4255,-14.136,0.33,3.183,-9999,0
