DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.13531,-0.000535,0.11705,1.14533,-21.6745,0.0755,-9999,-21.1555,1.58705,0.478315,-9999,-0.5593845
1,1.5,0.13531,0.01667,0.08541,0.59145,-7.0843,0.04485,-9999,-20.627,0.786735,0.457145,-9999,-0.41463145
1,2.5,0.150369,0.064055,0.10543,0.180645,-0.2623,0.0352,-9999,-20.0945,0.567925,0.3897885,-9999,-0.29604975
1,3.5,0.165428,0.0082,0.167845,-0.07078,-0.21395,0.02425,-9999,-19.623,0.515965,0.48804,-9999,-0.13148795
1,4.5,0.180487,0.00249069,0.16574,0.2006,-12.38675,0.03945,-9999,-19.393,0.79345,0.51557,-9999,-0.4031428
1,5.5,0.195546,0.0274,0.013295,0.139275,-3.39085,0.03075,-9999,-19.292,0.751145,0.372205,-9999,-0.05085245
1,6.5,0.210605,0.0127,0.018579,0.33402,-11.6768,0.07395,-9999,-19.111,0.93221,0.568885,-9999,-0.26935845
1,7.5,0.225664,0.02415,0.023863,0.04935,-10.70805,0.05065,-9999,-19.7635,1.08325,0.65623,-9999,-0.3114627
1,8.5,0.240723,0.009275,0.029147,0.17816,-14.7667,0.0519,-9999,-19.9595,1.07705,0.717135,-9999,-0.32628845
1,9.5,0.255782,0.007545,0.034431,0.302005,-11.06575,0.06165,-9999,-19.5465,1.15035,0.60805,-9999,-0.28187275
1,10.5,0.270841,0.02675,0.039715,-0.04185,-13.468,0.07675,-9999,-19.6735,1.12295,0.812065,-9999,4.9431125
1,11.5,0.2859,-0.007855,0.24749,0.326805,-16.3395,0.097845,-9999,-21.42008,1.24405,0.4783415,-9999,38.26926
1,12.5,0.0223,-0.02365,0.134065,0.138665,-13.70705,0.09399,-9999,-21.018,1.55055,0.889622,-9999,48.096
1,13.5,0.0846,0.002255,0.14028,0.24301,-8.04385,0.0684,-9999,-20.806,2.04105,1.1161115,-9999,56.5935
