DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,4.5779278085,0.0355,4.6134278085,11.21600075,-40.5517517,0.267101717,-42.492017,24.7983335,10.975789,2.720349079,19.4125,-10.505415
1,1.5,4.788180704,0.0623820145,4.8505627185,9.4927225865,-35.75821124,0.275646305,-41.196959,24.5733666,10.01675,2.438534411,19.4625,-10.6155
1,2.5,5.331309616,0.0157213325,5.3470309485,16.35734835,-36.031914575,0.254371905,-40.71,24.3893165,10.0895,2.6592156265,19.5,-10.47275
1,3.5,5.4034818985,0.0474,5.4508818985,19.579117775,-39.34812662,0.2985190055,-41.2996335,24.326,10.19185,2.3654776405,19.5375,-10.314085
1,4.5,5.314381736,0.043,5.357381736,16.87657877,-44.62105026,0.2549302205,-40.1523515,24.205,10.222841,2.405680978,19.5875,-10.39558
1,5.5,4.771814206,0.0474,4.819214206,19.947296035,-42.43112092,0.2554601285,-39.6226145,23.999430085,9.861941,2.4164528825,19.6,-10.36767
1,6.5,2.6782291445,-0.0792,2.5990291445,33.47180508,-29.026900805,0.310341702,-15.481741365,24.624835,10.75595,2.8188905935,19.5875,34.23458
1,7.5,-5.486146289,-0.2383623165,-5.7245086055,83.1934491,18.178063455,0.436225555,102.135235,26.825,13.829016,3.76196437,19.3875,242.33515
1,8.5,-12.47195338,-0.0719,-12.54385338,150.8796902,93.53709636,0.612391914,247.0872726,28.7985,17.761257575,4.829388819,19.25,461.22075
1,9.5,-14.619355505,-0.0547422245,-14.6740977295,204.14175715,152.6953363,0.686494228,378.17104495,30.2975,21.17191586,5.908756321,19.0875,656.8873
1,10.5,-17.00212604,-0.024754428,-17.026880468,257.8126862,204.9942245,0.717479736,479.28074415,30.919835,23.6861075,6.1305990445,18.925,794.02815
1,11.5,-17.817127015,-0.0170437485,-17.8341707635,247.52174375,241.2887451,0.7155448655,526.1790424,31.7435,25.76345,6.154165139,18.825,886.6853
1,12.5,-17.698463365,-0.077,-17.775463365,254.14714485,233.44721675,0.730561101,505.22259735,32.168165,26.14870131,5.969429226,18.825,859.70675
1,13.5,-16.25368388,-0.00573,-16.25941388,241.0178144,204.692625,0.728335783,451.11254295,32.1305,26.1226995,6.0856399295,18.8375,745.5824
1,14.5,-15.505848275,-0.0340529125,-15.5399011875,221.45872685,151.11954755,0.704480608,356.27781035,31.56,25.08111365,5.8464445025,18.875,584.3481
1,15.5,-9.5468755455,-0.0163,-9.5631755455,155.3290446,71.88765609,0.662864155,209.4833654,30.956,23.4684615,5.741803882,18.9625,357.52195
1,16.5,-2.831438239,0.05069133,-2.780746909,83.416004755,4.1041389015,0.593841054,33.88675363,29.9375,20.15515,5.080267275,19.0375,116.5194
1,17.5,4.2791371775,0.167924477,4.4470616545,34.55205986,-33.987203065,0.4444877595,-44.99615496,28.351,16.80198056,4.1047535225,19.125,3.24941665
1,18.5,4.9969744525,0.039489934,5.0364643865,25.5874358,-42.6530816,0.413761409,-48.95762667,27.1815,14.435220715,3.485105612,19.1625,-11.348665
1,19.5,4.8369055655,0.00587181,4.8427773755,24.142400515,-41.7645256,0.3759131405,-47.386472195,26.625,13.12755938,3.554610225,19.175,-11.41492
1,20.5,4.536321384,0.06575,4.602071384,21.12182971,-40.68691163,0.332313458,-45.327324,26.1015,12.602178095,3.076718248,19.225,-11.35175
1,21.5,4.6731556295,0.030099563,4.7032551925,18.55259558,-41.31057585,0.312692148,-44.713083565,25.8485,12.08499532,3.2378157035,19.225,-11.3115
1,22.5,4.789916892,-0.0049463795,4.7849705125,17.160625415,-39.70978824,0.3108510925,-45.061175,25.388948305,11.76039664,3.127022987,19.3,-10.942665
