DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.3722665465,-9999,-9999,0.49,-17.2,0.14870255,-9999,13.26,12.25,1.287931881,1.877,-9999
1,1.5,0.266730519,-9999,-9999,0.825,-17.1,0.1512046,-9999,12.32,11.7,1.257561122,1.877,-9999
1,2.5,0.229781567,-9999,-9999,0.88,-16.7,0.15127625,-9999,11.39,10.5,1.1562225025,1.878,-9999
1,3.5,0.2567844975,-9999,-9999,0.73,-19.7,0.16934205,-9999,11.155,10.25,1.100535726,1.8775,-9999
1,4.5,0.284266116,-9999,-9999,1.09,-30.4,0.197797,-9999,10.83,9.7007,1.4249015665,1.877,-9999
1,5.5,0.376198187,-9999,-9999,1.5,-29.75,0.1520961,-9999,10.2,8.7547,1.085180732,1.885,-9999
1,6.5,0.297063593,-9999,-9999,1.47,-25.85,0.152598,-9999,9.465,8.0617,0.95663242,1.885,-9999
1,7.5,0.261204473,-9999,-9999,0.48,-33.7,0.1451722,-9999,9.45,7.7418,0.866565192,1.885,-9999
1,8.5,0.332688423,-9999,-9999,2.5,-20.5,0.1285164,-9999,9.21,7.5649,0.9353850695,1.885,-9999
1,9.5,-0.223450942,-9999,-9999,6.62,6.22,0.1709735,-9999,11.385,8.81175,0.92463882,1.888,-9999
1,10.5,-1.21744699,-9999,-9999,11.6,74.6,0.3242983,-9999,15.51,13.5,1.515026711,1.896,-9999
1,11.5,-1.055881109,-9999,-9999,16.5,130,0.36511035,-9999,19.065,18.85,1.777082441,1.9015,-9999
1,12.5,-1.119143391,-9999,-9999,18.6,184.5,0.2980209,-9999,21.49,22.65,1.5460416015,1.9075,-9999
1,13.5,-1.051492571,-9999,-9999,20,204.5,0.29613005,-9999,22.795,24.95,1.8887002225,1.909,-9999
1,14.5,-1.051314656,-9999,-9999,17.1,201.5,0.32431795,-9999,23.675,26.3,2.1369019505,1.9105,-9999
1,15.5,-1.013748803,-9999,-9999,16.4,171,0.33409185,-9999,24.075,27.2,2.131534913,1.91025,-9999
1,16.5,-0.731738761,-9999,-9999,12.7,122,0.34518645,-9999,24.395,27.65,2.367638941,1.908,-9999
1,17.5,-0.329564431,-9999,-9999,9.31,43.05,0.30783775,-9999,24.03,27.4,2.5366341405,1.8995,-9999
1,18.5,0.084121701,-9999,-9999,1.24,-4.05,0.1851727,-9999,22.245,25.35,2.004654255,1.89075,-9999
1,19.5,0.193957234,-9999,-9999,0.285,-15.1,0.1528943,-9999,20.065,21.85,1.5702412835,1.88225,-9999
1,20.5,0.156786856,-9999,-9999,0.135,-17.6,0.1643109,-9999,18.24,19.15,1.5481577315,1.877,-9999
1,21.5,0.1768952515,-9999,-9999,0.09,-16.7,0.1574205,-9999,16.9,16.9,1.5100348435,1.87325,-9999
1,22.5,0.216235847,-9999,-9999,0.2,-14.6,0.1420707,-9999,15.675,15.4,1.3677470195,1.87025,-9999
1,23.5,0.24142882,-9999,-9999,0.35,-17.35,0.15860205,-9999,14.44,13.9,1.3152915875,1.86725,-9999
2,0.5,0.25909371,-9999,-9999,0.54,-15.4,0.14225165,-9999,14.41,12.4,1.1662416905,1.7265,-9999
2,1.5,0.193377464,-9999,-9999,0.31,-9.8,0.11612165,-9999,13.46,11.9,0.9050024255,1.726,-9999
2,2.5,0.161153668,-9999,-9999,0.18,-8.95,0.1172657,-9999,12.96,11.2,0.841268005,1.725,-9999
2,3.5,0.20222141,-9999,-9999,0.17,-9.74,0.112301,-9999,12.145,9.9509,0.830042078,1.725,-9999
2,4.5,0.314048591,-9999,-9999,0.48,-11.4,0.104509,-9999,11.435,9.7735,0.8338559005,1.724,-9999
2,5.5,0.292119182,-9999,-9999,0.625,-13.6,0.1135833,-9999,11.21,9.2084,0.779344916,1.724,-9999
2,6.5,0.344918057,-9999,-9999,0.98,-16.15,0.1230004,-9999,10.74,9.0461,0.792452731,1.725,-9999
2,7.5,0.487221785,-9999,-9999,0.965,-23.9,0.12329525,-9999,10.78,8.1756,0.813796519,1.72525,-9999
2,8.5,0.3168605995,-9999,-9999,0.985,-12.6,0.1311846,-9999,10.37,8.0459,0.809129527,1.728,-9999
2,9.5,0.072489993,-9999,-9999,5.6,9.11,0.2310356,-9999,12.215,9.00855,1.285158306,1.734,-9999
2,10.5,-0.4891552175,-9999,-9999,12,78.3,0.350866,-9999,15.24,12.25,1.855476092,1.744,-9999
2,11.5,-0.745812806,-9999,-9999,15.45,141,0.3144586,-9999,18.93,16.9,1.58050891,1.75,-9999
2,12.5,-0.8721495785,-9999,-9999,21.2,196,0.3071524,-9999,21.27,21.2,1.793032843,1.7545,-9999
2,13.5,-0.9072654245,-9999,-9999,26,218,0.3136654,-9999,22.37,23.55,2.102089916,1.7535,-9999
2,14.5,-0.720279843,-9999,-9999,21.95,220,0.3554993,-9999,22.8,24.8,2.5157427125,1.7555,-9999
2,15.5,-0.839192497,-9999,-9999,18.6,189.5,0.3628406,-9999,23.075,25.75,2.577022123,1.75425,-9999
2,16.5,-0.6007785565,-9999,-9999,14.95,140,0.34095285,-9999,23.45,26.1,2.6154255855,1.751,-9999
2,17.5,-0.237899234,-9999,-9999,12.1,70.3,0.3448187,-9999,23.34,26.7,2.601828781,1.7465,-9999
2,18.5,0.059788775,-9999,-9999,3.2,0.74,0.2308366,-9999,22.53,25,2.165770796,1.739,-9999
2,19.5,0.1513698465,-9999,-9999,0.87,-14.6,0.15522155,-9999,20.335,21.65,1.855774608,1.73375,-9999
2,20.5,0.162930031,-9999,-9999,0.5,-11.45,0.13719565,-9999,18.63,19,1.6189866815,1.73175,-9999
2,21.5,0.171736899,-9999,-9999,0.1,-10.9,0.14010495,-9999,17.365,17.25,1.4727785065,1.7295,-9999
2,22.5,0.205338475,-9999,-9999,0.015,-14.05,0.1469273,-9999,15.94,15.1,1.3868970175,1.72825,-9999
2,23.5,0.244136151,-9999,-9999,0.14,-14,0.14595655,-9999,14.94,13.3,1.236238585,1.7265,-9999
3,0.5,0.25588854,-9999,-9999,0.43,-9.45,0.1301259,-9999,13.38,11.4,1.055693106,1.832,-9999
3,1.5,0.266414861,-9999,-9999,0.355,-15.8,0.1347912,-9999,12.65,10.8,1.1133327255,1.8275,-9999
3,2.5,0.235038568,-9999,-9999,0.565,-11.1,0.1299123,-9999,11.945,9.93215,0.841304413,1.8265,-9999
3,3.5,0.2651250105,-9999,-9999,0.635,-12,0.1289758,-9999,11.095,9.0194,1.0293942835,1.825,-9999
3,4.5,0.255966846,-9999,-9999,0.39,-15.1,0.1194436,-9999,10.89,9.06295,0.9382498295,1.77,-9999
3,5.5,0.26038625,-9999,-9999,0.42,-15.5,0.13857995,-9999,9.92,8.37925,0.9664396655,1.76925,-9999
3,6.5,0.18084255,-9999,-9999,0.38,-15.8,0.1404315,-9999,9.22,7.85835,0.9712249355,1.769,-9999
3,7.5,0.203850795,-9999,-9999,0.44,-16.45,0.1173713,-9999,8.73,7.4855,0.793225416,1.715,-9999
3,8.5,0.212813613,-9999,-9999,0.72,-10.9,0.138987,-9999,9.36,7.13115,0.90861458,1.823,-9999
3,9.5,-0.035028686,-9999,-9999,4.74,20.2,0.2281015,-9999,11.71,8.2638,1.166975818,1.833,-9999
3,10.5,-0.456279627,-9999,-9999,11.65,87.15,0.2954228,-9999,14.795,11.9,1.4723382085,1.8455,-9999
3,11.5,-0.707005622,-9999,-9999,20.75,161,0.2669618,-9999,18.165,16.15,1.4991534085,1.856,-9999
3,12.5,-0.88611269,-9999,-9999,22.4,219.5,0.2925389,-9999,19.52,18.6,2.0069791365,1.8675,-9999
3,13.5,-0.952808208,-9999,-9999,23.6,236.5,0.34827,-9999,20.64,20.75,2.504550948,1.872,-9999
3,14.5,-1.05901102,-9999,-9999,23.3,252,0.34855195,-9999,21.21,21.9,2.528916681,1.879,-9999
3,15.5,-1.081523684,-9999,-9999,22.8,226,0.3898981,-9999,21.965,22.9,2.7676332735,1.878,-9999
3,16.5,-0.705115819,-9999,-9999,19.1,174,0.38206045,-9999,22.07,23.6,2.9760758205,1.8785,-9999
3,17.5,-0.321171087,-9999,-9999,14.2,98.5,0.3694817,-9999,21.5,23.3,3.197233528,1.872,-9999
3,18.5,0.114941551,-9999,-9999,6.42,13,0.2921712,-9999,20.79,22.1,2.875090329,1.859,-9999
3,19.5,0.232842272,-9999,-9999,1.135,-14.6,0.16857405,-9999,18.55,19.2,2.124546567,1.8505,-9999
3,20.5,0.18712962,-9999,-9999,0.93,-15.8,0.1627443,-9999,17.22,17.2,1.653783919,1.8435,-9999
3,21.5,0.223253762,-9999,-9999,1.035,-14.2,0.15376185,-9999,16.52,15.15,1.414722369,1.8405,-9999
3,22.5,0.298964589,-9999,-9999,0.515,-15.15,0.13967915,-9999,14.735,13.15,1.3837928625,1.838,-9999
3,23.5,0.4324576,-9999,-9999,0.58,-13.6,0.13068655,-9999,13.63,12.05,1.285726645,1.8355,-9999
4,0.5,0.323069521,-9999,-9999,0.45,-13,0.1382372,-9999,13.95,12.5,1.2387372925,1.854,-9999
4,1.5,0.252468844,-9999,-9999,0.56,-12.4,0.13157335,-9999,12.51,11.1,1.12076282,1.8565,-9999
4,2.5,0.331904671,-9999,-9999,0.87,-11.55,0.12693235,-9999,11.81,9.93295,1.1194986415,1.854,-9999
4,3.5,0.2608262115,-9999,-9999,1.09,-9.54,0.1143235,-9999,11.23,9.292,0.944514007,1.853,-9999
4,4.5,0.276491917,-9999,-9999,1,-11.1,0.13416,-9999,10.535,8.6365,0.939547049,1.852,-9999
4,5.5,0.293679587,-9999,-9999,0.755,-13,0.1300973,-9999,10.205,7.8862,1.0009878565,1.851,-9999
4,6.5,0.309269449,-9999,-9999,1.125,-12.4,0.14399785,-9999,9.72,7.3538,1.015422145,1.851,-9999
4,7.5,0.316715766,-9999,-9999,0.67,-7.985,0.13176745,-9999,9.1,6.99535,0.9621084295,1.85,-9999
4,8.5,0.2339137275,-9999,-9999,1.84,-5.815,0.1469746,-9999,10.065,7.1943,1.022472118,1.858,-9999
4,9.5,-0.085622738,-9999,-9999,10.3,41.3,0.246827,-9999,12.825,9.7392,1.236358839,1.8765,-9999
4,10.5,-0.79358179,-9999,-9999,18.3,110.5,0.3010291,-9999,16.6,14.35,1.702326121,1.8895,-9999
4,11.5,-0.810237969,-9999,-9999,30.85,184,0.3090795,-9999,19.53,18.7,1.5400798995,1.89775,-9999
4,12.5,-1.290940158,-9999,-9999,26.1,230.5,0.31277045,-9999,21.35,21.8,1.8438693465,1.902,-9999
4,13.5,-1.744196662,-9999,-9999,35.7,269,0.3529042,-9999,22.5,24.2,2.43891946,1.903,-9999
4,14.5,-1.653244813,-9999,-9999,31.6,275,0.37878275,-9999,23.465,25.9,2.782223339,1.901,-9999
4,15.5,-1.463103834,-9999,-9999,25.4,236,0.4170738,-9999,23.72,27.1,2.9748058075,1.8975,-9999
4,16.5,-1.152059202,-9999,-9999,25.3,193.5,0.41529485,-9999,23.785,27.2,2.9137506095,1.88825,-9999
4,17.5,-0.7405771785,-9999,-9999,15.75,115,0.3973596,-9999,23.9,26.4,2.978235141,1.8855,-9999
4,18.5,0.036970385,-9999,-9999,11.6,28.9,0.3309966,-9999,23.215,25.8,2.786196606,1.88,-9999
4,19.5,0.249103606,-9999,-9999,2.03,-10.95,0.1983695,-9999,20.79,22.15,2.150956737,1.87325,-9999
4,20.5,0.330214964,-9999,-9999,1.585,-15.95,0.16314735,-9999,18.865,18.75,1.546340955,1.8665,-9999
4,21.5,0.270034428,-9999,-9999,0.91,-11.6,0.1501164,-9999,17.68,17.5,1.6629673025,1.86225,-9999
4,22.5,0.25524755,-9999,-9999,1.06,-14.4,0.1719118,-9999,16.44,15.45,1.6660537855,1.859,-9999
4,23.5,0.40500925,-9999,-9999,0.7,-15.8,0.13887935,-9999,15.11,13.8,1.4116268175,1.8555,-9999
5,0.5,0.352610941,-9999,-9999,0.74,-12.15,0.15842725,-9999,16.07,16.45,1.401335915,1.81075,-9999
5,1.5,0.298920094,-9999,-9999,0.83,-15.8,0.16593515,-9999,15.43,15.65,1.5083792535,1.80975,-9999
5,2.5,0.289876537,-9999,-9999,0.93,-13.9,0.14240425,-9999,14.145,14.15,1.31290507,1.809,-9999
5,3.5,0.3911570485,-9999,-9999,0.59,-11.4,0.13055955,-9999,13.72,13.4,1.216598905,1.8085,-9999
5,4.5,0.278583298,-9999,-9999,0.39,-9.22,0.1251562,-9999,13.085,12.65,1.160353883,1.80375,-9999
5,5.5,0.331605611,-9999,-9999,1.245,-8.6,0.13895465,-9999,12.875,11.9,1.0771276375,1.8035,-9999
5,6.5,0.285612766,-9999,-9999,0.97,-10.25,0.14077885,-9999,12.45,11.25,1.074322056,1.8045,-9999
5,7.5,0.365639429,-9999,-9999,0.61,-10.4,0.13752515,-9999,11.785,10.6,1.0625505045,1.80475,-9999
5,8.5,0.183584973,-9999,-9999,2.91,-0.53,0.1570397,-9999,13.005,11.1,0.993703215,1.8075,-9999
5,9.5,-0.374552879,-9999,-9999,8.56,59.2,0.25945395,-9999,15.565,14.35,1.4010893335,1.815,-9999
5,10.5,-0.722437119,-9999,-9999,14.3,135,0.3294179,-9999,18.985,19.2,1.571554117,1.82375,-9999
5,11.5,-1.070829295,-9999,-9999,16.7,211,0.3043916,-9999,21.865,23.85,1.833437309,1.8295,-9999
5,12.5,-1.24288196,-9999,-9999,23.3,253.5,0.334415,-9999,23.625,26.9,2.3864843815,1.83775,-9999
5,13.5,-1.6038195755,-9999,-9999,20.8,284.5,0.38450215,-9999,24.915,29.75,2.4828289025,1.8355,-9999
