DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,-9999,0,-9999,-9999,-30.13131145,0.233360902,-47.74,-6.3495,1.60256990725,4.055638852,14.45,-2.937
1,1.5,-9999,0,-9999,-9999,-32.099197525,0.222341121,-43.145,-6.608,1.45807991715,4.1247568245,14.45,-2.8405
1,2.5,-9999,0,-9999,-9999,-32.5762758,0.239500881,-52.45,-6.3195,1.49827095025,4.0707570735,14.45,-2.9915
1,3.5,-9999,0,-9999,-9999,-35.363825265,0.284671673,-51.665,-6.042,1.56276967915,4.7312249455,14.45,-2.878
1,4.5,-9999,0,-9999,-9999,-33.18018766,0.232894028,-44.605,-5.984,1.5916229063,4.052932172,14.45,-2.7875
1,5.5,-9999,0,-9999,-9999,-33.798990235,0.229230406,-41.51,-5.9585,1.54399701865,3.922298249,14.45,-2.1825
1,6.5,-9999,0,-9999,-9999,-35.997857475,0.2337881755,-41.035,-6.098,1.61576962695,4.15876282,14.45,-2.2495
1,7.5,-9999,0,-9999,-9999,-32.169716775,0.2131808205,-40.28,-6.227,1.63856481665,3.5693827255,14.45,-1.587
1,8.5,-9999,0,-9999,-9999,-31.51895767,0.238653547,-30.86,-5.696,1.78475388245,4.1948212015,14.45,29.095
1,9.5,-9999,0,-9999,-9999,-29.99093054,0.2559090085,-6.223,-4.635,2.06465120805,4.739236002,14.45,171.2
1,10.5,-9999,0,-9999,-9999,-22.008875355,0.2523033285,9,-3.8295,2.20460761625,4.576582412,14.45,259.3
1,11.5,-9999,0,-9999,-9999,-19.74467013,0.2316940625,16.845,-3.336,2.3446028152,3.9365367105,14.4,395.95
1,12.5,-9999,0,-9999,-9999,-21.345516675,0.274449247,20.37,-3.016,2.31955056245,4.8736350265,14.4,394.85
1,13.5,-9999,0,-9999,-9999,-18.56867987,0.2391300335,16.705,-2.9165,2.36240245395,3.994275204,14.4,313.25
1,14.5,-9999,0,-9999,-9999,-19.64020968,0.26928463,1.625,-3.183,2.304623178,4.937552831,14.4,219.05
1,15.5,-9999,0,-9999,-9999,-25.02395232,0.3161603805,-14.54,-3.194,2.13660164095,5.227241985,14.4,122.35
1,16.5,-9999,0,-9999,-9999,-31.385138815,0.233925409,-37.525,-3.492,1.9141282595,3.788073286,14.4,25.89
1,17.5,-9999,0,-9999,-9999,-19.254369455,0.195372611,-59.445,-4.076,1.7246880273,3.441129423,14.45,-2.2295
1,18.5,-9999,0,-9999,-9999,-30.70392213,0.2111332455,-57.345,-3.9365,1.6180950586,3.8517069695,14.45,-3.043
1,19.5,-9999,0,-9999,-9999,-19.0116519,0.1749271955,-52.17,-3.774,1.4422217517,3.1244196155,14.4,-2.855
1,20.5,-9999,0,-9999,-9999,-22.218729655,0.1765064995,-51.46,-4.1365,1.4721049821,3.206145791,14.4,-3.154
1,21.5,-9999,0,-9999,-9999,-30.79899535,0.215706689,-57.33,-4.562,1.5231806915,4.024372436,14.4,-3.1265
1,22.5,-9999,0,-9999,-9999,-27.90487265,0.2220984415,-58.46,-4.783,1.53043463175,4.790830232,14.4,-2.8515
1,23.5,-9999,0,-9999,-9999,-33.98608949,0.27127266,-54.14,-4.7535,1.47117366465,4.410730916,14.4,-2.9505
2,0.5,-9999,0,-9999,-9999,-46.961578825,0.2917378755,-46.245,-6.385,0.7411079951,4.7166730175,14.2,-2.4235
2,1.5,-9999,0,-9999,-9999,-38.1752631,0.30319287,-46.365,-6.3305,0.76996259685,4.570682595,14.2,-2.417
2,2.5,-9999,0,-9999,-9999,-38.24712867,0.289480203,-50.42,-6.787,0.7490298753,4.6089831315,14.2,-2.544
2,3.5,-9999,0,-9999,-9999,-44.447548695,0.299068349,-51.55,-6.862,0.77046897895,4.915834034,14.2,-2.3805
2,4.5,-9999,0,-9999,-9999,-40.35289733,0.2562293175,-43.09,-6.411,0.6950341176,4.5172625595,14.2,-2.4965
2,5.5,-9999,0,-9999,-9999,-39.315081565,0.256676707,-33.05,-6.303,0.7207377362,4.4544551625,14.2,-2.2385
2,6.5,-9999,0,-9999,-9999,-36.39091417,0.2363342425,-29.06,-6.436,0.56295857445,4.0449572075,14.2,-1.987
2,7.5,-9999,0,-9999,-9999,-39.798969115,0.2281232045,-36.465,-7.0615,0.54880575645,3.6787034615,14.2,-0.4425
2,8.5,-9999,0,-9999,-9999,-30.88754912,0.2506713205,-18.905,-7.106,0.6616945849,4.4888522155,14.25,37.16
2,9.5,-9999,0,-9999,-9999,-28.95930489,0.291563143,2.7325,-5.9705,0.69221594385,4.527929451,14.2,163
2,10.5,-9999,0,-9999,-9999,-32.941036055,0.2924902605,10.29,-5.1285,0.862846329,4.845467995,14.25,309.8
2,11.5,-9999,0,-9999,-9999,-29.790186675,0.3055009455,19.08,-4.6435,1.1563351717,5.1080046525,14.2,359.55
2,12.5,-9999,0,-9999,-9999,-26.719490985,0.2935027765,27.21,-4.136,1.2402111012,5.1127699865,14.2,419.2
2,13.5,-9999,0,-9999,-9999,-22.29344959,0.269349477,18.35,-4.0445,1.4133751874,4.629207907,14.2,354.7
2,14.5,-9999,0,-9999,-9999,-21.81657865,0.229461134,6.565,-4.076,1.2844587227,4.289258655,14.2,210.6
2,15.5,-9999,0,-9999,-9999,-32.91278571,0.2617854125,-6.708,-4.3235,1.4161166564,4.3734977665,14.2,145.55
2,16.5,-9999,0,-9999,-9999,-39.44100157,0.284656891,-20.805,-4.858,1.32163904735,4.558594193,14.2,50.01
2,17.5,-9999,0,-9999,-9999,-41.734517,0.264371212,-44.12,-5.565,1.0539659557,4.4362707815,14.25,-0.3875
2,18.5,-9999,0,-9999,-9999,-43.95944005,0.310581392,-36.42,-5.9525,1.0240665572,5.141052501,14.2,-2.087
2,19.5,-9999,0,-9999,-9999,-55.707642335,0.3256694665,-18.97,-6.195,0.8980484692,4.753414197,14.25,-1.2185
2,20.5,-9999,0,-9999,-9999,-52.696148345,0.31966314,-21.485,-5.822,0.88156276635,5.326440243,14.2,-1.414
2,21.5,-9999,0,-9999,-9999,-50.251103885,0.3045514895,-29.5,-5.9565,0.9550598553,4.9372463825,14.2,-1.8575
2,22.5,-9999,0,-9999,-9999,-47.247242115,0.312263045,-31.565,-6.1385,0.72333181755,5.6153663035,14.2,-1.8015
2,23.5,-9999,0,-9999,-9999,-41.53124415,0.336113201,-34.945,-6.0365,0.69648582255,5.082113085,14.2,-1.7825
3,0.5,-9999,0,-9999,-9999,-36.330376,0.2668113925,-13.46,-7.5095,0.8158685996,4.640692838,14.25,-1.4285
3,1.5,-9999,0,-9999,-9999,-21.84346224,0.297005626,-10.395,-7.6205,0.50341270895,4.745216939,14.25,-1.198
3,2.5,-9999,0,-9999,-9999,-20.82848857,0.319623978,-11.03,-8.0415,0.3872796312,5.072213996,14.25,-1.068
3,3.5,-9999,0,-9999,-9999,-22.74820984,0.281852099,-12.055,-8.325,0.43380510115,4.849357114,14.25,-1.5885
3,4.5,-9999,0,-9999,-9999,-32.03905728,0.335142121,-13.45,-8.335,0.6621232649,5.688650919,14.2,-1.3615
3,5.5,-9999,0,-9999,-9999,-17.51584632,0.317527367,-15.945,-8.375,0.50185373365,4.943303375,14.2,-1.4425
