DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,-0.002,0,-0.002,-0.5715,-29.6245,0.604,-4.512,-18.582,0.255,2.0645,9.9,0.0605
1,1.5,-0.1285,0,-0.1285,-0.6795,-33.307,0.544,-3.677,-18.633,0.26,1.773,9.9,0.0605
1,2.5,-0.175,0,-0.175,-0.973,-29.8125,0.545,-2.1825,-18.271,0.255,1.4245,9.9,0.059
1,3.5,-0.193,0,-0.193,-0.508,-27.914,0.5435,-1.487,-18.705,0.26,1.676,9.9,0.0585
1,4.5,-0.0645,0,-0.0645,-0.6755,-27.7875,0.6605,-1.9995,-18.891,0.265,1.56,9.9,0.058
1,5.5,0.1505,0,0.1505,-0.3205,-32.627,0.6925,-3.726,-17.6405,0.25,1.704,9.9,0.0595
1,6.5,0.139,0,0.139,-0.6375,-30.8005,0.6945,-2.1905,-17.605,0.255,2.0555,9.9,0.059
1,7.5,0.3225,0,0.3225,-0.322,-30.758,0.763,-3.844,-19.0865,0.26,2.3055,9.9,0.058
1,8.5,0.259,0,0.259,-0.433,-34.939,0.6975,-3.002,-17.5935,0.26,2.0625,9.9,0.0595
1,9.5,-0.128,0,-0.128,0.394,-26.759,0.6175,-4.173,-17.034,0.255,2.156,9.9,0.059
1,10.5,-0.0525,0,-0.0525,-0.4035,-26.8085,0.647,-3.6055,-18.3645,0.25,2.2335,9.9,0.0665
1,11.5,-0.332,0,-0.332,0.241,-16.179,0.481,-3.008,-18.9025,0.255,2.3645,9.9,1.0555
1,12.5,-0.314,0,-0.314,0.3425,-8.997,0.5775,-2.983,-18.932,0.275,2.303,9.9,6.63
1,13.5,-0.198,0,-0.198,0.34,-5.2045,0.557,-2.3065,-17.556,0.285,1.8505,9.9,18.918
1,14.5,-0.202,0,-0.202,1.39,-6.109,0.582,-3.0655,-16.8445,0.29,1.449,9.9,22.4345
1,15.5,-0.269,0,-0.269,0.8865,-9.997,0.5945,-2.191,-17.312,0.295,1.6035,9.9,21.163
1,16.5,-0.285,0,-0.285,0.257,-18.2765,0.5125,-4.031,-17.1465,0.305,0.941,9.9,4.77
1,17.5,-0.302,0,-0.302,0.0855,-24.431,0.46,-5.4455,-16.5575,0.305,1.253,9.9,0.5635
1,18.5,-0.266,0,-0.266,0.212,-30.837,0.492,-4.3105,-16.695,0.31,1.5525,9.9,0.063
1,19.5,-0.251,0,-0.251,0.356,-30.502,0.515,-5.11,-17.0475,0.32,1.546,9.9,0.0595
1,20.5,-0.33,0,-0.33,0.183,-32.495,0.4385,-6.172,-17.51,0.285,1.671,9.9,0.06
1,21.5,-0.256,0,-0.256,0.269,-20.989,0.373,-11.037,-17.739,0.26,1.722,9.9,0.061
1,22.5,-0.2995,0,-0.2995,-0.6115,-36.9875,0.4145,-6.745,-17.73,0.275,1.8155,9.9,0.0615
1,23.5,-0.4015,0,-0.4015,-0.3475,-34.4155,0.3725,-6.587,-17.878,0.255,1.8845,9.9,0.062
2,0.5,-0.002,0,-0.002,-0.5715,-29.6245,0.604,-32.913,-15.0355,0.535,3.9175,9.8,0.064
2,1.5,-0.1285,0,-0.1285,-0.6795,-33.307,0.544,-31.5645,-15.111,0.5,4.75,9.8,0.0645
